name,id,base64,undergraduate_enrollment,location,total_professors,total_reviews,file_location,start_date,end_date
Princeton University,School-780,U2Nob29zLTc4MA==,5671.0,"Princeton, NJ",301.0,900.0,T100Reviews/Universities/Princeton_University,2001-05-16 23:01:07,2025-01-23 03:21:06
Massachusetts Institute of Technology,School-580,U2Nob29zLTU4MA==,4576.0,"Cambridge, MA",416.0,1528.0,T100Reviews/Universities/Massachusetts_Institute_of_Technology,2001-12-04 19:36:28,2025-01-26 15:56:07
Harvard University,School-399,U2Nob29zLTM5OQ==,7110.0,"Cambridge, MA",608.0,2064.0,T100Reviews/Universities/Harvard_University,2001-12-13 00:13:14,2025-01-27 09:34:45
Stanford University,School-953,U2Nob29zLTk1Mw==,8054.0,"Stanford, CA",607.0,2368.0,T100Reviews/Universities/Stanford_University,2000-06-10 02:57:57,2025-01-21 15:45:27
Yale University,School-1222,U2Nob29zLTEyMjI=,6818.0,"New Haven, CT",440.0,1230.0,T100Reviews/Universities/Yale_University,2002-10-24 16:51:09,2025-01-27 12:11:41
California Institute of Technology,School-148,U2Nob29zLTE0OA==,1023.0,"Pasadena, CA",85.0,287.0,T100Reviews/Universities/California_Institute_of_Technology,2002-08-20 15:23:20,2025-01-22 06:34:04
Duke University,School-1350,U2Nob29zLTEzNTA=,6488.0,"Durham, NC",2723.0,26681.0,T100Reviews/Universities/Duke_University,2002-04-10 20:00:34,2025-01-27 18:40:08
Johns Hopkins University,School-464,U2Nob29zLTQ2NA==,6090.0,"Baltimore, MD",999.0,4463.0,T100Reviews/Universities/Johns_Hopkins_University,2001-02-03 16:05:38,2025-01-24 21:54:53
Northwestern University,School-709,U2Nob29zLTcwOQ==,8846.0,"Evanston, IL",429.0,1061.0,T100Reviews/Universities/Northwestern_University,2003-02-18 00:56:49,2025-01-26 07:04:03
University of Pennsylvania,School-1275,U2Nob29zLTEyNzU=,9995.0,"Philadelphia, PA",736.0,2111.0,T100Reviews/Universities/University_of_Pennsylvania,2001-04-24 00:58:19,2025-01-23 15:05:40
Cornell University,School-298,U2Nob29zLTI5OA==,16071.0,"Ithaca, NY",2893.0,29360.0,T100Reviews/Universities/Cornell_University,1999-12-10 00:00:00,2025-01-27 18:30:07
University of Chicago,School-1085,U2Nob29zLTEwODU=,7489.0,"Chicago, IL",531.0,1705.0,T100Reviews/Universities/University_of_Chicago,2002-08-28 19:27:40,2025-01-13 00:17:28
Brown University,School-137,U2Nob29zLTEzNw==,7741.0,"Providence, RI",505.0,2354.0,T100Reviews/Universities/Brown_University,2001-07-14 16:40:36,2025-01-25 08:21:43
Columbia University,School-278,U2Nob29zLTI3OA==,8902.0,"New York, NY",972.0,4267.0,T100Reviews/Universities/Columbia_University,2001-12-19 13:17:18,2025-01-27 21:44:54
Dartmouth College,School-1339,U2Nob29zLTEzMzk=,4447.0,"Hanover, NH",235.0,462.0,T100Reviews/Universities/Dartmouth_College,2003-02-25 13:10:57,2024-11-23 23:27:26
University of California--Los Angeles,School-1075,U2Nob29zLTEwNzU=,33040.0,"Los Angeles, CA",1432.0,5151.0,T100Reviews/Universities/University_of_California--Los_Angeles,1999-10-18 00:00:00,2025-01-23 22:01:03
"University of California, Berkeley",School-1072,U2Nob29zLTEwNzI=,33405.0,"Berkeley, CA",4246.0,52700.0,"T100Reviews/Universities/University_of_California,_Berkeley",2001-05-13 20:41:10,2025-01-28 00:17:59
Rice University,School-799,U2Nob29zLTc5OQ==,4574.0,"Houston, TX",275.0,748.0,T100Reviews/Universities/Rice_University,2003-02-19 00:06:43,2025-01-20 23:22:52
