id,name,department
775570,Chris Palmer,Communication
1222466,Daniel Lin,Economics
79415,G. Borden Flanagan,Political Science
260612,Adam Tamashasky,Literature
83622,Saul Newman,Political Science
47919,Jon Wisman,Economics
49762,Cindy Bair-Van Dam,Literature
231147,Bryan Fantie,Psychology
85936,Glenn Moomau,Literature
91619,Tony Ahrens,Psychology
2934694,Shawn Janzen,Information Technology
2316609,Kevin Boyle,Government
49144,Gregg Ivers,Political Science
85955,Charles Cox,English
1053722,Lydia Fettig,Literature
1369856,Ivy Broder,Economics
49173,Patrick Joyner,Literature
766896,Susan McDonic,Sociology
367095,Steve Taylor,Political Science
948498,Edward Comstock,Literature
766689,Mandy Berry,Literature
2245086,Korneliya Bachiyska,Government
156093,Sarah Menke-Fish,Communication
83620,John Willoughby,Economics
49761,Michael Hazilla,Economics
1923296,Tom Kohn,Management
48853,Jeffrey Hakim,Mathematics
455910,Kimberely Cowell-Meyers,Political Science
730025,Susan Glover,Government
1790312,Michael Schroeder,International Relations
494000,Jocelyn McCarthy,Literature
1341509,Michelle Newton-Francis,Sociology
13662,Walter Park,Economics
1029982,Billy Davies,Justice Studies
424304,Richard Bennett,Criminal Justice
56742,Christopher Tudge,Biology
83624,Lynn Addington,Justice Studies
73301,Mary Hansen,Economics
1310409,Krista Tuomi,International Studies
49169,Jeffrey Middents,Literature
19220,Gershon Greenberg,Philosophy
231893,Sarah Johnson,Political Science
848408,Stina Oakes,Literature
133433,Peter Kuznick,History
48944,Andrea Brenner,Sociology
314992,Colleen Callahan,Economics
465335,Todd Eisenstadt,Political Science
1056275,Linda Voris,Literature
13661,Richard Sha,Literature
387374,David Lublin,Political Science
340909,Patricia Sykes,Political Science
1361272,Mary Switalski,Literature
504175,Kate Wilson,English
48849,Alan Levine,Political Science
13659,Anthony L. Riley,Psychology
109431,Ira Klein,History
1353019,Aaron Boesenecker,International Studies
1354809,Guy Ziv,International Studies
1203637,Anton Fedyashin,History
1716378,Amanda Choutka,Literature
293826,Teresa Larkin,Physics
1674593,Mike Limarzi,Mathematics
72694,Jeffrey Schaler,Law
1219627,Arielle Bernstein,Literature
1713674,James Quirk,Government
1072943,Mirjana Morosini-Dominick,International Studies
1697759,Marnie Twigg,Literature
2107808,Dina Rady,Economics
283052,Patricia Reichler,Literature
34638,Jerzy Sapieyevski,Music
2729698,William Howell,Statistics
116999,Karen O'Connor,Political Science
118566,Laura Juliano,Psychology
701816,Farhang Erfani,Philosophy
473054,Erik Dussere,Literature
273005,Tricia Juhn,International Studies
367065,Aleka Kapatou,Statistics
1429217,Master Yoda,Peace & Conflict Studies
954531,Ghiyath Nakshbendi,International Business
755558,George Berg,Arabic
1625855,Melissa Young,Literature
1799460,Donna Dietz,Mathematics
95913,Brian Yates,Psychology
1633606,Scott Talan,Communication
1047802,Heather McDonald,Literature
262924,Cara Gabriel,Performing Arts
2278151,Hamid Semiyari,Mathematics
116217,Steven MacAvoy,Biology
261628,Jack Child,Languages
1083157,Bram Groen,International Studies
2228033,Elizabeth Curran,Mathematics
60689,Lynne Arneson,Biology
178680,Elizabeth Lang,Languages
296054,Katie Decicco,Biology
1223006,Robert Kelley,International Studies
85820,Mary Ann Fay,Social Science
177277,Cindy Collins,International Studies
378582,Artur Elezi,Mathematics
927794,Shawn Bates,International Studies
1363197,Chris Edelson,Government
48937,Christine Chin,Ethnic Studies
288462,Marianne Noble,Literature
393319,Esther Holtermann,Languages
275464,Svetlana Xu,Languages
325186,Leah Johnson,Literature
901563,Mary Giandrea,History
1318298,James Dickens,Mathematics
2204180,Hugo Van Dyke,Statistics
2291002,Mauro Tiso,Chemistry
