id,name,department
83524,Michael Korpi,Film & Digital Media
604100,Tony Talbert,Education
440093,Scott Wilde,Mathematics
227793,Steven Cates,Mathematics
12830,Lynn Tatum,Theology
200251,Eric Holleyman,Religion
24755,Larry Chonko,Business
531335,Robert Darden,Film & Digital Media
56928,David Eldridge,Science
1089545,David Moseman,Religion
2210344,Moises Park,Spanish
12824,Tamarah Adair,Science
2739337,Jonathan Reynolds,English
255626,Jesse Airaudi,English
293633,Stephen Gipson,Chemistry
16019,Don Greene,Geography
527740,Charlotte Pisors,Mathematics
64331,Kay Mueller,Social Science
215498,Mark Taylor,Science
129988,David Smith,History
80986,Roger Kirk,Psychology
313526,Sarah-Jane Murray,Not Specified
12522,Garrett Cook,Anthropology
70888,John Olson,Chemistry
75668,David Pennington,Science
71853,William English,Communication
85269,Cindy Fry,Computer Science
74918,Tommy Bryan,Mathematics
2419344,Maria Fernandez-Luna,Biology
12822,D. Thomas Hanks,English
12520,David Longfellow,History
85439,Bill Booth,Computer Science
64593,Larry Lehr,Science
109255,Julie DeGraffenreid,History
290705,David Uber,Languages
664965,D Dodson,Religion
90546,Stacy Atchley,Geology
113625,Rick Duhrkopf,Biology
160620,Tom Offit,Anthropology
39891,Amy Goodman,Mathematics
1210412,Bracy Hill,Religion
294991,Alton Hassell,Chemistry
184737,David Hendon,History
312471,Shelly Brooks,Mathematics
1780799,Logan Gage,Philosophy
1187558,Joe Coker,Religion
23416,Ray Cannon,Mathematics
194284,Kent Gilbreath,Business
1572479,Brandon Moore,Education
71305,Walter Holmes,Science
80748,Joseph Brown,Political Science
111789,Hugh Riley,Psychology
129982,Dwight Russell,Science
86505,Ann Rushing,Science
284884,Richard Riley,Political Science
1561058,Jessica Assink,English
73439,Paul Armitstead,History
77772,Darrell Vodopich,Science
2517828,Jon Lawson,Biology
727451,Blain McCormick,Business
12826,William Virgil Davis,English
84642,Betsy Willis,Accounting
85274,Kathy Hutchison,Mathematics
99594,Wiki Erickson,Languages
13012,Stan Denman,Fine Arts
64350,Alden Smith,Languages
507170,Greg Hamerly,Computer Science
67064,Janet Norden,Languages
87203,Michael Mansfield,Political Science
16590,Tammy Rowatt,Psychology
64414,Becky Jones,Accounting
276794,Ed Oxford,Mathematics
435683,Jim Patton,Psychology
66044,Jaime Diaz-Granados,Psychology
71851,Rosalie Beck,Theology
80801,Bradley Owens,Communication
86361,Charles Weaver,Psychology
2126755,Steven Jug,Languages
214975,Maurice Hunt,English
77771,Joan Barrett,Languages
256399,Joan Supplee,History
70886,Rizalia Klausmeyer,Science
1017179,Bruce Hodson,Chemistry
1028677,Kevin Dougherty,Sociology
312575,Jeff Hamilton,History
194815,Tisha Emerson,Economics
12825,Robert Baird,Philosophy
374219,Janet Bagby,Education
374222,Jana Millar,Music
80377,Pat Pierce,Languages
13011,Tommye Lou Davis,Languages
529661,Beth Barr,History
200247,David Corey,Political Science
613994,Laurel Zeiss,Music
70225,Jeff Fish,Languages
13014,Gary Hull,History
1457993,Jill Nichols,Mathematics
89020,James Curry,Political Science
263998,Chuck Delaney,Business
2638103,Michele Stover,Chemistry
394972,Joseph Achor,Psychology
13226,Michael Beaty,Philosophy
80755,Ron Thomas,English
2348554,Abraham Van Helsing,Forensic Science
67065,Brad Keele,Science
1182475,Vivian Gamblian,Nursing
190658,Brian Raines,Mathematics
731891,Mikeal Parsons,Religion
179343,William Baker,International Studies
263999,Ray Read,Management
207815,Kevin Klausmeyer,Chemistry
71299,Ann McGlashan,Languages
87485,Brent Froberg,Classics
497791,Nancy Sanchez,Computer Science
1589649,Maricel DeMesa,Chemistry
1137375,Adrienne Akins,English
86355,Rosalie Barrerra,Languages
1779307,Kelly Iverson,Religion
252101,Jesse Jones,Chemistry
665476,Carol MacAulay,Anthropology
92578,Richard Duran,Languages
1082568,Marty Harvill,Biology
64989,John Pisciotta,Economics
89015,Richard Russell,English
593436,Kimberly Mencken,Economics
268028,Patricia Wallace,History
271023,Linda Walker-Kennedy,English
23417,Joel Burnett,Philosophy
600165,Devan Jonklaas,Chemistry
66809,Colene Coldwell,Business
446729,Maxey Parrish,Journalism
864558,Roland Eichelberger,Business
73881,Jeff Donahoo,Computer Science
80751,Mark Long,Political Science
1079551,Marcie Moehnke,Biology
1560855,Dave Bridge,Political Science
1765557,Eva Hruska,Languages
277075,Doug Weaver,Theology
11211,Cheryl Kay,Mathematics
277067,Lynne Hinojosa,English
1028711,Theresa Edgington,Business
16015,Peter Allen,Geology
177314,David Jeffrey,English
270880,Fred Hulme,Business
317480,Janya Martin,Languages
2008603,Pablo Rivas Perea,Computer Science
99597,Naymond Keathley,Religion
270886,Carolyn Monroe,Information Systems
327778,Tom Odegaard,Economics
756210,George Gawrych,History
204586,Michael Robinson,Accounting
691274,Karen Bufton,Nursing
704553,Stephen Wyrick,Religion
70218,Chris Marsh,Political Science
1649908,Kay Tuel,Health Science
1031971,Thomas McGrath,Chemistry
1252977,Laura Clark,English
1936277,Jeremy  Counseller,Law
208832,Mark Morman,Communication
976453,Matthew Cordon,Law
481164,Judith Lusk,Design
105934,Manuel Ortuno,Languages
17997,Blair Browing,Communication
154092,Elizabeth Dell,English
273829,Julie Rosenbaum,Business
280452,Deanna Toten-Beard,Theater
128562,Lorynn Divita,Fashion
309696,Suzanne Abbe,Accounting
668931,Stephen Dworkin,Geology
1197473,Amy Maddox,Languages
637114,Sally L. Askins,Theater
184746,Jay Losey,English
64140,Greg Garrett,English
64352,Doug Claybrook,Music
2267112,Ian Grigsby,Mathematics
1614433,Chris Pieper,Sociology
1923048,Bryan Maine,Religion
280775,Amanda Sturgill,Journalism
378811,Lasse Tiihonen,Languages
1002190,David Ryden,Mathematics
1830178,Myeongwoo Lee,Biology
2144108,Richard Edwards,Communication
308793,Melvin Hood,Mathematics
2188536,Kenny Befus,Geology
1051627,Reid Makowsky,English
1488481,Luis Morera,History
814702,Cheryl Tucker,Nursing
153611,Baxter Johns,Mathematics
2681135,Trace Bowen,Mathematics
72288,John Cunningham,Communication
955561,Eric Wilson,Music
376821,Sijifedro Loa,Languages
208889,John Thorburn,Classics
245394,Julia Hitchcock,Fine Arts
12827,Kevin Gardner,English
72290,Jean Boyd,Music
377958,Rena Bonem,Geology
2676333,Christopher Wood,Art History
328940,Heidi Marcum,Science
146951,Tracy Hoffman,English
736058,Rory Ryan,Law
468364,Robert Miner,Philosophy
233289,Donald Schreiber,Management
1211063,Eric Rust,History
1644704,David Melvin,Religion
247073,Jane Baldwin,Accounting
16016,Michael Long,Ethnic Studies
2563698,John Duncan,Religion
2829732,Natalie Moreira,Political Science
572423,John Van Cura,Music
293908,Virginia Kearney,English
919421,Yumei Wu,Physics
1455303,Carey Newman,Religion
581682,Scott Moore,Philosophy
2416083,Brandon Rickabaugh,Philosophy
1211679,Hope Johnston,English
1588905,David Wilmington,Religion
716592,Karen Werner,English
1045673,Kathryn Mueller,Sociology
