index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,non mandatory,3.0,FDM1303,"Lectures are not mandatory and kind of boring. However, he'll occasionally drop the most jaw-dropping and practical advice or insight into the film and media industry. There's an online textbook that is the most important thing. Read the textbook and watch the video playlist. Tests have a massive curve, a natural 70% usually became around a 95%",False,2024-12-15 23:23:05,2.0,A,3.0,True,False,3.0,Get ready to read--Inspirational,3.0,0,0,1.0,83524
1,non mandatory,2.0,INTROMASSCOMM,"He is a very odd guy and mildly inappropriate. He knows a lot about what he is talking about, but his lectures make no sense and are hard to follow. I have failed every test even after studying. It's too much information to know. Most of my friends dropped this class. He curves every test sense most of the class fails which is nice.",False,2024-11-22 03:24:31,4.0,B-,2.0,True,False,2.0,,3.0,0,0,,83524
2,mandatory,2.0,FDM1303,"Korpi is very well-educated but his teaching style was very hard to adjust to and successfully learn from. He skips through lectures (with lots of information that is ALL VIABLE to be on exams) very quickly and doesn't elaborate on some of the more confusing topics. Hundreds of questions in the textbook but no other assignments, just LONG exams.",False,2024-09-28 23:18:28,3.0,C,2.0,True,False,2.0,Lecture heavy--Graded by few things,3.0,0,0,,83524
3,Y,3.0,FDM1303,"His lectures are very monotonous, so if you are not a morning person, you might struggle with staying up in his early lectures. He does switch it up once in a while though and plays videos and movies. Grading criteria is clear. Mostly Packbacks, attendance, midterm and final. Exams are hard.",False,2021-12-02 03:48:54,3.0,,3.0,True,False,3.0,Get ready to read--Lecture heavy--Clear grading criteria,5.0,0,0,1.0,83524
4,mandatory,4.0,FDM1301,"Korpi is brilliant. I'm not a mass com major and so the lectures were not my favorite. You can tell he knows a ton about what he's talking about, but its just not super interesting to me. As a teacher though I think he does a good job of being engaging as much as he can be with a class of 300+. Also the tests are super chill because of the curve.",False,2021-11-01 22:24:57,2.0,A+,4.0,True,False,4.0,Get ready to read--Lecture heavy--EXTRA CREDIT,5.0,1,0,1.0,83524
5,mandatory,2.0,COMM1305,Test is 146 questions in 90 minutes. In the textbook there are question you have to answer. A total of 896 for the first 8 chapters.,False,2021-10-13 22:03:32,4.0,B,2.0,True,False,2.0,Get ready to read--Test heavy--Lecture heavy,5.0,0,0,0.0,83524
6,mandatory,2.0,FDM1301,"You can tell Korpi is smart because he explains things in ways that are hard to understand bc he uses terms that we've never learned. His lectures are kind of pointless because he just shows videos and examples of concepts without explaining them. I paid a lot for this class to LEARN something. I bet he's a great person, just not my fave teacher.",False,2018-09-16 18:28:20,1.0,,2.0,True,False,2.0,Get ready to read--EXTRA CREDIT,5.0,0,0,0.0,83524
7,non mandatory,5.0,FDM1303,"Korpi is awesome! His tests aren't really based on his lectures in class, so you really do have to read the book. But taking him is worth it because he is hilarious and his class is super easy. If you do the online homework and go over each chapter before the test you should get an A.",False,2016-10-05 15:44:02,2.0,A,5.0,True,False,5.0,Clear grading criteria--Hilarious--Amazing lectures,5.0,1,1,1.0,83524
8,non mandatory,5.0,FDM1304,"Class is insanely easy, regardless of whether you're a film major or not. Lots of online quizzes but you can re-take them as many times as you want & all the answers are on Quizlet, the very few papers, projects & tests are super simple. He's slow with putting in make-up grades though. Class itself mainly consists of watching videos. Should take.",False,2016-04-11 13:41:21,1.0,A,3.0,True,False,4.0,,1.0,1,1,,83524
9,mandatory,5.0,COMM1301,I loved being in his class. He is legitimately one of the coolest people I've ever met. You get what you take out of this class. If you don't respect him he wont respect you. He's pretty brilliant.,False,2016-03-30 17:42:24,2.0,A,3.0,True,False,4.0,,2.0,1,1,,83524
