id,name,department
18435,Joseph Morrissey,Psychology
249898,Ann Merriwether,Psychology
239262,Michael Armstrong,Biology
18043,Kenny Christianson,Economics
2281019,Sarah Marcus,Biology
167263,Kevin Oakes,Theater
487148,Rebecca Kissling,Chemistry
199496,Dina Naples Layish,Finance
1940622,Benjamin Turnpenny,Chemistry
148051,Deanne Westerman,Psychology
148898,Dennis Foreman,Computer Science
145519,Randall McGuire,Anthropology
197646,Alice Friedman,Psychology
152865,Wendy Martinek,Political Science
1549122,George Weinschenk,Computer Science
1903166,Michael Fochler,Mathematics
148986,Deborah Elliston,Anthropology
149301,Michael Sharp,English
150042,Steven Tammariello,Biology
1974504,Christopher Taylor,Physics
276126,Charles Goodman,Philosophy
83389,Terrence Deak,Psychology
129004,Douglas Glick,Anthropology
150057,Mathew Parker,Biology
387461,Robert Van Buskirk,Biology
25611,Richard Pindell,English
54896,Andrew Telesca,Physics
149507,Elizabeth Signorotti,English
846839,Aiyakrishnan Meenakshi,Physics
2401881,Steven Murphy,Chemistry
1728835,Walter Carlip,Mathematics
150125,Elliot Kamlet,Accounting
2846979,Shiran Froymovich,Accounting
74136,Chantal Rodais,Cinema Studies
2128096,David Biddle,Mathematics
2789871,Mohammad Islam,Biology
249107,Jonathan Krasno,Political Science
425051,John Fletcher,Health & Wellness
129003,Neha Khanna,Economics
2718862,Amarendra Sharma,Economics
49672,Richard Andrus,Environmental Studies
149016,Ricardo Laremont,Social Science
2567931,Allison Bugenis,Political Science
836445,Christopher Bishop,Psychology
160403,Mark Reisinger,Geography
363171,Ryan Vaughan,English
2553000,Brittany Race,Psychology
261380,Mark Blumler,Geography
157520,John Frazier,Geography
2420001,Laura Pangallozzi,Geography
148968,Gayle Whittier,English
150775,Kenneth Kurtz,Psychology
149641,Eric Dietrich,Philosophy
151409,Benita Roth,Sociology
152836,Anton Schick,Mathematics
149703,Ruzima Sebuharara,Economics
462393,Omowunmi Sadik,Chemistry
540282,Daniel McKinney,Mathematics
150107,Mahua Sarkar,Sociology
2573081,Jiyun Elizabeth Shin,Psychology
2059345,Mikhail Filippov,Political Science
1797701,Jeanne Lawless,Biology
175975,Will Heller,Political Science
152268,Douglas Holmes,Anthropology
2747874,Anthony Del Vecchio,Finance
286565,Carol Hanscom,Theater
1844754,Aleksey Polunchenko,Mathematics
1906223,Amanda Licht,Political Science
100170,Gerald Kadish,History
2084078,George Meindl,Environmental Studies
196313,Pamela Smart,Anthropology
2238072,Erin Jant,Psychology
259853,Kelvin Santiago-Valles,Sociology
140229,Linda Wong,Economics
2191137,Clarice Kelleher,Chemistry
151241,Juanita Diaz,Sociology
151497,David Clark,Political Science
151212,David Davies,Biology
176832,Elizabeth Perry,Business
198426,Fa-Ti Fan,History
150047,Ali Moulay Bouanani,Arabic
995482,Diane Sommerville,History
149128,Eugene Klimko,Mathematics
283110,Susan Wolcott,Economics
194990,Gerald Loy,Law
1852288,Donald Sheldon,Management
2424367,Sayak Sengupta,Mathematics
697145,David Archer,Education
2368991,Brieanna Langlie,Anthropology
977265,Therese Cingranelli,Political Science
2273752,Rachael Karugu,Chemistry
2643712,Aishwarya Sundar,Business
45424,Ute St. Clair,Business
45422,Clifford Kern,Economics
935492,Patrice Back,Health Science
197249,Kathleen Horwath,Biology
171215,Robert Pompi,Physics
155143,Julian Shepherd,Biology
74140,Alice Mitchell,Music
1178224,Craig Morris,Anthropology
129536,Kim Jaussi,Business
25612,Lois Einhorn,English
2277371,Ozlem Tonguc,Economics
883862,Quincy Loney,Mathematics
205194,Nancy Tittler,Russian Studies
149649,Elisa Camiscioli,History
55975,Anna Tan-Wilson,Biology
129089,Christopher Knapp,Philosophy
156668,Anthony Preus,Philosophy
2650063,Jane Elliott,Theater
151777,Fernando Guzman,Mathematics
150441,Steven Lynn,Psychology
156616,Alex Feingold,Mathematics
271593,Joseph Keith,English
155864,Susan Bane,Chemistry
106189,Al Vos,English
89049,Barry Jones,Economics
88959,Rose Williams,Computer Science
192558,Howard Brown,History
1428889,Virginia L. Shirley,English
150054,Regina Brewster,Mathematics
74125,Carol Miles,Biology
129892,Paul Loya,Mathematics
482725,Richard Mattson,Psychology
503841,Benjamin Fordham,Political Science
177776,Jon Nale,Physics
107480,Ronald Gonzalez,Fine Arts
1962969,Steven Moore,Computer Science
148545,Matthew Johnson,Psychology
195672,Akbar Muhammad,History
249104,Nikolay Dimitrov,Chemistry
195650,William Martin,Sociology
148966,Michael Starzak,Chemistry
556289,David J Garrison,Computer Science
