id,name,department
1428281,Claudia Novak,Chemistry
39144,Harry (Michael) Coiner,Economics
2156521,Claudia Novack,Chemistry
46085,Eli Hirsch,Philosophy
1382565,Antonella Di Lillo,Computer Science
37668,Andreas Teuber,Philosophy
110881,Milos Dolnik,Chemistry
185005,William Flesch,English Language & Literature
133134,Timothy Hickey,Computer Science
94040,Can Erbil,Economics
1973760,Rachel Woodruff,Biology
1034523,Ellen Wright,Psychology
1442528,Daniel Breen,American Studies
1399258,Jim Morris,Biology
37232,Sarah Lamb,Anthropology
409102,Don Katz,Psychology
2095998,Maria de Boef Miara,Biology
358945,Dan L. Perlman,Biology
2534801,Geoffrey Clarke,Economics
1406205,Melissa Kosinski-Collins,Biology
1613248,Scott Redenius,Economics
148577,Janet McIntosh,Anthropology
694,"Jacob ""Jerry"" Cohen",American Studies
46034,William Kapelle,History
23692,Neil Simister,Science
37228,Robert Sekuler,Psychology
23831,Barry Snider,Chemistry
2861554,Divya Khaitan,Business
2587302,Galit Eizman,Economics
46039,Marc Brettler,Judaic Studies
46037,Govind Sreenivasan,History
23691,Judith Herzfeld,Science
1717220,Joseph Lumbard,Near Eastern Studies
2730411,Iraklis Tsekourakis,Computer Science
2554304,Lam Pham,Mathematics
433092,Harry Mairson,Computer Science
219972,Jonathan Unglaub,Fine Arts
695729,Raysa Mederos,Spanish
212886,Alice Kelikian,History
447468,Javier Urcid,Anthropology
1054792,Jill Greenlee,Political Science
2005548,Colleen Hitchcock,Biology
2566283,Kene Piasta,Biology
2097715,Keith Merrill,Mathematics
26726,Paul Dizio,Psychology
396387,Thomas Doherty,Film
391957,Gila Hayim,Sociology
2125349,Chandler Rosenberger,Sociology
2064073,Jutta Wolf,Psychology
2200808,Michael Strand,Sociology
182452,Marion Smiley,Philosophy
573516,Bernie Yack,Political Science
1929696,Hagit Weihs,Business
135720,Robert Art,Political Science
1280880,Kerry Chase,Political Science
175276,Laura Quinney,English
640750,Guy Antebi,Hebrew
2644819,Charlotte Goudge,Anthropology
13258,Arthur Holmberg,Theater
595353,Linda Bui,Economics
214705,Caren Irr,English
2603389,Stephanie Murray,Chemistry
255367,Sabine von Mering,Languages
447465,Thomas Pochapsky,Chemistry
2237179,Jonathan Anjaria,Anthropology
2647329,Hamza Abdurezak,Business
37895,Jerome Wodinsky,Psychology
1064139,Sara Shostak,Sociology
1965678,Kristen Mascall,Chemistry
2603637,Alejandro Trelles,Political Science
23690,Aida Wong,Fine Arts
148012,Ann Koloski-Ostrow,Classics
891222,Wendy Cadge,Sociology
1118287,Carol Osler,Economics
26722,Richard Gaskins,Legal Studies
219974,Charles McClendon,Fine Arts
392134,Daniel Kryder,Political Science
1004960,Peter R Kalb,Fine Arts
134567,Jytte Klaussen,Political Science
37230,Jorge Arteta,Spanish
1929585,Liuba Shrira,Computer Science
46048,Susan Parker,Mathematics
545195,Chaeran Freeze,Judaic Studies
1795340,Rebecca Torrey,Mathematics
135853,Stephen Whitfield,Ethnic Studies
46803,Mitch Cherniack,Computer Science
94366,Ramie Targoff,English
506218,Harleen Singh,Women's Studies
660398,Laura Miller,Sociology
2644190,Bryan Ingoglia,Chemistry
288268,Gordon Fellman,Sociology
359854,Jonathan Sarna,Near Eastern Studies
571003,Marc Weinberg,English
135600,Peter Woll,Political Science
1340621,Angela Gutchess,Psychology
2302120,Keith Plaster,Linguistics
150052,Hollie Harder,Languages
1521243,Robert Angell,Business
212892,Gregory Freeze,History
213731,Thomas King,English
139674,David Fischer,History
296821,Elizabeth Ferry,Anthropology
1402607,Jason Pontrello,Chemistry
443099,Joseph Cunningham,Psychology
2326527,Hannah Snyder,Psychology
99686,Michael Willrich,History
547381,Mark Adler,Mathematics
2007160,Lucy Goodhart,Economics
977928,Richard Fell,Physics
743718,Nidhiya Menon,Economics
2473535,Siri Suh,Sociology
223753,Dmitry Kleinbock,Mathematics
2055487,Jeffrey Lenowitz,Political Science
202817,Paul Morrison,English
1752379,Benjamin Shiller,Economics
2708233,James Howard,Psychology
907575,Edward Bayone,Business
184715,Stephen Dowden,European Studies
1514674,Elena Gonzalez Ros,Spanish
1301188,Cristobal Lemus Vidales,Mathematics
952165,Lotus Goldberg,Linguistics
2283,Chad Bown,Economics
212890,Paul Jankowski,History
436993,Eugene Sheppard,Judaic Studies
2690328,Rob Anderson,Fine Arts
208148,Mary Campbell,English Language & Literature
2288018,Elissa Jacobs,English Language amp Literature
213724,John Burt,English Language & Literature
986064,Sophia Malamud,Linguistics
215881,Olmanda Hernandez-Guerrero,Languages
683401,Seth Fraden,Physics
2093460,Emily Westover,Biochemistry
447466,Greg Petsko,Chemistry
425008,David Cunningham,Sociology
2354754,Daniel Breen,Legal Studies
37233,Jim Haber,Science
2280513,Sava Berhane,Business
2823063,Steven Gindi,Mathematics
827263,Mark Auslander,Anthropology
1040728,Eileen McNamara,Journalism
1204229,Kate Moran,Philosophy
1431417,Nader Habibi,Economics
1908790,Pengyu Hong,Computer Science
1264779,Heyward James,East Asian Studies
39141,Jane Hale,French
1194444,Carmen Sirianni,Sociology
1611372,Irina Dubinina,Russian Studies
288271,Derek Isaacowicz,Psychology
2630045,Jordan Pollack,Computer Science
202814,Reuven Kimelman,Near Eastern Studies
158289,Tzvi Abusch,Near Eastern Studies
364840,Martin Levin,Political Science
539998,Esther Shorr,Hebrew
46084,Alan Berger,Philosophy
2578987,Teresa Mitchell,Psychology
2792384,Vasuki Wijendran,Biology
1995785,Jennifer Gutsell,Psychology
154394,Leonard Muellner,Classics
215877,David Engerman,History
2121767,Linda Stoller,Business
1092133,Charles Chester,Environmental Studies
593789,Ralph Thaxton,Political Science
148572,Paola Servino,Italian
592307,Jerry Samet,Philosophy
46030,Hiroko Sekino,Languages
158299,Aliza Brosh,Hebrew
13263,Cheryl Walker,Classics
2588055,Avinash Singh,International Studies
212896,Mark Hulliung,History
233768,Tory Fair,Fine Arts
2674128,Constantine Lignos,Computer Science
2118050,Pito Salas,Computer Science
592294,Robert Greenberg,Philosophy
554574,Irving Epstein,Chemistry
1264766,Berislav Marusic,Philosophy
722368,Palle Yourgrau,Philosophy
53811,James Mandrell,Languages
1744908,Olga Papaemmanouil,Computer Science
2055618,Gabriella Sciolla,Physics
1093902,Katherine Graddy,Economics
1521008,Daniela Nicastro,Biology
2278020,Silvia Monteleone,Italian
2484510,Caitlin Slodden,Sociology
2653114,Sarah Mayorga,Sociology
2716297,Klaus Schmidt-Rohr,Chemistry
2069464,Keridwen Luis ,Anthropology
820926,Wellington Nyangoni,African-American Studies
1966857,Yoona Lee,Psychology
2564111,Sarah Lupis,Psychology
1883808,Nadeem Malik,Graduate Studies
2476588,Thuy Lam,Biology
1935877,Azadeh Samadani,Physics
1267449,YU Feng,Chinese
2494417,Thomas Fai,Mathematics
2552704,Rahul Krishna,Mathematics
945932,Charles Golden,Anthropology
1683529,Maura Farrelly,American Studies
1823062,Georgia Luikens,English Language & Literature
1972898,Abigail Cooper,History
591825,Raymond Knight,Psychology
1537051,Gordon Ruesch,Not Specified
2436417,Jean-Paul LHuillier,Economics
2461440,Jian Wei,Chinese
2078997,Xing Hang,History
223754,Ira Gessel,Mathematics
2707086,Rebecca Gieseking,Chemistry
46047,David Rakowski,Music
139676,Peter Conrad,Sociology
13266,Steven Teles,Political Science
2321509,Elanah Uretsky,Anthropology
1034521,Mario Bourgoin,Mathematics
258710,Eric Chafe,Music
223756,David Roberts,Physics
2657093,Steven Wilson,Political Science
2280180,Maya Eden,Economics
645927,John Plotz,English
2845723,Renanah Joyce,Political Science
2337159,George Hall,Economics
2449560,Ellen Schattsneider,Anthropology
2553478,Nelson Sa,Economics
2121768,Eva Bellin,Political Science
341457,Robin Dash,Education
1681029,Jennifer Cleary,Theater
2955145,Ethan King,English Language & Literature
874180,Jim Storer,Computer Science
2378073,Jerome Tharaud,English Language amp Literature
2571158,Amber Spry,Political Science
1700419,Grace Zimmerman,Business
479962,Malcolm Watson,Psychology
2522398,Philippe Wells,Business
2728599,Julie Batten,English Language & Literature
599446,Brian Donahue,American Studies
1072252,James Hassey,Not Specified
1239484,Eric Olson,Biology
467677,Ellen Kellman,Religion
893244,Ryan McKittrick,Theater
2156551,Lucia Teresa Reyes de Deu,Spanish
2705767,Yuri Doolan,Women's Studies
2920009,Katherine  Shulenberger,Biology
215702,Marya Levenson,Education
447480,Susan Lichtman,Fine Arts
508187,Sara Hascal,Hebrew
547373,Olga Broumas,English Language & Literature
722371,Susan Lanser,Women's Studies
178302,Robert Reich,Economics
1237496,Bernadette Brooten,Judaic Studies
2587376,Richard Shroeder,Anthropology
2752335,Katrin Fischer,English Language amp Literature
1506155,Jennifer Marusic,Philosophy
219973,Nancy Scott,Fine Arts
2411849,John Ballantine,Economics
2653270,Sally Warner,Environmental Studies
2683097,Casey Rufener,Philosophy
2837317,Sophia Niehaus,French
1435588,Lisa Rourke,English Language & Literature
2026645,Catherine Theobald,French
2071165,Hisae  Fujiwara,Japanese
296819,Silvia Arrom,History
