index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,mandatory,1.0,CHEM11,GOOD RIDDANCE,False,2024-12-15 17:17:35,5.0,A-,1.0,True,False,1.0,Tough grader--Lecture heavy,3.0,0,0,,1428281
1,,5.0,CHEM11,Started this class with effectively no previous chem knowledge and was able to do rlly well by utilizing SI and recitation. RPC are very generous and can change your exam grade by basically an entire letter grade.  ,False,2024-11-23 18:30:20,5.0,A,5.0,True,False,5.0,,3.0,0,0,1.0,1428281
2,non mandatory,2.0,CHEM11A,She was my nightmare for the whole year. ,False,2024-11-19 00:02:28,5.0,,2.0,True,False,2.0,Tough grader--Lecture heavy--Test heavy,3.0,0,0,,1428281
3,,1.0,CHEM11,"Tainting the school & teaching community. Doesn't even have a chemistry degree/background experience. ""My background is in the humanities--my PhD is in Slavic linguistics from Brown--but I would say that teaching is teaching."" No, do not simplify teaching, effective teaching is complex and takes lots of skill that she clearly does not have.",False,2024-09-13 04:07:21,5.0,,1.0,True,False,1.0,Get ready to read--Lecture heavy,3.0,0,0,,1428281
4,mandatory,1.0,CHEM11,"She's pretty good at explaining Chemistry but she is pretty mean. I did ok in the class and was still met with her coldness and guilt-tripping. Studying infringed on all of my time outside class despite having done well on the AP Chemistry test. The one time I went to her office hours, I was spooked away for the rest of the year.",False,2024-09-13 04:06:39,5.0,,1.0,True,False,1.0,Tough grader--Lecture heavy,3.0,0,0,,1428281
5,non mandatory,5.0,CHEM11,"Dr. Novak does an amazing job at teaching chemistry and cares about her students. The lectures and recitations are engaging and clear. You need to put in time and effort to do well in the class, but you will feel like you learned a lot in the end. If you do all the suggested problems and show up to lectures and recitations, you can easily do well. ",False,2024-05-07 00:50:26,4.0,A,5.0,True,False,5.0,EXTRA CREDIT--Amazing lectures --Clear grading criteria,3.0,0,0,1.0,1428281
6,non mandatory,1.0,CHEM11B,"She completely ruined my love for Chemistry. Not only is her class impossibly difficult, she does not explain anything. Rule of thumb, don't take it. ",False,2024-03-19 04:47:55,5.0,B,1.0,True,False,1.0,Tough grader--Lots of homework--Test heavy,3.0,0,0,,1428281
7,non mandatory,1.0,CHEM11,Two glowing 5-star reviews both posted on the exact same day?? Seems pretty convenient. The fact that authentic reviews aren't good enough for Dr. Novack should speak for itself.,False,2024-03-12 01:29:03,5.0,,1.0,True,False,1.0,Tough grader--Lecture heavy--Test heavy,3.0,0,0,,1428281
8,mandatory,5.0,CHEM11A,"Yes, her material is tough but she really cares about her students and genuinely wants us to succeed.",False,2024-02-03 00:58:13,5.0,C+,5.0,True,False,5.0,EXTRA CREDIT--Amazing lectures --Graded by few things,3.0,0,0,1.0,1428281
9,mandatory,5.0,CHEM11A,She is literally the only professor that actually taught me something at Brandeis. She does genuinely care about her students even if she shows it through suggesting a huge amount of preparation for learning topics. Her tests are very difficult but she taught the material very well.,False,2024-02-03 00:52:39,5.0,B+,5.0,True,False,5.0,Tough grader--Get ready to read--EXTRA CREDIT,3.0,0,0,1.0,1428281
10,non mandatory,1.0,CHEM11,"""If you can't explain it simply, you don't understand it well enough."" --Albert Einstein

Enough said",False,2024-01-17 05:15:47,5.0,,1.0,True,False,1.0,Lecture heavy--Test heavy,3.0,0,0,,1428281
11,non mandatory,1.0,CHEM11,"Unlike other professors she very clearly ignores all student feedback during the class and in course evaluations. Her ""teaching methods"" are always inflexible and just based around the same library of comic sans slides and endless calculations. You don't learn science in this course, because all she teaches is math that happens to be used in chem.",False,2023-12-18 18:40:15,5.0,,1.0,True,False,1.0,Tough grader--Test heavy,3.0,0,0,,1428281
