id,name,department
29716,Barrett Hazeltine,Engineering
39579,Matthew Zimmt,Science
15394,William Beeman,Anthropology
29702,Rachel Friedberg,Economics
179559,Wendy Schiller,Political Science
40308,John Tomasi,Political Science
153753,James Morone,Political Science
40481,Brian Hayden,Psychology
188793,Daniel Stupar,Fine Arts
160147,Dietrich Neumann,Architecture
160401,John Stein,Biology
168541,Andy Van Dam,Computer Science
262455,Peter Andreas,Political Science
156494,David Sobel,Social Science
11392,Ken Miller,Science
161161,Gregory Elliott,Sociology
300065,Almeida Onesimo,Philosophy
232504,Tom Banchoff,Mathematics
40324,Allan Bower,Engineering
345187,Richard Stratt,Chemistry
254641,Bernard Reginster,Philosophy
15393,George Borts,Economics
461993,Ravit Reichman,English
297900,Mary Gluck,History
411881,Alan Landman,Mathematics
40298,Carolyn Dean,History
396725,Leonard Tennenhouse,English
40483,Rebecca Burwell,Psychology
163263,Joseph Pucci,Classics
40291,Herve Vanel,Fine Arts
11382,Amy Remensnyder,History
257661,Christoph Rose-Petruck,Chemistry
579791,Jim Egan,English
260218,Lawrence Stanley,English
25652,Justin Broackes,Philosophy
68131,Tracy Breton,English
40322,Alexander Zaslavsky,Engineering
11384,Jan Tullis,Science
641748,ED Tomassi,Music
358721,Roberto Serrano,Economics
165504,Joachim Krueger,Psychology
741325,Stephanie Ravillon,Languages
58795,Philip Gould,English
904803,Ackerman Felicia Nimue,Philosophy
253642,Marida Hollos,Anthropology
40425,Jimmy Xu,Engineering
363144,Mary Carskadon,Psychology
254307,Karl Jacoby,History
550911,Ross Cheit,Political Science
2230639,Daniel Katz,Mathematics
187717,Stephanie Merrim,English
265947,J Muller,History In Art
399857,Vladimir Dobrushkin,Mathematics
936980,Susan Alcock,Classics
153777,Jin Li,Education
892320,Caroline Karp,International Studies
507148,Michael Paradiso,Biology
15395,Catherine Imbriglio,English
177363,Brian Cole,Mathematics
137927,Stephen Foley,English
165506,Phil Brown,Sociology
364175,Susan Bernstein,Literature
325565,Henry Paget,Sociology
365955,Amy Greenwald,Computer Science
647600,Teresa Villa-Ignacio,Literature
156842,Esther Whitfield,Literature
1893319,Richard Bungiro,Biology
298116,Akio Yasuhara,Economics
483154,Dan Abramovich,Mathematics
543654,Annie Wiart,Languages
321775,Michael Vorenberg,History
551403,Coppelia Kahn,English
1783974,John McCaskey,Political Science
940055,Jason Brennan,Political Science
474906,Hilary Silver,Sociology
10402,Timothy Harris,History
603712,Lisa Brocklebank,English
373610,James Valles,Physics
138003,Kerry Smith,History
706807,Susan Harvey,Religion
808672,Seth Rockman,History
119231,Douglas Anderson,Anthropology
555588,Dore Levy,Literature
242064,Lauren Sarat,English
193384,Yuko Jackson,Languages
748928,Corey Brettschneider,Political Science
1415216,Bertram Malle,Psychology
253416,Nomy Arpaly,Philosophy
366346,Evie Lincoln,Art History
393757,Tayhas Palmore,Engineering
555530,Simmons Andrea,Psychology
2041741,Kristie Koski,Chemistry
806719,Sheila Blumstein,Not Specified
901291,Laure Laboureau,Languages
2096035,Ram Singh,Economics
733030,Meera Viswanathan,Literature
551820,Matt Garcia,Ethnic Studies
264057,John Tyler,Education
1600955,Miquel Dorca,Physics
578119,Michael Lysaght,Biology
1723772,Tony Affigne,Ethnic Studies
807964,Robert Self,History
344121,Mary Ann Doane,Film
373892,Antal Jevicki,Physics
417276,Maud Mandel,History
360972,Harold Roth,Religion
445967,Beverly Haviland,Civilization
741326,Naoko Shibusawa,History
1245049,Richard Kent,Mathematics
267861,Jeff Titon,Music
1836610,Stefano Bloch,Humanities
268136,Selma Moss-Ward,Writing
1595014,Sarah Taylor,Biology
841478,Deak Nabers,English
345188,David Sheinberg,Biology
215485,Ruth Simmons,Education
1138408,Elena Festa-Martino,Psychology
1439696,Sarah Delaney,Chemistry
952225,Philip Klein,Computer Science
2708741,Charles Morton,Chemistry
719174,Doug Brown,English
1618418,Josiah Carberry,Design
737593,Mutlu Blasing,English
242979,Wendy Edwards,Fine Arts
361519,Arlene Cole,Music
589148,Rebecca Schneider,Theater
472994,Lung-Hua Hu,Languages
312576,Lynne Debenedette,Languages
565765,Ruti Adler,Languages
2171240,Matthew Mimiaga,Health Science
557893,Arnold Weinstein,Literature
1534714,Lisa Mignone,Classics
628124,Ivo Welch,Economics
307075,Beth Bryan,English
450676,Sanda Golopentia,Languages
890014,Richard Snyder,Political Science
393758,Rod Beresford,Engineering
2938503,David Lowe,Physics
160125,Patrick Heller,Sociology
2534148,Yu-Wen Hsu,Mathematics
560663,Martha Lang,Sociology
746047,Donald Stanford,Computer Science
801741,Matthew McGarrell,Music
1003455,Tamar Katz,English
1099744,Jeffrey Covington,English
799015,Melinda Rabb,English
350011,Dennis Michaud,Sociology
467901,Connie Crawford,Theater
784145,Janet Blume,Engineering
936983,Katharina Galor,Art History
2123886,Bjorn Sandstede,Mathematics
448348,George Landow,English
377319,David Weil,Economics
472644,Brian Evenson,Writing
163938,Robert Pelcovits,Physics
720779,Claude Carey,Literature
444568,Louis Putterman,Economics
551833,Robert Cope,History
292561,Krysta Ryzewski,Anthropology
2192698,Tom Doeppner,Computer Science
814339,Laurel Bestock,Classics
2182051,Dan Hirschman,Sociology
2740122,Kathryn Spoehr,Science
712423,Franco Preparata,Computer Science
698697,Zachary Sng,Languages
1396386,Luther Spoehr,Education
2411354,Yeonjong Shin,Mathematics
2609557,Brenda Rubenstein,Chemistry
1268821,John Hughes,Computer Science
1513791,John Mulligan,English
2876756,Vicki Colvin,Chemistry
766456,Arkady Belozovsky,Languages
795094,Wendy Teo,Classics
1271495,Kenneth Chay,Economics
1346063,Carrie Spearin,Sociology
2271988,Silvia Sobral,Languages
922033,Nancy Luke,Sociology
748689,Peter Gale Nelson,Writing
2019028,Katherine Tate,Political Science
636519,Harvey Silverman,Engineering
1045589,Omur Harmansah,Not Specified
358727,Julio Ortega,Languages
755601,Rick Fleeter,Engineering
1083757,Maria Carkovic,Economics
512845,Sheila Bonde,Art History
954797,Dana Gooley,Music
1198775,Beth Anne Zielinski,Biology
906827,Kenneth Sacks,Classics
361353,Roberto Tamassia,Computer Science
790353,Gerald Diebold,Chemistry
1066267,Steven Reiss,Computer Science
1467084,Kathryn Farris,Writing
1508618,Martha Nichols,Languages
2265229,Alla Hassan,Languages
1982023,Jack  Wright ,Psychology
2599295,Ou Chen,Chemistry
396727,Nancy Armstrong,English
723133,Lynne Joyrich,Film
651001,Michael Harper,Writing
175028,Peter Heywood,Biology
936981,Ross Kraemer,Religion
2321790,Sreemati Mitter,History
1455674,Ziad Bentahar,Languages
2406331,Michiel Van Veldhuizen,Classics
349913,Alexander Levitsky,Languages
395696,Robert Emlen,Not Specified
2255745,Tarik Aougab,Mathematics
1912688,Majida Kargbo,Humanities
579788,Rhoda Flaxman,English
617766,Polly Ulichny,Education
477259,James McClain,History
1743467,Tyson Smith,Sociology
845934,Anna Dunaevsky,Biology
1018627,William Simmons,Not Specified
1627244,Derek Seidman,History
2047557,Jeff Huang,Computer Science
2166318,Paul Valiant,Computer Science
2701885,Malte Schwarzkopf,Computer Science
2040041,Andrew Schrank,Sociology
1028228,Suzanne Stewart-Steinberg,Literature
950026,Jean Feerick,English
1274487,Katherine Dunlop,Philosophy
1246724,Maureen Sigler,Education
814952,James Green,History
1112229,Katherine Demuth,Languages
2389836,Sergio Turner,Economics
2166240,Jeffrey Moser,Art History
2485623,Srinivas Reddy,Religion
1250842,Michael Stewart,English
1626952,Savvas Koushiappas,Physics
3057630,Advay Mansingka,Computer Science
1232403,Ben Wieland,Mathematics
2033087,Eddie Villanueva ,Fine Arts
1218069,Christopher Witmore,Anthropology
2380006,Andrew Peterson,Engineering
2050268,Li-Qiong Wang,Chemistry
1481727,Ian Straughn,Anthropology
1283424,Konstantinos Kornetis,History
1330623,Samuel Zipp,History
1189907,Kenneth Haynes,Classics
2123871,Chi-Ming Hai,Biology
2672494,Michael Woodbury,Mathematics
1657219,David Estlund,Philosophy
2271124,Kenny Breuer,Engineering
1629481,Evangelos Routis,Mathematics
1485588,Chip Lawrence,Mathematics
1033261,Elliott Gorn,History
1932275,David Lowry-Duda,Mathematics
1424866,Minh Luong,International Studies
119229,Shepherd Krech,Anthropology
748688,Michael Gizzi,Writing
805151,Mark Cladis,Religion
1790814,Ian Gonsher,Engineering
2343996,Geoffrey Grossman,Philosophy
1454930,Eunsuk Kim,Chemistry
2166146,Jonathan Readey,English
1099737,Alexander Braverman,Mathematics
2437922,Emily Owens,History
2642666,Anthony Cheung,Music
846459,Mary Fennell,Sociology
1024580,Sharon Swartz,Biology
1049144,Eric Suuberg,Engineering
1933838,Jonathan Conant,History
1381735,Anthony Adams,English
1033631,Jason Zysk,English
1151482,Henry Silva,Economics
1657216,Timothy Herbert,Geology
2406332,Daniel Vaca,Religion
1876429,Eric Shed,Education
561939,Rajiv Vohra,Economics
2371620,Ruth Colwill,Psychology
2033062,Molly Ierulli,Literature
1484650,Robin Phinney,Political Science
793982,Dimitra Politi,Economics
1534106,Richard Maher,Political Science
980052,Gill Frank,History
995426,Ulrich Krotz,Political Science
1884109,Lilia Topouzova,Women's Studies
1679420,Rebecca Molholt,Art History
2561437,Kyung-Suk Kim,Engineering
2586365,Lawrence Larson,Engineering
3030769,Milda Zizyte,Computer Science
2561617,Jeremy Usatine,Mathematics
2832742,Peyam Tabrizian,Mathematics
2864939,Shekhar Pradhan,Computer Science
2896526,Aisling Dugan,Biology
1556497,Amish Trivedi,Writing
2033066,C.D. Wright,Writing
2244342,Ashok Koul,Languages
1351695,Samuel Perry,Ethnic Studies
1402108,Mark Blyth,Political Science
1992214,Dima Amso,Psychology
2377889,Laura Walton,Mathematics
2404350,Kevin Plouffe,Music
334560,Turner Matthew,English
2677694,Bena Tshishiku,Mathematics
2838223,Edith Mathiowitz,Engineering
2429092,Ang Li,Mathematics
2649387,Stephen Kinzer,International Studies
2670843,Raymond Cotton,Computer Science
427483,S Guha,History
2105753,Stefano Bloch,Social Science
1527908,Jeffrey Brock,Mathematics
1549054,Arturo Marquez,Languages
1676890,Susan Gerbi,Biology
1084348,Thomas Webster,Engineering
1110921,Arthur Salomon,Biology
1885259,Timothy Edgar,International Studies
1895566,Marcelo Dias,Engineering
1968395,Courtney Martin,Art History
2010118,Stuart Geman,Mathematics
2033065,Thalia Field,Writing
1415214,Anna Lysyanskaya,Computer Science
2265231,Matthew Talamini,Literature
2349017,Maria Nastasescu,Mathematics
1572508,Gregory House,Medicine
1543628,Mark Johnson,Biology
2159946,Stefanie Tellex,Computer Science
2434197,Cyrus Peterpaul,Mathematics
2406333,Stephen Bush,Religion
