id,name,department
1178693,Rodney McKay,Physics
1538116,Sheldon Cooper,Physics
349680,Nate Lewis,Chemistry
90542,Henry Lester,Science
476502,Ali Hajimiri,Engineering
174347,Yaser Abu-Mostafa,Computer Science
174350,Niles Pierce,Mathematics
174351,Glen George,Computer Science
349673,Sterl Phinney,Physics
60323,David Politzer,Science
1763797,Rajesh Koothrappali,Astronomy
182592,Douglas Rees,Chemistry
839369,Mike Brown,Geology
648329,Alan Weinstein,Physics
1824042,Leonard Hofstadter,Physics
310289,Shuki Bruck,Computer Science
1695459,Bobby Shirani,Engineering
427054,Charles Plott,Economics
429644,Christof Koch,Science
910474,Chris Chambers,Culinary Arts
1970873,nets katz,Mathematics
260490,Zhen-Gang Wang,Engineering
1763822,Howard Wolowitz,Engineering
628171,Brian Stoltz,Chemistry
1037474,Dmitrios Antsos,Engineering
628168,Dominic Murphy,Philosophy
592357,Kathryn Leonard,Mathematics
1164123,S. George Djorgovski,Astronomy
756603,Larry Fleinhardt,Physics
634591,Seymour Benzer,Biology
714698,Jonas Peters,Chemistry
2597154,Amy Farrah Fowler,Biology
2787338,Alison Reinholtz,Biology
820278,John Dabiri,Engineering
1690414,Azita Emami,Engineering
772422,Aron Kuppermann,Chemistry
923459,Michael Cross,Physics
2207089,Shelby Waltman,Information Science
14618,Frances Arnold,Science
1548373,Thomas Neenan,Humanities
811928,Mathieu Desbrun,Computer Science
1992069,Charlie Eppes,Mathematics
1681245,Elena Mantovan,Mathematics
1661728,Kip Thorne,Physics
2110831,Sarah Reisman,Chemistry
1000199,Babak Hassibi,Engineering
1546077,Ritsuko Hirai-Toner,Languages
2604719,Tina Austin,Biology
1495019,Barbara Nova,Psychology
1612850,Gideon Manning,Philosophy
1698269,Anthony Hernandez,Physics
2161521,Samaya Nissanke,Physics
1572840,Julia Greer,Science
1579435,Ahmed Zewail,Chemistry
2129710,Adam Wierman,Computer Science
1165454,Kerry Vahala,Physics
2107048,Elizabeth Abrams,Humanities
1751338,Egill Hauksson,Geology
1621587,Nikolai Makarov,Mathematics
1927545,Barry Kripke,Physics
2964814,Aaron Ames,Engineering
2050518,Ryan Patterson,Physics
2451917,Sadi Ayhan,Physics
2122564,Hannalore Gerling-Dunsmore,Physics
2224836,Steven Low,Engineering
2721098,Phil Isett,Mathematics
2913912,Jeff Mendez,Chemistry
3046875,Adam Blank,Computer Science
1164156,John Pellam,Physics
2019830,Sean Carroll,Physics
2719916,Maria Mateo,Political Science
2722239,Spencer Reid,Criminal Justice
2737053,Archie Shahidullah,Computer Science
2514047,Chandani Patel,Engineering
2530176,Rick Hefner,Engineering
2540565,Bertram Kibbler,Geology
1969936,Diana Kormos-Buchwald,Humanities
2107046,Elizabeth Rich,Humanities
2708439,Yanbei Chen,Physics
2896078,Joanna Li,Physics
3059428,Magdalena Zernicka-Goetz,Biology
3071462,Philip-David Medows,Physics
2160040,Barry Simon,Mathematics
2481985,Justin Bois,Biology
2969516,Anima Anandkumar,Computer Science
