index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,non mandatory,3.0,PHY319,"Intense and brilliant man also very entertaining especially when he starts ranting. Text book was only assigned so he could mock the mistakes. Be prepared to be insulted, a lot.  He is geeky hot (nice shoulders) and has an incredibly hot boyfriend, so you are occasionally treated to some extra eye candy when he stops by at the end of class.",False,2017-03-14 11:01:32,5.0,B+,3.0,False,False,3.0,Tough Grader--SO MANY PAPERS--LECTURE HEAVY,5.0,0,1,1.0,1178693
1,N,1.0,PHYSICS101,"So, I'm not even sure how I got in that class cause I was majoring in animal sciences, but wow, that mans voice. It was my favorite nap time of the day listening to him talk (and yell) for an hour a day. 10/10 would recommend.",False,2014-08-04 15:00:01,5.0,Incomplete,2.0,False,False,2.0,,1.0,2,1,,1178693
2,,4.0,ASTRO116,"Overall he did a good job when I took his class (except when he was trying to explain the Meredith connection, and then he kept bragging about some Air Force stuff that wasn't in the syllabus...)",False,2011-12-09 16:35:37,2.0,,4.0,False,False,4.0,,4.0,0,1,,1178693
3,,3.0,AY229,I don't know how he gets off teaching these classes. His sarcasm in the extragalactic seminar is uncalled for. But I respect his brilliance.,False,2011-12-07 18:12:06,3.0,,3.0,False,False,3.0,,3.0,2,1,,1178693
4,,5.0,ASTR0001,Rodney's car has horrible suspension and automatic transmission.,False,2011-12-07 16:35:54,1.0,,5.0,False,False,5.0,,4.0,1,1,,1178693
5,,4.0,ATLDD56,"Alright, so maybe I was a little distracted in his classes... but really, a lot of his stuff goes way over everyone's heads, though you can tell he's a genius. Will probably give you the tongue lashing of your life if you're late - says textbooks are &quot;moronic and written for babies&quot;. His hot boyfriend comes around a lot too! Worth it!",False,2011-03-17 05:57:33,5.0,,4.0,False,False,4.0,,2.0,0,1,,1178693
6,,1.0,ATLANTIS,"He's either way over my head or he dumbs it down so much that I've come close to hitting him several times. Having the text book nearby would be too much of a temptation to throw it at his head. Despite this, you can't argue with his results. Much.",False,2010-11-26 20:55:27,2.0,,3.0,False,False,2.0,,1.0,0,0,,1178693
7,,3.0,PHYS101,I adored this class.  He was hard but I learned a lot.,False,2010-11-24 00:28:51,5.0,,4.0,False,False,4.0,,3.0,0,2,,1178693
8,,4.0,PHYS101,"Whoa. Absolutely brilliant and horribly abrasive, but totally worth it. But then, I am a masochist anyway.",False,2010-06-28 18:06:38,5.0,,2.0,False,False,3.0,,1.0,0,0,,1178693
9,,3.0,ASPH302,"Very hard class but worth it. McKay is loud and abrasive but also scary smart and GEEKY-HOT. He's demanding and expects you to actually think. It's my belief he only assigned the text book so he could mock it, but his insults can be both cutting and amusing. Definitely not a class for the faint of heart. You will learn...not to ask stupid questions",False,2010-06-19 22:08:58,5.0,,3.0,False,False,3.0,,1.0,0,1,,1178693
10,,1.0,PHYS101,"TERRIFYING. Also, this is supposed to be a 101 class. Kept going on about wormholes&#63; WHAT&#63; Brilliant, but really, intensely frightening & I ended up dropping. That said I still don't know what 90% of the words coming out of his mouth were, but I have the funny impression that they were important.",False,2010-06-04 02:55:48,5.0,,3.0,False,False,2.0,,1.0,0,0,,1178693
11,,3.0,PHYS4002,He is brilliant but terrifying!!  I never missed a class! Hardest class I've ever taken.,False,2010-05-29 01:06:55,4.0,,2.0,False,False,3.0,,2.0,0,0,,1178693
12,,2.0,ASTR4580,Only assigned textbooks to lecture about what was wrong about them.,False,2010-05-04 20:12:19,5.0,,1.0,False,False,2.0,,5.0,0,0,,1178693
13,,1.0,ASPH201,"I have learned a great deal about who and what is wrong in astrophysics. I truly don't understand what is right about it, though.",False,2010-04-12 12:17:49,5.0,,1.0,False,False,1.0,,1.0,0,0,,1178693
14,,3.0,PHYS101,This guys.. pretty weird. He talks on about wormholes and gatestars like they actually exist which was kinda odd. Pretty hot though.,False,2010-04-11 03:53:22,5.0,,3.0,False,False,3.0,,2.0,0,0,,1178693
15,,1.0,PHY101,I Will NEVER ENJOY Astrophysics AGAIN and i'm switching my major to ENGLISH! Take that RODNEY MCKAY!!!!!,False,2010-04-10 11:10:33,5.0,,2.0,False,False,2.0,,1.0,0,0,,1178693
16,,5.0,AST104,"Spent a lot of time talking about wormhole physics and deep space telemetry which is awesome, except the class was supposed to be &quot;Intro to Astronomy for Non Science Majors&quot;. I just pretended he was talking about Star Trek.",False,2010-04-07 11:24:09,5.0,,4.0,False,False,5.0,,3.0,0,0,,1178693
17,,2.0,PHY319,"Most traumatic academic experience of my life. If it weren't a 300-Level class, I'd swear it was a freshmen-weeder.  Only reason I passed was the TA, who handled all of Dr. McKay's office hours and could double as a shrink.  Talk to the TA before taking one of McKay's classes, but you'll definitely learn from the experience.",False,2010-04-07 06:17:50,5.0,,2.0,False,False,2.0,,1.0,0,0,,1178693
18,,3.0,PHYS401,Physics was my world. Now my shrink's office is my refuge.,False,2010-04-03 23:56:46,5.0,,3.0,False,False,3.0,,1.0,0,0,,1178693
19,,2.0,PHYS601,He's more interested in proving how smart he is than actually teaching.  Only take this class if you absolutely must.,False,2010-04-03 15:56:05,5.0,,1.0,False,False,2.0,,1.0,0,0,,1178693
20,,2.0,PHY101,"Hot, smart, mean",False,2010-04-03 09:02:32,5.0,,1.0,False,False,2.0,,1.0,0,0,,1178693
21,,1.0,AY127,"I HATED HIM. He CAN teach; I did learn the material. And he's entertaining when he's insulting his colleagues or TA or the dude next to you, but sooner or later he'll get to you, and if that doesn't make you cry the tests will. And I went to office hours to clarify a reading and he basically said I was inferior to turnips, evolutionarily speaking.",False,2010-04-02 13:46:52,5.0,,1.0,False,False,1.0,,1.0,0,0,,1178693
22,,4.0,ATLA1,"Genius that will put shivers down your spine, incredibly sharp tongued, but I learned a lot. Also exceedingly hot. Never knew being yelled at was a kink before.",False,2010-04-02 11:44:09,5.0,,5.0,False,False,5.0,,1.0,0,0,,1178693
23,,4.0,PHY5500,"My one complaint is that Dr McKay didn't use the textbook he had assigned at all.  In fact, I think that he only assigned it so that he could lambaste it throughout the course.  His lectures themselves come entirely from him, and the man is a genius if a little unskilled at fully getting his point across. Try to get him one-on-one. It's worth it!",False,2010-04-02 10:29:55,4.0,,4.0,False,False,4.0,,1.0,0,0,,1178693
24,,5.0,PHYAS424,"I don't think I'll ever work this hard for a B- again--because I'll never take 1 of his classes again!  But, I'm thinking of changing majors (there's a colonel of truth there somewhere)....",False,2010-02-15 21:27:59,5.0,,2.0,False,False,4.0,,1.0,0,0,,1178693
25,,2.0,PH173,He made my study partner cry.  Three different times.,False,2009-05-03 01:19:25,5.0,,1.0,False,False,2.0,,1.0,0,0,,1178693
26,,3.0,PHY500,"Beast of a man. Can't say I was crazy about having to devote my weekends to learning jillions of equations, but I *did* learn.",False,2008-12-03 21:58:50,5.0,,2.0,False,False,3.0,,4.0,0,0,,1178693
27,,3.0,PHYS001,"He's a genius, and has no problem letting everyone know. But he's pretty fantastic. And really hot.",False,2008-10-30 01:47:55,4.0,,3.0,False,False,3.0,,5.0,0,0,,1178693
28,,3.0,PHYS1200,"Extremely sarcastic, kind of mean. Not hard on the eyes (especially when he had his back to the class).",False,2008-09-20 20:44:42,4.0,,4.0,False,False,4.0,,4.0,0,0,,1178693
29,,1.0,PHY402,"I could hardly understand a word he said, due to his thick Canadian accent.",False,2008-09-19 21:37:22,5.0,,2.0,False,False,2.0,,1.0,0,0,,1178693
30,,3.0,PHY401,"Brilliant, but acerbic.",False,2008-09-19 21:33:25,5.0,,3.0,False,False,3.0,,1.0,0,0,,1178693
31,,5.0,PHYS400,Little on the acerbic side but knows what he's talking about.,False,2008-09-19 16:44:02,4.0,,3.0,False,False,4.0,,2.0,0,0,,1178693
32,,4.0,PHY401,It took me two weeks to emotionally recover from his midterm.,False,2008-09-19 16:38:10,5.0,,2.0,False,False,3.0,,1.0,0,0,,1178693
33,,4.0,PHYSCC,I hear most scientific journals don't even peer review his work because he's such a genius. I'd trust him to the ends of the earth.  I just wouldn't give him a children's show.,False,2008-09-15 23:51:23,5.0,,3.0,False,False,4.0,,1.0,0,0,,1178693
34,,2.0,PHYSCC,"He's very hard on his TAs. He told me &quot;if I wanted you just to grade papers and photocopy, I could train a monkey or build a robot out of spare toaster parts&quot;.",False,2008-09-15 21:00:53,5.0,,3.0,False,False,3.0,,2.0,0,0,,1178693
