id,name,department
44203,Tim Flaherty,Mathematics
2220054,Iliano Cervesato,Computer Science
1179629,David Kosbie,Computer Science
1333482,Gordon Weinberg,Statistics
1342725,Gregory Johnson,Mathematics
1082495,Irina Gheorghiciuc,Mathematics
276590,Greg Kesden,Computer Science
372432,John MacKey,Mathematics
955,Steven Klepper,Economics
25618,David Handron,Mathematics
925299,Lenny Vuocolo,Chemistry
67155,Russ Walker,Mathematics
25619,Tom Sullivan,Engineering
68839,Helmut Vogel,Science
925645,Daniela Mihai,Mathematics
56824,Victor Adamchik,Computer Science
2303266,Christina Bjorndahl,Languages
1549799,David Anderson,Physics
94547,Paul Karol,Science
44201,William Hrusa,Mathematics
1836541,Ricky Law,History
172578,Patrick Sileo,Economics
365762,Paul Steif,Engineering
485205,Tom Cortina,Computer Science
82362,Scott Sandage,History
1748198,Bill Nace,Engineering
1775644,Gizelle Sherwood,Chemistry
1183710,Dale Winter,Mathematics
468269,Stephen Garoff,Physics
892679,Roger Rouse,Humanities
2362136,Brian Railing,Computer Science
2944938,Udita Katugampola,Mathematics
255059,Ernest Schimmerling,Mathematics
154821,Deborah Brandon,Mathematics
344122,Chante Cox-Boyd,Psychology
1981067,Anil Ada,Computer Science
636580,Lynne Pastor,Finance
1476636,Carol Goldburg,Economics
64829,David Rakison,Psychology
17542,Oded Meyer,Mathematics
401032,Kenneth Kotovsky,Psychology
2401787,Robert Calton,English
1224433,Roy Briere,Physics
14690,Kunal Ghosh,Science
136897,Richard Pattis,Computer Science
2047961,Hael Collins,Physics
1682370,John Minden,Biology
1872389,Daniel Brasier,Biology
2412548,Larry Heimann,Computer Science
1760272,Loh Po-Shen,Mathematics
127921,Matthew P. Szudzik,Mathematics
194689,Clayton Merrell,Fine Arts
21628,Jack Schaeffer,Mathematics
331166,Danielle Wetzel,English
256536,Noel Walkington,Mathematics
94550,John Tolle,Mathematics
94548,Milton Cofield,Business
171587,Gordon Rule,Chemistry
2444833,Alexandre Bredikhin,Engineering
860483,Phil Leduc,Engineering
13996,Juan Jorge Schäffer,Mathematics
2541409,Garrett Ervin,Mathematics
192021,Jacobo Carrasquel,Computer Science
672524,Sharon Dilworth,English
66836,Jim Daniels,English
13998,Klaus Sutner,Computer Science
2726596,paolo pedericini,Fine Arts
412514,Bruce Armitage,Chemistry
1493459,David Yaron,Chemistry
328623,Paul Salvador,Engineering
1685094,Agoston Pisztora,Mathematics
127929,Jack Beuth,Engineering
802198,Alessandro Acquisti,Information Science
25700,Randy Pausch,Computer Science
2927321,Dylan Altschuler,Mathematics
194637,Jim Roberts,Computer Science
2412546,Michael Taylor,Computer Science
483963,Frederick Lanni,Biology
2611905,Andrew Newman,Mathematics
68840,Jimmy Zhu,Engineering
481160,Mark Baskinger,Design
17544,John Hayes,Psychology
17543,Naum Kats,History
258357,Michael Rectenwald,English
189827,Howard Choset,Engineering
66841,Hilary Masters,English
246018,Elaine King,Fine Arts
604411,Mark Fichman,Business
649907,Aziz Lookman,Finance
68850,Kristin Hughes,Fine Arts
1452600,George Klein,Physics
1500311,Nico Slate,History
693859,Yoed Rabin,Engineering
263397,Chris Telmer,Finance
1386152,Gautam Iyer,Mathematics
244117,Susan Finger,Engineering
214069,Gary Warnock,Chemistry
64830,Lori Holt,Psychology
827888,David Boevers,Theater
127911,Tim Hoffman,Computer Science
130948,Mark Mentzer,Fine Arts
649389,Edward Barr,Writing
693845,Burak Ozdoganlar,Engineering
1256781,Ananda Gunawardena,Computer Science
776856,Stephen Brookes,Computer Science
942690,Newell Washburn,Chemistry
400206,Robert Swendsen,Physics
999299,Janusz Szczypula,Information Science
2029174,Karen Berntsen,Computer Science
780833,Jan Vairo,Languages
929981,Betsy Lawrence,Music
2412547,Pat Virtue,Computer Science
2754846,Clive Newstead,Mathematics
163500,Gerald Costanzo,English
740847,Dee Briggs,Architecture
95858,Karen Stump,Science
66844,Jane Bernstein,English
2839793,Catherine Evans,English
271546,Yueming Yu,Languages
630331,James Cummings,Mathematics
104673,Stephen Totter,Music
1048276,Onur Kesten,Economics
25699,Mary Weidner,Fine Arts
1691447,Kris Dahl,Engineering
2401782,Kelly Rivers,Computer Science
694128,Kai Gutschow,Architecture
1859165,Jamie Smith,English
82363,Vicki Helgeson,Psychology
2214158,Kody Manke,Psychology
246464,Sharon Carver,Psychology
89475,Steven Rudich,Computer Science
1269233,Dave Feinberg,Computer Science
1145079,Sara Majetich,Physics
2207786,Gloria Silva,Chemistry
14001,David O'Hallaron,Computer Science
1843941,Christopher Sleet,Economics
434703,Robert Page,Music
649388,Artur Dubrawski,Information Science
767217,Lisa Porter,Engineering
962491,Michael Bockstaller,Engineering
1355146,Curtis Meyer,Physics
1536089,Chris Labash,Information Science
22849,Eric Anderson,Fine Arts
680313,Susie Silver,Fine Arts
187915,Sridhar Seetharaman,Engineering
822342,Steve Roehrig,Information Science
2579235,Ryan Sullivan,Chemistry
1482354,Mandy Simons,Philosophy
2186467,Joe Mertz,Information Science
1884979,Bhiksha Raj,Computer Science
1016880,Andrew Johnson,Fine Arts
1968873,Dilsun  Kaynar,Computer Science
127930,Robert F. Sekerka,Physics
849923,Luis Von Ahn,Computer Science
2407404,Brandon Grech,Information Science
361143,Reinhardt Schumacher,Physics
579384,Tianxue Yao,Languages
687136,Diane Shaw,Architecture
2787429,Heidi Wright,English
964935,Ting Chang,Art History
2962702,R. Amzi Jeffs,Mathematics
1413936,Gian luca Clementi,Business
1496056,Andrew Norman,Philosophy
393923,Rebecca May,English
1478443,Rebecca Nugent,Statistics
2486331,John Chin,Political Science
2814031,Anand Ramachandran,Computer Science
250170,Lowell Taylor,Economics
2103757,Neelam Dwivedi,Information Science
773536,Silvia Borzutzky,Political Science
2324004,Joel Smith,Philosophy
2646048,Selman Erol,Economics
67132,Guy Blelloch,Computer Science
1078846,Charles Ettensohn,Biology
2237369,Leman Akoglu,Information Science
2951389,Dylan Quintana,Mathematics
2035033,Phil Campbell,Engineering
2130842,Peter Freeman,Statistics
706930,Jeff Hinkelman,English
1646596,Laurie Eisenberg,History
161511,Patricia Bellan-Gillen,Fine Arts
559490,Paul Eiss,History
2162105,Orkun Karabasoglu,Engineering
2547925,Neranga Fernando,Mathematics
554344,Susan Graul,Chemistry
343644,Howard Seltman,Mathematics
933354,Robert Reid,Engineering
1804409,Boris Bukh,Mathematics
67153,Rami Grossberg,Mathematics
2674132,Ariel Zetlin-Jones,Economics
2875175,Cheng  Li ,Literature
1017088,Ryan O'Donnell,Computer Science
1344306,Robert Heard,Engineering
1634743,Stephen Neeley,Music
2028587,Julie Downs,Social Science
918390,Melissa Ragona,Art History
14000,Alan Kennedy,English
601746,C Fredrick Higgs,Engineering
728764,David Cerniglia,English
1601174,Nicholas Gentry,English
681384,Tim Dawson,English
2178618,Vincent Sokalski,Engineering
553587,Erik Thiessen,Psychology
596365,Kristen Kurland,Architecture
1228235,James Schneider,Engineering
401022,Jeffrey Peterson,Physics
777061,Thomas Werner,Philosophy
1872390,Carrie Doonan,Biology
2726375,Mark Bedillion,Engineering
1385787,David Tungate,Business
1715041,Alison Barth,Biology
182954,Katherine Lynch,History
2552002,Bryan Routledge,Business
1592072,Joachim Groeger,Economics
1037850,Kim Beck,Fine Arts
789267,John Soluri,History
2640167,Diana Haidar,Engineering
1145072,Marlene Behrmann,Psychology
2057809,Joshua Ballew,Mathematics
813456,Barbara MacKenzie-Wood,Theater
537986,Clark Glymour,Philosophy
932980,Mark Stehlik,Computer Science
1646507,Julia Deems,Business
266254,Marc De Graef,Engineering
2255912,James Albertus,Finance
2656815,Fanhui Xu,Mathematics
13268,Charles Newman,Engineering
154825,Annabelle Joseph,Music
1764735,Adam Blank,Computer Science
1257452,Kristina Woods,Physics
881038,Cian McMahon,History
1109044,Burcu Akinci,Engineering
2427217,Ding Zhao,Engineering
687140,Douglas Cooper,Architecture
