index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,non mandatory,1.0,CALC21259,"Pointlessly strict on grading tests and fails to actually teach what is important during lectures.
",False,2024-12-21 06:12:27,4.0,A,1.0,True,False,1.0,Tough grader--Test heavy--Graded by few things,-1.0,0,0,,44203
1,mandatory,3.0,CALC21256,"Flaherty's class is challenging, but the course materials and unstuck study can help. Lectures are tough to follow, but the notes are useful. Exams are hard, but the curve saved the day. Overall, a tough but manageable class.",False,2024-12-19 07:11:16,4.0,B,3.0,True,True,3.0,,-1.0,0,0,1.0,44203
2,non mandatory,1.0,CALC21259,"demon 

bros email response time is longer than the USPS base parcel service time from alaska to uganda (4-6 business weeks)",False,2024-11-25 07:32:31,3.0,A,1.0,True,False,1.0,Tough grader--Test heavy--Graded by few things,-1.0,0,0,,44203
3,non mandatory,1.0,CAL259,"Tell me why he makes the most atrocious, most heinous integrals and derivatives to solve. Tell me why I need to do 30 steps minimum for his tests in a time crunch. ",False,2024-10-07 02:21:40,4.0,Incomplete,1.0,True,False,1.0,Tough grader,-1.0,0,0,,44203
4,non mandatory,5.0,256,"The proof part is much harder than calculation. Overall: good
",False,2024-10-02 06:21:50,3.0,A,5.0,True,False,5.0,Gives good feedback--Caring--Test heavy,3.0,0,0,1.0,44203
5,non mandatory,1.0,CALC21256,"Every was difficult, hw, exams and he claimed the final can only help us then decided to make the final very difficult. please avoid this professor I am basically going to fail the class and he refuses to curve when many people are doing bad ",False,2024-05-01 02:50:22,5.0,D,1.0,True,False,1.0,,-1.0,0,0,,44203
6,non mandatory,1.0,CALC21256,"I was told by several people to not take a class with Flaherty and I did. My biggest regret, I ended up vouchering near the end of the course because there was no curve at when several people did bad/failed. He is honestly near retirement and should not be allowed to teach. The TA's carried the class and its obvious they didnt communicate directly.",False,2024-04-27 04:05:26,5.0,Drop/Withdrawal,1.0,True,False,1.0,Tough grader--Lots of homework--Test heavy,-1.0,0,0,,44203
7,non mandatory,1.0,CALC21256,"Difficult lectures to follow and involve irrelevant proofs. HWs+Practice Exams have good questions; unfortunately, Midterms are far more difficult and sometimes seemingly unrelated. Midterm3 was set for 6 days before the ""optional"" final, defeating its purpose. Unorganized with course material, unapproachable and can be brash in OH. NO CURVE GIVEN.",False,2024-04-25 03:51:09,4.0,Not sure yet,1.0,True,False,1.0,Test heavy--Graded by few things,3.0,0,0,,44203
8,non mandatory,1.0,CALC256,"If you're reading this and you're reading all the bad comments and thinking to yourself ""i think i could still get a good grade,"" please reconsider. This man is an absolute nightmare. I can't stress this enough. His teaching style is archaic at best, and downright incomprehensible at worst. I highly suggest getting taught by another prof.",False,2024-04-16 05:15:00,4.0,Drop/Withdrawal,1.0,False,False,1.0,Tough grader--Lots of homework--Test heavy,-1.0,0,1,,44203
9,non mandatory,1.0,CAL259,My time is too valuable to calculate your 30-term integral. ,False,2023-12-12 20:12:13,3.0,,1.0,True,False,1.0,,3.0,0,1,,44203
