id,name,department
16705,Christopher (Chris) Butler,Mathematics
1869141,Drew Meyer,Chemistry
761267,Rekha Srinivasan,Chemistry
82228,Corbin Covault,Physics
1658282,Harold Connamacher,Computer Science
16802,James Bader,Biology
1158181,Valerie Haywood,Biology
1056661,Terri Contenza,Mathematics
292917,Jennifer Butler,Psychology
60398,Diana Driscoll,Physics
1801385,Giuseppe Strangi,Physics
279869,Chris Fietkiewicz,Computer Science
25392,David Matthiesen,Materials Science
17107,Marshall Leitman,Mathematics
17848,Jane Buder Shapiro,Psychology
844345,Michael Kenney,Chemistry
1672701,Clemens Burda,Chemistry
896710,David Schiraldi,MacRomolecular Science & Eng
49244,Martine Lussier,Economics
2522485,Shitao Yang,Statistics
1478962,Rebecca Benard,Biology
26337,David Gurarie,Mathematics
1085087,Anthony Jack,Philosophy
1267974,Barbara Kuemerle,Biology
1901816,Evren Gurkan-Cavusoglu,Electrical Engineering
324314,Christian Zorman,Electrical Engineering
17847,Mark Meckes,Mathematics
17228,Marc Buchner,Electrical Engineering
1939133,Elizabeth Sell,Mathematics
1743044,Michael Benard,Biology
274723,Heath Demaree,Psychology
1799931,Richard Bachmann,Mechanical Engineering
2633216,Long Tran,Mathematics
626486,Katia Almeida,Anthropology
1997411,Jenny Hawkins,Economics
16730,H. Andy Podgurski,Computer Science
63383,Michael Hurley,Mathematics
2519076,Benjamin Sturtz,Chemistry
16817,Vincenzo Liberatore,Computer Science
75386,Steven Izen,Mathematics
1626731,Nancy Dilulio,Biology
17318,Ayhan Talu,Economics
604825,Robert Spadoni,English
17590,John Blackwell,MacRomolecular Science & Eng
2210448,Alp Sehirlioglu,Materials Science
599287,Mark De Guire,Materials Science
2196125,Ulises Fidalgo,Mathematics
954112,Harsh Mathur,Physics
22922,Anthony Pearson,Chemistry
131374,Hatsuo Ishida,MacRomolecular Science & Eng
17589,David Singer,Mathematics
1622186,Dianne Kube,Biology
526658,Deepak Sarma,Religion
2354474,Erman Ayday,Computer Science
103616,Craig Copi,Physics
781668,Justin Buchler,Political Science
2482745,Fu-Sen Liang,Chemistry
1456001,Michael Parker,English
30543,Vira Chankong,Electrical Engineering
983362,Fey Parrill,Cognitive Science
88372,Joel Langer,Mathematics
1478435,Michael Lewicki,Computer Science
1837551,Gregory Lee,Electrical Engineering
1765018,Vincent Graziano,Mathematics
2003807,Paul Hanson,Anthropology
2121844,Kenneth Gustafson,Biomedical Engineering
2529012,Ronald Loui,Computer Science
2278037,Sarah Bagby,Biology
49258,Sheldon Brodsky,Economics
16820,Gultekin Ozsoyoglu,Computer Science
1860051,Karie Feldman,Sociology
280253,Gary Murphy,Economics
846287,Michael Rabinovich,Computer Science
2519044,Shuai Xu,Computer Science
2538292,Jonathan Ernest,Economics
19039,Lawrence Greksa,Anthropology
417324,Danhong Song,Statistics
302802,Irene Lee,Chemistry
2832423,Dianne Foreback,Computer Science
982146,Walt Sokira,Marketing
16711,Robert Brown,Physics
88483,Colin McLarty,Philosophy
757259,Peter Lagerlof,Materials Science
935633,Peter Thomas,Mathematics
75284,Daniel Saab,Electrical Engineering
337137,Bradley Ricca,English
16717,Francis Merat,Electrical Engineering
16818,Lee Thompson,Psychology
1094837,John Broich,History
1864583,Wanda Strychalski,Mathematics
17599,Glenn Starkman,Physics
2724756,Donald Bellew,Chemistry
21914,Peter Kotelenez,Mathematics
191996,Gary Chottiner,Physics
1007169,Karen Braun,Accounting
1868954,Soumya Ray,Computer Science
2168134,Jesse Berezovsky,Physics
1104419,Mehmet Koyuturk,Computer Science
16819,Richard Drushel,Biology
17529,Kenneth Ledford,History
1211068,Barbara Burgess-Van Aken,English
2008035,Narcisz Fejes,Writing
34953,Donald Feke,Chemical Engineering
2000761,Jason Bradshaw,Engineering
835850,Barbara Clemenson,Management
21912,Patricia Princehouse,Philosophy
16790,M. Cather Simpson,Chemistry
2230028,Roberto Galan,Computer Science
2033357,Leena Chakravarty,Biology
307393,Elizabeth Short,Psychology
1188533,Annie Pecastaings,English
29226,Xiangwu (David) Zeng,Civil Engineering
2125377,Richard Kolacinski,Computer Science
2571392,Orhan Ozguner,Computer Science
2766350,Daniel Izadnegahdar,Computer Science
2410692,Rita Obeid,Psychology
1851025,Lingxing Yao,Mathematics
25177,James Cawley,Materials Science
63731,Behnam Malakooti,Electrical Engineering
1473984,Weihong Guo,Mathematics
394381,Robert Greene,Psychology
948043,Ramez Islambouli,Modern Languages
75384,Yoshiko Kishi,Modern Languages
2295239,James Gilmore,Management
1710320,Michael Pollino,Civil Engineering
37092,Renee Sentilles,History
2746493,Hiren Patel,Physics
1575174,Deborah Harris,Biology
17816,Robin Dubin,Economics
2543626,Matthew Williams,Biomedical Engineering
17741,Fabienne Haymore,Modern Languages
194456,Melvyn Goldstein,Anthropology
17580,Randall Beer,Computer Science
16832,Z. Meral Ozsoyoglu,Computer Science
2291844,Daniel Shoag,Economics
1379275,Clara Lipszyc-Arroyo,Modern Languages
796230,Daniel Oldham,Computer Science
17578,Guo-Qiang Zhang,Computer Science
618705,Kelly McMann,Political Science
16516,Charles Rosenblatt,Physics
34707,Todd Oakley,Cognitive Science
1898712,Roman Sheremeta,Economics
2295282,James Newlin,English
2931100,Darshika Jauhari,Engineering
206559,Kenneth Kowalski,Physics
436679,Juliet Kostritsky,Law
2422015,Anthony Wexler,English
1075413,Jim Bernard,History
1708236,Patricia Williamson,Statistics
1917317,Lindsay Malone,Nutrition
2121404,Melissa Carlisle,Accounting
689213,Rameen Aryana,Chemistry
1766322,Alethea Barbaro,Mathematics
88481,Chin-Tai Kim,Philosophy
88771,Kathryn Lavelle,Political Science
277335,Cynthia Beall,Anthropology
1509394,Efstathios Karathanasis,Biomedical Engineering
25011,Kenneth Loparo,Electrical Engineering
2619996,Pup Horst,Mathematics
64706,William Deal,Cognitive Science
356273,Susan Case,Organizational Behavior
846293,Jing Li,Computer Science
2283334,Heidi Blakeway-Phillips,Accounting
261917,Michael Zagorski,Chemistry
509307,Enno Lohmeyer,Modern Languages
799340,Kristine Kelly,English
1576147,Eric Chilton,English
2425127,An Wang,Computer Science
70356,Peter McCall,Geology
984126,Steven Hostler,Mechanical Engineering
1424154,John Flores,History
677845,Pete Moore,Political Science
274726,James Burgess,Chemistry
126641,Gillian Weiss,History
415645,Ronald Cechner,Medicine
49248,Julie Exline,Psychology
2402033,Heather Hurwitz,Sociology
1445979,Jeremy Bendik-Keymer,Philosophy
2656355,Jose Olavarria,Finance
507682,Daniel Lacks,Chemical Engineering
17584,Margaret Fitzgerald,Modern Languages
2198179,Luke Reader,English
1439904,Pedram Mohseni,Electrical Engineering
1863967,Julia Dobrosotskaya,Mathematics
