id,name,department
411442,Philip Flower,Physics & Astronomy
1197364,Nora Espinoza,Biology
877511,Stephen Schvaneveldt,Chemistry
737550,Dennis Taylor,Chemistry
460011,Robert Kosinski,Biology
348062,Amy Pope,Physics
431205,John Coggeshall,Anthropology
333436,"Edwin Brainerd, Jr.",Psychology
903078,Jason Brown,Physics
876875,Jo Anne Jorgensen,Psychology
1575126,Alan Coulson,Geology
276365,Marianne Glaser,Communication
262425,Christine Minor,Biology
81635,Allen Swords,English
831836,Sara Yoder,Management
1608951,Thomas Hickman,Chemistry
756882,John Cummings,Biology
1189215,Karen Pressprich,Chemistry
214252,Erwin Walker,Mathematics
1201066,Amanda Fine,Marketing
1226030,David Foltz,English
2599981,Vivian Ezeh,Chemistry
1494789,Jacob Schroeder,Chemistry
683837,Allen Guest,Mathematics
1269079,Lih-Sin The,Physics & Astronomy
198228,Timothy Parrott,Mathematics
1846530,Tania Houjeiry,Chemistry
2192145,Andrew Mannheimer,Sociology
1050355,Bruce King,Psychology
2074021,Eric Stephens,English
252584,Tim Teitloff,Mathematics
370273,Steven Marks,History
351901,Eddie Smith,Communication
1884778,Leland Fecher,Communication
887440,Rhett Smith,Chemistry
557370,James Gaubert,Marketing
479911,Heather Batt,Science
527171,David Stegall,Philosophy
2069292,Shannon McDonough,Sociology
2391301,Jo Jorgenson,Psychology
1919325,Hope Parnell,Management
19586,Cathy Kittelstad,Computer Science
237763,Marion Hanna,Mathematics
801742,Sam Sparace,Biology
1748283,Kate Tsai,Genetics
1626348,Carter McElveen,Marketing
104596,Daniel Benjamin,Economics
50361,Terri Johnson,Mathematics
1750705,Olt Geiculescu,Chemistry
130844,Shari Prevost,Mathematics
171738,Rose Lowe,Computer Science
214241,Lee Morrissey,English
148718,Dave Woodard,Political Science
283396,Ric Garcia,Biology
1639245,Salvatore (Sam) Sparace,Biology
426505,Irina Viktorova,Mathematics
557034,Claudio Cantalupo,Psychology
218823,Mary Taylor,Psychology
1604181,Modi Wetzler,Chemistry
2599972,Donna Weinbrenner,Biology
199172,Richard Saunders,History
1562890,Frederick Hanssen,Economics
490088,Eugenia Ciocan,Physics
614288,Julie Lassiter,Mathematics
371246,Donna Simms,Mathematics
775109,Ramon Franklin,Finance
2059119,Elliot Ennis,Chemistry
2588754,Emily Scribner,Geology
557372,Jack Wolf,Finance
369544,William Surver,Biology
766317,Elizabeth Stansell,English
2685530,Marjie Britz,Criminal Justice
590248,Ralph Welsh,Public Health
1850800,Pooja Puneet,Physics
260913,Pam Alley,Psychology
198214,Kenneth Rillings,Chemistry
2639809,Ashlyn Smith,Chemistry
1850809,Dylan Dittrich-Reed,Biology
1354458,Kalan Ickes,Biology
2838776,Beena Thomas,Chemistry
2512553,Virginia Abernathy,Biology
1255257,Eric McKibben,Psychology
353558,Tamara McNutt-Scott,Biology
2374936,MyCia Cox,Chemistry
1533663,Megan MacAlystre,English
371614,Alan Grubb,History
598064,Rose Martinez-Dawson,Mathematics
469678,Judith McKnew,Mathematics
518192,Jeffrey McMillan,Accounting
533470,Russell Madray,Accounting
905992,Peter Cohen,Religion
1077893,Jennifer Holland,Sociology
1645877,Kristi Whitehead,Microbiology
1390230,Krista Rudolph,Microbiology
2728886,James Wallner,Political Science
11224,Marvin Doerr,Science
392337,Pamela Mack,Social Science
1094516,Steven Brandon,Engineering
313495,Ben Staufeneger,Mathematics
1722074,Minory Nammouz,Environment
716122,Jennifer Newton,Mathematics
374327,Beth Stephan,Engineering
1283748,Melissa Sternhagen,Civil Engineering
2297203,Phebian Davis-Culler,Accounting
617519,Rick Blob,Biology
2233281,Emily McCorkle,Accounting
446659,Scott Harris,Languages
372917,Beth Novick,Mathematics
2772927,Keisha Mitchell,Psychology
2746804,Dirk Roskam,Management
171757,Bill Reid,Electrical Engineering
1954937,Bill Tumblin,Business
1941992,Ryan Toole,Management
2515663,Nathan Redding,Biology
474238,June Pilcher,Psychology
1056502,Amy Sawyer,Languages
1166136,Lydia Schleifer,Accounting
379307,Sherry Biggers,Mathematics
2726948,Trey Williams,Chemistry
155373,Thomas Oberdan,Philosophy
922303,James Jefferies,History
586841,Virginia Ward-Vaughn,Law
392322,Scott Brame,Science
379309,Lance Howard,Geography
2082722,Vanessa Condon,Communication
1493553,Jennifer Hanna,Mathematics
2087729,Christopher Plaue,Computer Science
1857783,Philip Maiberger,Accounting
442959,Janet Leblanc,Art History
482335,Gray Dean,Geology
528650,James M. Burns,History
1937674,Cynthia Pury,Psychology
522083,Peggy Tyler,Psychology
2194850,Princess Cox,Chemistry
2516652,David Connick,Physics
1220277,Ralph Allen,Economics
303969,Patrick Raymark,Psychology
171744,William Park,Engineering
433797,Rick Tyrrell,Psychology
563754,Scott Baier,Economics
754463,Pitsa Johnson,Accounting
1798273,Shari Rodriguez,Biology
721311,Amy Monaghan,English
922307,Zeynep Taydas,Political Science
2521627,Svetlana Drachova,Computer Science
1053755,Lisa Rapaport,Anthropology
597161,Richard Dubsky,Statistics
2407450,Anna Marie Vagnozzi,Mathematics
1785304,Renea Hardwick,Biology
614661,Judith Cottingham,Mathematics
255767,Marilyn Reba,Mathematics
1385048,Shihwei Chao,Mathematics
2197759,Bradley Hobbs,Economics
2592570,Tara Trask,Political Science
1612043,Richard Pak,Psychology
78049,Jeff Appling,Chemistry
284683,Bill Stanton,English
391927,Robin Kowalski,Psychology
2718406,Ramon Lopez,Political Science
8592,John Harris,Finance
829815,Phil Roth,Management
1639986,Lih-Sin The,Physics
1780550,Melva Persico,Languages
379211,Cathy Robison,Languages
2526142,Chad Mangum,Mathematics
1241956,John Pursley,English
610159,Kerri McMillan,Finance
2947180,David Sturkey,Marketing
499104,Brian Bolt,Agriculture
1982679,Yvon Feaster,Computer Science
710210,Suzanne Ellenberger,Chemistry
754154,Margaret Britz,Sociology
1748934,Annieka Philo,Accounting
76296,Jennifer Lavare,Mathematics
2786850,Eben Williams,Languages
1646325,Sarah Cooper,English
1011202,Barbara Lewis,Chemistry
2182239,William McWhorter,Chemistry
426501,Bob Nowack,Engineering
1185748,Fred Switzer,Psychology
742091,Laura Shick,Mathematics
898364,Nighat Yasmin,Engineering
434000,Maryann Prater,Accounting
402148,Sandra Hedetniemi,Computer Science
1467942,Robert Stephens,Religion
815990,Carl Baum,Electrical Engineering
153258,Gretchen Matthews,Mathematics
385898,Roy Pargas,Computer Science
371616,Adam Warber,Political Science
1486773,Jonathan Maier,Engineering
173447,Caroline Parsons,Communication
2415640,Nicolas Widman,Computer Science
329974,Melanie Cooper,Chemistry
2639127,David Costanzo,Mathematics
399179,Allison Stoddard,Mathematics
1741396,James Jeffries,History
2318718,Chelsea Clarey,English
1866460,Terry Knause,Accounting
2187352,Laura Lanni,Chemistry
2361632,Mary Fidler,Geology
745257,Chuck Thomas,Economics
529339,Bruce Ransom,Political Science
497584,William Wentworth,Sociology
2185434,Edyta Kuzian,Philosophy
1997260,Sofya  Alekseeva,Mathematics
2536849,José Luis Ortiz-Rosario,Languages
752325,Jeff Fine,Political Science
1274607,Shiou-Jyh Hwu,Chemistry
1675885,Ellory Schmucker,Languages
1493355,Beth Anne Lauritis,Art History
383845,Brent Igo,Education
2720683,Abdul Mahama,Mathematics
2278289,James Plampin,Chemistry
497421,Stephen Hubbard,Electrical Engineering
2650136,Fiona Guo,Mathematics
1888956,Katherine Curtis,Political Science
1941410,Sarah Sanborn,Psychology
283936,Lois Krause,Science
1928226,Lucian Ghita,English
544917,Jim Peterson,Mathematics
2721160,Jenny Presgraves,Political Science
2207463,Brett Patterson,Religion
504979,Daniel Smith,Languages
1199174,William Pulley,English
2815115,Sooyun Choi,Chemistry
514887,John Minor,Engineering
2055055,Andrew Neptune,Engineering
805925,John Hains,Biology
1388306,William Terry,Geography
1049340,Caroline Dunn,History
1123666,Meredith Morris,EPIC
544914,Mark Cawood,Mathematics
1161849,Rhea Jacobus,Music
2407557,Daniel Garcia Vieyra,Languages
274425,Bill Pennington,Chemistry
2204646,Carolyn Coffman,Sociology
546133,Stephen Satris,Philosophy
2490556,Ashley Pikel,Communication
1062738,Julia Kerrigan,Plant & Environmental Sciences
2822686,Mary Gibson,Accounting
922655,Matthew Crosston,Political Science
558127,Carol Collins,Theater
155374,Kelly Smith,Philosophy
1175808,Jennifer Van Dyken,Mathematics
1766771,Zachary Leffakis,Management
726533,Jonathan Beecher Field,English
889727,Vladimir Matic,Political Science
1574004,Brian Dean,Computer Science
524145,Chanseok Park,Mathematics
11225,Dev Arya,Chemistry
2751595,Andrew Baker,History
1506181,Brandon Turner,Political Science
374858,Edwin M. Moise,History
2923271,Chandler Goldman,Biology
1001471,Deborah Falta,Health Science
1217580,Michael Sehorn,Biology
374332,Donald Fairbairn,Mathematics
2712034,Stephen Phillips,Political Science
1492731,William Stockton,English
534634,Cindy Davis,Mathematics
791762,Molly Espey,Economics
2330256,Melissa Makala,English
2846711,Lisa Papenfus,Marketing
140768,Brian Malloy,Computer Science
1798155,Michael Burr,Mathematics
462247,Rita Haliena,Not Specified
2674806,Terrence Jewell,Economics
594954,Phillip Randall,English
2152609,Tony Nguyen,Mathematics
455161,Mark Spede,Music
499211,Chris Pagano,Psychology
496983,John Saylor,Engineering
596779,Daniel Galvin,English
487303,Minerva Rios-Adams,Mathematics
2042655,Sergey Charnyi,Mathematics
1854845,Anastasia Thyroff,Marketing
2829817,Andy Weaver,Accounting
364836,Brian Melloy,Engineering
888544,Tom Zagenczyk,Business
2631275,Omar Amer,Civil Engineering
395872,Wayne Goddard,Computer Science
1915387,Andrew Mathas,English
2440311,Tareva Johnson,English
2437040,Marshall Covert,Communication
2483730,Robert Carey,Political Science
2626070,Todd Lyda,Genetics
595815,Russ Purvis,Management
2095055,Debra Williamson,Languages
766536,Harrison Kisner,Sociology
685306,Xiaobo Hu,Political Science
2002383,Zenia Valderramos,Languages
234984,Jesse Moore,Marketing
604201,Lee J. Ferrell,Languages
1911671,Matt Miller,Engineering
496976,Sherrill Biggers,Engineering
2836938,Ribqah Walker,Communication
974594,Joseph Stewart,Political Science
478054,Alton Brant,Languages
2168386,Stephen Peele,Mathematics
1883780,Brandon Lockhart,Finance
1119703,Maureen Zamora,Languages
1355129,Stephanie Southworth,Sociology
370254,David Barrett,Education
2547030,Josh Harris,Finance
2726476,Suzanna Tremblay,Anthropology
367643,Micheal Spivey,Finance
2096429,Jonathan Ernest,Economics
729354,Sean O'Connor,Chemistry
1510577,Ashley Childers,Engineering
1276268,Aron Tannenbaum,Political Science
1437549,Christopher Norfolk,Engineering
1896343,Meredith Burr,Mathematics
1852457,April Pelt,English
490793,Patrick Sterling,Computer Science
1197429,Heidi Montes,Languages
2562313,Lawrence (Reed) Watson,Economics
382950,Neil Calkin,Mathematics
494301,Francis Edwards,Law
1799405,Kyle Anderson,Accounting
1169517,Abel Bartley,History
2042229,Ryan Grove,Mathematics
2427568,Alexander Billinis,Political Science
2556308,Lisa Wagner,Biology
2575118,Michael Vassalos,Agriculture
2745358,Jonathan Leganza,Economics
370290,Christa Smith,Geography
1974712,Caitlin Baker,Communication
2131197,Adam Gies,Philosophy
2636371,Briana Pocratsky,Social Science
1950285,Ava Kreider Mueller,Chemistry
2358774,David Markus,Anthropology
401384,Kelly Lauridsen,Communication
470224,Matthew Saltzman,Mathematics
1634347,David Conley,Music
1753469,Karen Kettnich,English
493692,Laura Olson,Political Science
2746035,Seth Watkins,Mathematics
518872,Michael Childress,Biology
836452,Paul Joseph,Engineering
1279020,Patrick Warren,Economics
1997788,Steven Miller,Political Science
349610,Barbara Ramirez,English
633446,Casey Berkshire,Education
1053454,Sarah Stoll Watt,Languages
2888253,Atoosa Amirtash,Finance
349602,Michael Silvestri,History
840338,Elena Mikhailova,Not Specified
780003,Lynn Childress,English
595807,Tina Robbins,Management
2942996,David Moulton,Biology
21705,John Smith,English
1049241,Marian Kennedy,Engineering
1364618,Melody Shirley,English
1762800,Ricardo Tremolada,Languages
2338627,Kenneth Toussaint,Law
2757142,Megan Novak,Biology
2817008,Alexandra Adkins,Computer Science
3036015,Aimee Deconinck,Biology
2253839,Ana Miller,Languages
533417,Mark Smotherman,Computer Science
746896,Monica Rojas de Massai,Languages
751256,Christopher Grau,Philosophy
595812,Lawrence Clark,Accounting
2586378,Julie Grant,Accounting
2611850,Cassandra May,Biology
558129,Liliana Hernandez,Languages
1103184,Shannon Robert,Theater
506219,Michael Morris,Political Science
50844,Elizabeth Carney,History
502252,Yanming An,Languages
1781398,Jacob Sorber,Computer Science
2941540,Thomas Smythe,Finance
998548,Andrew Hurley,Science
276617,Stuart Silvers,Philosophy
528102,Jean Dickey,Biology
934544,Candy Leuck,Accounting
2728357,Brad Scott,Mathematics
12569,David P. Jacobs,Computer Science
155375,Kevin James,Mathematics
372509,Alan Winters,Accounting
498821,Jim Morris,Biochemistry
1775318,Donald Hagan,Biology
402402,Paul Anderson,History
516053,Eric Skaar,Engineering
2330262,Stephanie Morris,Languages
2455337,Nantsoina Ramiharimanana,Mathematics
2512292,Yezid Flores,Languages
401757,Ray Barfield,English
2525191,Angel Carreras-Jusino,Mathematics
2637516,Michael Harris,Biology
497427,Anthony Martin,Engineering
813028,Fivos Drymiotis,Physics
2827617,Dan Wooster,Computer Science
2637654,Michael Waldrop,Engineering
750591,Alexis Zachary,Communication
835497,Jeong-Rock Yoon,Mathematics
1568157,Raquel Anido,Languages
2649340,Arash Dayani,Finance
484955,Joseph Mai,Languages
1237840,Dominic Mastroianni,English
2564447,William DiNardo,Business
2425741,Janice Lanham,Nursing
