id,name,department
369124,Mark Seger,Chemistry
1079719,Christian Shorey,Geology
562529,Terry Bridgman,Mathematics
183467,Scott Strong,Mathematics
2739439,Kristoph Kinzli,Engineering
1449133,Scott Houser,Economics
1180595,Holly Eklund,Mathematics
95958,Ravel Ammerman,Engineering
2655816,Amelia Read,Computer Science
1200663,Charles (Chuck) Stone,Physics
1927804,Christopher Painter-Wakefield,Computer Science
1967091,Angela Sower,Chemistry
1836540,Christian Westhof,Mathematics
268717,Gus Grievel,Mathematics
369122,Todd Ruskell,Physics
2192617,Gerald Bourne,Science
1266126,Jennifer Strong,Mathematics
2751695,Mona El Helbawy,Engineering
1403422,Patrick Kohl,Physics
1769709,Renee Falconer,Not Specified
2387614,Neil Dantam,Computer Science
1873651,Hongyan Liu,Engineering
1035675,Mark Eberhart,Chemistry
1852559,Kristine Callan,Physics
1777170,Michael (Mike) Nicholas,Mathematics
1295654,Rodney Switzer,Mathematics
2219803,Michael Barankin,Chemical Engineering
1077503,Alex Flournoy,Physics
2087258,Mohammed Hadi,Engineering
1120049,Jane Walker,Mathematics
1927674,Becky Lafrancois,Economics
2399429,Hisham Sager,Engineering
1071882,Vince Kuo,Physics
2223432,Jeffrey Paone,Computer Science
1833069,Rebecca Swanson,Mathematics
2426611,Adam Duran,Engineering
2087702,Mike Mikucki,Mathematics
2239477,Oyvind Nilsen,Engineering
1725510,Andres Guerra,Engineering
2193651,Chris Coulston,Engineering
1746962,Deb Carney,Mathematics
122409,John Stermole,Economics & Business
2769171,Joshua Koubek,Chemistry
195625,David Marr,Chemical Engineering
1493162,Keith Hellman,Computer Science
1779400,Rachel Morrish,Chemical Engineering
1859118,Joseph Horan,Liberal Arts
860440,Manohar Arora,Engineering
2276708,Holly Wenham,Mathematics
1836646,Susan Reynolds,Engineering
2298908,Alan Steven Sellinger,Chemical Engineering
1888998,Abby Johnson,Mathematics
1716458,Jeffrey Holley,Engineering
2280065,Mark Baldwin,Computer Science
1449821,Tracy Gardner,Chemical Engineering
90150,Tracy Camp,Computer Science
341020,Dan Knauss,Chemistry
2379248,Wendy Fisher,Computer Science
122410,Paul Martin,Mathematics
1953162,Derrick Rodriguez,Engineering
1658873,Derrick Hudson,Liberal Arts
1304488,QI Han,Computer Science
2423338,Amanda Jameer,Chemistry
1058523,Ray Zhang,Engineering
102647,Cyndi Rader,Computer Science
1763027,Allison Caster,Chemistry
1506067,Agata Dean,Mathematics
2368087,Jay Straker,Humanities
1928120,Joshua Ramey,Biology
1350445,Dedi Sadagori,Design
2696517,Jonathan Evans,Computer Science
696106,Rose Pass,Humanities
1664007,Vihbuti Dave,Engineering
1203905,Paula Farca,Humanities
332836,Carol Job,Mathematics
2418802,Kelly Rickey,Engineering
1817216,Stephen Pankavich,Mathematics
453250,Dinesh Mehta,Computer Science
1361523,Laura Heller,International Studies
1842976,Mirna Mattjik,Design
659197,Dennis Ott,Mathematics
2169342,Shubham Vyas,Chemistry
2848344,Ian Mitscher,Mathematics
2478055,Laith Haddad,Physics
2513148,Jonathan Miorelli,Chemistry
1664103,Eric Thaler,Mathematics
2232392,John Griesmer,Mathematics
1476743,Seth Tucker,Writing
358499,William Hereman,Mathematics
1674994,Kathleen Hancock,International Studies
2256564,Ventzi Karaivanov,Engineering
90270,Roman Tankelevich,Computer Science
2538722,Emily Smith,Physics
2361548,Mansur Ermila,Engineering
2895102,Michael McGuirk,Chemistry
1998538,Eric Siegel,Liberal Arts
2122820,Justin Latici,Liberal Arts
2959219,Kayla Johnson,Mathematics
694464,Hussein Amery,History
1447204,Yong Bakos,Mathematical and Computer Sci.
2205514,Andrew Pederson,Economics
2350157,Shannon Leone,Humanities
1112056,Rich Levine,Law
369466,Scott Cowley,Chemistry
2826383,Tyler Johnson,Mathematics
979474,Ellie Blair,Mathematics
1829604,Stephanie Claussen,Engineering
2287864,Ashlyn Munson,Mathematics
2836947,Sean Farell,Mathematics
1945393,Dejun Yang,Computer Science
205887,Frank Kowalski,Physics
245770,David Flammer,Physics
2298910,Jason Ganley,Chemical Engineering
2639897,Phillip Romig,Computer Science
640746,Ted Smathers,Design
2482436,James Wong,Engineering
1813805,Jenifer Blacklock,Engineering
2126365,Steven DeCaluwe,Engineering
829002,Robert Knecht,Engineering
2454560,Justin Shaffer,Biology
1440987,Lincoln Carr,Physics
2244607,Abd Arkadan,Engineering
1372108,Brian Lehman,Mathematics
2475344,Chelsea Panos,Engineering
1130947,John Jechura,Chemical Engineering
2441249,Donna Bodeau,Engineering
2140664,Mark Jensen,Chemistry
201839,Nathan Palmer,Mathematics
829006,Brad Herrick,Chemistry
369123,Teri Woodington,Mathematics
1518188,James Jesudason,Political Science
1979359,Stephen Molinari,Mathematics
2562002,Leslie Lamberson,Engineering
2743485,Mairead Case,Humanities
2983832,Karen Gupta,Engineering
1562974,Judith Schoonmaker,Biology
860434,Neal Sullivan,Engineering
2682536,Anna Angeli,Humanities
2588692,Susanta Sarkar,Physics
1741938,Michael Bowen,Liberal Arts
2535078,Danica Roth,Geology
2001560,Hua Wang,Computer Science
2926265,Drew Cornmesser,Computer Science
2185561,Bethany Wilcox,Physics
482372,Barbara Moskal,Mathematics
2459348,Diego Gualdron,Chemical Engineering
2807517,Matthew Musso,Geology
1223481,Jim Studholme,Writing
1445195,Bernard Bialecki,Mathematical and Computer Sci.
2714784,Alan Von Herman,Mathematics
3027640,Yiyan Li,Engineering
2302532,Mary Wetzel,Design
2356609,Jeffrey Ackerman,Engineering
2732678,Suzy Beeler,Chemical Engineering
2751635,Daisy Philtron,Mathematics
2788016,Sydney Slouka,Engineering
2738776,Melissa Erdmann,Mathematics
2936830,Camilla Raymond,Religion
2057403,Gregory Jackson,Engineering
1449135,Robert Klimek,Music
1593091,Robert Racicot,Chemistry
1886213,Rachel Osgood,Liberal Arts
2030725,Tim Ohno,Physics
1131859,Ramona Graves,Engineering
2639876,Stephanie Prahl,Mathematics
2457524,Piret Plink-Bjorklund,Geology
2638795,Peter Aaen,Engineering
2959590,Megan Moyer,Chemistry
1714718,Jeff Schowalter,Engineering
