index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,mandatory,2.0,CHGN209,"Seger's grading on exams was so slow to the point where we did not receive grades from our third midterm prior to taking the final, leaving us guessing at our grades before taking this exam. He created a hostile environment for the asking and answering of questions. He is passionate about the material, but teaches the class ineffectively.",False,2020-12-16 00:05:26,4.0,,2.0,True,False,2.0,Skip class? You won't pass.--Lecture heavy--Tough grader,0.0,0,0,0.0,369124
1,mandatory,5.0,CHGN209,"Msrk Seger is a real gem. He makes lectures fun and explains in a way that makes concepts easy. I loved taking thermo with him, although he did take a long time to return our exams. He always helped students whenever he could and it seemed like he was passionate in teaching. I wish all professors could be more like him.",False,2020-01-20 22:35:57,4.0,A,5.0,True,False,5.0,Accessible outside class--Amazing lectures--Caring,5.0,0,0,1.0,369124
2,mandatory,5.0,CHGN209,"Dr. Seger is a great professor for Intro to Chemical Thermodynamics. He is lecture centered, and has fun demos. He is a tough grader but he is very accessible for any questions you may have. Great Guy!",False,2019-12-17 20:24:28,4.0,,5.0,True,False,5.0,Test heavy--Amazing lectures--Tough grader,0.0,0,0,1.0,369124
3,,4.0,CHEM121,"I wouldn't be surprised if Dr. Seger was a wizard in a past life. A really interesting character. His lectures can be fun, but will sometimes go off on tangents, which don't get me wrong, is still interesting. Love the in class experiments/demonstrations too. You can catch him in the classroom, office hours, or outside smoking a dart.",False,2019-06-25 16:19:39,4.0,,4.0,True,False,4.0,Lots of homework--Hilarious--EXTRA CREDIT,5.0,0,0,1.0,369124
4,mandatory,5.0,CHGN122,This man knows everything.,False,2019-04-09 02:41:56,3.0,A,5.0,True,False,5.0,Gives good feedback--Accessible outside class--Amazing lectures,5.0,0,0,1.0,369124
5,mandatory,4.0,CHGN209,"Seger is a bit disorganized but is very knowledgeable. He does a good job of doing exam reviews and explaining concepts that you are confused about. His exams can be a mixed bag of easy and &quot;What even was that exam?&quot; so it can be hard to predict how you will do, but if you go to class/do all the homework you will be fine in any of his classes.",False,2019-04-03 22:07:01,4.0,,4.0,True,False,4.0,Accessible outside class--Lecture heavy,0.0,0,1,1.0,369124
6,,3.0,CHEM121,"Can tend to drift away from the point which I struggled with. However, his demos were helpful and he had plenty of review sessions. Just sometimes difficult to focus during the lectures.",False,2019-01-08 04:18:32,3.0,B,3.0,True,False,3.0,,5.0,0,0,1.0,369124
7,mandatory,4.0,CHEM101,"Unfocused or unclear at times, but overall solid. Explicitly states what's necessary to know for exams and final and gives you resources to succeed. Probably need to grab a textbook to supplement lectures, though, as he doesnt always explain things terrifically. Has neat in-class demos of concepts and experiments that are interesting",False,2018-12-12 07:03:22,4.0,Not sure yet,4.0,True,False,4.0,Respected--Skip class? You won't pass.--Caring,5.0,0,0,1.0,369124
8,,5.0,CHGN122,"Fantastic professor. His lectures can be a bit dull and scattered, but he's very invested in ensuring that his students have the ability to succeed. He holds about 3 review sessions before each exam, which is extremely helpful, and is great at answering questions. Very student oriented. The textbook was not required, but I found it helpful.",False,2018-11-24 17:33:30,4.0,,5.0,True,False,5.0,ACCESSIBLE OUTSIDE CLASS--Caring--LECTURE HEAVY,5.0,0,1,1.0,369124
9,mandatory,5.0,CHEM121,Seger is a really nice guy and is passionate about what he is teaching. I'm glad I took him. One piece of advice is don't buy a textbook unless you really think it will help. We don't use them at all in class,False,2018-11-12 13:44:41,3.0,A-,5.0,True,False,5.0,LOTS OF HOMEWORK--Caring,0.0,0,0,1.0,369124
