id,name,department
1482580,Ted Mosby,Architecture
838456,Umber Hanlon,Architecture
2775648,Yongwhan Lim,Computer Science
1913851,Colin Mullins,Arts & Humanities
1084340,Christina Araujo,Nursing
2028091,Claire  Catenaccio,Classics
2838376,Alberto Botter,Mathematics
534980,Andrea Bubula,Economics
718899,P Conti,Writing
2192193,David Siegel,International Studies
174751,Nicholas De Genova,Anthropology
1912223,Florina Altshiler,Law
398827,Joseph Massad,Languages
523923,John Robertson,Social Work
2226063,Sally Aboelela,Nursing
1844716,Homayoon Beigi,Computer Science
733550,Randall Allsup,Music
1559862,Markus Redding,Social Work
1710157,Jason Buhle,Psychology
241369,Michael Stanislawski,History
17674,Xavier Sala-i-Martin,Economics
813119,Deborah Mowshowitz,Biology
170601,Maura Spiegel,English
1653290,Amy Werman,Social Work
2016468,Seyhan Erden,Economics
798155,Robin Reisig,Journalism
17676,Herbert Terrace,Psychology
1890941,Jerry Batteh,Mathematics
831227,Steven Paul Schinke,Social Work
3028566,Amit Arora,Engineering
812121,Samuel Freedman,Journalism
17682,David Albert,Philosophy
1696418,Mary-Grace Albanese,Not Specified
17673,Richard Braverman,English
217468,Annette Insdorf,Film
552246,Ernest April,Science
353643,Eben Moglen,Law
763609,Seth Halvorson,Philosophy
1011364,Roger Mesznik,Business
1062281,Craig Schwalbe,Social Work
1662101,Richard Hara,Social Work
703632,Richard Pena,Film
2642436,Adam Blazej,Philosophy
769553,L. Don McVinney,Social Work
230691,Sunil Gulati,Economics
1040045,June Cross,Journalism
1463758,Stuart Ward,Statistics
198614,Bruce Robbins,English
523926,Judith Marks,Social Work
510536,Barbara Simon,Social Work
1119096,Tina Rivers Ryan,Art History
289030,Alan Blaer,Physics
2500304,Mizanur Rahman,Biology
1804185,Monique Jethwani-Keyser,Social Work
694005,Elizabeth Currid,Architecture
2331374,Kirsti Samuels,Political Science
207255,Richard Betts,Political Science
2290559,Mia Hood,Education
19955,David Yerkes,English
942766,Giacomo Santangelo,Economics
1647572,Stuart Gottlieb,Political Science
2543538,Wayne Lee,Statistics
1559858,Ada Mui,Social Work
1738421,Andrew Hamid,Social Work
137178,Sarah Cole,English
