index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,non mandatory,5.0,AGT146,I really like Mr Mosby,False,2025-01-24 11:47:25,1.0,A+,5.0,False,False,5.0,Participation matters--Inspirational--Hilarious,-1.0,0,0,1.0,1482580
1,non mandatory,5.0,ARCH101,this class was grate and the professor is AMAZING,False,2025-01-20 02:32:08,2.0,A+,5.0,False,True,5.0,Amazing lectures --Inspirational--Caring,-1.0,0,0,1.0,1482580
2,non mandatory,5.0,ARCH101,he was AMAZING,False,2025-01-20 02:30:35,2.0,A+,5.0,False,True,5.0,Amazing lectures --Inspirational--Caring,-1.0,0,0,1.0,1482580
3,non mandatory,1.0,ARCH01,"I was so exited for my first architecture class but then the professor kept making fun of my name! 

I know that asian names can be hard to come by in the US, but he was relentless in making fun of the name my parents so lovingly gave me - Cook Pu.

Needless to say I ended up dropping the class.",False,2024-12-29 19:44:53,5.0,Drop/Withdrawal,1.0,False,False,1.0,Hilarious,3.0,0,0,,1482580
4,non mandatory,1.0,ECON305,He kept talking about architecture. He bolted halfway through the first lecture as well. I also heard he dated two of the students. Weird guy. Also he definitely can't spell proffesor,False,2024-12-29 16:28:12,1.0,Incomplete,1.0,True,False,1.0,Hilarious--Lecture heavy--Accessible outside class,-1.0,0,0,,1482580
5,mandatory,5.0,ACH101,Amazing professor who instilled inspiration and dedication in me. Haven't met his wife yet but from what I hear she is an amazing base guitar player in a band. His smile is so cute and he buys me candy and dresses up for Halloween. What more can someone ask for? Wish I would have met his friends though they sound legend-wait for it- dary.,False,2024-12-29 14:34:13,1.0,A+,5.0,True,False,5.0,Amazing lectures --Inspirational--Hilarious,3.0,0,0,1.0,1482580
6,non mandatory,5.0,123,"He's very passionate, but he's always at some bar or something. I asked him what inspired him to be a professor, and he told me this story about how got a tattoo, dated the tattoo removal doctor, got left at the altar by her for a karate instructor who got him the job. That story took a damn near whole day.",False,2024-12-25 06:25:43,3.0,A,5.0,True,False,5.0,Amazing lectures --Hilarious--Lecture heavy,3.0,0,0,1.0,1482580
7,non mandatory,5.0,6B,he is very achieving,False,2024-11-20 07:01:57,5.0,A,5.0,True,False,5.0,Get ready to read--EXTRA CREDIT--Clear grading criteria,3.0,0,0,1.0,1482580
8,non mandatory,5.0,ARCHITECTURE101,He's great would definitely take him again,False,2024-11-19 21:36:13,1.0,A+,5.0,True,False,5.0,Amazing lectures --Inspirational--Caring,-1.0,0,0,1.0,1482580
9,mandatory,3.0,ARCH101,"He's great at teaching and it's clear that this subject is his passion. But I made the mistake of asking him how his weekend was and he basically told me his whole life story of how he fell in love with his friend Ronny or Robin or whatever her name is and then went into full detail of his own, and his friends, lovelife and it just keept going on..",False,2024-10-30 22:31:24,2.0,A-,3.0,True,False,3.0,EXTRA CREDIT--Amazing lectures --Hilarious,-1.0,0,0,1.0,1482580
10,mandatory,5.0,ARCH0069,Mr. Mosby is the best professor I've ever had!,False,2024-10-23 22:07:56,3.0,A,5.0,True,False,5.0,Amazing lectures --Inspirational--Caring,3.0,0,0,1.0,1482580
11,mandatory,5.0,ARCH0069,"The best professor I've ever had and I've had none 
Classy and nice 
And never runs out of class ",False,2024-09-15 19:40:25,1.0,A+,5.0,True,False,5.0,Lots of homework--Hilarious--Caring,3.0,0,0,1.0,1482580
