id,name,department
2723270,Andrew Musser,Chemistry
191934,Peter Katzenstein,Political Science
134422,Jennifer Wissink,Economics
18310,Thomas Owens,Science
202231,Daisy Fan,Computer Science
16475,Thomas Ruttledge,Chemistry
195472,Pedro Perez,Business
2544740,Fengqi You,Chemical & Biomolecular Engineering
1705832,Walker White,Computer Science
183398,Richard Curtis,Business
139568,Melissa Hines,Science
261710,David Gries,Computer Science
503069,Maria Terrell,Mathematics
42676,Bruce Ganem,Chemistry
166526,John Callister,Engineering
272265,Paul Chirik,Chemistry
1913576,Stephanie Thomas,Economics
9789,Stephen Lee,Chemistry
246616,George Jakubson,Economics
202263,David Levitsky,Health Science
132224,David Zax,Science
778584,Bruce Monger,Earth Science
349936,Richard Burkhauser,Economics
151911,Cindy Van Es,Business
183393,John Abowd,Economics
163181,Harry Segal,Psychology
528773,Simone Pinet,Languages
226122,Philip Krasicky,Physics
247163,Kora Battig Von Wittelsbach,Government
927429,David Pizarro,Psychology
172666,Graeme Bailey,Computer Science
192501,Jane Marie Law,Religious Studies
250500,Paul Velleman,Social Science
1526046,Hadas Ritz,Engineering
2260586,Kevin Packard,Statistics
1758194,Chekitan Dev,Hotel & Restaurant Management
216853,Brian Crane,Chemistry
154042,Peter Wolczanski,Chemistry
155949,Tom Gilovich,Psychology
2277575,Kyle Harms,Information Science
2538397,Jeremy Entner,Statistics
235603,Robert Connelly,Mathematics
2109847,Anne Bracy,Computer Science
265282,John Marohn,Chemistry
85387,Michael Gold,Law
132173,Robert Terrell,Mathematics
204717,Rosemary Avery,Political Science
134355,Daniel Boucher,Theology
129943,Theodore Lowi,Political Science
9721,Andrew Ruina,Engineering
9787,T. Michael Duncan,Engineering
195449,Debra Perosio,Business
181331,Dieter Ast,Engineering
162717,Debra Nero,Science
272878,Tomas Arias,Physics
963906,Vivian Zayas,Psychology
1554388,Sharon Sassler,Social Science
187591,Nicholas Zabaras,Aerospace Eng. & Mechanics
192515,Cindy Hazan,Psychology
56605,David Schwartz,Computer Science
145427,Isaac Kramnick,Political Science
2254913,Kilian Weinberger,Computer Science
43983,Nick Salvatore,History
423457,Steven Strogatz,Mathematics
489351,Michael Stillman,Mathematics
313701,Tom Diciccio,Mathematics
2047193,Lisa Kaltenegger ,Astronomy
1841153,Kyle Lancaster,Chemistry
1614983,Vimal Selvaraj,Animal Science
1044587,Stephan Schmidt,Architecture
371779,Masha Raskolnikov,English
129807,Christina Homrighouse,Industrial Studies
268443,Oren Falk,History
186100,David Dunning,Psychology
113675,Thomas Fox,Science
1041650,Liz Karns,Mathematics
98670,Tim Devoogd,Psychology
163099,Jeff Cowie,History
2361357,Alex Townsend,Mathematics
187564,Shalom Shoer,Near Eastern Studies
448664,Lawrence Gibbons,Physics
132578,David Delchamps,Engineering
278508,Levon Barseghyan,Economics
165710,Ellis Hanson,English
185115,Wolfgang Sachse,Engineering
579937,Karl Niklas,Biology
271614,Ileen DeVault,History
566506,Bob Turgeon,Biology
100797,Jim Blankenship,Science
187593,David Easley,Economics
191849,Geoff Coates,Chemistry
268953,Bert Fulbright,Physics
266830,Sidney Orlov,Humanities
