index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,Y,5.0,WCWP10A,"Dr. Gocsik is perhaps the best professor I've had in life. She facilitates class discussion in a way that your opinions will be heard and weighted. Karen also goes over different aspects of the world in and out of class, and she's the person to turn to if you want to talk just about anything. My writing improved A LOT in her class.",False,2014-04-24 21:19:11,3.0,A,5.0,False,False,5.0,,5.0,0,2,,1100359
1,Y,5.0,WCWP10A,"She teaches at UCSD now and is by far the best writing teacher I've had in a while. The class itself isn't of the best structure (everything is geared towards 3 essays, where the last essay practically dictates your grade). She actually teaches you how to write better, but the class is time consuming.",False,2014-02-19 00:01:06,4.0,A,4.0,False,False,5.0,,5.0,0,2,,1100359
2,,3.0,WCWP10A,"Now a UCSD prof for Warren college. Very unlikeable GE class. Only 3 grades, which are the 3 final papers. Time consuming but the grading is very fair--so much so that it basically rewards already good writers and the rest will get a B+ or below. I did not learn to write better, but at least the topic (technology) was interesting to read about.",False,2014-01-13 18:20:49,4.0,,3.0,False,False,3.0,,5.0,0,1,,1100359
3,,4.0,WRIT2,"Prof. Gocsik through me into the deep end during freshman fall since her class has been the indisputably tough. Despite the intense discussions, complex texts and multiple drafts of papers, I now look back at the class with a sense of accomplishment and relief. I am no longer afraid to write and am confident in my writing ability.",False,2010-06-15 22:49:37,5.0,,5.0,False,False,5.0,,5.0,0,1,,1100359
4,,5.0,WRIT003,Demanding but great professor. The classes are great!!,False,2010-02-27 01:45:12,5.0,,5.0,False,False,5.0,,5.0,0,1,,1100359
5,,5.0,WRIT2,"Karen has taken the &quot;none&quot; out of my nonsensical writing, and made it &quot;sense&quot;. She is the best professor I have ever had. K is genuinely dedicated to the success of her students- both in and out of the classroom. You can talk to her about just anything. And her inner glow is what keeps students motivated despite the mammoth course load.",False,2010-02-27 00:00:37,5.0,,5.0,False,False,5.0,,4.0,0,0,,1100359
6,,5.0,WRIT23,"Karen is the highlight of my academic experience at Dartmouth. She taught me how to write papers from scratch, until I got an A. She is a very hardworking and interesting teacher, who makes a class so interesting, that the student is injected with the desire/impatience to share his opinions when going to class. It was a pleasure to be  her student.",False,2008-12-01 16:42:15,3.0,,5.0,False,False,5.0,,5.0,0,1,,1100359
7,,5.0,WRIT2,The best class I've taken at Dartmouth and the reason I know how towrite A papers now,False,2008-08-15 23:47:20,5.0,,5.0,False,False,5.0,,4.0,0,0,,1100359
8,,4.0,ENGL009,"Karen cares about her students, and she cares about them deeply. She injects energy into every classroom she walks into as well. Her knowledge of our culture is phenomenal, and she likes to argue her points until she has beat the living daylight out of all the angles. I suggest Karen wholeheartedly.",False,2008-06-09 01:23:54,3.0,,5.0,False,False,5.0,,1.0,0,0,,1100359
9,,5.0,WRIT2,"Karen's Writing 2-3 classes are known as some of the most hardcore classes at Dartmouth... but you learn so much that it's well worth it. I wish I could find other classes at D that made me think as much as Karen's class did. She gives a lot of work, but puts as much care into the class as we do, often staying up until 4am or later marking papers.",False,2008-06-04 17:08:32,3.0,,5.0,False,False,5.0,,5.0,0,0,,1100359
10,,5.0,WRIT2,Karen achieves a perfect balance between laying out an argument that an author has made and making her students think creatively and deeply about it. HEr class was one of the most intellectually stimulating classes I have had and my writing skills improved to a surprisingly high degree.,False,2008-04-19 12:09:41,4.0,,4.0,False,False,5.0,,4.0,0,0,,1100359
11,,4.0,WRIT2,No Comments,False,2008-04-18 12:44:43,4.0,,5.0,False,False,5.0,,3.0,1,0,,1100359
12,,4.0,WHIT002,"Great prof, great person!",False,2008-04-11 16:48:27,1.0,,5.0,False,False,5.0,,4.0,0,0,,1100359
13,,5.0,ENG0203,"If I could, I'd take Karen's class again. She is one of the most caring, intelligent and dedicated professors ever. Her class is always full of energy and thought provoking. She will guides you through to become a better writer, independent and logical thinker, and eloquent communicator. You'll be another one very lucky person if you learn from her",False,2008-04-10 21:01:40,5.0,,5.0,False,False,5.0,,4.0,0,0,,1100359
14,,5.0,WRIT3,"Karen is not simply a teacher, she is a true mentor, capable of truly connecting with various students. On a continent where unfortunately I have not men too many intellectuals, Karen is one of the few who taught me how to be a confident thinker, who feels free to ALWAYS raise questions rather than focus on the answers. Love learning&#63;=&gt; Karen!!!",False,2008-04-09 15:25:52,4.0,,5.0,False,False,5.0,,3.0,0,0,,1100359
15,,1.0,WRIT2,No Comments,False,2008-04-08 22:01:44,3.0,,1.0,False,False,1.0,,2.0,3,0,,1100359
16,,4.0,WRIT2,"The professor has done a lot of preparation for class in order to equip the students with great writing and discussion skills.  The assignments, although quite hard and sometimes can be quite painful, have brought me out of my comfort zone which eventually ends up widening my comfort zone as well.",False,2008-04-08 15:05:15,4.0,,4.0,False,False,4.0,,3.0,0,0,,1100359
17,,5.0,WRIT2,"Karen is a great professor! She really cares about teaching, and she is a very accessible professor as well. Her teaching methods are extremely innovative and involve lots of class discussion. Karen is a hard but fair grader, and her grades are always accompanied by large amounts of feedback and comments. If you want to learn you will not go wrong.",False,2008-04-08 13:58:17,5.0,,5.0,False,False,5.0,,1.0,0,0,,1100359
18,,5.0,WRIT002,"Karen is responsible for  teaching students, many of whom do not speak English as their first language, how to think and write in English. She's a great Prof because she gives up her time and effort to ensure that her students excel. She gives her time at literally whatever time of day respond to concerns of her students, sort through confusion et",False,2008-04-08 11:37:57,5.0,,5.0,False,False,5.0,,5.0,0,0,,1100359
19,,4.0,WRIT002,"For international students, Karen means more than just a professor. Karen is first of all a great friend that you can talk to about anything on you mind. She would be always interested to hear what you have to say. She has the capacity to connect to people from very different backgrounds and understand them.For that reason,she is a global professor",False,2008-04-08 10:46:14,3.0,,4.0,False,False,4.0,,4.0,0,0,,1100359
20,,5.0,WRIT002,"Karen is exceptional.Her classes promote an intellectual curiosity that continues to serve her students even after her class.An ideal balance between challenging texts and thoughtful discussions, the intricate structure of her class ensures that her students become proficient at communicating complex thoughts. She improved my writing significantly.",False,2008-04-08 08:43:24,4.0,,5.0,False,False,5.0,,3.0,0,0,,1100359
21,,5.0,WRIT2,Prof Karen Gocsik received &quot;The Best Teacher Award&quot; at Dartmouth College after being nominated and selected by the students themselves and I believe that she deserves wider recognition! Karen's class is a bonding experience that involves intensive learning. Her enthusiasm is contagious and the discussions are beyond the realm of a typical classroom,False,2008-04-08 08:01:39,3.0,,5.0,False,False,5.0,,5.0,0,0,,1100359
22,,5.0,WRIT2,"Best professor ever! Karen really cares about her students and helps them both in and out of class, and with life in general! She really helped me adjust to college life. My writing also improved exponentially thanks to her. I used to be afraid of writing but now I actually enjoy it. If you have a chance, take a class with her. You won't regret it!",False,2008-04-08 02:17:41,3.0,,5.0,False,False,5.0,,5.0,0,0,,1100359
23,,5.0,WRIT0203,"Karen is the most responsible and best professor that I have ever met at Dartmouth. I took my writing class for two terms in my freshman year, and it has been my part of my most precious memory at college. Not only did I learn to be good at writing academic paper, but I began to grasp the right attitude of life as an adult. Karen is the best!",False,2008-04-08 02:00:06,4.0,,5.0,False,False,5.0,,5.0,0,0,,1100359
24,,5.0,WRIT002,Prof. Karen's teaching is one of the best way to start off your College Writing Course. She gives chances for students to make innovative response during class discussion.  Improvement for writing skills after the course is almost guaranteed!,False,2008-04-08 01:53:53,4.0,,5.0,False,False,5.0,,4.0,0,0,,1100359
25,non mandatory,5.0,COSC30,"Jayanti is probably the best lecturer I have ever had. he is entertaining, on topic, likeable, and extremely patient.",False,2022-01-11 20:48:27,4.0,B+,5.0,True,False,5.0,Hilarious--Amazing lectures--Tough grader,0.0,0,0,1.0,261485
26,non mandatory,5.0,COSC10,Wonderful at explaining complicated computer science concepts and linking them to real world analogies,False,2016-05-09 22:04:18,3.0,A,4.0,True,False,5.0,,0.0,2,4,,261485
