id,name,department
454714,Laura Duwel,Biology
1537810,Monica Ilies,Chemistry
2019453,Brian Stuart,Computer Science
24344,Anthony Wambsgans,Chemistry
718558,Andrew Genetta,Law
1454516,Karen Kabnick,Biology
2276772,Joel Pereira,Mathematics
586790,Daniel King,Chemistry
435636,Kurt Schmidt,Computer Science
2085374,Sara Schneider,Business
2558088,Tammy Pirmann,Computer Science
1669067,Dimitrios Papadopoulos,Mathematics
875880,Adam C Rickert,Mathematics
1543976,Richard Barnett,Economics
1310417,Meshagae Hunte-Brown,Biology
8181,Marlin Killen,Psychology
713514,Robert Watts,English
1802528,James Shackleford,Engineering
1183606,Jason Aran,Mathematics
911940,Daryl Falco,Mathematics
1089481,Raymond Favocci,Mathematics
2412678,Sathia Veeramoothoo,Economics
278961,Donald Riggs,English
2152307,Mark Boady,Computer Science
1087280,Richard White,Mathematics
902303,Christopher P. Finnin,Business
35370,Stephen Joyce,Economics
2773256,Aj Raven,Information Science
959982,Anatolii Grinshpan,Mathematics
924169,Jodi Cataline,Business
755218,Jeanne Steuber,Mathematics
2023089,JT Thazhathel,Business
2664722,Ben Irwin,Mathematics
813841,Adelaida Medlock,Computer Science
2340583,Michael Ryan,Mathematics
1967219,Lee Hoffman,Chemistry
2668205,Jamie Ludwig,Chemistry
1601518,Richard Forney,Communication
489906,Kenneth Bingham,Humanities
1109819,Oksana Odintsova,Mathematics
2391340,Matthew Reindorp,Decision Science
2461385,Shannon Capps,Engineering
2243715,Bradly Nabors,Sociology
483564,Christopher Nielson,English
1341089,Karen Cristiano,Communication
1455857,Robert P. Loudon,Biological Sciences
2384629,Maureen Breen,Accounting
2291604,Kumar Virbhadra,Mathematics
1030949,Amy Bush,Philosophy
532635,Susan Rutkowsky,Chemistry
1312813,Jan Armon,English
1102259,Jonson Miller,History
583705,Steven Sher,Law
1270766,Gail Rosen,English
2746678,Manuel Senderos,Biological Sciences
1532613,Valerie Booth,English
1750280,Anne Erickson,English
1782658,Dorothy Charbonnier,Psychology
1166535,Jeremy Tyler,Psychology
2055967,Adam Knowles,Philosophy
2680774,Anne Dower,Nursing
182576,Joseph Gregory,History
342897,Eva Thury,English
1700271,Sergio Zefillipo,Mathematics
1253746,Peter Amato,Philosophy
9513,Ts Venkataraman,Engineering
2764268,Milad Toutounchian,Information Science
1196676,Yoto Yotov,Economics
1313100,Michael Kirifides,Nursing
2346862,Matthew Ziemke,Mathematics
1539589,Robert Finnegan,English
277628,Doug Chute,Psychology
2110829,Kevin Smith,Biology
247509,Roger Magyar,Philosophy
2542784,Jeffrey LaComb,Mathematics
45725,Robin Carr,Engineering
2442491,Andrew Kane,Information Science
2241800,Danette Morrison,Psychology
2323593,Judith Curlee,English
1367830,Cassandra Hirsch,English
608345,Stacey Ake,Philosophy
653237,Frank Ferrone,Physics
2391161,Thomas Heverin,Computer Science
733192,Maureen Gibney,Psychology
1263393,Bruce Char,Computer Science
1820096,Julia Sluzenski,Psychology
1227312,Christopher Peters,Engineering
323445,James Donnelly,Mathematics
14388,Donna Rondolone,Literature
573110,Peter Grillo,Information Science
560981,Ian Abrams,Film
2462724,Eydis Olsen-Robinson,Business
901279,Eric Rios,Not Specified
2438663,Monica Togna,Biological Sciences
2264340,Scott Tattar,Communication
14377,Sue Epstein,Business
681462,Doreen Saar,English
2239379,Craig McClure,Chemistry
924177,Dana D'Angelo,Business
794357,Henry Israeli,English
549229,Li Sheng,Mathematics
1698039,Timothy Fitts,English
1872463,Alexey Aprelev,Physics
2622416,Steve Earth,Computer Science
2394738,Harper Kirk,Philosophy
2687261,Reza Farasat,Chemistry
133894,Glenn Muschio,Graphic Arts
751826,Eliezer Fich,Finance
2664980,Dylan Luong,History
1990384,Sheila Sandapen,English
132126,Constantine Katsinis,Engineering
693947,Ron Perline,Mathematics
2500986,Fernando Carreon,Mathematics
2678922,Brett Condon,Biological Sciences
1709157,Sebastien Bradley,Economics
1968934,Joshua Weiss,Fine Arts
2176202,Dane Ward,Science
2176655,Brandon Terranova,Engineering
259176,Bakhtier Farouk,Engineering
2498551,Tasha Martin-Peters,Nursing
2284507,William Ahern,Computer Science
565937,Jeffrey Popyack,Computer Science
1030806,Valerie Fox,English
2821692,Andrew Klimas,Mathematics
1550588,Patricia Awerbuch,Economics
2984163,Carter Murdoch,Business
661539,Mary Flynn,Biology
2752970,Patricia Bobo,Mathematics
2050498,Min Wang,Business
1011898,Lloyd Ackert,History
239984,Valerie Yonker,Information Science
2302896,Christina Love,Physics
383467,. Formicola,Design
1191285,Vanessa Morris,Information Science
1976419,Aimee Kim,Psychology
2346841,Olga Trubina,Mathematics
2518911,Jodie Haak,Mathematics
852577,Scott Bacon,Music
712908,Kathleen Volk Miller,English
162490,Al Stegeman,Communication
1579621,Diana Sandberg,Finance
7888,Richard Freedman,Law
2100608,William Albertson,Humanities
613935,Vincent Williams,English
2678090,Diane Sicotte,Sociology
816598,Carol Anne Mele,Philosophy
277629,Marci Ann Perlstadt,Mathematics
1423059,Eric Scheidly,Physics
60320,Sally Solomon,Science
832229,Krzysztof Nowak,Computer Science
1878671,Jill Moses,English
1696232,Matthew Smith,English
2115707,Kevin Moseby,Sociology
2700769,Bo Song,Information Science
2295059,Keith DeRenzo,English
2315315,David Seltzer,Philosophy
961357,Ann Thiel-Barrett,Nursing
1197221,Pavel Grinfeld,Mathematics
277626,Scott Stein,English
750865,Hazel Cooper-Watts,English
745580,Jock Sommese,Business
2263659,Michael Bruneau,Health Science
2584737,John DiNardo,Physics
2412929,Craig Laird,English
2474220,Jessica Cohen,Sociology
704983,Gabriella Ibieta,English
2108556,Karen Nulton,English
2357119,Samir Shah,Management
437166,Ron Bishop,Communication
2058496,Bernard  Rayca,Business
818251,Barbara Smolen,Fine Arts
1882118,(Cynthia) Cyndi Rickards,Criminal Justice
