id,name,department
522550,Clark Bray,Mathematics
132982,Michael Gustafson,Electrical Engineering
731350,Rann Bar-On,Mathematics
482115,Thomas Nechyba,Economics
44522,Owen Astrachan,Computer Science
642928,Connel Fullenkamp,Economics
157298,Lori Leachman,Economics
1060211,Alex Glass,Geology
1327595,Arya Roy,Physics
295867,Susan Rodger,Computer Science
386671,Christopher Roy,Chemistry
1270029,Dorian Canelas,Chemistry
1784753,Duncan Thomas,Economics
171386,Steven Baldwin,Chemistry
2219837,Aaron Dinin,Management
398017,Robert Duvall,Computer Science
783364,Ingrid Byerly,Anthropology
2328399,Bridgette Hard,Psychology
2097425,Minna Ng,Neuroscience
1075633,Sarah Schott,Mathematics
2629283,Charlie Cox,Chemistry
1716124,Mine Çetinkaya-Rundel,Statistics
2067713,Richard Salsman,Economics
196280,Sherryl Broverman,Biology
289571,Charles (CJ) Skender,Business
1631375,Brian Fitzpatrick,Mathematics
433432,Robert Brown,Physics
986449,James Parise,Chemistry
2335054,Kristin Stephens-Martinez,Computer Science
514353,David Banks,Statistics
2592693,Brandon Fain,Computer Science
1758105,Qiu Wang,Chemistry
554473,John Willis,Biology
483017,Ross Widenhoefer,Chemistry
157350,Steven Craig,Chemistry
1149544,Brian Coggins,Biology
44524,Lewis Blake,Mathematics
1363739,Xavier Mela,Mathematics
597631,Emma Rasiel,Economics
531944,Amy Bejsovec,Biology
1346403,Karen Murphy,Psychology
385192,Michael Munger,Political Science
499301,Christina Williams,Neuroscience
1347317,Dan Sorin,Electrical Engineering
802926,Rebecca Simmons,Mechanical Engineering
2005311,Ying Wu,Physics
94104,Edna Andrews,Languages
916639,Warren Warren,Chemistry
87197,Ron Grunwald,Science
710962,Rebecca Vidra,Science
1436030,Adam Hollowell,Public Policy
742395,Emily Klein,Geology
131402,Peter Feaver,Political Science
1150529,Angela Vieth,Psychology
267597,Orin Starn,Anthropology
95255,Victor Strandberg,English
2365812,John Rose,Philosophy
2421248,Shira Viel,Mathematics
264421,Dalene Stangl,Statistics
363268,Alison Hill,Biology
1919011,Dirk Philipsen,Public Policy
886657,Jiyong Hong,Chemistry
266353,Christina Grimes,Psychology
931393,Christelle Gonthier,Languages
211658,Deborah Gold,Psychology
420150,David Need,Religion
1716753,Nick Carnes,Public Policy
93507,Michael Newcity,Law
2645093,David Hoffman,Public Policy
166698,Ruth Day,Psychology
666292,Martha Reeves,Sociology
2291835,Victoria Akin,Mathematics
264811,Kenneth Glander,Anthropology
2642234,Andrea Lanteri,Economics
185670,Melissa Simmermeyer,Languages
87196,Alex Rosenberg,Philosophy
2289212,Sarah Komisarow,Public Policy
180987,Thomas Robisheaux,History
2004108,Salman Azhar,Computer Science
605892,Evan Charney,Public Policy
2571704,Yue Jiang,Statistics
1956787,Suzanne Katzenstein,Political Science
311020,David Paletz,Political Science
1091256,George Grody,Marketing
2122671,Tyler Bletsch,Computer Science
1149506,Sheryl Emch Welte,Writing
489836,Robert Thompson,Psychology
133247,Jack Bookman,Mathematics
266616,Gregory Wray,Biology
2604031,Lisa Wills,Computer Science
2583276,Lisa Gennetian,Economics
2062465,Susan Thananopavarn,Writing
1859584,Stacy Tantum,Electrical Engineering
171078,James Tomberg,Mathematics
2182858,Bruce Donald,Computer Science
235195,Laura Florand,Languages
840590,Lincoln Pratson,Environmental Science
266352,Graciela Vidal,Languages
2023837,Jay Golden,Civil Engineering
598141,Lisa Merschel,Languages
376982,Cliff Cunningham,Biology
440000,Deb Reisinger,Languages
2296494,Michael Dimpfl,Writing
2138084,Jason Brent,Economics
2188782,Farrell Kersey,Chemistry
85857,Margaret Hodel,Mathematics
369902,Hisham Massoud,Electrical Engineering
907089,William Villalba,Languages
1785890,Brenda Baletti,Writing
241807,Lisa Huettel,Electrical Engineering
928406,Mbaye Lo,Languages
895859,David Schaad,Civil Engineering
264217,Joan Munne,Languages
448356,Joshua Sosin,Classics
342917,David Malone,Education
2606531,Kate O'Hanlon,Computer Science
2628146,Joe Rabinoff,Mathematics
451260,Thomas Ferraro,English
1054017,John Gross,Economics
180852,Harry Davidson,Music
3043611,Chris Roark,Economics
1055973,Zachary Rosenthal,Psychology
1560283,Ahmad Hariri,Psychology
1860575,Benjamin Lee,Electrical Engineering
1486535,Gareth Price,Languages
752799,Mark Rausher,Biology
511949,Daniele Armaleo,Biology
276534,Gary Hull,Sociology
54373,Alvin Crumbliss,Science
837730,Mark Goodacre,Religion
624738,Martin Miller,History
1358280,Germain Choffart,Languages
2246779,Sudeepa Roy,Computer Science
395305,Donald Taylor,Public Policy
1073038,Bethzaida Fernandez,Languages
266358,Jerry Reiter,Statistics
1819331,Colin Rundel,Statistics
587779,John Board,Electrical Engineering
236910,Satendra (Satti) Khanna,Languages
1514681,Harry Karahalios,Spanish
1557934,Mohamed Noor,Biology
1641384,Lindsey Smith,Writing
906426,Tianshu He,Chinese
1189093,Karin Shapiro,History
586795,Alexander Downes,Political Science
1556704,Atila Abdulkadiroglu,Economics
1664601,Susanne Freytag,Languages
988112,David Rohde,Political Science
1174150,Ashutosh Kotwal,Physics
2621708,Matthew Becker,Chemistry
546137,Stefano Curtarolo,Mechanical Engineering
693598,Diane Nelson,Anthropology
266597,Hans J. Van Miegroet,Art History
307594,Jeffrey Chase,Computer Science
986220,Alvin Lebeck,Computer Science
1647523,Hubert Bray,Mathematics
393815,Warren Meck,Psychology
610734,Steven Haase,Biology
417685,Paul Manos,Biology
584577,Prasad Kasibhalta,Environmental Science
120006,Tom Witelski,Mathematics
395632,Joe Nadeau,Civil Engineering
947943,Laura Casa,Languages
1453739,Makeba Wilbourn,Psychology
2587906,Li Xu,Chinese
782570,Carlo Tomasi,Computer Science
2540340,Ezra Miller,Mathematics
1280687,Karine Provot,Languages
1766002,Deborah McCarthy,Chemistry
321135,Michelle Connolly,Economics
979680,Dewey McCafferty,Chemistry
780582,Sandra Valnes Quammen,Languages
393844,David Wong,Philosophy
1185082,Francois Lutzoni,Biology
1407357,Jed Atkins,Classics
56983,Julie Tetel,English
451261,Thomas Pfau,English
380008,Michael Moses,English
2020085,Jenifer Hamil-Luker,Sociology
1961969,Luis Roncero,Spanish
2642737,Cameron Kim,Engineering
1678141,Eileen Anderson,Spanish
235467,Mary Boatwright,Classics
1719001,Ana Fernandez Gonzalez,Spanish
585533,Ellen McLarney,Languages
1827500,Heekyoung Hahn,Mathematics
1984525,Lisa Andres,Writing
1994539,Glenn Edwards,Physics
2477028,Maria Tackett,Statistics
277293,Julie Reynolds,Writing
2949219,Grant Farley,Philosophy
2253474,Nathan Boucher,Public Policy
1253078,Jun Yang,Computer Science
2075327,Emily Parks,Writing
323889,Alexander Hartemink,Computer Science
368286,Vasant Kaiwar,History
549864,David Rubin,Psychology
1554232,Charles Wallace,Biomedical Engineering
1847854,Nancy Zucker,Psychology
2624217,Margaret Regan,Mathematics
2325148,Miranda Welsh,Writing
865563,Ronald Parr,Computer Science
150651,Steven Churchill,Biology
903888,Leslie Saper,Mathematics
2423519,Jacob Smith,Statistics
87192,Cary Moskovitz,English
194042,Kristine Stiles,Art & Art History
529822,Craig Burnside,Economics
1952275,Lillian Pierce,Mathematics
809028,Don Coltart,Chemistry
435479,Michael Ferejohn,Philosophy
1824906,Scott Huettel,Psychology
363761,Neil De Marchi,Economics
363267,Ralph Litzinger,Anthropology
1880055,Leslie Maxwell,English
1906036,Sumedha Ariely,Global Health
229159,Melissa Malouf,English
786272,Christopher Timmins,Economics
882826,Chi-Ju Hsieh,Languages
488316,Elizabeth Vigdor,Public Policy
81229,Kathy Rudy,Women's Studies
