id,name,department
1976448,Andrew Kazama,Psychology
951644,Douglas Mulford,Chemistry
55085,David Edwards,Psychology
74364,Matthew Weinschenk,Chemistry
2588884,Reshma Shah,Business Administration
251830,Tracy Morkin McGill,Chemistry
779752,Hugo Mialon,Economics
440770,Michael McCormick,Chemistry
2105413,Isabella Alexander-Nathani,Anthropology
911154,Shomu Banerjee,Economics
1334002,Tom Smith,Business
333056,Rachelle Spell,Biology
1292317,Thomas Bing,Physics
2645463,Miguel Reyes,Biology
1932152,Eladio Abreu,Biology
1643758,Keith Berland,Physics
1690446,Tao Zha,Economics
2528633,Wenjun Gu,Business
526448,Hashem Dezhbakhsh,Economics
2703193,Katherine McKnelly,Chemistry
1449800,James Kindt,Chemistry
2067207,Ho Jin Kim,Mathematics
376520,Jose' Soria,Chemistry
1243489,Kathleen Campbell,Biology
1711650,Patrick Cafferty,Biology
1944142,Sonal Nalkur,Sociology
254219,Steve Walton,Business
594449,Nikki Graves,Business
1755137,Jong Kim,Economics
2007364,Megan Cole,Biology
2712309,Tonya Smalls,Accounting
1871044,Elizabeth Kim,Psychology
2446574,Allison Kays,Accounting
2119443,Davide Fossati,Computer Science
255305,Allison Burdette,Business
1174511,Eric Reinhardt,Political Science
2293947,John Heemstra,Chemistry
526407,Robert Roth,Mathematics
2640720,Edward Nam,Biology
255302,Darryl Neill,Psychology
208091,Patrick Allitt,History
2283394,Juan Villeta-Garcia,Mathematics
154176,Karl Hagen,Chemistry
1549332,Michelle Lampl,Anthropology
2760513,Marina Cooley,Marketing
534624,Corey Keyes,Sociology
74361,Alexander Escobar,Science
1957834,Shaunna Donaher,Science
1476777,Sam Cherribi,Sociology
1147884,Steve Ahn,Finance
1963746,Kate O'Toole,Biology
1921888,Elena  Antoniadou,Economics
2084476,Zhiyun Gong,Quantitative Theory & Methods
74363,Nancy Bliwise,Psychology
55084,Gary Laderman,Theology
1962526,Steve La Fleur,Computer Science
2094984,Daniel Bosch,English
777231,Tracy Scott,Sociology
241804,Matthew Payne,History
1589475,James Rilling,Anthropology
264174,Hubert Tworzecki,Political Science
92678,Sandra Blakely,Classics
2459516,Ju Hyun Park,Sociology
1137420,Andra Gillespie,Political Science
1059276,Christine Ristaino,Languages
2005573,Michael Miller,Business
2246430,Michael Carr,Mathematics
1899565,Jessica Barber,Psychology
2622568,Richard Himes,Chemistry
2514255,Jeffrey Yelton,Mathematics
542955,Katrina Dickson,Classics
134189,Bradd Shore,Anthropology
832707,Robyn Clarke,Languages
1190410,Jeremy Weaver,Chemistry
1159247,Frank Lechner,Sociology
1054114,David Davis,Political Science
1535264,Jacobus De Roode,Biology
918085,Robert Hampton,Psychology
540736,Chris Beck,Biology
2288581,John Lindo,Anthropology
526479,Susan Tamasi,Languages
2413928,Antonio Brathwaite,Chemistry
92687,Amanda Starnes,Biology
1827437,Kelli Lanier,Economics
2051895,Nicholas Llewellyn,Chemistry
2119096,Bree Ettinger,Mathematics
1532910,Jennifer Feldman,Spanish
2566473,Jin Kim,Quantitative Theory & Methods
2625983,Arber Tasimi,Psychology
264175,James Morey,English
1033196,Melvin Konner,Anthropology
2482177,Aubrey Kelly,Psychology
1260331,Carrie Wickham,Political Science
1858137,Lance Gunderson,Biology
2822795,Anna Errore,Business
2242643,John Kim,Business Administration
2405818,Warren Shull,Mathematics
2786429,Sa'ed Atshan,Anthropology
1554643,Joseph Manns,Psychology
2094593,Michal Arbilly,Biology
1015843,Vojtech Rodl,Mathematics
2727261,Jeff Byrne,Accounting
1202100,Cesar Sierra,Spanish
2411459,Evan Saltzman,Economics
2850175,Nirmalya Thakur,Computer Science
2294866,Jan Barton,Accounting
678874,Lisa Dillman,Languages
2641809,Sara Botto,Psychology
798151,Frank McDonald,Chemistry
1996531,Jinho Choi,Computer Science
1358764,Hossein Samei,Languages
450825,Eric Reinders,Religion
2148215,Danielle Jung,Political Science
2131551,Brendan Montagnes,Mathematics
39667,Arri Eisen,Science
233270,Clifton Green,Business
2430651,Nosayba El-Sayed,Computer Science
309031,Marshall Duke,Psychology
2190486,Manuela Manetta,Mathematics
1978962,Vivian Yue,Economics
1345760,Iain Shepherd,Biology
2939676,Tamara Medina,Psychology
1777905,Alessandro Veneziani,Mathematics
1462657,Thomas Lancaster,Political Science
1774363,Liv Nilsson-Stutz,Anthropology
1997102,Kurt Warncke,Physics
1022038,Jeffrey Mullis,Sociology
2502328,Paul Moon,Psychology
2340261,Karen Ton,Accounting
1804691,Emily Bianchi,Business
1147519,Dwight Duffus,Mathematics
