id,name,department
2766460,Rianna Deringer,Health Science
2957408,Milagros Munoz Salas,Geology
2824860,Anju Duley,Chemistry
2832813,Dylan Matthews,Criminal Justice
2960316,John Buschman,Hospitality
2841064,Betty Eugene-King,Communication
2792796,Luis Gomez,Music
2942433,Cem Sayar,Mathematics
3028186,Brent Cook,Physics
2779419,Anigladys Mesa,Law
2832937,Marzia Oceno,Political Science
2837578,Roxanna Corradino,Art History
2796061,Aleksandr Krasnok,Engineering
2805852,Samira Zad,Computer Science
2991774,Raul Coto Cabrera,Physics
2793162,Mohammed Alqahtani,Criminal Justice
2791205,Jhon Buschman,Business
2772756,Melissa Bernardo,Geography
2957201,Barbara Nogueira Souza Costa,Agriculture
2979634,Ece Teoman,Business
2812008,Malena Pendola,English
2791120,Ilisa Lieberman,Education
3001742,Mychal  Milian,Hospitality
2841189,Murat Can,Accounting
3026590,Vincent Zollo,Chemistry
2808565,Lisa Ann Mueller,Sociology
2925630,Endam Nihan,Film
3027499,niemah  osman,Computer Science
2846074,Anigladys Mesa,Political Science
2786522,Amy Desouvre,Communication
2924165,Elizabeth Urgell,Education
3034041,Chandana Wijeratne,Mathematics
3023530,Sherwin Jose,Education
2933730,Moises Torres,Architecture
2986948,Juan  Mancilla-Caceres,Mathematics
2804862,Pamela Dahlin,Psychology
2808174,John Cozza,Biology
3022567,Rebecca Lake,Science
3054637,Angelica  McCalla ,Biology
2818043,Esteban Chinchilla,Economics
2779151,Nestor Hernandez,Computer Science
2798973,Sudip Subedi,Engineering
2824318,Toshie Coke,Education
3061073,Christine King,Political Science
2809103,Patrick Moricette,Criminal Justice
2834863,Bridget Tuttle,Social Work
2805013,Carolina Villalba,English
3016693,Hafiz Abid Mahmood Malik Malik,Computer Science
2770865,Jennifer Mirabal Figueroa,Education
2812419,William Parsons,Communication
2815623,Elwood Lam,Chemistry
2794257,Sadhika Soor,Criminal Justice
2848184,Beverly Eisenstadt,Law
2975617,Indranil SenGupta,Mathematics
2789097,Ross Nedervelt,History
2831785,Asli Akkaya,Anthropology
2949507,Joseph Meira de Eirin-Lopez,Biology
3042391,Raphael Gyabeng,Accounting
2812418,Veronica Diaz,Humanities
2798124,Andrej Milic,Political Science
2807578,Haley Dawson,Psychology
3054206,Jefferson Noel,Communication
3017760,Jairo Gasiba,Mathematics
3024770,Charles Dye,Music
2972691,Arman Ghafoori,Business
3019422,Lauren Linville,Political Science
2784954,Genevieve Reid,Geography
2817932,Kellcee Jacklin,Psychology
3024074,Armando  Tranquilino,Music
2804370,Logan Saucer,Geology
3033678,Yoisell Rodriguez Nunez,Mathematics
3031107,Javier Cruz,Anthropology
2790404,Jaime Medina,Business
2794048,Jessica Dominguez,Science
2834874,Aaron Shapiro,Communication
3023523,Andre Da Costa Da Silva,Biology
3047134,German Gomez,Computer Science
3018265,Edgar Botta,Music
2807451,Raymond Awadzi,Religion
3026367,Dorine  Somenzi-Heller,Languages
2777828,Stephanie Tadal,Education
2788209,Kristine Acosta,English
2965189,Taylor Hooker,Health Science
3023758,Sofia Pilato,Biology
2777693,Elena Pelayo,Education
2786154,Arlen Garcia,Psychology
2789881,Grace Cox,Education
2810800,Kathrine Griffin,History
2812619,Douglas Clark,Communication
2840896,Melody Willoughby,Psychology
2931252,Akima Edmond,Biology
2960596,Cynthia Rojas,Psychology
3020031,Jake Cravens,Political Science
3035682,Alemayehu Shanko,Science
3039889,Michael  Robinson,Computer Science
3038433,Javier Ortega,Biology
2797837,Brent Huffman,Engineering
2987220,Antonio Johnson,Health Science
3016490,Jose  Jose Calleja,Economics
3021916,Tatiana Andrienko-Genin,Communication
