index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,mandatory,5.0,HUN2201,"W professor, lectures are long but the class is engaging and you learn a lot. Go to the midterm and final review, study, and you'll pass.",False,2024-12-16 16:01:47,2.0,A,5.0,True,False,5.0,EXTRA CREDIT--Amazing lectures --Caring,-1.0,0,0,1.0,2766460
1,mandatory,5.0,HUN2201,"A caring professor, and she gives so many easy options for extra credit.",False,2024-12-10 22:50:06,1.0,A+,5.0,True,False,5.0,EXTRA CREDIT--Amazing lectures --Caring,-1.0,0,0,1.0,2766460
2,mandatory,5.0,HUN2201,"Professor Deringer was easily one of the best professors I've taken @ FIU. Apart from the class being pretty long, theres nothing i can complain about. I enjoyed my time taking this course and would choose her as a professor in a heartbeat. I definitely learned a lot without being stressed out of my mind with the course load/ difficulty. TAKE HER!!",False,2024-12-10 22:48:47,2.0,A,5.0,True,False,5.0,Amazing lectures --Gives good feedback--Caring,-1.0,0,0,1.0,2766460
3,non mandatory,5.0,HUN2201,One of the best professor's I've taken at FIU ! She is so caring and actually wants students to do well. She gives more than enough extra credit to help your grade out. Pay attention to lectures and show up to the reviews. All quizzes and exams are online. 10/10 recommend !!,False,2024-12-10 22:47:14,2.0,A,5.0,True,False,5.0,EXTRA CREDIT--Caring--Accessible outside class,-1.0,0,0,1.0,2766460
4,mandatory,5.0,HUN2201,She very understanding and super helpful on whatever you need help in. This class is hard but having her as a professor help me get a better understanding because she goes by very topic slowly and detail by detail.,False,2024-12-10 22:44:33,2.0,B+,5.0,True,False,5.0,,3.0,0,0,1.0,2766460
5,mandatory,5.0,HUN2201,"Loved this professor! She is super understanding of students not being able to attend all of her classes but does take attendance randomly. Gives lots of extra credit, even for things like random acts of kindness and honesty. Great lectures, just a very sweet professor who wants all her students to succeed. Would definitely take her again!  ",False,2024-12-10 22:44:28,2.0,A,5.0,True,False,5.0,EXTRA CREDIT--Caring--Respected,-1.0,0,0,1.0,2766460
6,,5.0,HUN2201,She's a really kind professor! Frequently offers extra credit opportunities throughout the semester. Make sure to review and you'll do good. ,False,2024-12-10 22:40:41,1.0,,5.0,True,False,5.0,EXTRA CREDIT--Caring,,0,0,1.0,2766460
7,mandatory,5.0,HUN2201,"Great professor, a lot of slides on power points but she explains very well",False,2024-12-10 22:40:31,3.0,B,5.0,True,False,5.0,Get ready to read--EXTRA CREDIT--Caring,-1.0,0,0,1.0,2766460
8,mandatory,5.0,HUN2201,"The class is fairly easy as long as you apply yourself and review the material she discusses in lectures. Only two major exams were the midterm and final, for both she does a jeopardy style review the week before which is really helpful. ",False,2024-12-10 22:37:58,2.0,A-,5.0,True,False,5.0,EXTRA CREDIT--Amazing lectures --Caring,-1.0,0,0,1.0,2766460
9,mandatory,5.0,HUN2000,"I am so glad I was able to take Nutrition with her! Her class was once a week with no assignments besides the quizzes and exams. Such a bright energy and fun class, and I loved her class. Would take her again!",False,2024-12-10 22:34:28,2.0,A,5.0,True,False,5.0,EXTRA CREDIT--Caring--Lecture heavy,-1.0,0,0,1.0,2766460
10,non mandatory,5.0,HUN2201,Extremely hard to fail this class. Great professor! Take her!  ,False,2024-12-10 22:30:35,5.0,B+,5.0,True,False,5.0,EXTRA CREDIT--Caring--Respected,-1.0,0,0,1.0,2766460
11,non mandatory,5.0,HUN2201,Amazing teacher would have her again ,False,2024-12-10 22:29:55,3.0,B-,5.0,True,False,5.0,Amazing lectures --Hilarious--Caring,-1.0,0,0,1.0,2766460
12,mandatory,5.0,HUN2000,"She's a kind professor and very thoughtful. Gives lots of extra credit. Stick with the PPT, and you'll ace it.",False,2024-12-10 22:28:11,1.0,,5.0,True,False,5.0,EXTRA CREDIT--Amazing lectures --Caring,-1.0,0,0,1.0,2766460
13,non mandatory,5.0,HUN2201,We have lots of extra credit. There is a midterm and final each worth 30% then the rest is chapter quizzes. The final was not cumulative. You will pas this class. ,False,2024-12-10 22:26:30,2.0,Incomplete,5.0,True,False,5.0,EXTRA CREDIT--Amazing lectures --Graded by few things,3.0,0,0,1.0,2766460
14,mandatory,5.0,HUN2201,Great professor. Take her.   ,False,2024-12-10 22:21:51,1.0,A,5.0,True,False,5.0,Get ready to read--Caring--Lecture heavy,-1.0,0,0,1.0,2766460
15,non mandatory,5.0,HUN2000,She was an awesome professor. Definitely knows how to teach and make the students understand. I would 10000% take her again.,False,2024-12-10 21:55:17,1.0,A,5.0,True,False,5.0,EXTRA CREDIT--Respected--Lecture heavy,-1.0,0,0,1.0,2766460
16,mandatory,5.0,HUN2201,Such a nice professor who cares about her students. The material was not difficult to grasp due to her teaching style and she offers many opportunities for extra credit. I wish I could take this class again LOL it was so interesting and I HIGHLY recommend it along with her as the professor.,False,2024-12-10 18:50:42,2.0,A+,5.0,True,False,5.0,EXTRA CREDIT--Amazing lectures --Clear grading criteria,-1.0,0,0,1.0,2766460
17,mandatory,5.0,HUN2201,"Prof. Deringer is absolutely amazing! I loved this class, super easy. Her lectures are fun to listen to as she has a passion for the topics & is super knowledgeable about them. Textbook isn't necessary if you attend lectures. Gives lots of extra credit for attending & engaging. There are online weekly quizzes and a in-person midterm & final.",False,2024-12-10 17:42:39,2.0,A,5.0,True,False,5.0,EXTRA CREDIT--Amazing lectures --Clear grading criteria,-1.0,0,0,1.0,2766460
18,mandatory,5.0,HUN2201,This class is great very easy and the professor is willing to help and loves her students. Studying for exams is necessary so be prepared to take good notes and prepare and attend the lectures. ,False,2024-12-10 14:33:12,2.0,B+,5.0,True,False,5.0,Inspirational--Caring--Respected,3.0,0,0,1.0,2766460
19,mandatory,5.0,HUN2201,"She's amazing! her lectures are super interesting and she's been very understanding. Attendance is taken at random, not every class. Her exams are straightforwards, don't expect super hard trick question, but there is only two so don't skip out on studying for them! Gives extra credit.",False,2024-12-10 04:56:28,1.0,A,5.0,False,False,5.0,Amazing lectures --Caring--Graded by few things,,0,0,1.0,2766460
20,mandatory,5.0,HUN2201,"Professor Deringer is a really great teacher. Although the class was long, she found a way to keep you engaged during the lectures and answers any question that a student asks. I highly recommend her.",False,2024-12-10 04:34:33,2.0,B,5.0,True,False,5.0,EXTRA CREDIT--Amazing lectures --Clear grading criteria,3.0,0,0,1.0,2766460
21,mandatory,5.0,HUN2201,"Great teacher, lectures are always engaging. You cant slack on studying. She gives a solid amount of extra credit so attendance is important. Other than that she is super nice and fair and makes class enjoyable.",False,2024-12-10 03:57:18,2.0,B,5.0,True,False,5.0,Get ready to read--EXTRA CREDIT--Lecture heavy,3.0,0,0,1.0,2766460
22,mandatory,5.0,HUN2201,"Professor Deringer was amazing! Her lectures keep you engaged and she gets right to the point. She offers extra credit and is very understanding
10 out of 10 would highly recommend .",False,2024-12-10 03:26:31,2.0,B+,5.0,True,False,5.0,EXTRA CREDIT--Amazing lectures --Caring,3.0,0,0,1.0,2766460
23,mandatory,5.0,HUN2201,"Professor Deringer makes this nutrition class engaging and rewarding. With regular quizzes, two exams, and an attendance grade, the workload is manageable. Overall, an informative and enjoyable course.",False,2024-12-10 03:09:09,2.0,B+,5.0,True,False,5.0,EXTRA CREDIT--Inspirational--Respected,-1.0,0,0,1.0,2766460
