id,name,department
186368,Stephanie Dillon,Chemistry
481257,Joseph Calhoun,Economics
202827,Ishkhan Grigorian,Mathematics
845065,Mark Kearley,Chemistry
392167,Radha Bose,Statistics
882271,Yung Su,Biology
108999,John Fradel,Geography
1834432,Steven Marks,Biology
1341415,Gina O'Neal-Moffitt,Psychology
1122961,Orenda Johnson,Psychology
111891,Holly Sudano,Accounting
2370061,Lance Kerwin,Business
373840,Edwin Hilinski,Chemistry
17249,Martha Blackwelder,Mathematics
1305337,Joab Corey,Economics
1994111,Michael Hammock,Economics
151949,Ron Pierno,Accounting
1896182,Ken Armstrong,Business
463149,Mike Brady,Marketing
12859,Murray Krantz,Family & Child Sciences
235918,Pam Robbins,History
1883171,Bridget Deprince,Chemistry
283175,Kenneth Dodaro,Mathematics
12857,Mark Zeigler,Communication
1846094,Patricia Terebelski,Biology
113509,Robert Myers,Computer Science
1841519,Charles Nyce,Business
1169625,Pennington LeNoir,Mathematics
1806740,Angela Harris,Mathematics
859641,Kristina Bowers,Mathematics
1524436,Jonathan Hancock Dennis,Biology
2531701,Mike Makosiej,History
1854165,Nathan Line,Hospitality
2174266,Marie Charrel-Dennis,Biology
101073,Penelope Kirby,Mathematics
2290274,Sharanya Jayaraman,Computer Science
137457,Barry Solomon,Communication
86352,Mary Kutter,Mathematics
2204364,Leah Hollingsworth,Mathematics
1932770,Melina Myers (Vastola),Computer Science
58785,Gloria Lessan,Social Science
1539142,Brittany Kraft,Biology
1071055,David Branscome,History
192244,Elizabeth Peters,Anthropology
1267586,Kevin Dixon,Biology
379030,Billy Close,Criminal Justice
2006111,Kenneth Hanson,Chemistry
879099,Nari (Jeter) Berarducci,Family Studies
1812844,Jeff Paterson,Accounting
1837506,Lydia Hanks,Hospitality
2036273,Diane  Maltby,Mathematics
272672,James Wooland,Mathematics
2008913,Nihan Acar,Mathematics
10076,David Gaitros,Computer Science
453371,Rochelle K. Greenberg,Accounting
842782,Jeff Patterson,Business
1596454,Randolph Langley,Computer Science
611189,Melodee Moore,Engineering
655803,James Sullivan,Psychology
1634251,Geoffrey Thomas,Anthropology
2599463,Christopher Mills,Computer Science
882161,Lora Holcombe,Economics
639008,Gary Bliss,Business
788918,Tracie Mahaffey,Philosophy
440641,David M. Lind,Physics
2422261,Carrie Lee,Economics
870906,Patricia Hightower,Criminal Justice
409609,Ken Goldsby,Chemistry
1159517,Ann Tyson,Computer Science
873888,Michael Bishop,Philosophy
970609,Debra Peterson,Finance
1927413,Edward Hansen,Psychology
1418627,Peter Ray,Meteorology
1424784,Karen McGinnis,Science
143586,Ted Chiricos,Criminal Justice
882182,Carrie Lane,Psychology
251799,Karen Everage,Mathematics
154082,Jack Saltiel,Chemistry
1929587,Luke Hopkins,Marketing
428064,Vincent Mikkelsen,History
549832,Gregory Erickson,Biology
2256922,Yaineli Valdes,Mathematics
2037374,Robert Cameron,Chemistry
109742,Will Moore,Political Science
1506793,Melody Gunter,Finance
1251298,Meghan Martinez,History
677768,Whitney Bendeck,History
17251,Ken Baldauf,Innovation Hub
423977,Sally Karioth,Nursing
1567713,William Parker,Geology
314958,Daekwan Kim,International Studies
149574,Gary Benesh,Business
172984,Dennis Duke,Physics
1495364,Amy Dill,Literature
1868144,Baixiao Liu,Finance
53898,Bill Woodyard,Business
142818,Gary Smith,Business
767833,Jonathan Sheppard,History
2403952,James Dever,Business
822862,Igor Alabugin,Chemistry
815204,Sean Ehrlich,Political Science
131994,Maria Morales,Philosophy
384644,Robert Jackson,Political Science
1239192,Amy Kowal,Anthropology
899988,Elizabeth Osborne,Theater
465221,Jerry Magnan,Mathematics
202825,Paul Trombley,Biology
833265,Susan Latturner,Chemistry
389405,Lloyd Epstein,Biology
1057357,Martha Evans,Economics
1114368,Eric Stewart,Criminal Justice
335769,James Fadool,Biology
1550773,Elizabeth Lewis,Hospitality
153652,Thomas McCaleb,Economics
1823976,Katie Flanagan,Education
132020,Jay Rayburn,Communication
483946,Wayne Hochwarter,Management
2643128,Adria Peaden,Computer Science
934315,Ebrahim Randeree,Leadership
786285,Charles Barrilleaux,Political Science
235615,Phillip Downs,Business
355726,Michael Trammell,Management
590433,Anne Schwabe,Sociology
2458414,Nikolay Tsvetkov,Chemistry
1685398,Chandler Bridges,Music
464047,Steve Bailey,Business
219181,Ljubisa Adamovich,Economics
847503,Prescott Chase,Biology
1336817,Wei Yang,Chemistry
475385,Patrick Pallentino,Business
1725410,Jonathan Jenkins,Computer Science
143992,Piotr Fajer,Biology
81831,Felicia Jordan,Communication
672056,Colin Byfleet,Chemistry
814972,Brian Miller,Chemistry
447650,Margaret Ashmore,Social Work
607419,Martin Fennema,Business
406776,Leroy Odom,Geology
234314,Audrey Heffron,Social Science
1017097,Lei Zhu,Chemistry
153620,Edward Wynot,History
1032507,Stephen Kearns,Philosophy
800180,Hengli Tang,Biology
1568426,Margret Elizabeth Stroupe,Biology
969808,Fanxiu Zhu,Biology
1819002,Krista Flannigan,Criminal Justice
1170512,Terrell Robinson,Business
2532257,Sumesh Krishnan,Chemistry
2047126,Richard Oberlin,Mathematics
327180,Gregory Harris,Not Specified
2138249,Biwu Ma,Engineering
1150663,Nicholas Quinton,Geography
1836094,David Ekrut,Mathematics
153636,Robinson Herrera,History
78033,Marc Gertz,Criminal Justice
882438,Timothy Stover,Classics
2173209,James Frederich,Chemistry
1456091,Carlisle Rainey,Political Science
2467352,Sabitra Brush,Chemistry
1469075,Jay Danny Goddard,Geology
1079447,Andrew Frank,History
1673000,Anna Amundson,History
1723105,Chad Marzen,Business
11109,Davis Houck,Communication
547419,Natalie Sachs-Ericsson,Psychology
433553,Sonya Cronin,Religion
167029,Svetla Slaveva-Griffin,Classics
495139,Debra Fadool,Biology
995302,Douglas Smith,Finance
167152,Jonathan Grant,History
2082342,Russell Clayton,Communication
466765,Maxine Jones,History
1081517,Brad Gomez,Political Science
224305,Mark Souva,International Studies
308698,Vladimir Dobrosavljevic,Physics
1468318,Will Doerner,Criminal Justice
755584,George Bates,Biology
882647,Kevin Beaver,Criminal Justice
1934007,Marcela Herdova,Philosophy
980569,Volker Crede,Physics
1090343,Katie Sherron,Economics
557787,John Roberts,Philosophy
1507276,Christopher Hayes,English
2454198,Lea Nienhaus,Chemistry
1335852,Tyler Towne,Psychology
468969,Kathryn Stoddard,Classics
2874477,Kassem Hallal,Chemistry
864317,Elaine Hull,Psychology
591170,Denise Spivey,Humanities
10658,Simon Capstick,Science
305753,Joseph Hellweg,Anthropology
2008705,Stephen Oleszek,Humanities
224306,Janet Dilling,Social Science
648278,Paul Cottle,Physics
1413777,Kathryn Jones,Biology
2228669,Alix Rexford,Chemistry
633107,John Larsen,Management
235545,Graham Kinloch,Sociology
2628203,Mahsa Khoshnoud,Finance
551087,Stephen MacNamara,Communication
815376,Hon-Kee Ng,Physics
727879,Arturo Figueroa-Galvez,Health Science
460474,Andrew McFeaters,English
1087420,Jimmy Woodward,Accounting
1122740,Lise Diez-Arguelles,Marketing
1023312,Jeffrey Cece,Criminal Justice
1187698,Lisa Lyons,Biology
465545,David Bray,Business
2632874,Sean Dougherty,Psychology
1787555,Chris Jensen,English
2392068,Amid Ardakani,Economics
2061047,Rhada Bose,Statistics
2181457,Rasheda Haughbrook,Psychology
640367,Matthew Golder,Political Science
2728431,Mickey Langlais,Family & Child Sciences
529119,Steve Ramsier,Mathematics
1828206,Jack Winston,Computer Science
433474,Dean Falk,Anthropology
2079993,Justin Kennemur,Chemistry
1336080,David Moody,English
2936851,Lauren Koulias,Chemistry
241720,Bruce Grindal,Anthropology
521020,Carter Hay,Criminal Justice
1844679,Daniel Collins,Chemistry
218867,Juan Galeano,Languages
223872,Nancy De Grummond,Classics
1408984,Scott Stagg,Chemistry
459673,Gregory Dudley,Chemistry
153525,Irene Padavic,Sociology
2092718,Giancarlo Angulo,Religion
2729780,Courtney Simmons,Mathematics
88865,Burton Atkins,Political Science
413459,Maxine Montgomery,English
1082194,John Marks,Information Science
1329542,James Justus,Philosophy
549078,Matthew Day,Religion
577877,Robert Moffatt,Science
1718287,Justin Moss,Psychology
1454954,Lisa Turner De Vera,Urban & Regional Planning
644744,Simone Hruda,Engineering
1034427,Masud Monwar,Chemistry
1956938,Nicholas Bergan,Economics
1171311,Alan Spector,Psychology
984639,Terry Coonan,Criminal Justice
2143679,Andy Wang,Computer Science
467417,Tomi Gomory,Social Work
2453077,John Cole,Humanities
258787,A. E. Stiegman,Chemistry
479601,Enrique Alvarez,Languages
373936,Carol Weissert,Political Science
920680,Randolph Clarke,Philosophy
1895224,Ronald Doel,History
2417277,Wasan Tawfeeq,Languages
1102367,Jennifer Koslow,History
926744,Randy Blass,Business
758977,Lisa Weinberg,Sociology
398303,Elwood Carlson,Sociology
350396,Jon Ahlquist,Science
600380,William Landing,Science
926415,Ulla Sypher,Communication
2540749,Carolyn Roush,Political Science
1551995,Hongchang Cui,Biology
168579,dan Boroto,Psychology
1925244,Rabih Makki,Chemistry
2442767,Steven Zane,Criminal Justice
1434177,Eric Coleman,Political Science
1831519,Casey Delehanty,Political Science
1991575,Spencer Pierce ,Accounting
2376515,Mark McNees,Business
2434280,Marina Duque,Political Science
346469,James Orcutt,Sociology
1182708,Allen Romano,Classics
2089413,Eric Hsiao,Physics
2429628,Julie Brancale,Criminal Justice
676546,Katherine Burgess,English
2437510,Andrew Durdin,Religion
85706,Nick Stratis,Economics
733316,April Knill,Business
1523416,Steven Lenhert,Biology
120837,Allen Bathke,Accounting
1961334,Matthew Pietryka,Political Science
2080936,Teresa Roach,Sociology
384648,Michael Creswell,History
196710,Marcella Genz,Information Science
258398,Randall Holcombe,Economics
2592233,Stephanie Burrs,Engineering
782069,Amod Agashe,Mathematics
2706772,Ashley Pieper,Psychology
2715941,Frank Marmo,Criminal Justice
262394,Dale Smith,Political Science
2486822,Yuko Hori,Physics
689910,Tyler Stillman,Psychology
917274,Brian Ewald,Mathematics
879450,Michelle Lee,Humanities
2415838,Gokila Dorai,Computer Science
437678,Michelle Laurents,Communication
800542,Dan Mears,Criminal Justice
2543680,Justin Vos,History
470580,Barry Faulk,English
258215,David Quadagno,Biology
2214934,Jenna scott,Family  Child Sciences
897220,Pete Kunze,English
171082,Susan Blessing,Physics
922170,Bruce Thyer,Social Work
50988,Debbie O'Connor,Business
406775,Erhan Haciomeroglu,Mathematics
50978,Bruce Billings,Accounting
970369,Jeanette Wulff,Biology
1320127,Thomas Croom,Political Science
1278427,Teion Wells-Harrison,Psychology
606331,Carla Reid,Religion
370393,Richard Miller,Geography
538290,Michael Workman,Information Science
2192445,Alexa Doran,English
580626,Al Stauber,Law
1216659,Jeff Gottlieb,Religion
111978,James Gwartney,Economics
129163,Arthur Raney,Communication
549847,Harrison Prosper,Physics
1418671,John Hamman,Economics
222954,Martin Kavka,Theology
989004,Mark Jowett,Information Science
1838443,Quintin Beazer,Political Science
2752614,Aimee Seu,English
1435360,Onsurang Norrbin,Economics
1876770,Lawrence Mahon,Marketing
1081003,Albert Steigman,Chemistry
460390,Douglas Fowler,English
2616416,Mike Stewart,Health Science
1239072,Kathryn Cashin,Humanities
1875031,Pete Morton,Chemistry
1031035,Trevor Newberry,English
1646238,Andrew Askew,Physics
1673123,Haiyan Maier,Nutrition
1882923,Phil Grech,English
2325787,Aleksandr Reznikov,Mathematics
1845273,Amanda Driscoll,Political Science
369545,Charles Upchurch,History
1455569,Philip Sura,Meteorology
2801293,Raaj Winfred,Chemistry
793395,Joe Cronin,Marketing
794840,Ingo Wiedenhoever,Physics
860123,Jerrilyn McGregory,English
1114101,Wayne Hochwarter,Business
1127809,Jane Dwyer Lee,Social Work
467371,David Van Winkle,Physics
2195414,Sarah Buck,Art History
1916119,Raymond Vickers,Criminal Justice
930489,Adam Gaiser,Religion
1697256,Alexander Shelby,History
1642997,Tarah Luke,History
1033774,Timothy Holcomb,Management
1427275,Will Hanley,History
2391706,Sarah Vincent,Philosophy
2426667,Jeremy Owens,Geology
2593742,Young-An Kim,Criminal Justice
143996,Mark Riley,Physics
311043,Mark Bonn,Hospitality
299049,Milton Marquis,Economics
201107,Jane Ohlin,Hospitality
2001789,Robert  Spencer,Science
1440402,Kathleen Petersen,Mathematics
2070264,Richard  Soash,History
771265,Thomas Houpt,Biology
1239191,Efstratios Manousakis,Physics
206930,Dustin Anderson,English
724537,Brian Starks,Sociology
2409016,Michael Furman,Classics
78030,Thomas Blomberg,Criminal Justice
878910,Matthew Goff,Religion
1883264,Anthony Frawley,Physics
191690,Joyce Simmons,Business
588245,Stacy Sheffield,Economics
228639,Glen Doran,Anthropology
2290322,David Carnevale,Chemistry
139599,Timothy Matherly,Business
229612,James O'Rourke,English
2317553,Chuck Viosca,Business
2056678,Holger Kern,Political Science
368246,Carl Moore,Engineering
594536,Leah Cassorla,English
1779898,David Maslach,Business
81835,Mark Licht,Psychology
1318370,Doug Engel,Chemistry
1860956,John Schwenkler,Philosophy
815368,Giray Okten,Mathematics
211071,Paul Marty,Information Science
447652,Fran Gomory,Social Work
487642,Nicole Kelley,Religion
947541,Zahra Alghoul,Chemistry
596102,Anna Caney,History
1468232,Christopher Rosbough,Criminal Justice
