id,name,department
106114,John J. Denniston,Theology
199752,Booi Themeli,Economics
98117,Moshe Gold,English
1194500,John Shon,Accounting
186920,Ian Morrison,Mathematics
171021,Theodore Faticoni,Mathematics
92038,F. Kerins,English
47527,Paul Cimbala,History
110531,Dennis Cappello,Law
156528,Susan Wabuda,History
1897364,Michael Gatto,Finance
185100,Giacomo Santangelo,Economics
26122,Paul Levinson,Communication
916913,Ebru Turan,History
1920983,Humberto Cuen,Philosophy
1897080,Evan Wood,Mathematics
47795,Janet Dilorenzo,Marketing
115943,Hugo Benavides,Anthropology
159839,Diana Bray,Chemistry
53324,Lewis Freeman,Communication
309274,Patricia Romero,Languages
725055,Blanca Urizar,Languages
491192,Jack Wagner,Mathematics
939308,Kamilla Nowicka,Mathematics
49370,Barbara Porco Palaia,Accounting
98346,Hans Minnich,Science
60960,Mary Beth Combs,Economics
106115,Janusz Golec,Mathematics
47788,Greg Winczewski,Economics
111819,Robert Parmach,Philosophy
20999,Wm. Singer,Mathematics
60963,William Hastings,Mathematics
293427,Scott Szilagyi,Accounting
21004,Christopher Gowans,Philosophy
103490,Bruce Andrews,International Studies
103072,Judith Green,Philosophy
171018,Julia Mueller,Mathematics
47002,Kevin Jackson,Business
1281183,Greta Gilbertson,Sociology
1551019,Elizabeth Tiso,Architecture
771183,Mark Greenfield,Theater
60964,Gyula Klima,Philosophy
72258,Jacinto Fombona,Languages
744832,Edward Cahill,English
1797968,Kimberly LaMarque Orman,Communication
47564,Dana Miller,Philosophy
2053557,Desire Miessein,Physics
77153,Dorothy Klotz,Business
34304,Massud Shoja,Chemistry
47569,Cris Poor,Mathematics
1193281,Charlie Camosy,Religion
331971,Eugenia Ribeiro,Biology
198555,Philip Sicker,English
97200,Mark Caldwell,English
2143985,Fariborz Firooznia,Chemistry
110530,Kate Combellick,Communication
154364,Shahrokh Saba,Chemistry
2137513,Joshua Bromberg,Mathematics
1272890,Jesse Wolf,Mathematics
270052,Sarah Peirce,Literature
492229,Melkana Brakalova- Trevithick,Mathematics
127834,George Demacopoulos,Theology
47804,Georgina Hoar,Languages
103735,Bruce Berg,Political Science
47567,Barbara Mundy,Fine Arts
484437,James Kim,English
385775,Kristine Kintanar,Economics
97900,Margot Hardenbergh,Communication
106117,Mark Silver,Computer Science
88903,Robert George,Finance
2616692,William Gault,Biology
301885,Jhilam Iqbal,Economics
933637,Shoshana Dobrow,Management
1118832,Jon Friedrich,Chemistry
184075,Jacqueline Johnson,Biology
477904,. Borerro,Languages
97889,Daniel Soyer,History
755663,Mary Denise D'Attore,Philosophy
111147,Judith Kubicki,Theology
21000,Mary Callaway,Theology
281476,Jeannine Hill-Fletcher,Theology
1503551,Marlon Seaton,Mathematics
239509,Javier Jimenez-Belmonte,Languages
387807,Evelyn Bush,Sociology
985965,Daniel Durkin,Sociology
156054,Cheri Mazza,Accounting
184645,Richard Viladesau,Theology
184545,Robert Brent,Economics
325657,Frank Werner,Finance
47183,Jack Spalding,Fine Arts
34310,Elizabeth Penry,History
356577,Harry Newman,Accounting
484431,David Hamlin,History
291810,Judith Brady,Theology
2411017,Emilio Zappa,Mathematics
2304029,Santiago Mejia,Business
1088664,Stanley Veliotis,Accounting
176682,Donald Clarke,Chemistry
1640545,Angela Monsam,English
1937928,Nikitas Kounavelis,Computer Science
472232,Nina Rowe,Art History
1244443,Samuel Albert,Art History
926357,Michael Latour,Languages
81185,Duncan James,Economics
679224,Jose Aleman,Political Science
132590,James Ciaccio,Chemistry
1664114,Spurgeon Thompson,English
184337,William Baumgarth,Political Science
2092368,Gary Percesepe,Philosophy
312817,Gerard Iwantch,Biology
899054,Samir Haddad,Philosophy
173703,Hoa Vu Tran,Computer Science
184321,Daryl Tress,Philosophy
97192,Bart Moore,Economics
2286427,Karen Trovato,Computer Science
47514,Susan Greenfield,English
619024,Nicholas Tampio,Political Science
1339982,Susan Young,Accounting
180913,Francesca Parmeggiani,Languages
159522,Joseph Cammarosano,Economics
729193,Robert Hume,Political Science
1008338,Meng Yan,Accounting
1036012,Franklin Harkins,Religion
1719881,Mark Frangos,English
1054120,J. Patrick Hornbeck,Religion
2366458,Jhevon Smith,Mathematics
1913463,Usha Sankar,Biology
2329846,Alexander Mindt,English
47181,Wolfgang Mueller,History
200268,Kathryn Heleniak,Fine Arts
2215356,Gerard Del Giacco,Economics
2750520,Cesar Castope,Economics
384414,Rosa Romeo,Accounting
290780,John Houston,History
2323124,Julie Harazduk,Computer Science
159845,Robert Sciarrone,Languages
285878,Christophe Chalamet,Theology
1580576,Alan Trevithick,Anthropology
295185,Gerard Farley,Philosophy
289085,Arthur Hayes,Communication
1223411,Nigel Salts,Mathematics
808312,Asif Siddiqi,History
1631733,Cornelius Collins,English
95818,Larry King,Marketing
181347,Gioconda Marun,Languages
1492889,Roger Y. Tsai,Computer Science
313380,Leah Richards-Fischer,English
96726,Tom McCourt,Communication
182854,Mark Chapman,Ethnic Studies
2223630,Douglas Shepardson,Humanities
1890600,Clarence Ball,Communication
323338,Troy Tassier,Economics
498151,Paul Kucharski,Philosophy
469857,Michael Lee,Religion
60965,Leo Hoar,Languages
169910,Elizabeth Hardman,History
21002,Robert Lewis,Mathematics
60962,Nancy McCarthy,Business
246597,Nicholas Georgantzas,Business
48902,Mary Burke,Economics
1831139,Vicente Rubio,Languages
738209,Bradford Hinze,Religion
182855,Jim MacDonell,Psychology
503689,Stephen Hultgren,Religion
1980092,Jasun Gong,Mathematics
163047,Maria Farland,English
2179253,Julita Haber,Management
1242387,Brent Horton,Law
106039,Kelly Ulto,Accounting
106504,Robert Penella,History
100013,Theresa Girardi,Mathematics
290572,Maija Birenbaum,English
1392822,Jane Kani Edward,History
1945218,Jelena Mihailovic,Languages
105483,Bernice Rosenthal,History
136612,Constance Hassett,English
50730,Moses Kaloustian,Science
309638,Scott Levin,English
799536,Robert Meadows-Rogers,Art History
290977,Warren Tryon,Psychology
171280,Edward Dowling,Economics
459879,Ariane Economos,Philosophy
106042,Joe Lizza,Accounting
147060,Christopher Gogwilt,English
1036015,Larry Welborn,Religion
1060463,Maryam Hastings,Mathematics
377816,Hrishikesh Vinod,Economics
441396,Craig Frank,Biology
1881579,Michelle Weber,Management
176691,Kathy Little,English
96721,Eva Badowska,English
2138465,Christopher Koenigsmann,Chemistry
1033338,Nathan Inglis,Religion
47560,Eve Keller,English
183046,Richard Giannone,English
749680,Emma Peng,Accounting
2312799,Zigeng Liu,Computer Science
2314838,Xiaojin Ye,Mathematics
2743842,Michael Natriello,English
2940858,Westin King,Mathematics
159830,Claude Mangum,History
475091,Christina Furtado,English
83547,Mike Cuneo,Social Science
2150948,Robert Clark,English
178756,Father McCormick,Theology
161518,Lance Strate,Communication
1364411,James McCann,Finance
1205828,Rachel Annunziato,Psychology
264617,Daryll McLeod,Economics
629644,Myojung Cho,Accounting
1223934,Paul Lynch,Accounting
1563605,Kathleen Lapenta,Languages
41679,Silvana Patriarca,History
1277043,Monika McDermott,Political Science
386268,Erica Obey,English
2423397,Margaret Mary Stapleton Smith,Theology
502899,Alessia Valfredini,Languages
2646166,Srdjan Maksimovic,Theology
303791,Bill Trabakino,Business
2732174,Chaoyu Dong,Economics
1773252,Robert Davis,Religion
2740104,Robb Haberman,History
2300171,Nathan Lincoln-Decusatis,Music
2425954,Michael Sekor,Biology
74914,William Myers,History
2195974,Joseph Gruber,Philosophy
190848,Jeffrey Cohen,Political Science
1900370,Asato Ikeda,Art History
706307,Elizabeth Cosenza,Business
1849858,John Garza,Religion
319202,Kim Dramer,Art History
2686570,John Adamski,Mathematics
1705154,Christopher Aubin,Physics
1500107,Jordan Windholz,English
186212,David Wei,Computer Science
164470,Steven D'Agustino,Business
1589113,Salvador Acosta,History
1218615,"Xiaolan Zhang,",Computer Science
2552087,Dawn Fariello,Biology
188702,James Kelly,Business
1198317,Robert Borrero,Modern Languages
1669789,Corey McEleney,English
1798281,Kevin Mirabile,Finance
291412,. Fleisher,Political Science
2347385,Christine Axen,History
2298819,Kristina Jacobs,Languages
2975395,Syed Zaidi,Theology
21003,John Clark,Languages
98339,Meir Ribalow,Communication
1508356,"Thomas Scirghi, S.J.",Religion
1800840,Eric Bianchi,Music
239508,H. Nasuti,Theology
47003,. Wines,History
498154,Adam Konopka,Philosophy
921634,Lise Schreier,Languages
936088,A Luna,Languages
