id,name,department
173284,Mark Croatti,Political Science
1343454,Irene Foster,Economics
111282,Martin Zysmilich,Chemistry
24699,Michael Moses,Mathematics
24701,Anthony Yezer,Economics
683349,Daoud Meerzaman,Biology
1034113,Hartmut Doebel,Biology
2396981,Daniel MacKay,Economics
304030,Steve Suranovic,Economics
193628,Roberto Samaniego,Economics
141741,Forrest Maltzman,Political Science
312917,Stephen Forssell,Psychology
416894,Kimberly Morgan,Political Science
8529,Dennis Schell,Psychology
230634,Lisa Benton-Short,Geography
154326,Henry Nau,International Politics
183830,Eric Cline,Anthropology
1022525,Farshad Foroozan,Mathematics
8018,Barbara Miller,Anthropology
171324,Srinivasan Balaji,Statistics
496070,Marie Matta,Business
623202,Sean Aday,Journalism
155388,Robert Trost,Economics
540575,Robert Betz,Political Science
68173,Hugh Agnew,History
238089,Sudip Bose,Statistics
340593,Fran Buntman,Sociology
1754437,Lakeisha McClary,Chemistry
225992,Roy Richard Grinker,Anthropology
328646,Joseph Bonin,Mathematics
329341,Kathleen Ross-Kidder,Psychology
1423628,Jill Kasle,International Politics
402129,Chad Rector,International Politics
423783,Hugo Junghenn,Mathematics
114515,Subrata Kundu,Statistics
1816621,Danny Hayes,Political Science
8020,Eric Saidel,Philosophy
901244,William Burns,History
491679,Mark Mullen,Writing
1430992,Bernardo Darquea,Information Technology
24703,Richard Zamoff,Sociology
1866953,Yonatan Lupu,Political Science
2943742,Majid Fotuhi,Psychology
801867,Rachel Pollack,Art History
598885,Tara Scully,Biology
263214,William Winstead,Honors
290246,Cayo Gamber,Writing
216308,Daniel Ullman,Mathematics
225485,Gregg Brazinsky,History
734668,Alex Dent,Anthropology
901869,Nabil Mikhail,Political Science
1797195,Anasse Bari,Computer Science
695580,John Sides,Political Science
540492,Christopher Cahill,Chemistry
226000,Murli Gupta,Mathematics
493573,Lawrence Olson,Political Science
1337934,Benjamin Hopkins,History
1191787,Elizabeth Anker,American Studies
125803,Kenneth Brown,Biology
1842657,Sharon Roosevelt,Mathematics
431988,E. Arthur Robinson,Mathematics
309346,David Silverman,History
325324,Kalvir Dhuga,Astronomy
315519,Robert Shepherd,Honors
471652,Donna Minnich,Sociology
268916,Joe Dymond,Geography
2344891,Pao-lin Tien,Economics
383247,Stephen Dopkins,Psychology
1188303,Danny Benbassat,Psychology
767116,Michael Svoboda,Writing
26678,Geoffrey Carter,English
595582,Marta Camps,Spanish
482389,William Schmitt,Mathematics
221550,Balaji Hebbar,Religion
117692,Michael Sodaro,International Politics
764687,Thomas Vadakkeveetil,Statistics
1122742,Jennifer Bertolet,History
10925,Pamela Woodruff,Psychology
216304,Jean Miller,Communication
403810,James Hershberg,History
1199385,Stephen Russell,Information Technology
132332,Leo Ribuffo,History
1854038,Alexander Downes,Political Science
2739179,Kinga Dobolyi,Computer Science
2892079,Joe Goldfrank,Computer Science
10927,Tyler Anbinder,History
225482,Angela Zimmerman,History
1689717,John Volpe,Economics
560314,Tapan Nayak,Statistics
269026,Steven Kelts,Political Science
622996,Abby Wilkerson,Writing
799817,John Hawdon,Microbiology
671089,Alexander Shumakovitch,Mathematics
1848294,Eric Dunn,Mathematics
1993919,Joan Claros,Public Health
329583,Christy Zink,Writing
2536192,Aidan Manubay,Biology
1091204,Maria Gomez-Serrano,Psychology
942406,Caroline Smith,Writing
114520,Robert Laycock,Accounting
790434,Christopher Venner,Philosophy
1258301,Wade Fletcher,Writing
318922,Tatiana Romanovskaya,Philosophy
483491,Zachary Wolfe,Writing
940390,Thamban Valappil,Statistics
158270,Patricia Phalen,Public Affairs
626081,Frank Baginski,Mathematics
2071551,Gail Clements,Chemistry
1746279,Anrieta Draganova,Mathematics
328846,Mohammed Faghfoory,Religion
508221,Scheherezade Rehman,Business
275912,Judith Vajda,Psychology
276633,Paul Duff,Religion
405179,Richard Tollo,Earth Science
2316393,Dina Rady,Economics
374875,Heather Schell,Writing
378579,Susan Sell,Political Science
753268,Derek Malone-France,Writing
2607930,Deborah Boucoyannis,Political Science
1733330,Meraj Allahrakha,Economics
405693,Susan Johnston,Anthropology
385939,Salah Hassan,Marketing
1385875,Jorge Rivera,Management
157919,Richard Thornton,History
2556976,John Manubay,Biology
1635835,Theo Christov,Honors
456114,Dane Kennedy,History
2294621,Adam Dean,Political Science
112913,Mike Bradley,Economics
501831,Arun Malik,Economics
752068,Sandra Friedman,Writing
2832,Arthur Wilson,Business
953767,Bruce Dickson,Political Science
2629225,Jay Daigle,Mathematics
490271,Bonnie Morris,Women's Studies
1754938,Denver Brunsman,History
476306,Myeong-Ho Sohn,Psychology
1055641,Joshua Landon,Statistics
1275508,Robin Marcus,Writing
1066370,Francys Subiaul,Speech & Hearing Sciences
415377,Joan Hilderbrandt,Chemistry
2338023,Brenda Bradley,Anthropology
