id,name,department
365940,Carol Rogers,Economics
212290,Arik Levinson,Economics
1513029,Oded Meyer,Mathematics
133047,Eric Langenbacher,Government
44344,Marius Schwartz,Economics
2627020,David Burk,Economics
202826,Lauve Steenhuisen,Theology
483021,Diana Glick,Chemistry
135627,Axel Anderson,Economics
23424,Heidi Elmendorf,Biology
1322053,Matthew Carnes,Government
373577,Thomas Cooke,Accounting
384006,Frederick Ruf,Theology
903433,Andrew Bennett,Government
405666,W. Gerrod Parrott,Psychology
308814,Tommaso Astarita,History
278782,Theresa Sanders,Theology
672053,Terry Pinkard,Philosophy
1703435,Willis Addison Woods,Computer Science
1224851,Sam Potolicchio,Government
743207,Julia Lamm,Theology
1351654,Rosanne Morici,Theology
269820,Charles King,Government
1845731,Mark Giordano,International Studies
44345,Behzad Diba,Economics
1207180,Matthew Kroenig,Government
138691,Allan Angerio,Health Science
1582555,Kerry Danner-Mcdonald,Theology
261439,Hector Campos,Spanish
989884,Deborah Stearns,Psychology
313276,Diane Yeager,Theology
376328,Tod Linafelt,Theology
1933944,Erblin Mehmetaj,Mathematics
323766,Stefan Zimmers,History
388223,R. Bruce Douglass,Philosophy
315410,Francis Ambrosio,Philosophy
433139,Mary Erb,Mathematics
908650,Jonathan Ray,Theology
246674,Alan Mitchell,Theology
14432,Joshua Mitchell,Philosophy
484925,William Blattner,Philosophy
906913,Gabor Agoston,History
134563,Mark Rom,Government
373581,Stella Cohen-Scali,French
1343613,Michael Slater,Theology
373573,Alan Mayer-Sommer,Accounting
308372,Fathali Moghaddam,Psychology
589672,James Dalkin,Accounting
134573,Wilfried Ver Eecke,Philosophy
14434,Mitch Kaneda,Economics
267457,Stephen Fields,Theology
35201,Kirsten Anderson,Accounting
304533,Osama Abi-Mershed,History
521510,Keith Hrebenak,International Studies
376571,Alissa Webel,French
91801,Joseph Neale,Science
519917,Douglas McCabe,Management
1044881,Michael Raney,Mathematics
373574,David Edelstein,Government
803752,Lise Howard,Government
441546,Ori Soltes,Theology
388227,Michael Wall,History
267462,Jackie Hoell,Business
104540,Steven Sabat,Psychology
940518,Marc Busch,Government
134569,James Schall,Government
373909,Ana Levenson,Spanish
278778,Joseph Murphy,Theology
1090325,Sarah Stiles,Sociology
323774,Michele Swers,Government
313442,John Pilch,Theology
535227,"Christopher Steck, S.J.",Theology
199839,Karen Stohr,Philosophy
789544,Harvey Iglarsh,Management
613699,Angel Dedios,Chemistry
143048,David Goldfrank,History
521780,Marilyn McMorrow,Government
284579,Alisa Carse,Philosophy
133031,James Shedel,History
543925,Sandra Horvath-Peterson,History
410440,Barrett Tilney,Art History
1222996,Andrea Bonior,Psychology
489931,Howard Spendelow,History
1966299,Patrick Johnson,Physics
2820431,Jonathan Ostry,Economics
807437,Susan Pinkard,History
618610,David Collins,History
202818,Adhip Chaudhuri,Economics
2527990,Min-ah Cho,Theology
271108,Ian Gale,Economics
2735326,Emisa Nategh,Business
593705,Bonnie Montano,Business
705790,Vicki Tang,Accounting
405662,Michael Collins,English
284572,Amy Leonard,History
263494,Charles McNelis,Classics
489262,Clay Shields,Computer Science
2419508,Cynthia Wei,Science
2646206,William Schlickenmaier,Government
1121766,Abigail Marsh,Psychology
776495,Ellen Gorman,English
787157,Raj Desai,International Studies
308731,Craig O'Connor,Marketing
521511,Adam Rothman,History
503455,Judith Miller,Mathematics
1917436,Luke O'Connell,Theology
134581,James Walsh,Theology
376325,Michael Czinkota,International Studies
941466,Richard Weiss,Chemistry
683519,Earl Skelton,Physics
1541478,James Albrecht,Economics
480968,Kevin Holman,Chemistry
1570740,Manus Patten,Biology
2596814,Alan Bester,Economics
545175,Thane Gustafson,Government
1426605,B. Niles Tomlinson,Humanities
407725,Ronda Rolfes,Biology
490071,Haitao Fan,Mathematics
628551,Mary Jane Barnett,English
1787706,Parina Patel,Foreign Service
1897685,Fuad Hasanov,Economics
1072160,Charles Skuba,International Business
