id,name,department
2051964,Melinda McDaniel,Computer Science
2608869,Richard Landry,Computer Science
1841430,Sal Barone,Mathematics
2184295,Kantwon Rogers,Computer Science
1633943,Arnold Rubinoff,Management
1931623,Mary Hudachek-Buswell,Computer Science
1213939,Carrie Shepler,Chemistry
527118,George Burdell,Engineering
1422389,Martin Jarrio,Physics
2329204,Gerandy Brito,Mathematics
2459415,Susan (Suzy) Watson-Phillips,Computer Science
272905,Klara Grodzinsky,Mathematics
1347181,Olufisayo Omojokun,Computer Science
2267953,David Joyner,Computer Science
2883092,Abrahim Ladha,Computer Science
233689,Doron Lubinsky,Mathematics
10920,Xu Yan Chen,Mathematics
2571456,Aibek Musaev,Computer Science
162807,David Smith,Computer Science
1308363,Edwin Greco,Physics
2632660,Emily Alicea-Munoz,Physics
26040,Dianne Leader,Psychology
2886929,Deborah Santos,Chemistry
2525622,Michael Evans,Chemistry
659616,Wade Chumney,Business
2469725,Caleb Southern,Computer Science
1922514,Pamela Pollet,Chemistry
1661971,Adam Decker,Health Science
453737,Hamid Garmestani,Engineering
1238183,Zhiwu Lin,Mathematics
10478,Thad Starner,Computer Science
2049917,Christopher Stanzione,Psychology
2719167,Frederic Faulkner,Computer Science
2790147,Douglas Flamming,History
2030556,Gregory Mayer,Mathematics
906485,Cedric Stallworth,Computer Science
462349,Matthew Hild,History
2250367,Christopher Jankowski,Mathematics
135530,John Stasko,Computer Science
145977,Monica Sweat,Computer Science
2082034,Denis Dorozhkin,Mechanical Engineering
2710974,Ronnie Howard,Computer Science
2352927,Mark Moss,Computer Science
26048,Theresa Snow,Health Science
1888017,Raghuram Pucha,Mechanical Engineering
10482,Bill Leahy,Computer Science
1440997,Faisal Alamgir,Materials Engineering
1306716,Konstantinos Dovrolis,Computer Science
1842796,Christopher Simpkins,Computer Science
2094611,Tatiana Rudchenko,Management
1972712,Kevin Johnson,Electrical Engineering
1927849,Kimberly Schurmeier,Chemistry
25613,Eric Murray,Science
2265952,Lesley Baradel,Health Science
330973,Joyce Medina,Architecture
750970,Robert Foley,Industrial Engineering
2919770,Chris Wirgler,Computer Science
1604835,Donald Doyle,Chemistry
905052,Guillermo Goldsztein,Mathematics
649561,Plamen Iliev,Mathematics
2933638,Pedro  Feijoo-Garcia,Computer Science
2099778,Michele Rosbruck,Health Science
2405581,Neha Gupta,Mathematics
946164,Jake Soper,Chemistry
1888021,Thomas Conte,Computer Science
2325015,Amanda Girard,"Literature, Media, & Communication"
2757288,Rodrigo Borela,Computer Science
446492,Tom Morley,Mathematics
1882580,Haiyu Zou,Mathematics
940111,Jung Choi,Biology
1195325,Jay Summet,Computer Science
2229059,Michael Smith,Management
2150658,Daniel Forsyth,Computer Science
2291485,Turab Zaidi,Aerospace Engineering
2592801,Victor Vilaça Da Rocha,Mathematics
2315810,Aselia Urmanbetova,Economics
2096460,Dan Margalit,Mathematics
2100427,Eliza Markley,International Politics
865858,Thang Le,Mathematics
2744382,Onur Birol,Biology
2620871,Gary Lavigne,Mathematics
2868093,Nimisha Roy,Computer Science
2405115,Shuenn Siang Ng,Mathematics
1635936,Greg Blekherman,Mathematics
26045,Jeff Geronimo,Mathematics
200385,Lawrence Foster,History
2440507,David Smith,Mechanical Engineering
520207,Joseph Montoya,Biology
1842415,Ron Johnson,Industrial Engineering
2481691,Samantha Wilson,Earth Science
2045884,Martin Short,Mathematics
2464859,Mahdi Roozbahani,Computer Science
2199464,Mark Riedl,Computer Science
353556,Heinrich Matzinger,Mathematics
2204457,Emily Weigel,Biology
465167,Greg Huey,Science
467511,David Garton,Biology
964513,Mark Zachary Taylor,Political Science
2581664,Nivedita Bhattacharya,Electrical Engineering
1206421,Umakishore Ramachandran,Computer Science
845679,Ronghua Pan,Mathematics
775874,Deborah Turner,Management
915955,William (Bill) Winders,History & Sociology
2842656,Iretta Kearse,Computer Science
2707998,Anh Le,Chemistry
1998895,Eric Murray,Physics
8896,Jim Greenlee,Computer Science
2357602,Meghan Babcock,Psychology
1320731,Michael Loss,Mathematics
1458303,Tibor Besedes,Economics
2034176,I-Hsiang Lee,Industrial Engineering
2222566,Min Zhou,Mechanical Engineering
2322438,Colin Parker,Physics
515663,Stuart Graham,Management
2556086,Michael Polak,Public Policy
2363728,Jason Rich,Political Science
1191660,Carla Gerona,History
2082041,Nicholas Darnton,Physics
200408,Thomas Collins,Engineering
818632,Igor Belegradek,Mathematics
1741237,Linda Wills,Electrical Engineering
1986798,Josephine Yu,Mathematics
435733,Jean Bellissard,Physics
13317,John McCuan,Mathematics
864992,Michael Lacey,Mathematics
1089073,Mikhail Klimenko,Economics
2482891,Tuba Ketenci,Industrial Engineering
434956,Arnold Schneider,Accounting
1716386,Marc K. Smith,Mechanical Engineering
760458,Valeria Milam,Materials Engineering
10617,Richard Catrambone,Psychology
608703,Ernest Croot,Mathematics
1112165,Michael Leamy,Mechanical Engineering
1778774,Flavio Fenton,Physics
2843243,Hunter Lehmann,Mathematics
1348481,Sung Kang,Mathematics
1915429,John Smith,History
231363,William Baron,Chemistry
554218,Federico Bonetto,Mathematics
26046,Johan Belinfante,Mathematics
1847656,Joe Rabinoff,Mathematics
1049604,Karl Jacob,Engineering
1853380,Adam Otte,Physics
1972459,Shana Kerr,Biology
1856445,M G Finn,Chemistry
172938,Michael Evans,Mathematics
434436,Sung Kyu Lim,Engineering
2050496,Chris Reinhard,Earth Science
2050343,Jiayin Jin,Mathematics
436211,Abhijit Chatterjee,Electrical Engineering
1992599,Matthew Oliver,Economics
10919,Enid Steinbart,Mathematics
1386012,Olivier Pierron,Mechanical Engineering
2291850,Carlos Silva,Chemistry
1783228,Lionel Gall,French
2218288,Peter Yunker,Physics
2295294,David Torello,Mechanical Engineering
1530464,Aaron Santesso,Literature
2274754,Jacqueline Garner,Management
1331441,Wing LI,Mathematics
482664,Daniel Spieler,Psychology
1973437,Antonia Antoniou,Mechanical Engineering
1223231,Kristin Marsicano,Computer Science
1344919,Chongchun Zeng,Mathematics
2217277,Jeffrey Fallis,English
1985824,Craig Tovey,Industrial Engineering
1542959,Jerry Seitzman,Aerospace Engineering
437336,Angus Wilkinson,Chemistry
1576616,Meg Grantham,Earth Science
2543035,Wade Bloomquist,Mathematics
1817205,Nicoleta Serban,Industrial Engineering
2275353,Damon Williams,Industrial Engineering
2123841,Mark Losego,Materials Engineering
2825243,Evelyne Smith-Roberge,Mathematics
1608180,Alisha Waller,Industrial Engineering
2353120,Colin Harrison,Biology
2807415,Chris McDermott,International Politics
572474,John Zhang,Science
2739675,Edward Timko,Mathematics
1274601,Lucien Dhooge,Management
2256284,Martina Balic,Civil Engineering
2581120,Marc Weissburg,Biology
2524962,Daniel Amsterdam,History
1049417,Christine Ries,Economics
1463896,Jennifer Curtis,Physics
1539434,Haiying Huang,Civil Engineering
1631004,Julian Rimoli,Aerospace Engineering
2634891,Satyajit Karnik,Management
266587,Michael Schatz,Physics
2072926,Julia Melkers,Political Science
1744205,Steven Liang,Mechanical Engineering
1281098,Hans Klein,Public Policy
1360383,Bob Waters,Computer Science
1880482,Jennifer Hasler,Electrical Engineering
2895114,Papri Dey,Mathematics
904584,Jim Craig,Aerospace Engineering
2138150,Chrissy Spencer,Biology
2729967,Mayuresh Patil,Aerospace Engineering
2952742,Lily Turaski,Materials Engineering
2238582,Michael Lowe,Management
2842134,Leonard Stendig,Economics
588638,Alfred Andrew,Mathematics
797693,Yingjie Liu,Mathematics
2651473,Parisa Yousefi Zowj,Industrial Engineering
2737763,Jonathan Simone,Mathematics
2132865,Francois Guillot,Mechanical Engineering
1157118,Sabir Khan,Architecture
990545,Luz-Vela Arevalo,Mathematics
35584,Larry Jacobs,Engineering
201657,Willie Belton,Economics
1796790,Paul Verhaeghen,Psychology
2088020,Dong Qin,Materials Engineering
2163471,Samba Sy,French
2769373,Sahil Singla,Computer Science
287968,Andrzej Swiech,Mathematics
1082134,Erik Verriest,Electrical Engineering
2006027,John Browning,English
2468547,Claire Berger,Physics
2531969,Kelly Griendling,Aerospace Engineering
1553041,Seyed Ghiaasiaan,Mechanical Engineering
2827204,Kalila Lehmann,Mathematics
1350661,Robert Rosenberger,Public Policy
2371865,Will Gutekunst,Chemistry
2171219,Joyelle Harris,Electrical Engineering
1365131,Jeffrey Streator,Mechanical Engineering
2455656,Corey Goergen,English
2047265,Hayriye Ayhan,Industrial Engineering
2511722,Ryan Blunck,Accounting
2633875,Yaofeng Su,Mathematics
1766003,Ellery Ingall,Earth Science
1848155,Geng Chen,Mathematics
475459,Andrew Zangwill,Physics
2291121,McKenna Rose,English
