id,name,department
1227376,Matthew Rindge,Religion
1209623,Olga Kozubenko,Mathematics
472600,Kevin O'Connor,History
22002,Colleen Goodwin,Mathematics
1127335,Sarah Powers,Mathematics
491488,Michael Joy,Business
491438,Stephen Warren,Chemistry
1184147,Jessica Halliday,English
601092,Mark Bowman,Philosophy
706124,Heath Herrick,English
111506,Randall Bennett,Economics
719192,Don Hackney,Business
491497,Linda Tredennick,English
326004,Jeff Cronk,Chemistry
292318,Andrew Goldman,History
283207,Joseph Haydock,Biology
888924,Kevin Henrickson,Economics
534138,Virgil Thompson,Religion
148269,Kevin Chambers,History
194522,Jd Thayer,English
1244548,Kristina Morehouse,Communication Arts
2185808,Tomas Guardia,Mathematics
191064,Jonas Cox,Education
1372412,Ryan Herzog,Economics
595147,Eric Cunningham,History
435008,Michele Pajer,English
426743,Hugh Lefcort,Biology
579170,John Beck,Economics
1757317,Erik Aver,Physics
905445,Brian Cooney,English
673063,Douglas Kries,Philosophy
939330,Patrick Baraza,Religion
2476199,Alejandro Vargas,Philosophy
1523620,Gergeley Gidofalvi,Chemistry
505397,David Calhoun,Philosophy
1100364,Ginger Grey,English
775110,Vik Gumbhir,Criminal Justice
497649,Blaine Garvin,Political Science
1212054,Erica Johnson,Economics
454534,Gregory Bergland,Philosophy
496140,John Wagner,Philosophy
598102,Kirk Besmer,Philosophy
111505,Ardyth Bass,Theology
145694,Jeff Bierman,Physics
802639,Dean Larson,Mathematics
1054943,Gemma D'Ambruoso,Chemistry
387803,Troy Rux,Mathematics
326003,Jennifer Shepherd,Chemistry
579817,Scott Hedin,Business
581809,Paul Depalma,Computer Science
180504,Kevin Hekmatpanah,Music
678960,Michael Tkacz,Philosophy
738313,Rob Ray,Mathematics
916809,Jeffrey Dodd,English
484706,"Albert ""Tony"" Osborne",Communication
529676,Scott Starbuck,Religion
2444938,Jillian Labelle,Accounting
1638938,Katey Roden,English
898490,Eric Ross,Chemistry
435011,Diane Birginal,Modern Languages
283222,Kevin McCruden,Theology
600914,Anne Marie Medina,Psychology
1845024,James McKenzie,Human Physiology
894564,G. Eddy Birrer,Accounting
675971,Michael Maher,History
27697,Glen Frappier,Communication
1075813,Gerhard Barone,Accounting
753932,Heather Easterling,English
905248,Ellen MacCarone,Philosophy
1282196,Richard Goodrich,History
718788,John Traynor,Education
163056,Gail Nord,Mathematics
1050986,Luis Garcia-Torvisco,Modern Languages
1187250,Matthew Cremeens,Chemistry
110665,Pasty Fowler,English
579169,Matthew Quinn McPherson,Economics
1517790,Steve Conant,Human Physiology
235631,Robert Carriker,History
400580,RaGena DeAragon,History
491490,Michael Pringle,English
575330,Robert Waterman,Political Science
968442,Nancy Staub,Biology
2183631,Joan Braune,Philosophy
998051,John Sheveland,Religion
745180,Linda Schearing,Religion
1111845,Anastasia Wendlinder,Religion
2311722,Megan McCabe,Religious Studies
1155997,Ann Ciasullo,English
873466,David M. Weise,Philosophy
1926048,Kate Kearney,Mathematics
1218421,Dan Bradley,Philosophy
14511,Pat McCormick,Religious Studies
2219498,David Tagnani,English
1866614,Cathy DeHart,Accounting
2545558,Corey Knadler,Biology
525691,Quanhua Liu,Philosophy
100208,Tom Jeannot,Philosophy
1220665,David Cleary,Chemistry
14512,Dan Butterworth,English
893343,Brook Swanson,Biology
1207515,Vesta Coufal,Mathematics
504387,Patrick Hartin,Religion
818277,Ta-Tao Chuang,Business
528987,Wayne Pomerleau,Philosophy
600904,Tod Marshall,English
1770938,Bruce Beerman,Philosophy
742989,Mirjeta Beqiri,Management
1227770,Mike Nelson,Psychology
822266,Gary Chang,Biology
1204190,Elizabeth Rubasky-Roewe,English
590822,Erik Schmidt,Philosophy
581424,Andrea Fallenstein,Sociology
632238,Kathie Yerion,Computer Science
759035,Ingrid Ranum-Herrman,English
549470,Carole Baumgartner,English
539166,Robert Donnelly,History
581366,Allan Greer,Physics
760727,Mark Alfino,Philosophy
579173,Daniel Warren Law,Accounting
407611,Stephen Kuder,Religion
1305862,Sarah Siegel,Chemistry
528989,Shannon Overbay,Mathematics
1886229,Veta Schlimgen,History
519967,Bianca Tredennick,English
598098,Dave Fague,Music
1817441,Sara Diaz,Women's Studies
810419,Eric Kincanon,Physics
664502,Stephen Balzarini,History
518360,Al Miranne,Criminal Justice
596898,Peter Chojnowski,Philosophy
1939341,Jason Stoke,Physics
380184,Brian Clayton,Philosophy
1857112,Sara Kern,Accounting
912130,Andrea Bertotti Metoyer,Sociology
1809435,Kelley Bishop,Modern Languages
2162910,Matthew Bolton,English
1497450,Elizabeth Goldstein,Religion
705775,Michael Connolly,Political Science
2618819,Daniel Pschaida,International Studies
589873,Rob Hauck,Religion
822265,Kirk Anders,Biology
1179458,Marianne Poxleitner,Biology
201156,Marguerite Marin,Sociology
1351842,Ann Ostendorf,History
463031,Jon Isacoff,International Studies
755705,John Jenson,Philosophy
268274,Sam Leigland,Psychology
1665692,Joe Gardner,Political Science
2436959,Shannen Cravens,Chemistry
740843,James Helgeson,Business
910781,Jeff Miller,English
1307770,Brent Diebel,Philosophy
1177697,John Vander Beek,Mathematics
2057005,Adam Fritsch,Physics
2541204,Daniel Olivares,Computer Science
491004,Joanne Smieja,Chemistry
2447564,Jaishikha Nautiyal,Communication
472599,Tom McKenzie,Mathematics
1195796,Jessica Maucione,English
2202322,Melody Alsaker,Mathematics
62902,Theodore DiMaria,Philosophy
762708,David Boose,Biology
807214,Jay Ciaffa,Philosophy
904327,Robert Thomas,Chemistry
100521,Kent Hickman,Business
472606,Shalon Parker,Art History
712152,Sara Melendy,Accounting
1354786,Amy Corey,Communication
36793,Scott Coble,Mathematics
2180993,Brianna Dorie,General Engineering
1046263,Tom Robinson,Political Science
2062199,Matthew Geske,Physics
2184802,Christy Andrade,Biology
878789,Debby Hutchins,Philosophy
1198733,John Eliason,English
2359128,Michelle Ghrist,Mathematics
1939415,Tyler Tritten,Philosophy
916835,Clarence Barnes,Economics
1957845,Danielle Layne,Philosophy
1843137,Saeid Houshmandyar,Physics
1699130,Roisin Lally,Philosophy
2653969,Lee Wurm,Psychology
589877,John Wolfe,Psychology
491445,Jason Stenzel,Chemistry
2761142,Nader Shoaibi,Philosophy
712035,Micheal Collender,Philosophy
2578341,Itohan Idumwonyi,Religious Studies
930836,Michael Treleaven,Political Science
1231447,Lada Kurpis,Marketing
2052604,Katharine Shultis,Mathematics
581401,John Burke,Mathematics
2537311,Wilson Bailey,Chemistry
1703190,Todd Finkle,Business
145687,Joy Milos,Theology
2497227,Shane Gronholz,Philosophy
2517081,Greta Turnbull,Philosophy
263571,Robert Spittal,Music
536974,Amy Willis,Religion
387813,Matthew Bahr,Sociology
1037058,Andrew Truhler,Business
611899,Kirk Kimberly,Criminal Justice
496138,Beth Cooley,English
1312510,Sarah Seigel,Chemistry
2426497,Kevin Brown,Religious Studies
387793,Julie Beckstead,Biology
874687,Vivek Patil,Marketing
496144,Robert Herold,Political Science
1961574,Scott Broder,Business
296538,Robert Bryant,Computer Science
685032,Bill Hayes,Sociology
908329,Monica Bartlett,Psychology
1223556,Brian Henning,Philosophy
22003,Stefania Nedderman,Modern Languages
736789,Martha Wheatley-Billeter,Communication
740621,Casey McNellis,Accounting
1491830,Rebecca Marquis,Modern Languages
822053,Catherine Siejk,Religion
1204841,Jeff Hazen,Chemistry
2067181,Joseph  Johnston ,Sociology
2070684,Timothy Weidel,Philosophy
589876,Michael McBride,Psychology
598099,Karen Clarke,Communication
835322,J. Michael Fitzsimmons,Communication
2088077,Naghme Morlock,Sociology
1069738,Frank Slak,Law
2096148,Bruce Worobec,Computer Science
