id,name,department
320446,David Malan,Computer Science
1406187,Remo Airaldi,Theater
1151909,Sri Mukherjee,Writing
144541,Marjorie Garber,English
627131,Paul Bamberg,Mathematics
64019,Marc Hauser,Psychology
59877,Robert Neugeboren,Economics
558623,Geraldine Grimm,Writing
76603,Ali Asani,Design
1670330,Michael Miner,Government
2445139,Greg Sabin,Management
190494,Michael Sandel,Political Science
1944365,Michael Parzen,Statistics
190490,Elaine Scarry,English
1712398,Jennifer Carr,Biology
22094,Kyle Bates,Engineering
176821,Martin Feldstein,Economics
1620773,Bruno Sergi,Political Science
365960,Theo Theoharis,Humanities
1800030,Mona Weissmark,Psychology
166251,Lawrence Buell,English
1154223,Oliver Knill,Mathematics
540333,Shelley Carson,Psychology
202265,Leo Damrosch,English
71536,Alan Dershowitz,Law
166265,Phillip Fisher,English
981373,Marlon Kuzmick,Writing
22343,Melissa McDonald,English
1073084,Joseph Blitzstein,Statistics
2192391,Ryan Draft,Biology
187527,Howard Georgi,Physics
2379289,Jelani Nelson,Computer Science
2340099,Max Krasnow,Psychology
377596,Gregory Nagy,Classics
627493,Gregory Mankiw,Economics
567550,Jens Meierhenrich,Government
481783,Jamil Mahuad,Law
1169470,Logan McCarty,Chemistry
221893,Ed Glaeser,Economics
219327,Helen Vendler,English
1456588,William Anderson,Biology
722525,Andy Engelward,Mathematics
1174380,Greg Tucci,Chemistry
1728811,Sayyed Mohsen Fatemi,Psychology
774048,Michael Mitzenmacher,Computer Science
334471,Ellsworth Fersch,Psychology
305403,Harry Lewis,Computer Science
848439,Malinda Lowery,History
984125,Ralph Selig,Computer Science
132922,Anne Monius,Theology
218468,Harvey Mansfield,Political Science
220493,Stephen Greenblatt,English
344288,Steven Levitsky,Political Science
220495,Homi K. Bhaba,English
487813,Jeremy Rau,Communication
344862,Noam Elkies,Mathematics
300121,Sue Schopf,English
220494,Sacvan Bercovitch,English
1011861,Todd Farchione,Psychology
264952,Eric Jacobsen,Chemistry
896036,Eric Rentschler,Film
321098,Jan Feldman,Political Science
2046298,Naomi Stephen,Writing
346419,Emmanuel Akyeampong,History
1727391,Robert Pojasek,Environmental Studies
467743,Christopher Krebs,Classics
522176,Gary Urton,Anthropology
561900,Axel Nohturfft,Biology
412944,Steven Pinker,Psychology
719829,Dodge Fernald,Psychology
111064,Michael Flier,Languages
955086,Jason Mitchell,Psychology
511285,Andrew Lobb,Mathematics
655517,Robert Langdon,Religion
132654,Rob Austin,Business
913564,Mike Jones,Theater
185550,Christine Korsgaard,Philosophy
430814,John Lenger,Journalism
1945672,Andrew (Ze) Wang,Psychology
2180585,Pavlos Protopapas,Computer Science
2977621,Jiaxue Li,Foreign Languages & Literature
1086772,Anthony Cashman,Writing
448757,Brian Little,Psychology
69626,Melissa Barry,Philosophy
283433,John Nash,Mathematics
1112641,Stephen Burt,English
1043720,Richard McNally,Psychology
172037,David Carrasco,Theology
1191302,Henry Louis Gates,Ethnic Studies
226418,Gordon Teskey,English
538900,Louis Menand,English
811954,Vahid Tarokh,Engineering
714432,John Stauffer,English
511078,Wynn Schwartz,Psychology
305349,Sunney Xie,Chemistry
164063,Maryellen Ruvolo,Biology
751867,Parimal Patil,Religion
205777,Cynthia Friend,Chemistry
1944373,Peter  Girguis,Biology
849604,Zoe Trodd,English
1326984,Ursula Lindqvist,Languages
220497,Daniel Donoghue,English
1799067,Rebecca Summerhays,Writing
69632,Warren Goldfarb,Philosophy
725853,Mark Zender,Anthropology
187525,Daniel Fisher,Physics
473729,Kresling Matthew,Writing
68824,Roger Porter,Political Science
589140,Trygve Throntveit,History
2279908,George Soroka,International Studies
873408,Alice Jardine,Womens & Gender Studies
245046,Charles Henebry,Writing
267911,Daniel Sturgeon,Anthropology
598076,David Roxburgh,Art History
292776,Richard Moran,Philosophy
2157286,Susan Robertson,Business
810417,Eric Heller,Physics
69629,Gerald Sacks,Mathematics
627753,John Huehnergard,Languages
1773760,David Laibson,Economics
607194,Peter Kronheimer,Mathematics
1180664,Jill Hooley,Psychology
2565162,Tim Hoxha,Law
184585,Margo Seltzer,Computer Science
636824,John Hamilton,Literature
761619,Peter Bol,History
1333186,Ahmed Ragab,History
1678456,Beth Simmons,Political Science
806770,Jason UR,Anthropology
851363,Donhee Ham,Engineering
559497,George Blaustein,English
600946,Joe Harris,Mathematics
816421,John Stilgoe,Environmental Studies
900535,Elisa New,English
194762,Kath Weston,Women's Studies
2612094,Kabelo Witness Matlou,African Studies
1449102,Klein Voleh,Mathematics
770686,Richard Thomas,Classics
2031964,Federica  Pedriali,International Studies
2154910,Susan Lanzoni,History
1935047,Robert Woollacott,Biology
1969803,Cai Chang,History
2157284,Anne Manning,Business
627751,Jo Ann Hackett,Religion
1258118,Andrew McMahon,Biology
2390995,Payam Mohseni,Government
1617440,Andrew Berry,Biology
844748,Aaron Mauck,History
1251715,Melissa McCormick,Art History
639543,John Spengler,Environmental Science
136611,Catherine Corman,History
1532353,Philippe Aghion,Economics
879688,Jason Kober,Accounting
81852,Kathleen Coleman,Languages
2572313,Faris Saah,Finance
137030,Charles Ducey,Education
712446,Stephanie Sogg,Psychology
589403,Afsaneh Najmabadi,History
578559,Dale Salwak,English
853632,Lisa T. Brooks,Literature
766532,Scott Zigler,Theater
841832,Wendy Mendes,Psychology
2435747,Cameron Kainth,Criminal Justice
226423,Glenda Carpio,English
2781364,Nahuel Perrot,Education & Academic Advancement
824595,Ned Hall,Philosophy
692456,Francis Irele,Literature
1370577,Brett Flehinger,Writing
2472080,John Hancock,Government
2347110,Isaac Rivera,Biology
2559257,Lukas Villalpando,Women's Studies
2901236,Zhutian Chen,Computer Science
2677515,Rebecca Nesson,Computer Science
1601104,Jack McCulloch,Computer Science
1036147,Robert Bates,Political Science
1295920,Manuel Sprung,Psychology
2719890,Petros Koumoutsakos,Engineering
2347071,Prem Pushpakaran,Biology
2578475,Prineha Narang,Engineering
825320,Carole Hooven,Anthropology
825321,Jeremy Wolfe,Psychology
1510516,Melissa Grachan,Chemistry
1105675,David Mooney,Engineering
59836,Glenn Cohen,Law
1437874,Craig Smith,Psychology
212590,Michael Smith,Computer Science
726354,Andrew Thomas,Statistics
1049790,David Liu,Chemistry
1547512,Chuck Trent,Psychology
1117182,Theodore MacDonald,Anthropology
915583,Gordon Harvey,English
1558736,Matthew Platt,Political Science
2002044,Janina Matuszeski,Social Science
1181895,Alan Saghatelian,Chemistry
1184213,Linda Bilmes,Government
2468566,Patrick Roundhill,Chemistry
2744178,Hassan Alramahy,Physics
631617,Amartya Sen,Education
1854677,Doug Lavin,Philosophy
2152762,James Mickens,Computer Science
2435748,Mikey Singh,Engineering
862060,Carmen Arnold-Biucchi,Classics
1783708,Erma Gerd,History
1545208,Lauren Conoscenti,Psychology
948182,Hongkun Park,Chemistry
1031147,Jeffrey Miron,Economics
490867,Anna Henchman,English
1496087,Sebastian Mazzuca,Government
2273083,Dustin Tingley,Government
2719574,Sherwin Navai,Computer Science
2779785,Pamela Bartock,Health Science
2094385,Jacob Barandes,Physics
940186,Samik Basu,Mathematics
3046382,Ishay Rosen-Zvi,Religion
2043014,Aaron Thind,Medicine
1547952,Teresa Chisholm,Information Science
1258899,George Alvarez,Psychology
1605460,John Dowling,Arts & Sciences
927394,Henrietta Harrison,History
1165893,Heather Fielding,English
1172215,Benjamin Tipping,Latin
1985545,Ornela Gjata,Biology
2001330,Vassiliki Rapti,Classics
771760,William Fash,Anthropology
931181,Laurel Thatcher Ulrich,History
1150642,Oliver Simons,Foreign Languages & Literature
693053,Joe Wotbrowski,Agriculture
887160,Michael J. Puett,History
949623,Eric Lemay,Writing
2391860,Gustavo Vazquez,Medicine
1437553,Edoardo Airoldi,Statistics
2331717,Jason Silverstein,Medicine
2331718,Sophia Roosth,History
727785,Mark Kishlansky,History
686215,Haley Joshi,Medicine
1824548,Van Tran,Finance
1913426,Daniel Jackson,Anthropology
2285633,Rand Ghayad,Social Science
2247092,Brendan McLellan,Mathematics
761620,Allen Counter,Medicine
607195,. Yau,Mathematics
1422323,Dorothy Holinger,Psychology
1212993,Arnold Howitt,Government
