index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,mandatory,4.0,CS,Blah blah blah ,False,2025-01-27 09:34:45,3.0,B+,4.0,True,False,4.0,Tough grader--Participation matters--Inspirational,3.0,0,0,1.0,320446
1,non mandatory,5.0,CS50P,"This guy makes me wish I could've taken his class in person because his lectures were just THAT amazing. I took CS50P in my junior year of high school, and he is easily the best professor/teacher I've ever had. He has the most concise and easy-to-understand lectures I've ever seen. 100% recommend!",False,2025-01-20 01:23:16,2.0,Audit/No Grade,5.0,False,True,5.0,Amazing lectures --Inspirational--Respected,-1.0,0,0,1.0,320446
2,non mandatory,3.0,CS50X,"I got through to the 10th class. You can see the spike in ""most replayed"" in YouTube for when he poorly explains things. Malan has to condense usual 50-70 hour Udemy/YouTube course material into 10 2hr videos so it makes sense why its too difficult. Professor Malan is good but the course is too dense. I recommend learning a in depth course/bootcamp",False,2024-07-29 17:25:52,5.0,Incomplete,3.0,False,True,3.0,,-1.0,1,2,,320446
3,non mandatory,5.0,CS50,The best lectures in CS for beginners and newcomers in tech.,False,2024-02-18 14:30:29,2.0,Audit/No Grade,5.0,False,True,5.0,Amazing lectures --Hilarious--Respected,-1.0,3,1,1.0,320446
4,non mandatory,5.0,CS50,He was awesome. Watched online,False,2023-10-20 10:56:09,1.0,A-,5.0,False,True,5.0,,3.0,3,0,1.0,320446
5,non mandatory,5.0,CS50X,"Taking his lectures through HarvardX and he manages to make comp sci easy and interesting. Clearly very passionate and knowledgeable about his field, I was a little iffy about going into comp sci but watching him convinced me. Idk what he's like in person but clearly a great lecturer. ",False,2023-10-08 04:12:39,2.0,Audit/No Grade,5.0,False,True,5.0,Amazing lectures --Respected,-1.0,3,1,1.0,320446
6,non mandatory,5.0,CS50X,"Professor Malan is very inspirational, knowledgeable, and funny. His courses are one of the best computer science courses, and they're available for everyone, not just Harvard students.",False,2023-07-01 18:21:44,1.0,Audit/No Grade,5.0,True,True,5.0,Amazing lectures --Inspirational--Lots of homework,3.0,3,1,1.0,320446
7,non mandatory,5.0,CS50X,Best professor ever! Thanks for all you do David & team!,False,2023-06-08 05:47:38,1.0,Audit/No Grade,5.0,False,True,5.0,Amazing lectures --Inspirational,-1.0,2,1,1.0,320446
8,non mandatory,5.0,CS50X,"Professor David is knowledgeable, approachable, and passionate about computer science. Their lectures were engaging, and they provided helpful feedback on assignments. Highly recommend.",False,2023-04-01 06:35:48,3.0,A+,5.0,True,True,5.0,Participation matters--Amazing lectures --Inspirational,-1.0,3,1,1.0,320446
9,non mandatory,5.0,CS50X,This professor is very good,False,2023-02-22 17:26:54,1.0,Audit/No Grade,5.0,False,True,5.0,,-1.0,4,0,1.0,320446
