id,name,department
1632671,Andreas Woods,African-American Studies
1838252,Bahiyyah Muhammad,Sociology
2840599,Samuel Akinribade,Accounting
487112,Ivor Livingston,Sociology
1196439,Paul Albert Roger Scotto di Pompéo,Languages
199627,Gregory Carr,Ethnic Studies
1957584,Anta Sane,Political Science
122201,Byron Henry,Accounting
1801375,Monique Wells,Education
1451449,Fredric Kendrick,Communication
1843010,Jovon McCalester,Political Science
1900535,Alexander McSwain,Art
1368637,Sonia Brown,English
2142436,Demba Sy,Mathematics
388489,Jerome Kravitz,Psychology
771272,William Gordon,Biology
1638424,Chaz Gipson,Communication
793944,Joseph Fortunak,Chemistry
909481,Algris Bolton,Languages
741001,Norman Sandridge,Classics
792028,Agnes Denalane,Economics
25761,Adeniran Adeboye,Mathematics
292464,Crepin Mahop,Mathematics
2739776,Clarke Randolph,Music
286791,John Cotman,Political Science
547597,Nikongo Ba-Nikongo,Ethnic Studies
472459,John Davis,Political Science
858358,Senhuei Chen,Mathematics
483655,John Harkless,Chemistry
641594,Jason Matthews,Chemistry
548594,Walter Miller,Mathematics
1399976,Lila Ammons,African Studies
2163912,Oritsegbubemi Ayu,Psychology
659542,Richard Bayne,Mathematics
551734,Audrey Byrd,Communication
2227054,Abdulrahman Loay,Chemistry
1179348,Lifoma Salaam,Mathematics
1111004,Dharmarah Veeraraghavan,Chemistry
895000,Alexander Tulin,Classics
1635313,Mario Beatty,Ethnic Studies
2178866,Curtis Cain,Computer Information Systems
857823,Raymond Butcher,Chemistry
1240912,Jude Abanulo,Chemistry
701049,Oladapo Bakare,Chemistry
296124,James Keil,English
485699,Mohammad Mahmood,Mathematics
1314881,Ahmed Mohamed,Mathematics
1899090,Joshua Myers,African-American Studies
25762,Samuel Paschall,Business
122205,Horace Morris,English
911475,Joyce Camper,English
865278,Helen De Clercq,Chemistry
750575,John-Patrick Ifedi,Political Science
2332075,Moussa Doumbia,Mathematics
736003,Clinton Jones,English
2021721,Shawn Abernathy,Chemistry
750757,Deborah Johnson,Physical Ed
1490558,Verny H. Varela,Languages
1982444,Miriam Ahmed,Art
827503,Assya Pascalev,Philosophy
551738,Quazi Ahmed,Communication
313114,Vergie Taylor,English
1452659,George McNeal,Mathematics
547546,Debra Roberts,Psychology
908196,Andre Esters,English
820546,Jack Frankel,Biology
662549,. Abernathy,Chemistry
481191,Paul Peart,Mathematics
2617312,Brielle Brookins,Psychology
13466,Molly Levine,Classics
490959,Sankar Sitaraman,Mathematics
2171839,Achille Messac,Engineering
444723,Paul Bezandry,Mathematics
819249,Geraldine Twitty,Biology
2025834,Steve Stakland,Philosophy
2580074,Rachelle Allen-McFarlane,Biology
2744122,Bahiyyah Muhammad,Social Work
1090129,Joel Ojelade,Philosophy
1932552,Nicholas Seifert,English
1046747,Petronella Muraya,History
981028,Deneen Long-White,Health Science
1303388,Jules. P Harrell,Psychology
1611641,Lennox Graham,Health Science
823354,Patricia Noone,English
864343,Feraidoon Shams,African Studies
1773316,Ana Araujo,History
1793781,Lennox Yearwood,Sociology
970265,Danielle Boudreaux,English
525474,Charles Hosten,Chemistry
547598,Curdella Forbes,English
956463,Hemayet Ullah,Biology
1313788,Christopher Shinn,English
2086063,Leroy Rowe,Mathematics
2687998,Michelle Dovil,Sociology
1683078,Valethia Watkins,African Studies
1112918,Merve Kavakci,Political Science
795162,Jay Stewart,Political Science
1074708,Darrell Fogan,Physical Education
199626,Norma Small-Warren,Science
819245,Amir Maleki,Mathematics
2730632,Douglas White,Biology
1114182,Darian Unger,Business
1506861,Angela D. Minor,Communication
2178797,Phiwokuhle Mnyandu,African Studies
1763736,Caroline Harper,Political Science
438543,Daria Winter,English
740365,Leon Dickson,Biology
2322181,Prem-Raj Ruffin,Mathematics
1279530,Lancelot Llewellyn Loncke,Economics
551863,Sumorry Alpha,Physical Ed
911478,Janet Reed-Caldwell,English
296175,Lorraine Henry,English
1771011,Onochie Dieli,Economics
388497,Marie-Line Sephocle,Languages
746725,Clement Akassi,Languages
1219991,Charles Conyers,Political Science
148424,Eleanor King,Anthropology
614620,Jawad Al- Khal,Mathematics
2359949,Kyr Mack,English
2384545,Monique Major,Psychology
360889,Francois Ramaroson,Mathematics
