id,name,department
78319,Irene Vlachos-Weber,Psychology
1056088,James Self,Economics
755785,Lisa Thomassen,Psychology
1540468,Joseph Baird,Business
2522233,Chandler Bridges,Music
1421133,Brant Moriarity,Business
192713,Cathrine Reck,Chemistry
1194735,Paul Graf,Economics
1148352,Vivian Winston,Accounting
356613,Steven Kreft,Business
41451,Mary Beth Camp,Economics
2729793,Jamie Seitz,Accounting
18051,Peter Olson,Economics
1444909,Jacek Dalecki,Political Science
272013,Jim Hendrickson,Mathematics
118847,William Wheeler,Mathematics
188915,Greg Kattner,Mathematics
578836,Roberto Garcia,Business
4527,Andy Hollinden,Music
4550,Glen Gass,Music
1655572,Jim Cuellar,Psychology
78636,Richard Schrimper,Business
4569,Julie Head,Accounting
129769,Mike Tiller,Accounting
930170,William Orrick,Mathematics
447596,Tracy Whelan,Mathematics
340978,Alan Roberts,Psychology
50326,Christine Barbour,Political Science
4532,William Head,Criminal Justice
133882,Yean Chooi,Science
1277302,Amy Berndtson,Biology
1173560,Andrew Dabrowski,Mathematics
669065,Cynthia Hoffman-Patton,Psychology
124999,Susan Hengeveld,Science
2008873,John Arthos,Communication  Culture
2407179,Brigitte Spencer,Chemistry
530631,Steve McKinley,Mathematics
379471,Jill Robinson,Chemistry
108799,Tom Rearick,Accounting
4490,Dan-Adrian German,Computer Science
1435484,John Karaagac,Public Affairs
153354,David Rubinstein,Business
1845546,Norman Dean,Chemistry
340980,Myron Kanning,Business
279573,Jennifer Maher,Gender Studies
866727,Srinivasan Iyengar,Chemistry
1304055,Richard Hullinger,Psychology
504334,Charles Pope,Computer Science
1162110,Benjamin Motz,Psychology
263562,Brenda Bailey-Hughes,Business
1323015,Judith Failer,Political Science
2226289,Brad Fulton,Public Affairs
1668118,Spencer Hall,Biology
590767,Michael Edwards,Chemistry
611800,Terri Renner,Finance
8743,Martin McCrory,Business
38323,Gerhard Glomm,Economics
1034904,Cynthia Stone,Business
2519350,Sara Mata,Chemistry
359192,Mike Tansey,Biology
288083,Abdulkader Sinno,Political Science
702347,Benjamin Sklar,Psychology
1707495,Cody Kirkpatrick,Geology
1126509,Kimberly Arnold,Chemistry
398062,Peter Finn,Psychology
1390592,Daniel Preston,Public Affairs
