id,name,department
270239,Louise Pasternack,Chemistry
641486,Peter Froehlich,Computer Science
20923,Bruce Hamilton,Economics
21275,Robert Horner,Biology
126401,Stewart Hendry,Medicine
21274,Steve Zucker,Mathematics
1108355,Christopher Falzone,Chemistry
145828,Stephen Drigotas,Psychology
3651,Thomas Lectka,Science
329960,Larry Aronhime,Business
3023608,Majid Fotuhi,Neurological Sciences
173939,Stephen David,Political Science
2294446,Chaz Firestone,Psychology
1970481,Sunita Thyagarajan,Chemistry
2180493,Tyrel Mcqueen,Chemistry
783283,Richard Brown,Mathematics
2447109,Jamie Young,Chemistry
21953,Kit Bowen,Science
7989,Craig Townsend,Science
271399,Donniel Fishkind,Mathematics
352342,Steve Wilson,Mathematics
20921,Lawrence Principe,Science
2512081,Mary Donohue,Biology
270244,Gerald Meyer,Chemistry
1005260,Bruce Barnett,Physics
654282,Rebecca Pearlman,Biology
655405,Fred Torcaso,Mathematics
3033977,Huajie Li ,Mathematics
549854,Kenneth Karlin,Chemistry
9617,Joanne Houlahan,Computer Science
20958,Douglas Poland,Science
1908888,Emil Wang,Biology
20890,David Klein,Science
267791,Florin Spinu,Mathematics
2185943,Christov Roberson,Biology
786309,Beryl Castello,Mathematics
353280,Linda Gorman,Psychology
2280987,Yi Wang,Mathematics
123746,Daniel Deudney,Political Science
319314,Barry Weingarten,Languages
1047135,Thomas Koval,Biology
360462,Hilary Bok,Philosophy
603867,Marc Lapadula,Writing
655628,Karen Wells,Biology
1237476,John Wierman,Mathematics
20913,Benjamin Ginsberg,Political Science
868504,Richard Henry,Science
223702,Jeff Brooks,History
1228463,Petar Maksimovic,Physics
968630,Jane Greco,Chemistry
930752,Graeme Wilkin,Mathematics
2610772,Rigoberto Hernandez,Chemistry
695810,Bonnie Robeson,Biology
1228465,Robert Leheny,Physics
220683,Richard Kagan,History
1002122,Brenda Rapp,Cognitive Science
1077000,Marc Greenberg,Chemistry
1580786,Louise Schiavone,Business
1825453,Joshua Orvis,Computer Science
2469994,Joseph Kovba,Computer Science
1881110,Eric Hill,Chemistry
20919,Morris Swartz,Science
469935,Laurence Ball,Economics
21603,Joel Spruck,Mathematics
394474,Jack Morava,Mathematics
1524107,Christopher Harris Harris,Business
2887164,Sudip Gupta,Finance
1177019,Oleg Tchernyshyov,Physics
1732926,Avanti Athreya,Mathematics
2239311,Sherry Ogg,Biology
1889027,Larissa D'Souza,Chemistry
429853,Sharon Cameron,English
316438,Trac Tran,Engineering
836397,Alessandro Zannirato,Italian
1624513,Shrikant Panwalkar,Business
922581,Eugene Ha,Mathematics
737431,Collin Broholm,Physics
1066403,Michael Lebowitz,Biology
212881,Jason Eisner,Computer Science
609789,William Connolly,Political Science
2451757,Mario Micheli,Mathematics
