index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,mandatory,2.0,CHEMLAB101,"Heavy workload for a 1-credit course ( I spend as much time if not more than my other 3-credit classes). Post-labs are extremely long and tedious and may take hours to complete. Grading is done by TAs, but still pretty tough, especially when it comes to short response questions. Rarely get out of class early.",False,2018-01-24 21:07:12,4.0,A,2.0,True,False,2.0,Tough Grader--Skip class? You won't pass.--LOTS OF HOMEWORK,0.0,0,0,0.0,270239
1,mandatory,4.0,CHEMLAB1,"She is a super nice lady. I think that her class is a little unfair, as it's the same amount of work as a 2-3 credit course for only 1 credit. But I don't really think that's her fault, as she's doing what the school wants her to. And rumor has it she even tried to change the credits as well. The labs help with general chemistry.",False,2017-11-24 18:15:08,4.0,A,4.0,True,False,4.0,Tough Grader--Participation matters--ACCESSIBLE OUTSIDE CLASS,0.0,2,3,1.0,270239
2,mandatory,5.0,AS030106,"People are so harsh on her on this site. I've had her for a few months how and she's honestly such a gem. Saw a kid walk in 50 minutes late the midterm and she took time out of her day to give him a space to take it later with no grade deduction. Her feedback on assignments is super helpful, nice, and clear. Such a sweet lady and a great teacher.",False,2017-11-07 22:59:44,4.0,A,5.0,True,False,5.0,Gives good feedback--Skip class? You won't pass.--Caring,0.0,2,4,1.0,270239
3,mandatory,3.0,AS030106,Terribly unclear grading guidelines. Make sure you watch the prelab videos and READ THE PRELAB MANUAL as in lab worksheet questions are often from there. Go to TA review sessions/office hours when you're doing postlabs because those points add up and make sure you ace the prelabs. Midterms decide your grade so study hard for those. Pain of a class,False,2017-05-20 00:06:15,4.0,A-,3.0,True,False,3.0,Tough Grader--LOTS OF HOMEWORK--GRADED BY FEW THINGS,0.0,1,2,0.0,270239
4,mandatory,4.0,CHLAB105,"She's a really nice person if you get to know her. She's always willing to work with you or explain stuff to her, just shoot her an email. I was scared of her at first, but after talking to her a few times, she has become a friendly face. She's also super wise.",False,2017-05-16 14:48:26,4.0,A-,4.0,True,False,4.0,Inspirational--ACCESSIBLE OUTSIDE CLASS--Clear grading criteria,0.0,2,4,1.0,270239
5,mandatory,1.0,CHEMLAB1,"Really not a nice woman. Makes the class WAAAY harder than any one credit LAB class should be. I spent more time for this class than I did on the actual 3 credit chem lecture, and still got a worse grade.",False,2017-02-21 22:16:07,3.0,B-,1.0,True,False,1.0,Tough Grader--Skip class? You won't pass.--LOTS OF HOMEWORK,0.0,2,3,0.0,270239
6,mandatory,1.0,CHEMLAB1,You will work at least 5 hours a week on this class.,False,2017-02-08 09:24:54,4.0,B+,1.0,True,False,1.0,Tough Grader--Skip class? You won't pass.--TEST HEAVY,5.0,0,3,0.0,270239
7,mandatory,1.0,CHEM105,"When people tell you Pasternack is a premed dream crusher, they are not kidding. The class is hard, but you don't need to be super smart to do well, you just need to do whatever you are told to do well. It's not even about being smart, it's about DOING EXACTLY WHAT'S SAID IN LAB MANUAL. And yes, nobody likes Pasternack.",False,2016-12-08 21:25:26,4.0,A,1.0,True,False,1.0,Tough Grader--Skip class? You won't pass.--LOTS OF HOMEWORK,0.0,3,2,0.0,270239
8,mandatory,1.0,CHEM101,Extremely condescending and unnecessarily obsessed with sig figs A grumpy professor No curve in the class The online program is a hassle Most TA's don't know what they're talking about,False,2016-11-21 23:26:30,5.0,,1.0,True,False,1.0,Tough Grader,0.0,9,2,0.0,270239
9,mandatory,4.0,AS030105,"It's a lot more work than my other 1-credit class, but it's still very valuable, and Pasternack is a good professor. She can seem a bit short in the lab sometimes, but as soon as she walks outside UTL 286, she's lovely. Aside from test regrades, she may be the only college professor ever to give points back on something.  OBSESSED with sig figs.",False,2016-10-30 16:38:54,3.0,,4.0,True,False,4.0,,5.0,2,2,1.0,270239
10,mandatory,4.0,CHEMLAB1,"The class is wayyy too much for one credit, so that's why it seems so hard. But Dr. Pasternack is a great person. She was super helpful anytime I went to see her, and we've had great convos.",False,2016-01-14 13:11:37,4.0,B+,5.0,True,False,5.0,,1.0,4,1,,270239
11,mandatory,4.0,CHEM105,she's ok if you talk to her but she's not really around / doesn't affect much,False,2015-11-16 20:46:16,4.0,Not sure yet,3.0,True,False,4.0,,1.0,2,1,,270239
