id,name,department
290889,Frank Gunter,Economics
21053,Eric Salathe,Mathematics
276972,Chitra Nayar,Business
176948,Jerome Licini,Physics
1325246,Bob Duquette,Accounting
59104,Joseph Yukich,Mathematics
179118,Nicole Batchelor,English
2714844,George Witmer,Engineering
1770421,Andy Ho,Chemistry
125479,Terrence Napier,Mathematics
281295,Miranda Teboh-Ewungkem,Mathematics
177015,Natalie Foster,Chemistry
177518,Susan Szczepanski,Mathematics
177021,Rajan Menon,International Studies
180042,Bruce Dodson,Mathematics
2105020,Marija Baltrusaitiene,Economics
21052,M. D. Wagh,Engineering
177154,Keith Schray,Chemistry
937542,Joseph Manzo,Business
178468,Tom Hyclak,Economics
570617,Parveen Gupta,Accounting
21054,R. Venkataraman,Mathematics
1243256,Vincent Coll,Mathematics
174631,Daniel Bayak,Accounting
120574,Michael Gill,Psychology
25656,Ed Evenson,Science
492792,Sharon Kalafut,Engineering
381350,Meng-Sang Chew,Engineering
231601,Linghai Zhang,Mathematics
113743,William Haller,Engineering
49523,Rick Matthews,Political Science
125476,Lee Stanley,Mathematics
2061913,Olena Nikolsko-Rzhevska,Finance
124714,Ed Kay,Computer Science
171966,Ken Sinclair,Accounting
179237,Garth Isaak,Mathematics
490040,Dork Sahagian,Science
76807,J. Richard Aronson,Economics
174632,Anthony O'Brien,Economics
89749,Diane Hyland,Psychology
171663,Bennett Eisenberg,Mathematics
76406,John Savage,History
2492318,Patrick Zoro,Finance
246740,Jim Roberts,Chemistry
49526,Stephen Buell,Finance
76405,Robert Kuchta,Marketing
1234450,Murat Ozturk,Mechanical Engineering
84903,David Johnson,Mathematics
802993,Xiaofeng Sun,Mathematics
612006,Ivan Biaggio,Physics
382373,Anne Marie Anderson,Finance
353589,Steven Weintraub,Mathematics
178787,Judy McDonald,Economics
10396,Mary Deilly,Economics
45301,Don Davis,Mathematics
76398,John Li,Accounting
724965,Deborah Laible,Psychology
139583,Chuck French,English
2395929,Nancy Carlisle,Psychology
1818641,Brian Chen,Computer Science
177591,David Amidon,Social Science
178917,Gregory Ferguson,Chemistry
2552343,Yuval Erez,Economics
49525,James Dearden,Economics
2975,Robert Folk,Physics
177467,Seth Moglen,English
139578,Robert Skibbens,Science
1681498,Nitzan Lebovic,History
470236,Wes Atkinson,English
184643,Peet Hickman,Physics
1346337,Bill Best,Electrical Engineering
412500,Erica Dymond,English
48130,Barbara Pavlock,English
2575155,Lawrence Tartaglia,Biological Sciences
486372,Rebecca Miller,Chemistry
191133,Samuel Weaver,Finance
489045,Gary Deleo,Physics
198161,Steven Sametz,Music
171615,Charles Phillips,History
1811120,Aliana Lungu,Chemistry
195652,Karl Norian,Electrical Engineering
2122045,Javier Buceta Fernandez,Chemical Engineering
177345,Steve Krawiec,Biology
1203408,Zach Zacharia,Management
2660518,Kallie Ziltz,Computer Science
589223,Arpana Inman,Psychology
171654,Henri Barkey,International Studies
178966,Heather Johnson,Sociology
2574763,Houria Oudghiri,Computer Science
124351,Todd Watkins,Economics
182618,Howard Fegan,Mathematics
181063,Barry Hulsizer,Philosophy
189103,Jason Travers,Fine Arts
180047,Peter Mueller,Engineering
2213160,Janos Pinter,Industrial Engineering
2246552,Mark Erle,Computer Science
1863148,Arman Grigoryan,Humanities
178866,Gordon Bearn,Philosophy
1584617,Nathan Schmidt,Philosophy
2551643,Megan Cream,Mathematics
177537,Jeff Heflin,Computer Science
374525,Hank Korth,Computer Science
519731,Keith Gardiner,Engineering
1052354,Kevin Narizny,International Relations
171671,Eric Varley,Engineering
372040,Art King,Economics
76803,Robert Thornton,Economics
1991432,Eric Cosnoski,Business
1029838,James Femister,Computer Engineering
59107,Hugo Caram,Engineering
1195206,Vera Fennell,Political Science
188711,Richard Kish,Business
199287,Scott Gordon,English
177136,Timothy Lomauro,Psychology
188235,John Smith,History
1576393,Edmund Webb Iii,Mechanical Engineering
327345,Kimberly Racon,English
2299579,Luis Brunstein,Economics
176787,Bruce Moon,International Studies
2513331,Kenneth Mawritz,Management
1996692,Tamara Lambert,Business
179910,Chaim Kaufmann,International Studies
135635,Robert Rosenwien,Sociology
264350,Dave Cundall,Biology
401682,Janet Laible,Political Science
1526396,Muzhe Yang,Economics
177982,Eugene Perevalov,Engineering
159725,James Maskulka,Marketing
539088,Ziad Munson,Sociology
10394,Monica Najar,History
49524,Rich Titus,Business
76805,John Paul,Accounting
2834401,Antigoni Papadimitriou,Management
171025,Matthew Melone,Law
1464637,Dominic Packer,Psychology
178791,Benjamin Wright,Theology
199560,Mike Kuchka,Biology
202322,Al Wurth,Political Science
184381,Marie-Sophie Armstrong,French
