id,name,department
290693,Rachel Waterstradt,Philosophy
199101,Jodi Finkel,Political Science
111183,Megan Granich,Mathematics
201353,Hooman Rahimizadeh,Mathematics
199873,Karen Ellis,Mathematics
453498,Michel van Biezen,Physics
768395,Amir Hussain,Theology
227373,Michael Foy,Psychology
317002,Evan Gerstmann,Political Science
431550,Nigel Raab,History
590424,Robert Allison,Philosophy
200529,Stephanie Donnelly,English
100505,Ralph Quinones,Business
2004917,Li Dai,International Business
83956,Eric Magnuson,Social Science
830021,Lucas Mather,Philosophy
83979,Darrin Murray,Communication Studies
105626,Cara Anzilotti,History
200417,Laurie Pintar,History
287248,Wilfredo Flores,Mathematics
105596,Daniel Smith-Christopher,Theology
103743,Christina Bogdanou,English
485632,Vandana Thadani,Psychology
53474,Najwa Al-Qattan,History
1385301,Hugh Blake,Philosophy
200369,James Devine,Economics
1139387,Eric Young,Economics
1062769,Nancy Coster,Accounting
1932362,Roberto Martinez,Mathematics
286232,Renate Thimester,Economics
2004416,Megan Barnes,English
1492167,Farid Mesghali,Mathematics
1771191,Fereidoun Jahani,Mathematics
926255,David Zinn,Philosophy
194027,Ronald Barrett,Psychology
482812,Lambert Doezema,Chemistry
84274,Mary Katherine Seabrook-Derrington,Psychology
288193,Tracey Colvin,English
84323,Constance Chen,History
154425,Kala Seal,Business
392622,William Shaules,Theology
1507457,Danielle Borgia,American Studies
71565,Dennis Zill,Mathematics
1197966,Kenneth Rudnick,Law
401237,Mojgan Taheri,Philosophy
111182,Allen Gray,Business
214014,Joseph Earley,Economics
767996,Dorothea Herreiner,Economics
103150,Arthur Gross-Schafer,Business
888397,Meric Keskinel,Economics
783173,Darnise Martin,Theology
517920,Amy Woodson-Boulton,History
392031,Christopher Kaczor,Philosophy
757363,Monica Cabrera,Modern Languages & Literatures
870212,David Offenberg,Finance
199903,Scott Cameron,Philosophy
1054545,Adam Fingerhut,Psychology
189573,William Kinsella,Accounting
319181,Mark Bandsuch,Management
1683825,Teah Goldberg,English
84151,Brian Treanor,Philosophy
195612,Anatoly Zhuplev,International Business
532644,Ellen Ensher,Management
53473,Brian Foster,American Studies
207783,Brad Stone,Philosophy
294754,Michael Tang,Fine Arts
190529,Thomas Zachariah,Mathematics
1213409,Arik Greenberg,Theology
84012,Stacy Burns,Social Science
486586,Wendy Binder,Biology
206008,Lev Abolnikov,Mathematics
945417,Nicolas Rosenthal,History
103148,Linda Leon,Business
94371,Timothy Shanahan,Philosophy
1058778,Nadia Kim,Sociology
93084,Peter Hoffman,Geography
295214,David Hardy,Psychology
100123,Sheilah Jones,Theology
100343,Robert Winsor,Business
223510,Susan Scheibler,Film
192282,Chun Lee,Finance
224355,Mahmoud Nourayi,Accounting
292672,Carla Bittel,History
632477,David Sanchez,Theology
1085828,Jennifer Pate,Economics
391002,Eric Perl,Philosophy
2398898,David Kovacs,Philosophy
1877950,Matt Stefl,Marketing
1850946,Ying Ying Wang,Accounting
190527,Richard Rolfs,History
244721,Michael Brodsky,Fine Arts
492557,Ying Sai,Computer Information Systems
1037268,Anna Terzyan,Economics
764839,Todd Shoepe,Natural Sciences
1772308,Kittiyaratch Thanakornmonkkonchai,Economics
103748,Ricardo MacHon,Psychology
103729,Joseph Tiedemann,History
1494015,Judy Park,English
266137,Yongsun Paik,Business Administration
200366,Therese Edwards,Communication Studies
209496,Zaki Eusufzai,Economics
600812,Jeremy McCallum,Chemistry
638375,Martin Nemoianu,Philosophy
451081,Carl Urbinati,Biology
694161,Patricia Martinez,Management
195426,Jennifer Belichesky,English
71564,Jennifer Eich,Languages
1712684,Nyema Guannu,Economics
83955,Jasper Blystone,Philosophy
189582,Annie Liu,Marketing
206298,Anthony Smulders,Science
297769,K.J. Peters,English
505133,Anthony Perron,History
230597,Jok Madut Jok,History
209501,Kelly Younger,English
201852,John Reilly,English
487867,Natalie Ortiz,Mathematics
534799,Cliff Rochlin,Economics
1061599,Daniel Speak,Philosophy
280453,Jon Saxon,Mathematics
284424,David Marple,Sociology
83978,Lawrence Jelinek,History
307395,Dionne Bennett,Women's Studies
86733,Caroline LaMonda,Communication Studies
178097,Cheryl Grills,Psychology
272375,Juan Mah Y Busch,English
196050,Kweku Ewusi-Mensah,Computer Science
2593380,Madhu Viswanathan,Marketing
201228,Lily Khadjavi,Mathematics
189322,Blake Mellor,Mathematics
191229,Edward Mosteig,Mathematics
191559,Michael Berg,Mathematics
647396,Charles Higgins,Management
2076119,Vivian Lezak,Mathematics
95275,Kyra Pearson,Communication Studies
189070,Steve Crissanthos,History
104618,Jeffrey Wilson,Philosophy
505164,Dorian Llywelyn,Religion
201341,Fred Kiesner,Business
2210873,Armando Paz,Business Law
83655,Tom Dowd,Communication Studies
290607,Damon Willick,Art History
2415768,Layla Karst,Theology
490351,David Choi,Entrepreneurship
893617,Elizabeth Drummond,History
687565,Aine O'Healy,Languages
1348988,Nicole Bouvier-Brown,Chemistry
599173,Saba Soomekh,Theology
979232,Tania Maync,History
1799356,Jina Kang,Theology
965403,Nicholas Toghia,Business Law
929649,Maire Ford,Psychology
1440395,Robert Simmons,Film & Television
1813126,Jay Kumar,Theological Studies
203005,Edward Park,Ethnic Studies
1399586,Nicholas Brown,Theology
520015,Cheryl Hertz,Biology
196109,Richard Gilbert,Psychology
89887,Stella Oh,Ethnic Studies
2220464,Matthew Hill,Economics
266128,Charles Vance,Management
2003386,John Young,English
1205759,Celeste Amos,English
911008,Kirstin Noreen,Art History
769953,Janie Steckenrider,Political Science
2282706,Josette Banks,Psychology
190531,Connie Weeks,Mathematics
2457872,Theresia de Vroom,English
248856,Judith Foy,Psychology
486323,James Faught,Sociology
1688521,Yanping Ma,Mathematics
128583,Seid Zekavat,Economics
1447148,Erin Stackle,Philosophy
1807534,Kristo Gobin,Communication Studies
2075496,Andrew Forney,Computer Science
286225,Jason Baehr,Philosophy
340499,Alan Cherry,Accounting
93082,Pat Connolly,Communication Studies
191233,Lori Bergstrom,Communication Studies
1943713,Trevor Zink,Business
284074,Lawrence Tritle,History
201458,Michael Mills,Psychology
284637,Patrick Shanahan,Mathematics
310543,Lowell Herr,Philosophy
763570,Linh Hua,Pacific & Asian Studies
1862449,Jose Tapia,Physics
1989412,Kenneth Summers,Business
178591,Martina Ramirez,Biology
482810,Alyssa Crans,Mathematics
84142,Cathleen McGrath,Business
199834,Eduardo Morales,Mathematics
223507,Rene Topalian,Biology
