id,name,department
2098148,Llanie Nobile,Chemistry
402799,Kim Norden,Psychology
936174,Terence Ow,Business
12022,Cindy Melis,Accounting
43852,Michael Dole,Accounting
168211,Robert Collins,Business
906040,David McDaniel,History
1766154,Christopher Stocker,Mathematics
2311194,Nicholas Elder,Theology
2207200,Darrell Dobbs,Political Science
1907382,Benedict Kemp,Biology
1197787,Martin St. Maurice,Biology
1092330,James Gardinier,Chemistry
646203,Thomas Eddinger,Biology
2728837,Stephanie Abramovich,Biology
1636849,Anita Manogaran,Biology
168140,Scott Reid,Chemistry
368426,Ana Escudero,Languages
45748,Joseph Terrian,Business
159083,Jason Nado,English
906287,Andrew Larsen,History
335907,John Hammetter,Sociology
43853,Steven Crane,Economics
1119155,Kevin Siebenlist,Biomedical
12120,Michael Zeps,History
2670319,David Katz,Biomedical
1543944,Kurt Gering,Not Specified
69788,David Twetten,Philosophy
917604,Heather Kohls,Economics
63041,William Cullinan,Science
1488370,Tyler Gillen,Mathematics
282270,Michelle Mynlieff,Biology
941409,Lyle Dabney,Theology
12024,Noreen Lephardt,Economics
1180703,Stephen Guastello,Psychology
1123811,Melissa Shew,Philosophy
731416,Tyler Farrell,English
133367,Micheal Ryan,Chemistry
977725,Gharehgozlo Hamedani,Mathematics
2404317,Louise Kessler,Biology
256473,Barbara Kren,Accounting
45749,Stanley Harrison,Philosophy
1119012,Michael Wreen,Philosophy
46092,Karl Byleen,Mathematics
2348653,Jacob Noparstak,Mathematics
12012,James Pokrywczynski,Communication
44084,Julian Hills,Theology
63043,Joe Collins,Science
2402082,Richard Tobin,Accounting
863239,Dmitri Babikov,Chemistry
168069,Noel Adams,Philosophy
273718,Andrei Orlov,Theology
988507,Erik Ugland,Communication
931302,William Donaldson,Chemistry
45623,Timothy McMahon,History
2280591,Ahmed Kaffel,Mathematics
765940,Mark Johnson,Theology
12026,Bonnie O'Neill,Business
1363241,Daniel Rowe,Mathematics
43952,Ingrid Buxton,Science
1862364,David Nowacek,Sociology
866865,James Courtright,Biology
972488,Tom Anderson,Theology
2062477,Matthew Neujahr,Theology
1815324,William Hirsch,Physics
1192813,Gary Krenz,Mathematics
675756,Sarah Feldner,Communication
161062,Jame Schaefer,Theology
1843353,Grant Silva,Philosophy
1437199,Marc Whitney,Communication
924914,Dale Noel,Biology
689622,Daniel Meissner,History
956019,Darren Wheelock,Criminal Justice
2370622,Ibtisam Abujad,Languages
12118,Daniel Haworth,Chemistry
1064397,Rebecca Sanders,Mathematics
770505,Chae Yi,Chemistry
1810678,John Bennett,Biology
273814,John McAdams,Political Science
1854443,John Engbers,Mathematics
938915,Mike Krzewinski,Criminal Justice
129942,Philip Naylor,Humanities
1153569,Alison Efford,History
159079,Consuelo Carrillo,Languages
1901174,Tracey Sturgal,Communication
790565,Eileen Ennis,Management
2402340,Sukanya Lodh,Biology
954504,Stephen Franzoi,Psychology
925535,Christopher Stockdale,Physics
1459946,Marcia Williams,Sociology
2153094,David Wilcox,Communication
844270,Jonathan Meus,Civil Engineering
1051540,Chima Korieh,History
2181531,Cassandra Nelson,Biology
716009,Norman Sullivan,Anthropology
2692986,Kimberly Norden,Psychology
228462,Irfan Omar,Theology
2256847,Vijay Vyas,Chemistry
765919,Jay Miller,Mathematics
1123799,Michael Wert,History
