id,name,department
103718,David Jerison,Mathematics
1187925,Moe Win,Engineering
800239,Gilbert Strang,Mathematics
125151,Arthur Mattuck,Mathematics
334553,Denis Auroux,Mathematics
81483,Donald Sadoway,Engineering
162394,Eric Lander,Biology
409757,Peter Dourmashkin,Physics
121092,Anant Agarwal,Engineering
134389,Alar Toomre,Mathematics
144636,Haynes R. Miller,Mathematics
3043045,Yonina Eldar,Engineering
121181,Steven Leeb,Engineering
395136,Janet Schrenk,Chemistry
547286,Gordon Freeman,Physics
144618,Cathy Drennan,Chemistry
255193,Michael Artin,Mathematics
287926,Stanley Kowalski,Physics
186507,Eric Hudson,Physics
1419469,Christopher Weaver,Engineering
95059,Patrick Winston,Computer Science
144641,Hartley Jr. Rogers,Mathematics
352232,Christopher Cummins,Chemistry
231197,Simona Socrate,Engineering
1201822,Elizabeth Vogel-Taylor,Chemistry
433652,Jeremy Wolfe,Psychology
562630,Barton Zwiebach,Physics
398125,John Belcher,Physics
774737,Kimberly Berkowski,Chemistry
275416,David Benney,Mathematics
87635,Wolfie Ketterle,Physics
121145,Shafrira Goldwasser,Computer Science
121150,Alan Grodzinsky,Engineering
21108,Herbert Sawin,Engineering
342455,John Bush,Mathematics
121120,Jesus Alamo,Engineering
712896,George Apostolakis,Engineering
799921,Graham Walker,Biology
655707,David Autor,Economics
2654726,Manya Ghobadi,Computer Science
95058,Muriel Medard,Engineering
2218090,Debayan Gupta,Computer Science
95063,Albert Meyer,Computer Science
260763,Joseph Sadighi,Chemistry
761785,Max Tegmark,Physics
99389,Michael Sipser,Mathematics
245687,Tom Greytak,Physics
144127,Moungi Bawendi,Chemistry
2347282,Daniel Sanchez,Engineering
141310,Ikue Shingu,Languages
44544,Timothy Swager,Chemistry
1177065,Alan Adams,Physics
121148,Paul Gray,Engineering
247713,Steve Van Evera,Political Science
1083753,Paul Schechter,Physics
712895,Edward Crawley,Engineering
562629,Robert Jaffe,Physics
508978,Meg Jacobs,History
893325,Donca Steriade,Linguistics
121166,Daniel Jackson,Computer Science
2231286,Sara Fisher-Ellison,Economics
312515,Richard Shrock,Chemistry
622889,Norvin Richards,Linguistics
831180,Pablo Parrilo,Engineering
121231,Charles Sodini,Engineering
1139554,Alan Guth,Physics
649764,Gigliola Staffilani,Mathematics
565297,Keith Nelson,Chemistry
423126,Kenneth Oye,Political Science
631540,Junot Diaz,Writing
1823114,Daron Acemoglu,Economics
784578,Craig Watkins,Mathematics
141360,Alvin Kibel,Literature
2628279,Lydia Bourouiba,Engineering
21107,Clark Colton,Engineering
251734,Andrew Lo,Finance
1103018,Hazel Sive,Biology
189050,Claudette Gardel,Biology
121239,Peter Szolovits,Health Science
1867667,William Minicozzi,Mathematics
2065253,Jesse  Thaler,Physics
812622,Rebecca Faery,Writing
144653,Peter Fisher,Physics
121107,Rodney Brooks,Computer Science
877827,Miyuki Hatano Cohen,Languages
1084038,Steven Johnson,Mathematics
791556,Esther Duflo,Economics
352233,Daniel G. Nocera,Chemistry
1698694,Ralph Selig,Mathematics
240949,George Barbastathis,Engineering
1025727,Bernd Surrow,Physics
1834017,Christian Catalini,Business
2163503,ZIYANG WANG,Computer Science
855629,Linda Griffith,Engineering
1253795,Louie Wurch,Biology
473441,Andrew Whittle,Engineering
2133145,John Tsitsiklis,Engineering
613976,Wit Buzca,Physics
345798,Saul Rappaport,Physics
1506177,Noam Chomsky,Political Science
858785,William Reyes Cubides,Languages
1139536,Hong Liu,Physics
367160,Shankar Raman,Literature
1456566,Leonid Kogan,Finance
121248,Stephen Ward,Computer Science
619518,Caspar Hare,Philosophy
2158572,Ana Mikusheva,Economics
799021,Kamal Youcef-Toumi,Engineering
1315500,Erik Demaine,Engineering
1527668,Bjorn Poonen,Mathematics
362706,Jonathan Byrnes,Engineering
677626,Pawan Sinha,Psychology
712903,Eric Von Hippel,Management
466352,James Orlin,Business
669311,Bruno Coppi,Physics
936817,Brian Subirana,Management
1134540,Rick L Danheiser,Chemistry
2337495,Ben Sawyer,Engineering
121246,Joel Voldman,Engineering
540293,Christopher Capozzola,History
1259688,Ben Brubaker,Mathematics
2733486,Arian El-Taher,Linguistics
1003625,Ian Hunter,Engineering
121194,Robert Miller,Computer Science
667161,Zoltan Spakovsky,Engineering
1134541,Timothy Jamison,Chemistry
121172,Dina Katabi,Computer Science
955581,Enectali Feliciano,Physics
1919547,John Guttag,Computer Science
2814706,Regina Barzilay,Computer Science
121090,Richard Wurtman,Biology
134587,Woodie Flowers,Engineering
344295,Oral Buyukozturk,Engineering
798501,Elena Ruehr,Music
121212,L. Rafael Reif,Engineering
417691,Fred Harris,Music
702502,Igor Pak,Mathematics
842574,Jay Scheib,Theater
1478771,Paul Seidel,Mathematics
121204,Asuman Ozdaglar,Engineering
813039,Joseph Sussman,Engineering
141723,Thomas Allen,Business
1335022,John Gabrieli,Psychology
1134538,Tyler Jacks,Biology
121234,Kenneth Stevens,Engineering
1082479,Suzanne Berger,Political Science
1050067,Franz Hover,Engineering
2416726,Amy Moran-Thomas,Anthropology
2654686,Ro'ee Levy,Economics
667163,Mark Drela,Engineering
137140,John Ochsendorf,Architecture
2335783,Adam Martin,Biology
121079,Gerald Schneider,Not Specified
1244814,Les Perelman,Literature
2164550,Wendy Gilbert,Biology
304839,Abhijit Banerjee,Economics
1668985,Michael Cima,Chemistry
1907037,Yen-Jie Lee,Physics
784579,Jeremy Orloff,Mathematics
837668,Shigeru Miyagawa,Languages
2482814,Antonio Martins,Engineering
1738924,Jeff Colner,Engineering
2723108,Lex Fridman,Engineering
814216,Mary Cummings,Engineering
765215,Fernando Domeyko,Architecture
812008,Min Chen,Physics
1014354,Jean Jackson,Anthropology
1846490,Jolyon Bloomfield,Physics
1290853,Roger Kamm,Engineering
2500018,Srini Devadas,Computer Science
640341,Yoshimi Nagaya,Languages
1040890,Richard Stanley,Mathematics
