index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,non mandatory,5.0,1801,"Awesome teacher, love the way he makes stuff intutive.",False,2024-12-02 11:18:54,1.0,Rather not say,5.0,False,True,5.0,,-1.0,0,0,1.0,103718
1,non mandatory,5.0,18011X,daddy,False,2022-11-03 01:55:05,1.0,A+,5.0,True,True,5.0,Hilarious--Caring--Respected,-1.0,0,0,1.0,103718
2,non mandatory,4.0,CALC1801,"Excellent Professor, explains eveything clear . No matter if you have afraid for Mathematics that in MIT nobody is afraid to Math . The book for the class Calculus and Analytic Geometry recommended for the class is very good .",False,2020-08-14 22:31:39,3.0,B-,4.0,True,False,4.0,Gives good feedback--Inspirational--Amazing lectures,5.0,0,0,1.0,103718
3,non mandatory,5.0,CALC1801,Good professor,False,2020-07-25 14:52:40,3.0,,5.0,True,False,5.0,Respected--Inspirational--Amazing lectures,0.0,0,0,1.0,103718
4,non mandatory,5.0,CALC1801,He's a great professor.,False,2020-04-10 21:09:33,2.0,,5.0,False,False,5.0,,0.0,0,0,1.0,103718
5,non mandatory,5.0,MATH1801,"I took three years of calculus and advanced math many years ago in college After retiring from a legal practice, I decided to go back and &quot;relearn&quot; some of the basics. Bottom line, I wish I had Prof. Jerison when I first learned calculus. His derivations and explanations are excellent. He works hard to explain things, and seems to really care.",False,2020-04-06 18:23:24,4.0,,5.0,False,True,5.0,Inspirational--Amazing lectures--Caring,0.0,0,0,1.0,103718
6,,5.0,CALC1801,Clear explanations &amp; lecture planning 10/10,False,2020-03-24 02:42:13,3.0,,5.0,False,True,5.0,Inspirational--Amazing lectures,5.0,0,0,1.0,103718
7,non mandatory,5.0,18.03,"Great lecturer who gives grand overviews of different concepts and connects them beautifully. Sometimes lacking in covering the minutiae, e.g. methods, calculations, but can be made up by recitation.",False,2019-04-27 17:01:35,4.0,A,5.0,True,False,5.0,Respected--Inspirational--Amazing lectures,0.0,0,1,1.0,103718
8,mandatory,5.0,CALCULUS1801,"Best Prof. Of Maths Ever. You will understand everything in second,like instantaneous learning. He is Very inspirational and will make you a master of maths in just a few hours",False,2019-04-17 17:37:26,1.0,A+,5.0,False,False,5.0,Respected--Inspirational--Caring,0.0,0,2,1.0,103718
9,mandatory,5.0,18011X,"I am Independent learner from Puerto Rico I took Math 18.01 with David Jerison, he explains everything excellent. I hope to meet you in person",False,2019-04-06 14:17:10,4.0,A,5.0,False,False,5.0,Gives good feedback--Respected--Amazing lectures,5.0,0,2,1.0,103718
10,mandatory,5.0,OCW1801,Best ever I met in my life.I hope to meet him in the future;he's also very inspirational.,False,2019-02-25 20:18:52,4.0,A,5.0,True,False,5.0,Respected--Inspirational--Amazing lectures,5.0,0,5,1.0,103718
11,mandatory,5.0,OCW1801,"Great Professor, he makes everything easy and clear.",False,2019-02-16 15:55:33,3.0,Audit/No Grade,5.0,False,True,5.0,Inspirational--Hilarious--Amazing lectures,5.0,0,4,1.0,103718
12,non mandatory,5.0,CALC1801,great lecturer,False,2019-02-08 03:38:23,2.0,,5.0,False,True,5.0,,5.0,0,2,1.0,103718
