id,name,department
1965381,Marty Spranger,Biology
453805,Irina Kadyrova,Mathematics
694118,Amy Pollock,Chemistry
2517960,Joshua Nahum,Engineering
529543,Sue Allen,Mathematics
2083178,Virginia Cangelosi,Chemistry
327862,Fayyaz Hussain,Social Science
2057022,David Bramer,Mathematics
2347170,Krystyna Kijewska,Chemistry
2543705,Seven Mattes,Arts & Humanities
1885545,Jonathan Weaver,Psychology
1393355,Samantha Cass,Chemistry
2203113,Jenahvive Morgan,Engineering
1727462,Amy Wisner,Communication
1221694,Sharon Griffin,Mathematics
1215222,Katherine Alaimo,Health Science
2515271,Eddie Boucher,Social Science
38856,Jennifer Powers,Mathematics
1325130,Robert Laduca,Chemistry
233401,Hanni Nichols,Mathematics
1517055,Marohang Limbu,Writing
4142,Charles Ballard,Economics
2178194,Ryan Maccombs,Mathematics
2524313,Jeff Ackermann,Economics
1702930,Kimberly Fenn,Psychology
1782571,Ryan Black,Political Science
2267509,Jennifer Ekstrom,Agriculture
1776808,Kevin Walker,Chemistry
1569240,Richard Enbody,Computer Science
452836,Gabe Ording,Science
922748,Cliff Broman,Sociology
2937115,Amber Bryant,Social Science
2004079,Melanie Cooper,Chemistry
2400788,Thomas Rimer,Finance
1202336,Elijah Dikong,Mathematics
2081420,Alexander Drachman,Mathematics
2175403,Robert Drost,Science
2580873,Michael Wiser,Biology
409831,Stephen Arch,English
2114701,Ryan Kimbirauskas,Biology
1222310,Claudia Vergara,Biology
2411056,Imen Zaabar,Engineering
76792,Ron Tamborini,Communication
2594995,Zachary Bennett,Political Science
1280442,Tibor Nagy,Physics
2523324,Jeff Ackerman,Economics
2106660,Chrysoula Vasileiou,Chemistry
2370657,Harish Sankaranarayanan,Statistics
2301870,Rachel Barnard,Chemistry
2917985,Ayoob Bazgir,Chemistry
2772519,Heather Miller,Biology
1678333,Kathleen Foley,Chemistry
2563573,John Spink,Business
2454705,Sandy Burnley,English
21216,David Hambrick,Psychology
2091168,Joseph Cesario,Psychology
1434626,Jon Stoltzfus,Biology
4397,Cy Stewart,Sociology
2552648,Paul Curran,Psychology
6089,Norman Obst,Economics
2248473,Sarah Prior,Sociology
937304,Kiwon Kang,Economics
1955474,Liam Brockey,History
1778437,Matthew Pontifex,Kinesiology
95117,Fred Jacobs,Accounting
2671360,Teagan Dixon,Business
896688,Alison Rautman,Anthropology
2211519,Richard Edwards,Mathematics
4376,Christine Amsler,Economics
1592456,Ronen Steinberg,History
39296,Richard Hensh,Mathematics
1027,Khalida Zaki,Sociology
1842387,Kevin Ohl,Computer Science
1984529,Hanan Aly,Writing
21299,Charles Bokemeier,Accounting
2402793,Samantha Fox,Sociology
35167,Richard Lucas,Psychology
2281794,John Keane,Statistics
2242232,Michael Brown,Mathematics
551290,Ryan Sweeder,Chemistry
1066384,Robert Bell,Mathematics
2479932,Ben Marley,Sociology
1505174,Kathy Petroni,Accounting
1487796,Gabriel Nagy,Mathematics
965027,Brian E Burns,English
2548803,Camille Fairbourn,Mathematics
912355,Maxine Davis,Science
1826978,Bronlyn Wassink,Statistics
2477506,Jodi Yelinek,Social Science
6090,Janice Bukovac,Not Specified
1716465,Stephen Deng,English
2395210,Eric Beasley,Social Science
4145,Fred Dyer,Science
2562628,Mingming Qiu,Finance
1255366,Adele Denison,Science
1776168,Osvaldo Hernandez,Science
2656166,Kathryn Clements,Psychology
2068663,Valentina  Maddalena,Mathematics
2136,Lawrence Martin,Economics
1621712,Morgan Shipley,Religion
2364909,Valerie Hedges,Biology
2021034,Sonya Lawrence,Biology
508460,Richard Manderfield,Writing
778246,Zarema Kumakhova,Literature
2205908,Kirstin Parkin,Biology
2217604,Karl Healey,Psychology
2676335,Monique Kelly,Sociology
2864206,Theodore Towse,Health Science
2479241,Erica Frantz,Political Science
2784486,Kandy Mckeown,Psychology
416222,John Urbance,Biology
1870076,Saul Beceiro Novo,Physics
67614,Jim Geiger,Science
2476866,Allison Rojek,Criminal Justice
2089389,Laurie  Bulock,Social Work
2706453,Beth McCann,Biology
2212772,Mariana Medina,Social Science
15067,Arthur Melzer,Political Science
1988622,Melissa Wurtzel O'shea,Law
2266230,Sarah Panuska,Humanities
2475270,Brandy Ellison,Social Science
1780336,Marcie Cowley,History
4183,Vince Lombardi,Social Science
2485674,Amanda Lorenz-Reaves,Biology
2514921,Steve Draggoo,Mathematics
946127,Tobin Craig,Philosophy
2634668,Matthew Comstock,Physics
2104485,Rachael Lund,Mathematics
2309328,Amanda Guinot-Talbot,Social Science
2253670,Eric Juenke,Political Science
508468,Daniel Stump,Science
148586,Douglas Luckie,Biology
2386793,James Lambert,Arts amp Humanities
2441252,Andrew Kerner,Political Science
39299,Fred Gifford,Social Science
19803,Morris Thomas,Geography
2196019,Benjamin Lorch,Political Science
2647047,Sergio Navarro-Fernandez,Arts & Humanities
2057795,Jan Brascamp,Psychology
2634158,Philip Delekta,Biology
25059,Casim Abbas,Mathematics
1954850,Stuart Willis,History
1280441,Richard Hallstein,Physics
435067,John Molloy,Social Science
435057,Salah Hassan,History
2315445,Shahnaz Masani,Biology
2423191,Karen Waite,Science
1719477,Tyrone Rooney,Geology
3034069,Joe Gair,Chemistry
1320183,Jason Mask,Philosophy
836251,Richard Bellon,History
18855,Patrick Muzzall,Science
2253871,Michael Behan,Business
1890524,Alexander Johnson,Psychology
2770046,Antonio Madrid,Economics
1874205,Julie Cioni,Mathematics
2611088,Katherine Krueger,Biology
2174322,Andrea Bierema,Biology
1228242,Ignacio Uriarte-Tuero,Mathematics
12710,. Donohue,Communication
2835128,Joseph Smith,Mathematics
1500688,Johnson Cheu,Writing
1879521,Gabriel Wrobel,Anthropology
1836703,Harilaos Sorovigas,Finance
2206919,Carolyn Johnston,Arts  Humanities
1067115,Aklilu Zeleke,Mathematics
2671228,Wayne Dyksen,Computer Science
837148,Indrek Wichman,Engineering
40759,Thomas Summerhill,History
2450038,Hasina Saraha,Chemistry
2942783,David Baylis,Social Science
1929559,Joseph Hefner,Anthropology
2193177,Erica Tobe,Finance
1527493,Jason Nicholas,Engineering
1626053,Pramod Pathak,Mathematics
