id,name,department
2406695,Trivikrama B Pala Reddy,Mechanical Engineering
17517,Morty Kwestel,Computer Science
23304,Wallace Rutkowski,Computer Science
186217,Jonathan Kapleau,Computer Science
19808,Quentin Jones,Information Systems
63756,Joseph Zaleski,Mathematics
1456534,Mohamed Mahgoub,Civil Engineering
461098,Junilda Spirollari,Computer Science
17522,Soroosh Mohebbi,Mathematics
209646,Libby Maljian,Physics
103304,Jeyakumaran Ratnaswamy,Mathematics
2215005,Je Hyun Ro,Mathematics
148281,Geraldine Milano,Engineering
1576824,Keith Williams,Information Systems
2322213,Abdul-Rahman Itani,Computer Science
56370,John Hunter,Mathematics
122224,Bruno Mantilla,Biomedical
437644,Maura Deek,Information Systems
173982,Theodore Nicholson,Computer Science
17512,Halina Opyrchal,Physics
26703,Jon Curley,English
2626129,Bassel Arafeh,Computer Science
77145,Robert Statica,Information Technology
17525,John Esche,History
396860,Porchiung (ben) Chou,Economics
27235,Soha Abdeljaber,Mathematics
1787041,Veljko Samardzic,Mechanical Engineering
164561,Hussain Assadipour,Engineering
378210,Theologos Homer Bonitsis,Management
41817,Stanley Senesy,Computer Science
30998,Jimmy Hayes,Mathematics
1095856,Rudy Kelly,Mathematics
93936,James McHugh,Computer Science
17516,Jacob Savir,Engineering
56369,Michael Baltrush,Computer Science
2652936,Hussein Hijazi,Physics
80112,John Ryon,Computer Science
89605,Fred Bogui,Accounting
442556,Frank Ellis,Chemistry
77177,Roy Plastock,Mathematics
49088,Golgun Bengu,Engineering
134063,David Nassimi,Computer Science
536479,Mohammed Feknous,Electrical Engineering
78556,Alexandros Gerbessiotis,Computer Science
1815346,Peter Ward,Mathematics
700934,Jon Porus,Mathematics
1313357,Bhavani Balasubramanian,Chemistry
68445,Rajiv Mehta,Marketing
173984,Richard Egan,Information Systems
79520,Oktay Gokce,Physics
205300,Andrew Sohn,Computer Science
271984,Marc Sequeira,Computer Science
77168,Dennis Donahue,English
51419,Slawomir Piatek,Physics
209128,Eric Katz,Humanities
514407,Joan Kettering,Information Technology
79739,Charles Brooks,Humanities
72482,Walid Hubbi,Electrical Engineering
2726435,Huong Le,Computer Science
74019,Richard Janow,Physics
177152,Petronije Milojevic,Mathematics
252161,Serhiy Levkov,Electrical Engineering
26702,John Bechtold,Mathematics
164698,Roy Cornely,Engineering
1897907,Magdallena Potocki,Mathematics
2771770,Steve Kane,Physics
2956011,Samaneh Berenjian,Computer Science
1845650,David Kmiec,English
703923,Donald Kehoe,Information Technology
205053,Cheickna Sylla,Management
1068013,Padma Natarajan,Mathematics
58901,Jose Casal,Business
2532227,Matthew Toegel,Information Technology
845882,Mark Somers,Management
286169,Louise Castronova,Humanities
