id,name,department
577620,Ross Geller,Paleontology
1747654,Yoel Ohayon,Chemistry
1032165,Andrew Paizis,Economics
180177,John Halpin,Chemistry
2094203,Anasse Bari,Computer Science
1052652,Maitland Jones Jr.,Chemistry
41262,Susan Andersen,Psychology
18709,Marc Lieberman,Economics
1618851,Trushant Majmudar,Mathematics
112641,Vincent Renzi,Foundations of Am. Culture/Classics
1380640,Maharukh Bhiladwalla,Economics
1852308,Joanna Klukowska,Computer Science
1579749,Craig Kapp,Computer Science
2586076,Raoul Normand,Statistics
1514797,Karl Storchmann,Economics
592219,Elizabeth Bauer,Psychology
78864,Richard Hendler,Business
2228255,Hesam Oveys,Mathematics
1500200,Selin Kalaycioglu,Mathematics
2629490,Ralph Chikhany,Mathematics
2287880,Ghada Badawi,Middle Eastern Studies
8375,Burt Goldberg,Biology
405301,Harry Kitsikopoulos,Economics
1594259,Amos Bloomberg,Computer Science
292296,Anthony Reynolds,Cultural Studies
2244054,Gerald McIntyre,Economics
41261,Peter Rajsingh,Independent Studies
1211490,Michael Rectenwald,Writing
203775,John Barna,Cultural Studies
2587891,Barbara Akum,Biology
457435,Martin Reichert,Cultural Studies
1180515,Matthew Leingang,Mathematics
2285057,Timothy Roeper,Economics
800900,Zach Udko,Writing
535950,Gerceida Jones,Science
540816,Bruce Bromley,Writing
1228577,Pascal Wallisch,Psychology
2260813,Fanny Shum,Mathematics
2649675,George Benaroya,Marketing
1134872,Victor Shoup,Computer Science
295375,Trace Jordan,Natural Sciences
1025213,Pamela Brown,Philosophy
85004,Joseph Portanova,History
272737,Evan Korth,Computer Science
1299102,Joseph Foudy,Economics
1034196,Nancy Reale,Cultural Studies
2345485,Lawrence Reed,Psychology
615619,Edward Steinberg,Economics
278799,Michael Shenefelt,Philosophy
107876,Ward Regan,Philosophy
1889463,Joe Versoza,Computer Science
232599,Kathy Bishop,Humanities
84854,Lindsay Davies,Liberal Studies
2722644,Joseph Foster,Mathematics
190543,Joseph Salemi,Humanities
419998,Chee Yap,Computer Science
694501,Burton Budick,Physics
2059744,Shivam Sohan,Health Care Administration
2043734,Duncan Smith ,Biology
984328,Joshua Tucker,Political Science
226665,Carol Krinsky,Fine Arts
555840,Brian Culver,Arts & Sciences
2599268,Alfredo Canziani,Data Science
278911,John Ross,Philosophy
250326,Ted Magder,Communication
2733513,Andrew Sanfratello,Mathematics
1633368,Liora Brosh,Liberal Studies
952137,Adina Schick,Psychology
892686,Lorraine Doran,Writing
2128682,Zhana Vrangalova,Psychology
342802,Christine Harrington,Political Science
508106,Shanker Satyanath,Political Science
1528605,Jean-Claude Franchitti,Computer Science
288294,Heidi White,Philosophy
2265453,Nikolay Kukushkin,Liberal Studies
182020,Robert Fitterman,Writing
278806,Eugene Ostashevsky,Liberal Arts & Sciences
88373,Yunus Tuncel,Social Science
341809,Stephen Policoff,Writing
280342,Miriam Frank,History
305464,William Klein,Medicine
1771479,Jess Shatkin,Psychology
919428,Olivier Berthe,French
1941844,Alan  Siegel,Computer Science
1824248,Federico Sor,History
306741,Karen Karbiener,English
298744,Albert Piacente,Philosophy
2872,Nina D'Alessandro,Music
345012,Sanford Gordon,Political Science
100189,Carley Moore,Writing
2018495,Isra Ali,Communication
933885,Kimberly Bohman-Kalaja,English
1054663,David Fitch,Biology
2282700,Corrin Clarkson,Mathematics
1496200,Farzad Mahootian,Physics
84847,Phil Washburn,Social Science
484825,Christopher Packard,English
686173,Sana Odeh,Computer Science
803856,Beth MacHlan,Writing
240397,Ted Coons,Psychology
216065,Ben Goldberg,Computer Science
1224564,Afrodesia McCannon,Cultural Studies
2649181,Nicole Simonelli,International Relations
499437,Debora Spini,Humanities
433920,Robert Gurland,Philosophy
1500640,Peter Valenti,Liberal Studies
369829,Sean Eve,Writing
311317,Elayne Tobin,English
462900,Jos Lagerweij,Philosophy
2760452,Viplav Saini,Economics
85035,Maria Antonini,Humanities
950647,Kimberly Bernhardt,Writing
762577,Edgar E Coons,Psychology
831020,Dan Kellum,Writing
232605,Jessamyn Hatcher,Humanities
1786837,Laura Samponaro,Liberal Studies
580544,David Hogg,Physics
763977,Matt Longabucco,Writing
805403,Jose Diaz-Alban,Mathematics
541820,Jono Mischkot,Writing
88367,Susanna Horng,Writing
330425,Minu Tharoor,Cultural Studies
