id,name,department
796103,Miriam Ferzli,Biology
340204,Jesus Rodriguez,Mathematics
135612,Lori Petrovich,Science
1639761,Ron Campbell,Agriculture
20351,Kay Sandberg,Science
977497,Leslie Kurtz,Mathematics
1105765,Anna Howard,Engineering
894586,John Kuzenski,Management
291085,Robert Warren,Chemistry
848775,Julie Mayberry,Communication
3029557,Nigar Sultana,Chemistry
1155626,Elizabeth Dempster,Mathematics
2718378,Travis Varner,Chemistry
898629,Ana Ison,Chemistry
1712702,Benoit Jacquet,Biology
1555131,Lisa Paciulli,Biology
2524580,Kirsten Kramer,Chemistry
528512,Allison Lowe-Reed,Economics
1166364,Jeremiah Feducia,Chemistry
895208,Reza Ghiladi,Chemistry
1368855,Jennifer Landin,Biology
2021913,Zachary Lewis,Physics
1649010,Paul Maggard,Chemistry
71888,Gregory Neyhart,Chemistry
2409123,Missy Makanui,Business
480214,Rupert Nacoste,Psychology
2466823,Marion Martin,Chemistry
1851094,Terry Gates,Geology
213008,Phil Brown,Chemistry
945547,Miles Engell,Biology
2402142,Lori Del Negro,Chemistry
6923,Brian Eder,Science
1210623,Scott Despain,Languages
2812798,Naish Lalloo,Chemistry
213006,William Flowers,Animal Science
586366,Bruce Branson,Accounting
139989,Lee Craig,Economics
235410,Jodi Wahba,Communication
240715,Alton Banks,Chemistry
1014329,Bobby Puryear,Economics
2237519,Thomas Reiland,Statistics
1036791,Ghada Rabah,Chemistry
2336814,Zodiac Webster,Physics
2902037,Mary Zadeh,Engineering
381448,Bob Patterson,Biology
478948,Robin Thomas,Accounting
2179652,Michael Medvinsky,Mathematics
217290,Dmitry Zenkov,Mathematics
266959,Jennifer Campbell,Biology
618351,Brenda Burns,Mathematics
1192446,Jaap Folmer,Chemistry
1691997,Marta Klesath,Biology
1949420,Jessica Schmidt,Computer Science
1336190,Molly Fenn,Mathematics
1910111,Erica Kosal,Biology
213270,Clyde Sorenson,Science
1496574,Christopher Gorman,Chemistry
213011,J Griggs,Mathematics
1605846,Sarah Heckman,Computer Science
1636609,David Sturgill,Computer Science
2160695,Bob Evans,Electrical Engineering
319665,Steven Greene,Political Science
2013446,Justin Post,Statistics
760234,Marian Betty Gardner,Science
1340635,Kimberly Ange-Van Heugten,Animal Science
2732560,Jenn Woodhull-Smith,Business
753231,Julianne Treme,Economics
1370026,David Hyman,Economics
1218085,Keith Heyward,Physics
1913474,Christopher Halweg,Genetics
2021746,John Griggs,Mathematics
47604,Cynthia Zuckerman,Communication
