id,name,department
2128186,Patrick Hurley,Accounting
1302816,Balasubrama Maheswaran,Physics
129984,Mary Sue Potts-Santone,Health Science
1769278,Duane Lefevre,Business
1079248,Peter Simon,Economics
1909214,Stephen Golden,Entrepreneurship
74170,Karen Spikes,Psychology
2555686,Sean Gallagher,Marketing
126131,Ilter Bakkal,Economics
1652251,Mark Prokosch,Psychology
297560,Shu-Shih Wu,Mathematics
122861,Michael Power,Business
85934,Arnie Arluke,Sociology
1860004,Hayley Schiebel,Earth Science
1853272,Jude Mathews,Chemistry
345444,Christopher Toher,Chemistry
238797,Mohammed Habibullah,Business
800860,Lesley Ricci,Psychology
449202,Richard Kesner,Management
403390,Hanai Sadaka,Mathematics
1960822,Vasiliki Lykourinou,Chemistry
148719,Peggy O'Kelly,Accounting
336778,Geoff Davies,Chemistry
312175,Rekha Bai,Mathematics
333290,Bill Lancaster,Communication
69344,Matthew Noonan,English
86089,Alan Klein,Anthropology
213553,Nizar Zaarour,Mathematics
366698,Robert Lupi,Mathematics
1212215,Rajini Jesudason,Mathematics
2034405,Benjamin Lerner,Computer Science
207115,Ken Chung,Chemistry
305699,Jeffrey Burds,History
1564287,Jarvis Chen,Political Science
2537237,Jamie Henzy,Biology
1862812,Denise Spencer,Managerial Science
1682644,Leena Razzaq,Computer Science
1657413,Marco Rainho,Mathematics
1918608,Prasanth George,Mathematics
2729088,Handan Liu,Information Science
2935875,Sadie Piatt,Chemistry
2737145,Hilmar Von Strunck,Psychology
152055,Richard Whalen,Engineering
921651,Jennifer Cole,Geology
126132,John Lindhe,Mathematics
239329,Elliot Sherman,Finance
223034,Richard Melloni,Psychology
1693097,Luis Dau,International Business
231958,Paulette McCarty,Business
335964,Nancy Snyder,Psychology
1947070,Michael Stone,Economics
1648526,Annique Un,International Business
266511,L. Day,Biology
152086,Jim Anderson,Music
1260681,Denise Dunlap-Hinkler,International Business
2319454,Steve Granelli,Communication Studies
1686802,Sumi Seo,Mathematics
1162186,Adenekan Dedeke,Business Administration
334140,M. Shahid Alam,Economics
213087,Eugene Bernstein,Pharmacy
