id,name,department
825570,Faisal Akkawi,Computer Science
158883,Mark Witte,Economics
160049,Michael Bailey,Psychology
117690,Barry Coddens,Science
158767,Craig Lamay,Journalism
2633746,Theo Khayat,Information Science
474489,Arthur Butz,Engineering
158735,Wendi Gardner,Psychology
2045827,Eric Hengstebeck,English
176531,Michael Roloff,Communication
809504,Chris Hield,Computer Science
1936474,Lorena Martin,Information Science
158906,Charles Moskos,Sociology
1662169,Phillip Braun,Finance
159823,Arthur Schmidt,Physics
892709,Sam Tepper,Communication
192784,Jillana Enteen,English
159484,Lane Fenrich,History
159980,Michael Peshkin,Engineering
905107,Adina Ott,Chemistry
2023075,Derek Nelson,Chemistry
150752,Peter Hayes,History
1873113,Owen Priest,Chemistry
827841,Eric Schulz,Economics
2020890,Michael Mulcahy,Music
442062,M. Scott Curtis,Film
2522196,Greg Miller,Psychology
2160548,She-e Wu,Music
409900,Jeffrey Sconce,Film
876233,Ithai Stern,Management
888911,Larry Trzupek,Chemistry
163678,Andy Rivers,Physics
158791,Robert Harris,Music
477340,John Mordacq,Biology
162268,Jeff Rice,History
159609,Ian Hurd,Political Science
159835,Edward Gibson,Political Science
162061,William Murphy,Anthropology
760709,Ed Malthouse,Marketing
520876,Gueorgui Derluguian,Sociology
2264537,Candice Bradley,Political Science
1912216,Chad Bhatti,Information Science
828164,Mohammad Abdeljaber,Languages
165625,Martin Redish,Law
130978,Robert Hasty,Music
524281,Eli Finkel,Psychology
1882295,Mohyeddin Kassar,Economics
162063,. Irons,Anthropology
658462,Lillian Kamal,Economics
2060974,Nicole Najor,Biology
159339,Martina Bode,Mathematics
791233,Kayed Akkawi,Computer Science
162052,Heather Colburn,Languages
107470,Jorge Nocedal,Engineering
320692,Rifka Cook,Languages
161076,Jeffrey Winters,Political Science
1912218,Donald Wedding,Information Science
286590,Linda Zerilli,Political Science
481570,Susan Mineka,Psychology
682799,Charles Yarnoff,Writing
1785780,Gunther Branham,Computer Science
963121,Sorin Maruster,Economics
1652403,Jackie Bird,Computer Science
455921,Martin Mueller,Classics
1971657,Anna Langhorne,Communication
1784338,Ken Woo,Computer Science
481571,Dan McAdams,Psychology
804216,Will Reno,Political Science
1979884,Daniel Roth,Business
2501429,Jahaan Abdullah,Psychology
2390094,Meital Avivi-Reich,Health Science
999622,Elzbieta Foeller-Pituch,Literature
1754196,Eula Biss,English
992461,Jerry Lassa,Mathematics
163136,Charles Whitaker,Journalism
741147,Joseph Walsh,Biology
526196,Aryeh Routtenberg,Psychology
652574,Sonbinh Nguyen,Chemistry
1756068,Karl Muth,Economics
1298993,Ian Horswill,Computer Science
638445,Mark Sheldon,Philosophy
178801,Nancy Whitaker,Music
280903,Tom Meade,Science
1649670,Erich Spengler,Information Science
987913,Gerardo Ribeiro,Music
2150568,Alianna Maren,Information Science
797834,Michael Wasielewski,Chemistry
867673,Erinn Mee,Biology
1026793,H. David Smith,Psychology
1784328,Atef Bader,Computer Science
1784356,Mark Clare,English
158995,Moshe Matalon,Engineering
356973,Paul Goerss,Mathematics
556473,Albert Hunter,Sociology
1478167,Sara Broaders,Psychology
1112264,Brian Uzzi,Management
556460,Jane Winston,Not Specified
1651618,Laura Kipnis,Communication
2267720,Edward Arroyo,Mathematics
2713156,Nethra Sambamoorthi,Mathematics
2718977,Randall Berry,Engineering
771881,Martin Block,Marketing
1806219,Fred Northrup,Chemistry
919490,Katie Duke,English
1820259,Joshua Chambers-Letson,Communication
2354892,Robert Wallace,Classics
2037873,William Waas,Computer Science
556470,Gary Alan Fine,Sociology
1266254,Rachel Mersey,Journalism
894799,Ken Alder,History
494427,Paul Arntson,Communication
1149888,Shelby Hatch,Chemistry
813597,Sarit Markovich,Business
1533937,Steven Andes,Accounting
2106310,Eran Tzelgov,Literature
2189103,Katheryn DeVelvis,Mathematics
892534,John Paluch,Languages
1906895,Peter Fenves,Literature
430533,Galen Bodenhausen,Psychology
1962545,Charles Pak,Computer Science
2019062,Susan Piagentini,Music
672082,John Bushnell,History
1590913,Jeffrey Gott,Management
1015783,Joel Colom-Mena,Languages
2105058,Cosmas Zachos,Physics
2110365,Greg Beitel,Biology
2554135,Melvin Ott,Information Science
959185,Rick Morris,Communication
2583171,Eddy Borges-Rey,Journalism
2642685,Sharon Dill,Computer Science
2678864,Ginger Pennington,Marketing
2703999,Dre Stiles,Psychology
2985260,Carine Nemr,Chemistry
1795605,Renee Engeln-Maddox,Psychology
2047944,Valerie Kilman,Biology
2386905,Lisa Hirschhorn,Medicine
1580280,Douglas Foster,Journalism
934886,Nitasha Sharma,Ethnic Studies
1313908,Bruce Ankenman,Engineering
2426055,Amy Hauenstein,Communication
2390018,Michele McDonough,Biology
2436571,Syamala Srinivasan,Computer Science
2762232,Ken Forbus,Computer Science
1865618,Vivian Noble,Biology
3037275,Inna Naroditskaya,Music
3050543,Stephanie  Brehm,Education
276796,Jared Wunsch,Mathematics
1841342,Goce Trajcevski,Engineering
966410,Wing Kam Liu,Engineering
2265604,Patti Wolter,Journalism
1912217,Shaddy Abado,Information Science
1144840,David Rapp,Psychology
2242656,Ashley Brandon,Film
1188331,Francesca Tataranni,Classics
2294407,Erik Luijten,Engineering
1102127,Jannet Chang,Economics
1732470,Blair Milton,Music
2189767,Susan Hahn-Reizner,Health Science
1798198,Gail Williams,Music
2671517,Barnor Hesse,Sociology
289629,Tracy Davis,Theater
1120463,Victor Yampolsky,Music
2351161,Erin Lambers,Biology
1524005,Dennis Cao,Chemistry
2701340,Jamie Riggs,Mathematics
1411973,Elton Hsu,Mathematics
556471,Wendy Griswold,Sociology
1814380,Marin Gordon,Accounting
1135485,Michael Smith,Journalism
1920761,Sara Owsley,Computer Science
2037879,Leslie Fisher,Computer Science
2239406,yun wang,Engineering
1957832,Prem Kumar,Engineering
556485,Robert Nelson,Sociology
2218334,ROBERT HART,Journalism
2455909,Jeronimo Duarte Riascos,Languages
894798,Francesca Bordogna,History
1133332,Priya Venkatesan,Literature
2288814,David Figlio,Economics
1408518,Jules Law,English
2460637,James Kerwin,Computer Science
2424681,Hans Jensen,Music
2607772,Nancy Rotering,Social Science
2167697,Emily Weiss,Chemistry
2424872,Myrto Mavraki,Mathematics
2515509,Abigail Rosensweig,Chemistry
2819742,Dorcas Matowe,Education
2937383,Robert Lipschutz,Medicine
2956714,Angela  Barragan,Physics
1935317,Claudia Swan,Art History
3042473,Jeffrey Ely,Economics
729878,Sherwin Bryant,History
2113136,Gustavo Medrano,Social Work
1708481,Bonnie Honig,Political Science
1814276,Michael Kramer,History
1921297,Robert Whittier,Engineering
2035352,Patrica McNally,Management
2156545,Patricia Becker,Health Science
2086975,Ming Yang Kao,Engineering
556494,Celeste Watkins,Sociology
1804575,Xin Chen,Engineering
2576118,Rosa Ventrella,Biology
2390310,Eric Abbott,Information Science
1610776,Kate Masur,History
2581553,Clive Newstead,Mathematics
2022507,William Ocasio,Management
1388288,Margaret Dempster,Languages
1689729,Dr.Laura Berman,Medicine
1455413,Stephen Habermaiz,Economics
1468361,Chang Liu,Engineering
