index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,,1.0,CIS417,harsh and not reasonable,False,2024-12-06 16:39:55,4.0,B-,1.0,True,False,1.0,Tough grader--Test heavy,-1.0,0,0,,825570
1,non mandatory,5.0,CIS413,"I had the pleasure of taking a database systems course with Professor Akkawi and I must say, it was an absolute pleasure. From the very beginning, Professor Akkawi made it clear that their top priority was ensuring that every student in the class fully understood the material and was able to apply it to real-world situations.",False,2022-12-31 21:22:38,4.0,A,5.0,True,True,5.0,Amazing lectures --Gives good feedback--Accessible outside class,3.0,0,0,1.0,825570
2,non mandatory,3.0,CIS413,"His lectures were very good but his assignments were very difficult and the was not available outside of the office hours, which was not in my timezone.  It was difficult to find other students to try to collaborate with as well.  He does everything directly from the book, review some of the questions at the end of the chapter to prep for the final",False,2022-10-11 18:51:32,5.0,B+,3.0,True,True,3.0,Tough grader--Amazing lectures ,3.0,0,0,,825570
3,non mandatory,5.0,CIS417,Akkawi was one of my best teachers.,False,2022-05-26 13:16:02,5.0,B,5.0,True,False,5.0,Tough grader--Lots of homework--Respected,-1.0,0,0,1.0,825570
4,non mandatory,5.0,CIS417,I was able to utilize the concepts taught in this class immediately in my professional career. Dr. Akkawi is an enthusiastic faculty member and he shows concern for the student's need to learn the content.,False,2019-12-26 13:31:48,4.0,A-,5.0,False,False,5.0,Respected--Accessible outside class--Participation matters,0.0,0,0,1.0,825570
5,non mandatory,5.0,CIS417,Dr. Akkawi was a master of the material and did a good job of presenting. The video recordings are a little outdated with the resolution but the content has a wealth of knowledge.,False,2019-12-24 02:09:27,5.0,B+,5.0,True,False,5.0,Gives good feedback--Inspirational--Amazing lectures,5.0,0,0,0.0,825570
6,non mandatory,5.0,CIS313,"I really enjoyed this course, because it challenged me more than any other course I have taken so far. Akkawi was extremely helpful and available outside of class. He also put up extra materials on Canvas which was very helpful for us to understand the material and get ready for the exam.",False,2019-12-20 22:17:49,4.0,B+,5.0,False,False,5.0,Lots of homework--Get ready to read--Lecture heavy,5.0,0,0,1.0,825570
7,non mandatory,5.0,CIS417,I found Professor Akkawi to be really willing to help students and I appreciated the amount of time and effort he put into the class.,False,2019-12-19 18:21:10,5.0,B,5.0,True,False,5.0,Gives good feedback,5.0,0,0,1.0,825570
8,non mandatory,5.0,CIS417,"I wouldn't say he's hard, but he does challenge you, which is good as that is how you learn. Homework was especially challenging at times. Provides weekly lectures and if you follow them and take good notes, you'll do good. No surprises - final was similar to homework. Advice on final: speed is essential. Work fast or you won't finish in time.",False,2019-10-16 15:47:31,4.0,A,5.0,True,True,5.0,Gives good feedback--Respected--Skip class? You won't pass.,5.0,0,0,1.0,825570
9,mandatory,1.0,DB50,"I had a 98% entering the Final; which consisted of 4 problems. He awarded me a 50%, even though the answers were identical to previous work that had received a 98% . When I called him, he said that on the Final he &quot;awarded 1/3 of the class a 100%, 1/3 a 75% and 1/3 a 50%.&quot; He threatened six of us with an F if we reported him to the administration.",False,2018-10-31 13:16:13,3.0,B-,1.0,False,False,1.0,GRADED BY FEW THINGS,0.0,1,2,0.0,825570
