id,name,department
64556,Sonia Sorrell,Humanities
64132,Robert Sexton,Economics
64535,Gary Galles,Economics
64380,Robin Perrin,Social Science
291280,Chris Heard,Theology
2324430,Nicholas Cumming,Religion
144768,Cynthia Colburn,Humanities
71309,David Strong,Mathematics
281594,Maria Villegas,Languages
88838,Michael Folkerts,Psychology
245912,Betty Dillon,English
13551,Tim Willis,Religion
513928,Bryan Givens,Humanities
78571,Gregory Daum,Communication
64496,Kevin Iga,Mathematics
473727,Brian Newman,Political Science
78340,Jeff Banks,Business
2480552,Leah Stiemsma,Biology
1341791,Jessica Cail,Psychology
541112,Raymond Carr,Religion
64494,Carol Adjemian,Mathematics
64389,Chris Soper,Political Science
64490,David Green,Science
639141,Christopher Doran,Religion
92946,Stewart Davenport,History
581555,Andrew Yuengert,Economics
499572,Candice Ortbals,Political Science
64480,Michael Gose,Humanities
167172,Dean Baim,Business
112843,Robert Williams,Political Science
64381,Cindy Miller-Perrin,Psychology
1950311,Anthony Ahn,Advertising
341422,Debbie Wideroe,Communication
64495,Don Hancock,Mathematics
185755,Joi Carr,English
8829,Darlene Rivas,History
121838,Gerard Fasel,Science
244817,Paul Contino,English
2059975,Jennifer Smith,Humanities
86171,Theresa Flynn,English
1039232,Dyron Daughrity,Religion
64384,Steve Rouse,Psychology
64310,Khanh Bui,Psychology
64489,Jane Ganske,Science
185759,Loretta Hunnicutt,History
168216,Cyndia Clegg,Humanities
975429,Joseph Fritsch,Chemistry
2519527,Stanley Talbert,Religion
1065803,Barry Fike,Communication
1798150,Courtney Davis,Mathematics
1201191,Jeffrey Schultz,English
855082,Zohair Issac,Mathematics
64487,Tom Vandergon,Science
64492,Brad Cupp,Computer Science
64319,Joel Fetzer,Political Science
64499,Susan Helm,Science
502732,Jeffrey Zalar,History
306744,Chris Stivers,Communication
113726,Marilyn Misch,Accounting
64383,Tomas Martinez,Psychology
64505,Michael Ditmore,English
13549,Donna Nofziger-Plank,Science
64312,Dan Caldwell,Political Science
2820103,Beverly Wertheimer,Psychology
2294050,Philip Freeman,Humanities
966143,Lisa Smith,English
2452433,Cari Myers,Religion
2056372,Timothy Willis,Religion
109328,Kathy Shores,Journalism
1457564,Sharyl Corrado,Humanities
71025,Bradley Dudley,Theology
64498,Harry Pappas,Mathematics
2314654,Julia Norgaard,Economics
288602,Rebecca Kim,Sociology
111302,Mike Jordan,Journalism
1774645,Todd Wahlstrom,History
2523282,Leah Rojhani,Mathematics
112423,Gerard Flynn,Computer Science
492937,Carolyn Galantine,Accounting
46761,Thomas Reilly,History
169920,Kathy Kelley,Communication
64316,Jon Johnston,Social Science
2729775,Amy Zazzi,Mathematics
2133067,ELizabeth Thoren,Mathematics
109777,Christine Peterson,Languages
112226,Michelle Langford,Languages
2520140,Corinne Novell,Marketing
2635806,Mason Marshall,Philosophy
70971,Susan Salas,Communication
71030,Stephen Parmelee,English
1403646,Jennifer Harriger,Psychology
1780846,Janet Trammell,Psychology
112094,James Thomas,Humanities
2929340,Andrew Sutherland ,Religion
64386,Ira Jolivet,Theology
2632545,Beau Brannan,Humanities
64313,Dan Rodriguez,Theology
1603851,Bryan Keene,Art History
86168,Ginger Rosenkrans,Communication
2571531,Kelsey Brereton,Chemistry
277131,Paola Lorenzi,Languages
109912,Vendakatachalan Seshan,Business
901036,John Peterson,English
291129,Michael Wissot,Communication
190677,Frank Novak,English
2096726,Christina Littlefield,Journalism
2624558,Kendrick Roberson,Political Science
112494,John Jones,Communication
2088006,Lauren Kilroy,Humanities
1977110,Tuan Hoang,History
64265,Robert Escudero,Economics
1780855,Linka Griswold,Psychology
64486,Karen Martin,Science
112218,Rossana Daste,Languages
1598488,Ronald Dolbin,Mathematics
2251079,Cambry Pardee,Religion
99336,David Holmes,English
493940,Levon Goukasian,Business
71310,Steven Lemley,Communication
757164,Michael Lasley,English
86578,Christina Rogerro,Languages
381633,Connie James,Business
64493,Stan Warford,Computer Science
133673,L. Wayne Gertmenian,Economics
1015424,Cooker Storm,Medicine
