index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,non mandatory,3.0,HUM111,"Her lectures aren't as boring as some other teachers but they aren't worth going to, especially if you learned any ancient history at all in high school. Just get yourself a copy of the TA notes from a friend and study that before the tests and you will pass.",False,2016-02-20 08:59:47,1.0,A-,2.0,True,False,3.0,,1.0,0,0,,64556
1,non mandatory,1.0,HUM111,Boring class,False,2015-03-09 08:04:48,3.0,B+,1.0,True,False,1.0,,1.0,0,0,,64556
2,,3.0,HUM111,"I didn't go to class except to take tests and pick them up, and I got a B+. If you study the TA notes and other students' notes well an A is easily within reach. As for her lectures, from what I did experience, they were not particularly exciting, but she does enjoy talking about her subject. ",False,2015-01-12 15:58:01,1.0,,3.0,True,False,3.0,,1.0,0,0,,64556
3,non mandatory,3.0,HUM111,"Although Sonia's class is boring, it is very easy. Don't buy the book because you will not open it. Just attend the lectures, do your best to stay focused, and take good notes. Also, get a set of TA notes as back up. One of the easiest classes you will ever take if you just do the bare minimum. ",False,2014-12-09 23:13:13,2.0,A,3.0,True,False,3.0,,1.0,0,0,,64556
4,,5.0,HUM111,She's super boring.... but she's a good professor. Showed up with MATH 140 homework and just listened. DON'T listen to what she says about the TA Notes. They saved me and are the reason i passed.,False,2014-10-22 10:06:00,1.0,,3.0,True,False,4.0,,1.0,0,0,,64556
5,,4.0,HUM111,"Having Sonia is part of the Pepperdine experience. She isn't too terrible, just fairly boring. If you attend class and take notes, you'll be more than okay. Don't rely on the TA notes because they can be totally wrong.",False,2014-08-10 22:26:31,1.0,,3.0,False,False,4.0,,1.0,0,1,,64556
6,,5.0,HUM111,"Dr. Sorrell, known to all as simply ""Sonia,"" is a professor everyone should have the experience of taking. Her lecturing style is extremely unusual: her passion for the subject is filtered through her passionless voice, which gives her lectures an oddly endearing tone. Tests are all details, which is a pain. She's incredibly organized and clear.",False,2014-04-30 02:48:21,3.0,,1.0,False,False,3.0,,2.0,1,0,,64556
7,,2.0,HUM111,"Literally everyone hates Sonia's class. Nobody shows up, lectures are super boring, and what's worse is she bombards  you with spam emails about 'cool Roman recipes.' Try to take this class over summer with another professor if you value your sanity.",False,2014-04-17 13:50:02,3.0,,1.0,False,False,2.0,,1.0,1,3,,64556
8,,5.0,HUM111,"HUM111 is by far my favorite class at Pepperdine. Sonia is so passionate about what she teaches, and you can tell by the way she ""takes us on a journey through the Parthenon"" or even when she goes on and on about not cheating on exams. Her class is so easy- no reading required. She's the best.",False,2014-03-24 15:40:56,1.0,,5.0,False,False,5.0,,1.0,0,0,,64556
9,,4.0,HUM111,"Either attend class or read the book (I recommend attending class). She clearly likes the material, but cannot lecture interestingly. TAKE ADVANTAGE OF THE EXTRA CREDIT. 20 free points on top of a 300 point gradebook= 6% grade boost",False,2013-12-07 21:04:23,2.0,,2.0,False,False,3.0,,2.0,0,1,,64556
