id,name,department
1364631,Brian Zack,Languages
136441,Elizabeth Bogan,Economics
556516,Robert George,Political Science
2785801,Andrea Goldsmith,Engineering
2177655,Ali Valenzuela,Political Science
243005,Paul Krugman,Economics
273320,Peter Singer,Philosophy
33701,Ron Comer,Psychology
1258345,Jeffrey Nunokawa,English
226584,Cornel West,Ethnic Studies
2014097,Indiana Jones,Anthropology
105956,Tamsen Wolff,English
136447,Maitland Jones,Chemistry
1169784,Ivy Forbes,Mathematics
571956,Patricia Fernandez-Kelly,Sociology
1394628,Mihaela Carla Caponegro,Languages
336888,Al Acres,Art History
136442,James Gould,Science
7886,Joshua Katz,Classics
136445,Martin Semmelhack,Science
1872573,Simon Cullen,Philosophy
422768,Pablo Debenedetti,Engineering
651848,Uwe Reinhardt,Economics
223454,Lyman Page,Physics
268319,Gideon Rosen,Philosophy
791066,William Bialek,Physics
2518190,Christopher Brinton,Engineering
543287,Sophie Gee,English
579664,Tom Kelly,Philosophy
311532,Gary Bass,Political Science
649834,Henry Farber,Economics
798762,Paul Prucnal,Engineering
416089,Ed Zschau,Engineering
813673,Lee Mitchell,English
445168,Kiki Jamison,Political Science
551100,Benjamin Widiss,English
507556,Miguel Centeno,Sociology
138362,Jamie Rankin,Languages
327711,John Conway,Mathematics
768666,Natasha Lee,Literature
1462638,Russell Nieli,Political Science
700440,Eric Gregory,Religion
199384,William Jordan,History
228573,Eve Ascheim,Fine Arts
199441,Robert Kaster,Classics
428040,Hans Halvorson,Philosophy
13057,Jennifer Johnson,Mathematics
199572,Alexander Nehamas,Philosophy
840975,Simone Marchesi,Literature
855947,Muhammad Qasim Zaman,Religion
2055462,Andrew Wassef,Biology
13058,Morton Kostin,Engineering
650499,Smita Brunnermeier,Economics
543288,John V. Fleming,English
33700,Robert Bagley,Art History
174973,Molly Greene,History
1793488,Cagan Yalama,Engineering
953651,Edgar Choueiri,Engineering
1186025,Selig Ralph,Mathematics
756860,Arion Melidonis,Anthropology
802583,Stephen Kotkin,History
971629,David Huse,Physics
1526745,Ali Aslam,Writing
568904,Sanjeev Arora,Computer Science
1191110,Kevin Wayne,Computer Science
852611,Martin Kern,Ethnic Studies
340943,Daniel Marlow,Physics
482271,Michal Cadden,Theater
547436,Toni Morrison,English
1695436,Joe Stephens,Humanities
240868,Francois Rigolot,Languages
794814,Michael Wood,English
2455361,Yecheng (Kent) Cao,Art History
787947,Wendy Heller,Music
729693,Aissata Sidikou,Languages
433335,Charlie Gross,Psychology
732429,David Bellos,Languages
1329006,Sergey Norin,Mathematics
2097447,Maria Garlock,Engineering
429069,Amaney Jamal,Political Science
424145,Mark Rose,Biology
708485,Claire Gmachl,Engineering
571958,Brian Kernighan,Computer Science
1695875,Alicia Adsera,Economics
637839,Paul Miles,History
791067,Hendrik Lorenz,Philosophy
1479819,Ana Babus,Economics
626309,Janos Kollar,Mathematics
908390,Dixit Avinash,Economics
1107408,William Gleason,English
852610,M.H. Huet,Languages
572924,Edmund White,Writing
786473,Tomoko Shibata,Languages
933570,Simeon Chavel,Religion
1542231,Elizabeth Gavis,Biology
2108908,Robert Sedgewick,Computer Science
807854,Erik Sorensen,Chemistry
2720176,HV Poor,Engineering
340941,Michael Gordin,History
1889152,Andrew Ford,Classics
1980043,Anita Husen,Near Eastern Studies
2016822,Andrew  Appel,Computer Science
1781042,Rebecca Fiebrink,Computer Science
2612628,Johann Frick,Philosophy
761834,Gilbert Harman,Philosophy
818560,Saul Anton,Languages
892598,Daniel Oppenheimer,Psychology
