index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,non mandatory,5.0,ENG111,"This is not difficult, funny, easy to participant class.",False,2025-01-17 14:33:38,3.0,A+,5.0,False,False,5.0,Get ready to read--Inspirational,3.0,0,0,1.0,1364631
1,non mandatory,5.0,ENG111,The professor has an incredible calming presence with which makes learning much more enjoyable and easier. The one thing is that the difficulty of the class is sometimes very low and sometimes more advanced but I understand that it can be because of the various levels of English language skills of all students.,False,2024-12-27 16:54:14,1.0,Audit/No Grade,5.0,False,False,5.0,Amazing lectures --Hilarious--Caring,3.0,0,0,1.0,1364631
2,non mandatory,5.0,ENG111,"The teacher is concerned about the welfare of his students, always willing to improve. His class has a great impact on the community. Congratulations, an honor to be part of his students. ",False,2024-12-12 00:47:34,3.0,Audit/No Grade,5.0,False,False,5.0,Inspirational--Caring--Respected,3.0,0,0,1.0,1364631
3,,5.0,ENG111,"I've had the pleasure of taking classes with Brian, and it's been an amazing experience. He is professional, patient, and passionate about teaching. Each lesson is clear, engaging, and tailored to my needs. Highly recommend classes! 
",False,2024-12-10 14:36:06,1.0,,5.0,False,False,5.0,,3.0,0,0,1.0,1364631
4,non mandatory,5.0,ENG111,"Thank you Brian for this class. I like the structure and handouts. Usually the lectures are more then 2 hours and they contain a lot of different topics, new words + Iinks to the root of words and their origin (which I find especially enriching lectures). I wish we have 5-minute brake after approximately 1 hour (before advanced vocabulary). ",False,2024-11-09 05:01:03,3.0,Audit/No Grade,5.0,False,False,5.0,Amazing lectures --Caring--Respected,3.0,0,0,1.0,1364631
5,non mandatory,5.0,INFORMALENGLISH,"The class is very informative for non-native speakers. It covers basic/advanced vocabularies, grammar, idioms, reading and humor. I cannot believe this class is free with its context and quality and am truly grateful that I get to know this class!!! Thank you Brian.",False,2024-11-09 04:27:51,3.0,Audit/No Grade,5.0,False,False,5.0,Amazing lectures --Respected,3.0,0,0,1.0,1364631
6,non mandatory,5.0,INFORMALENGLISH,He is very enthusiastic!,False,2024-11-04 21:54:52,2.0,Audit/No Grade,5.0,False,False,5.0,,-1.0,0,0,1.0,1364631
7,non mandatory,5.0,INFORMALENGLISH,"This class is designed for non-native English speakers. It's free, doesn't require registration, has no homework, and doesn't involve any paperwork. It's open to everyone, and all are welcome.
The professor is an excellent instructor with extensive experience, he'll be happy to answer any questions you may have. This class is helpful for everyone.",False,2024-11-03 21:04:01,3.0,A,5.0,False,False,5.0,Participation matters--Amazing lectures --Gives good feedback,3.0,0,0,1.0,1364631
8,,5.0,INFORMALENGLISH,Amazing professor ,False,2024-11-03 17:52:59,1.0,,5.0,False,False,5.0,Amazing lectures --Inspirational,3.0,0,0,1.0,1364631
9,non mandatory,4.0,INFORMALENGLISH,The informal nature of Brian's class makes participants feel at ease. He is a dedicated tutor who is attentive and does his best to answer all questions thoroughly. ,False,2024-11-02 03:41:11,3.0,Rather not say,4.0,False,False,4.0,Inspirational,3.0,0,0,1.0,1364631
10,non mandatory,4.0,INFORMALENGLISH,"The informality of Brian's lessons makes the participants feel comfortable. He loves teaching, is attentive, answers all your questions as best he can. He is a teacher you will be glad to have.",False,2024-11-02 03:28:42,3.0,,4.0,False,False,4.0,,3.0,0,0,1.0,1364631
11,non mandatory,5.0,ENG111,I like the class. It is very much helpful for me,False,2024-09-22 01:32:01,1.0,,5.0,False,False,5.0,Amazing lectures --Gives good feedback--Inspirational,3.0,0,0,1.0,1364631
12,non mandatory,4.0,ENG111,3.5hours is a little bit long for me . Is it possible for taking a break in the middle of class?,False,2024-02-24 17:28:13,3.0,,4.0,False,False,4.0,,3.0,0,1,1.0,1364631
13,non mandatory,5.0,INFORMALENGLISH,Thank you for your time! Is very help full.,False,2023-12-06 22:38:26,1.0,A,5.0,False,False,5.0,Inspirational--Respected--Accessible outside class,3.0,0,0,1.0,1364631
14,non mandatory,5.0,INFORMALENGLISH,"His English class is well organized, from vocabulary, grammar to some formal text and cartoon language. Informative for non-native people. Materials are provided as color-printed handouts. I like this class.",False,2023-12-02 20:19:35,2.0,,5.0,False,False,5.0,,3.0,0,0,1.0,1364631
15,non mandatory,5.0,ENGINFM,Well organized. Makes the class informative and engaging.,False,2023-10-03 10:46:11,1.0,Audit/No Grade,5.0,False,False,5.0,Amazing lectures --Inspirational--Respected,3.0,0,0,1.0,1364631
16,non mandatory,5.0,INFORMALENGLISH,He is an excellent teacher and his classes are fun,False,2023-09-03 16:09:22,3.0,Audit/No Grade,5.0,False,False,5.0,Participation matters--Inspirational--Accessible outside class,-1.0,0,0,1.0,1364631
17,non mandatory,5.0,ENG111,He is awesome! ,False,2023-06-16 23:54:31,3.0,,5.0,True,False,5.0,EXTRA CREDIT--Amazing lectures --Gives good feedback,3.0,0,1,1.0,1364631
18,non mandatory,5.0,ENG111,One of the best ESL teachers I have ever experienced in my life!,False,2023-03-17 19:57:20,4.0,,5.0,False,False,5.0,,3.0,0,0,1.0,1364631
19,non mandatory,5.0,ENG111,"Professor Zack is generous to offer this course to non-native speakers. I especially enjoy the reading part, which introduces American culture and history. Great professor! Highly recommended! ",False,2023-02-24 19:14:28,1.0,,5.0,False,False,5.0,Amazing lectures --Inspirational--Respected,-1.0,0,0,1.0,1364631
20,non mandatory,5.0,ENG111,"Awesome professor, always willing to help and knows a lot about English ",False,2022-11-08 19:52:34,1.0,A+,5.0,False,False,5.0,Amazing lectures --Caring--Respected,3.0,0,0,1.0,1364631
21,mandatory,5.0,ENG111,I recommend,False,2022-11-08 05:26:17,1.0,A+,5.0,True,False,5.0,Amazing lectures --Inspirational--Respected,3.0,0,0,1.0,1364631
22,non mandatory,5.0,ENG111,He is so nice. He does not matter when you come to class.. just listen. Useful classes. Thank you,False,2019-10-03 02:22:34,4.0,Audit/No Grade,5.0,False,True,5.0,Gives good feedback--Respected--Amazing lectures,5.0,0,0,1.0,1364631
