id,name,department
1014999,Vincent Duffy,Industrial Engineering
356840,Kelly Blanchard,Economics
2777553,Andrey Glubokov,Mathematics
157703,Kenji Matsuki,Mathematics
1887440,Andrew Freed,Earth Science
2231495,Jeff Turkstra,Computer Science
305225,Bill Crum,Computer Science
132435,Dennis Minchella,Biology
1956423,Joseph (Kuan-Hua) Chen,Mathematics
136959,Tim Delworth,Mathematics
274830,George Hollich,Psychology
2005430,Ramses Martinez,Industrial Engineering
1808117,Mohamed Seleem,Veterinary Sciences
141773,Owen Davis,Mathematics
96889,Buster Dunsmore,Computer Science
271662,Craig Miller,Computer Graphics
70480,Carol Donnelly,Psychology
2402043,Abdul Salam,Computer & Informational Tech.
166408,Michael Melloch,Engineering
247764,John Nash,Chemistry
200817,Alan Friedman,Biology
136027,David Bridges,Science
3525,PK Imbrie,Engineering
282227,Saurabh Bagchi,Engineering
1931762,George Adams,Computer Science
136336,Ray Decarlo,Engineering
132641,Gustavo Rodriguez-Rivera,Computer Science
5973,Johnny Brown,Mathematics
447879,Philip Mummert,Mathematics
2359416,Sean Humphrey,Biology
799230,Robert Holland,Economics
336435,Josh Boyd,Communication
375925,Dominic Naughton,Mathematics
901552,Denise Zielinski,Biological Sciences
1776246,Mariam Alamyar,English
356179,Rupa De,Biology
1685803,Ralph Kaufmann,Mathematics
94486,P.V. Ramachandran,Science
165683,Robert (Bob) Givan,Engineering
489407,Sameer Naik,Engineering
93614,William Oakes,Engineering
344628,Steven Hillis,Sociology
1097232,Gary McFall,Computer Science
2832544,Melanie Fox,Economics
2675443,Pam Porterfield,Statistics
2618684,Donna Fekete,Biology
2010992,Andres Vargas,Economics
1165548,David Bos,Biology
2656625,Kaitlyn Hood,Mathematics
1603692,Andrew Toms,Mathematics
2656983,Andres Posada,Computer Science
1842146,Benjamin Van Kammen,Economics
926420,William Crum,Computer Science
1076626,Marcy Towns,Chemistry
2038040,Athena Anderson,Biology
2251044,Ignacio Camarillo,Biological Sciences
131050,Randy Roberts,History
794802,Tom Walter,Biological Sciences
2211812,Jill Gulker,Psychology
131984,Victor Barlow,Computer & Informational Tech.
446813,Avinash Kak,Engineering
165460,Ken Mason,Biology
2546249,Terra Maienbrook,Accounting
2127942,Stew Bauserman,Organization Management
738795,Cynthia Harwood,Chemistry
811629,Dennis Lyn,Civil Engineering
2565724,Colin William,Psychology
2279231,Lindsay Hamm,Sociology
1940291,Alex Quinn,Computer Engineering
133444,James Jones,Engineering
154644,Andrei Gabrielov,Mathematics
723546,Sean Brophy,Engineering
47353,David Catlin,Mathematics
202958,Paul Wenthold,Chemistry
2709668,Jeanine Conklin,Chemistry
119114,Heidi Diefes-Dux,Engineering
965479,Jeff Beckley,Actuarial Science
1436926,Tiantian Qin,Statistics
273692,Jean Chmielewski,Chemistry
534540,Zhiyuan Li,Computer Science
2552857,Shalini Low-Nam,Chemistry
362274,Rod Allrich,Agriculture
611172,Christine Hrycyna,Chemistry
1734941,Sarah Sellke,Computer Science
608147,John Pomery,Economics
382567,Ellen Gundlach,Statistics
2373004,Melissa Swisher,Psychology
3068,Alka Harriger,Computer & Informational Tech.
165526,Kathleen Howell,Aerospace Engineering
2162360,Gary Evans,Management
355059,Patricia Bauman,Mathematics
2373003,Stephen Setman,Philosophy
251147,Laurie Iten,Biology
821926,Karthik Ramani,Mechanical Engineering
1861095,Susan Hunter,Industrial Engineering
147364,Jack Hatcher,Management
11656,Jon Teaford,History
2783142,Travis Fuerst,Computer Graphics
132088,Robert Taylor,Agriculture
2723173,Folk Narongrit,Electrical Engineering
2160859,Patrick Devlin,Mathematics
353549,Morgan Murphy,Engineering
2075130,Jonathan Ying,Organization Management
147206,John Deely,Mathematics
2670828,Rucha Karve,Biological Sciences
353918,Timothy Whalen,Civil Engineering
1128147,Henry Chang,Biological Sciences
2006074,Brent Branstetter,Biological Sciences
1904403,Erin Ward,Psychology
193798,Ananth Grama,Computer Science
165352,Larry DeBoer,Economics
64570,Michael Capano,Engineering
99129,Greg Francis,Psychology
135260,Melinda Zook,History
2346204,Daniel Triplett,Computer Graphics
2647910,Scott Sorensen,Accounting
1442107,Leonore Findsen,Statistics
474725,Chuck Krousgrill,Engineering
528455,Yung-Hsiang Lu,Engineering
2660437,Xiaojin Liu,Computer Science
162005,Keith Shimko,Political Science
2235533,Nicole Hands,Computer  Informational Tech.
2426783,Michael Malone,English
8059,Bob Lamb,English
165446,Ronald Glotzbach,Computer Science
915449,Laura Downey,Management
1885583,Lisa Hilliard,Health Science
611818,Lynda Thoman,Management
1000170,Dan Weiss,Sociology
2389709,Corrinne Lim-Kessler,Psychology
2283047,John Froiland,Psychology
2744333,Beatriz Castro,Biology
2473282,Sean Humphrey,Biological Sciences
136640,Rick Kennell,Engineering
1037521,Chitta Das,Chemistry
1574956,Kihong Park,Computer Science
2004665,Kathleen Wible,Engineering
2451221,Andrea Kasinski,Biological Sciences
163989,David Thompson,Chemistry
296640,Dimitrios Peroulis,Engineering
1131433,Clifford Fisher,Management
2418150,Jonathan Rienstra-Kiracofe,Chemistry
1345814,Tong Ren,Chemistry
160156,David Parrish,Fine Arts
386736,Mark Browning,Biology
1967603,Dan Goldwasser,Computer Science
133455,Peter Cook,Mathematics
63744,Marius Dadarlat,Mathematics
7592,Nick Rauh,History
165649,Guity Ravai,Computer Science
1771538,Jonathon Peterson,Mathematics
196449,Tithi Bhattacharya,History
138998,Peter Hollenbeck,Science
147210,Barbara Younger-Rossman,Psychology
1220415,Dale Forsyth,Animal Science
64565,David Meyer,Engineering
1953500,Cheng-Kok Koh,Computer Engineering
308643,Matthew Stephens,Technology
2404622,Abram Axelrod,Chemistry
328728,Sai-Kee Yeung,Mathematics
483530,Elisha Sacks,Computer Science
163292,Tim Newby,Education
5976,Bob Melara,Psychology
339326,Keith Dickson,Classics
191323,Robert Ogles,Communication
2062411,Alan Bunning,Computer Science
2120117,Marta Crowe,Computer Science
396219,Dwayne Woods,Political Science
462061,Aaron Yip,Mathematics
1401700,Chris Clifton,Computer Science
458501,Thomas Moffett,Science
463131,Eric Nauman,Engineering
2245153,Gerhard Klimeck,Electrical Engineering
2592876,Somali Chaterji,Engineering
1228958,Jennifer Foray,History
165326,James Garrison,Engineering
195890,Geraldine Friedman,English
2646046,Tulin Tosun,English
286015,Laszlo Lempert,Mathematics
382188,Thelma Snuggs,Marketing
95564,Raymond Cipra,Engineering
7590,John Dunning,Agriculture
2255354,Carina Rebello,Physics
1973461,Eddy Efendy,Technology
1748930,Michele Strutz,Engineering
132647,Wojciech Szpankowski,Computer Science
1881641,Silvia Mitchell,History
552195,Laura Pyrak-Nolte,Physics
256109,Priya Rajagopalan,Economics
153317,James Gothard,Management
437853,Jan Cover,Philosophy
11654,Tim Owens,Social Science
316238,Harry Targ,Political Science
374605,William McLauchlan,Political Science
355069,Eleftherios Zachmanoglou,Mathematics
135524,Michael Jacob,Engineering
1960869,Frank Kane,Accounting
48844,Val Watts,Medicine
66732,Bob Madison,Computer Science
2124995,Mario Ventresca,Industrial Engineering
341091,Stephen Robb,Communication
320049,Stephen Durbin,Physics
331660,Amy Manning,Communication
895908,Minghao Qi,Engineering
595848,James McClure,Mathematics
1414113,Irith Pomeranz,Engineering
151966,Paul Drnevich,Management
360037,Lee Schweitzer,Agriculture
2162276,Seyedali Ghahari,Civil Engineering
133309,Mikhail Atallah,Computer Science
2898323,Junfei Li,Engineering
2745108,Maxwell Rees,Computer Science
195856,Michael Smith,History
147208,Lawrence Braile,Science
154677,Ian Shipsey,Physics
2129750,Mathew Tantama,Chemistry
1767221,David Norris,Mathematics
2076561,Sanjay Rebello,Physics
129099,Michael Nolan,Aviation
136643,Arif Ghafoor,Electrical Engineering
212784,Sugato Chakravarty,Finance
534198,Paul Sojka,Engineering
935661,Zhiqiang Cai,Mathematics
1634047,Suzanne Bart,Chemistry
780807,Michael Zoltowski,Electrical Engineering
1882620,Jason Ware,Education
2391245,Vetria Byrd,Computer Graphics
7589,Tom Turpin,Entomology
99501,Bruce Schmeiser,Industrial Engineering
154626,David Goldberg,Mathematics
2830450,Hannah Starr,Chemistry
196389,Tracy Clark,English
361273,Harold Donnelly,Mathematics
602764,Martin Bertodano,Engineering
2030166,Nathaniel Lifton,Geology
158029,William Anderson,Engineering
340755,William Robinson,Chemistry
195819,Dorothy Deering,English
2557652,Charles Campbell,Classics
2520551,Jonathan Ziulkowski,Aviation
300841,Thomas Tharp,Science
828577,Chih-Chun Wang,Electrical Engineering
1408036,Ying Zhang,Mathematics
2853382,Mallory Kern,Chemistry
1395999,Andrew Smith,History
1931163,Ayhan Ince,Technology
177437,James Nairne,Psychology
2338452,Amy Mueller,Computer Graphics
1267107,Kendall Thomson,Chemical Engineering
1408282,Yulia Pushkar,Physics
208568,John Grutzner,Chemistry
2442228,Gudrun Schmidt,Chemistry
133238,David Eichinger,Science
522528,Mireille Boutin,Engineering
1555521,Laura Young,Political Science
2374823,Julia Laskin,Chemistry
1803299,Andrew Liu,Industrial Engineering
531537,Clark Cory,Computer Science
2075255,Kim Fatten,Accounting
2096474,Patricia Thomas,Sociology
389640,Carl Wassgren,Engineering
1089826,Roy Dejoie,Management
164804,Howard Adler,Hospitality
2223815,Stanley Chan,Electrical Engineering
2433030,William White,Communication
14774,David Rollock,Psychology
132660,Susanne Hambrusch,Computer Science
151046,Vernon Rego,Computer Science
99128,Elena Benedicto,Languages
895132,Shimon Nof,Industrial Engineering
2724706,Robert Austin,Physics
2850860,Sudip Vhaduri,Computer & Information Technology & Engineering
938340,Plamen Stefanov,Mathematics
826849,Santiago Pujol,Civil Engineering
580460,Steve Beaudoin,Engineering
2193826,Kimberly Reppa,Civil Engineering
1346810,Beth Lebreton,Psychology
2937255,Johnny Condori Uribe,Engineering
316682,Scott Downey,Agriculture
172247,Susan Swithers,Psychology
901554,Norbert Neumeister,Physics
1759397,Rebecca Trax,Accounting
1575607,Milind Kulkarni,Electrical Engineering
387214,Lou Kontos,Fine Arts
2289531,Hua Cai,Industrial Engineering
2256623,Petros Drineas,Computer Science
536595,Elizabeth Hoffmann,Sociology
628909,Dorothee Bouquet,History
1216148,Jonathan Neal,Entomology
1368967,Antonio Sa Barreto,Mathematics
2322621,Paula Conroy,Accounting
1840600,Christopher Uyeda,Chemistry
2727149,Qiyu Liang,Physics
165780,Doug Nelson,Hospitality
431218,Brian Dillman,Aviation
2053238,Roshanak Nateghi,Engineering
195864,Cornelius Bynum,History
342622,Julia Chester,Psychology
2823227,Mahesh Sunkula,Mathematics
655901,Chong Gu,Statistics
131325,Terry Davidson,Psychology
1454074,Raymond Hassan,Computer Graphics
574618,Mark Johnson,Engineering
2047783,Sergey Macheret,Aerospace Engineering
2100380,Emad Elwakil,Technology
506869,Daniel Phillips,Mathematics
572288,Gabriela Weaver,Chemistry
1198061,Thomas Sellke,Statistics
1276027,Rob Morris,Sociology
2636799,Kent Quanrud,Computer Science
158781,Elizabeth Mercier,Languages
504294,Virgil Barnes,Physics
2449355,Jeanette Aguilar,Engineering
990879,Mark Lehto,Industrial Engineering
612154,Anthony Greig,Management
2738283,Tara Cuthbertson,Communication
135252,Ariel De La Fuente,History
196503,Sandor Goodhart,English
131778,Richard Feinberg,Health Science
2407124,Elizabeth Parkinson,Chemistry
202976,Jay Gephart,Music
999273,Uli Walther,Mathematics
2873251,Robbee Wedow,Sociology
137018,Vern Hillsman,Engineering
2418970,Sara Wiest,Political Science
1091599,Mary Comer,Electrical Engineering
1126317,Steven Landry,Industrial Engineering
1781155,Huimei Delgado,Mathematics
2256359,Piyas Chakraborty,Statistics
102973,Myrdene Anderson,Anthropology
974421,Daniel Elliot,Electrical Engineering
303831,David Koltick,Physics
2324054,Shawn Farrington,Technology
1553764,Annmarie Nicely,"Hospitality, Tourism & Culinary Arts"
134487,Jeffrey Honchell,Engineering
135206,Patricia Boling,Political Science
458965,Steve Bell,Mathematics
1426637,Mark Ward,Statistics
2129661,Tyler Tallman,Aerospace Engineering
2138200,Herman Sintim,Chemistry
1744069,Beth Wilson,Communication
2298403,Siddhartha Nandy,Statistics
494561,Rodrigo Banuelos,Mathematics
356986,Marc Loudon,Medicine
2327530,Peter Watkins,Political Science
2331830,Danny Milisavljevic,Physics
2986665,Jessica Conner-Strunk,Computer Science
611162,Carolyn Perrucci,Sociology
1666540,Greg Michalski,Earth Science
1964738,Elena Grigorescu,Computer Science
2577320,Bettina Klose,Economics
9237,Glenn Sparks,Communication
2169848,Vaneet Aggarwal,Industrial Engineering
2437742,Irvin Jones,Engineering
1283861,Celeste Furtner,Statistics
1812835,Andy Alexander,Management
1996103,Michael Delgado,Agriculture
81530,Ryan Schneider,English
132517,Vern Foley,History
2408256,James Reeder,Marketing
172873,Carlos Morales,Computer Science
1050890,Yvonne Pitts,History
510770,John Umbeck,Economics
360038,Christian Oseto,Entomology
2523519,Anthony Bergstrom,Computer Science
2281186,Jeremy Reynolds,Sociology
2556810,Benjamin Avery,Communication
758158,Bernie Tao,Engineering
1249958,Cody Chullen,Management
537630,Steven Johnson,Civil Engineering
569602,Papia Bawa,English
399407,Patrick Kain,Philosophy
278350,Philip Fuchs,Chemistry
2242080,Beth Hess,Mechanical Engineering
538882,Dan DeLaurentis,Engineering
1153807,Daniel Frank,Philosophy
1391319,Loring Nies,Civil Engineering
94747,Kip Robisch,English
2080729,Tiffany Karalis,Education
469271,Aaron Hoffman,Political Science
760519,Joseph La Lopa,Hospitality
975340,Matthew Ohland,Engineering
1188242,Susan South,Psychology
2247230,Laura Urba,Statistics
821806,John Anderson,Biological Sciences
1217029,Andrew Hirsh,Physics
736061,Michael Bergmann,Philosophy
1067625,Dawn Stinchcomb,Spanish
1771533,Saad Haq,Earth Science
2612380,Abigail Banan,Economics
28468,Ilya Pollak,Engineering
142720,George Bodner,Science
196358,Wendy Flory,English
494726,Barrett Caldwell,Engineering
554801,Michael Jacovides,Philosophy
898669,Stacy Holden,History
1814938,Theodore Goodman,Accounting
232063,Mohan Dutta-Bergman,Communication
817468,Kip Williams,Psychology
2045731,Karen Marais,Aerospace Engineering
94745,Dorsey Armstrong,English
2526707,Qian Wang,Liberal Arts
2179332,Jonathan Moore,English
419843,Jacqueline Marina,Philosophy
1269299,Nancy Pelaez,Biology
2640147,Yu-Chin Chiu,Psychology
1190022,Satish Boregowda,Engineering
2088696,Scott McLuckey,Chemistry
132120,Scott Homan,Management
137065,Greg Bruce,Engineering
195848,James Farr,History
2769859,Steven Hanneke,Computer Science
139825,Okan Ersoy,Engineering
1292630,Nicole Key,Mechanical Engineering
1279403,David McMillin,Chemistry
2508529,Sebastien Helie,Psychology
165495,William Crossley,Engineering
329903,Stephanie Goodwin,Women's Studies
1153811,Gabor Csathy,Physics
6036,Jackie Emmerton,Psychology
