id,name,department
97615,Dave Schmidt,Mathematics
87065,Maya Kiehl,Mathematics
309401,Mohamed Boudjelkha,Mathematics
141911,Chris Hubbell,Psychology
2372027,Peter Persans,Physics & Astronomy
173297,Gerald Korenowski,Chemistry
2355307,Konstantin Kuzmin,Computer Science
1963000,Jianling Yue,Language  Literature
8427,Frank Wright,Business
2188195,Steven Tysoe,Chemistry
882098,Jeffrey Morris,Engineering
242105,Joseph Ecker,Mathematics
804854,Barbara Cutler,Computer Science
3033498,Dan Ditursi,Computer Science
70418,Malik Magdon-Ismail,Computer Science
21971,Bill Foley,Decision Science
292499,Carlos Varela,Computer Science
269558,Martin Hardwick,Computer Science
209590,Harry McLaughlin,Mathematics
98746,Burt Swersey,Engineering
486550,George Plopper,Biology
95025,Robert Jones,Economics
309483,Jennifer Blue,Mathematics
263646,Scott Dwyer,Physics & Astronomy
211650,John Szczesniak,Engineering
360588,Chjan Lim,Mathematics
98732,Holly Traver,Psychology
2002356,Gina Kucinski ,Mathematics
175080,Ashwani Kapila,Mathematics
288292,Achille Messac,Engineering
328008,Mohamed Aboul-Seoud,Decision Science
217938,Sarah Parrales,Economics
615022,Gregor Kovacic,Mathematics
133584,Chris Verwys,Psychology
95826,Sibel Adali,Computer Science
153604,Kurt Anderson,Mechanical Engineering
185319,Peter Kramer,Mathematics
365996,Mark Holmes,Mathematics
133599,Bimal Malaviya,Engineering
246575,Henry Scarton,Engineering
105034,Bram Van Heuveln,Philosophy
102848,Bruce Piper,Mathematics
103703,Alan Cutler,Chemistry
2538469,Eliane Traldi,Mathematics
91372,Mike Wozny,Engineering
2227288,Elizabeth Kam,Mathematics
1687963,Alexander Ma,Chemistry
97614,Chuck Stewart,Computer Science
91373,Luciano Castillo,Mechanical Engineering
2420890,Dan Stevenson,Mathematics
481316,Christian Wetzel,Physics
473540,Mourad Zeghal,Engineering
286210,Gyorgy Korniss,Physics
452225,Yuri Lvov,Mathematics
142838,Larry Reid,Psychology
311607,Gary Adams,Physics & Astronomy
760447,Selmer Bringsjord,Cognitive Science
173292,Atsushi Akera,Technology
1198385,Glenn Ciolek,Physics
1880293,Shayla Sawyer,Electrical Engineering
223661,Isom Herron,Mathematics
178585,Rahmi Ozisik,Engineering
176154,Dave Goldschmidt,Computer Science
945490,Eric Rutledge,Biology
2170486,Uwe Kruger,Biomedical
245939,Harry Roy,Biology
2881769,Belmiro Galo,Mathematics
170451,Mukkai Krishnamoorthy,Computer Science
2233423,Keith Taylor,Aerospace Studies
152598,Chris Carothers,Computer Science
266472,James Moore,Chemistry
397827,Paul Stoler,Physics
588902,Merrill Whitburn,Communication
