id,name,department
141412,Zhiyong Gao,Mathematics
182001,J Tour,Science
2111513,Craig Considine,Sociology
136273,Mikki Hebl,Psychology
476772,Mike Gustin,Biology
223950,Frank Jones,Mathematics
1756087,Craig Ceccanti,Marketing
200788,Jill Carroll,Humanities
370239,John Zammito,History
1000189,Scott Rixner,Computer Science
851676,Maher Awad,Languages
1951481,Kyle Goyette,History
486669,Barry Dunning,Physics
804954,Scott Derrick,English
753756,John Ambler,Political Science
466340,Ron Goldman,Computer Science
1671235,Luay Nakhleh,Computer Science
1106619,Jon Chaika,Mathematics
650556,Margeret Hennessy,Chemistry
842786,Ussama Makdisi,History
664471,David Caprette,Biology
747961,Sarah Ellenzweig,English
325460,Patricia Brogdon-Gomez,Languages
136269,Mike Byrne,Psychology
477275,Ashley Leeds,Political Science
585971,Mark Kulstad,Philosophy
842787,Earl Black,Political Science
535987,John Greiner,Computer Science
971842,Marc Dudey,Economics
1248614,Rudy Guerra,Mathematics
474649,Mary McHale,Chemistry
904627,Eric Chesebro,Mathematics
474652,Richard Stong,Mathematics
1079194,Satish Nagarajaiah,Engineering
251380,Yousif Shamoo,Biology
683739,Jeffrey Kripal,Religion
766354,Alexander Byrd,History
476253,Stephen Zeff,Accounting
755434,Philip Wood,Humanities
911397,John Hutchinson,Chemistry
477277,Hanoch Sheinman,Philosophy
742662,Thomas Haskell,History
251142,Cronin Justin,English
1149511,Luis Duno-Gottberg,Film
1257827,Elena Pavelescu,Mathematics
116438,John Bryant,Economics
789517,Andre Droxler,Geology
174659,Deborah Nelson,Languages
490590,Richard Baraniuk,Engineering
657495,Evelyne Datta,Languages
664446,Linda Neagley,Art History
761907,George Sher,Philosophy
844517,Yehia Massoud,Engineering
585959,Bridget Gorman,Sociology
1064195,Diana Strassmann,Women's Studies
712087,Devika Subramanian,Computer Science
702552,Emilie Dejonckheere,Languages
2931991,HENGRUI LUO,Mathematics
682125,Matt Schlief,Theater
397811,Jane Hartsfield,Mathematics
362387,David Worth,Humanities
807291,Daniel Beal,Psychology
1040622,Judy Radigan,Education
2099367,Virginia Weckstrom Kantor,Music
490598,Richard Massey,Engineering
2727560,Mack Joyner,Computer Science
585969,Richard Grandy,Philosophy
268549,Cary Wolfe,English
498287,Andrew Barron,Chemistry
765791,Stanley Dodds,Physics
1787432,Robert Werth,Sociology
2616390,Eugene Zubarev,Chemistry
1000183,Don Johnson,Engineering
554128,Paul Stevenson,Physics
804321,Suzanne Kemmer,Linguistics
833522,John Olson,Chemistry
1314428,James Weston,Economics
1966505,Jonathan Lankford,Humanities
1451721,Carl Atlee,Languages
1236413,Brian Huberman,Film
1029743,Sabin Cautis,Mathematics
930516,Brandon Dugan,Geology
845155,Vicki Colvin,Chemistry
1000188,Erzsebet Merenyi,Engineering
2380454,Siran Li,Mathematics
1352569,Linda McNeil,Education
