index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,non mandatory,5.0,MATH211,"His eccentricity is well-known, but Gao's an effective professor with some legendary quips. On a more serious note, he makes great use of lecture time to explain each topic thoroughly and he answers questions well. Your experience with him will be great if you show up to class and take your notes.",False,2024-12-17 12:46:41,3.0,,5.0,True,False,5.0,Participation matters--Hilarious--Test heavy,-1.0,0,0,1.0,141412
1,non mandatory,5.0,MATH102,Professor Gao has been the most caring professor I have ever have in college. He really makes himself available to help students outside of class. His office hours always end up being a collaboration space where other students come together and he guides our learning. He is very understanding and will guide classes with great questions.,False,2020-12-19 17:43:53,3.0,A+,5.0,True,False,5.0,Accessible outside class--Participation matters--Caring,5.0,0,0,1.0,141412
2,mandatory,5.0,MATH212," Professor Gao is amazing. Highly recommend. He makes even a difficult and tedious class, Multivariable Calculus, seem fun and easy. Lectures are hysterical too.",False,2015-10-06 01:25:53,2.0,,4.0,True,False,5.0,,4.0,1,2,,141412
3,,5.0,MATH212,I would love to take more classes with Prof. Gao. I will definitely miss him. ,False,2014-12-08 14:21:53,2.0,,5.0,True,False,5.0,,3.0,1,1,,141412
4,,5.0,MATH212,he is the best!,False,2013-08-27 19:36:28,1.0,,5.0,False,False,5.0,,5.0,0,0,,141412
5,,2.0,MATH102,"Mr. Gao was a really nice man. If you have trouble understanding native Chinese speakers' accents, you may have an issue, though. His explanations were very thorough, but he didn't give us much time to process the information he taught us and went at a fast pace. Nice guy, but there are better teachers out there.",False,2011-01-01 14:16:14,3.0,,3.0,False,False,3.0,,5.0,4,0,,141412
6,,2.0,MATH300,not at all helpful outside of the classroom.,False,2009-08-13 16:03:39,3.0,,1.0,False,False,2.0,,2.0,1,0,,141412
7,,3.0,MATH211,"Great at entertaining he class, not so great at teaching it...doesnt do much explaining...and the homework sets can get tiresome...first two tests are a breee though",False,2008-01-03 02:24:50,2.0,,2.0,False,False,3.0,,3.0,0,1,,141412
8,,2.0,MATH211,"Entertaining teacher. Tests are just like previous years.  2 Midterms, 1 Final +HW and a project. Easy to get a good grade, but HW still takes time. Dont really learn much from class since Gao just tells you how to do something, not what it is actually happening.  If u just need it for a major requirement/distribution and not knowledge, good class.",False,2006-12-18 22:58:16,2.0,,2.0,False,False,2.0,,3.0,1,0,,141412
9,,2.0,MATH211,Study old tests!!,False,2005-12-09 17:06:17,2.0,,2.0,False,False,2.0,,,0,1,,141412
10,,4.0,MATH211,"Funniest teacher you will ever have. The day before exams, he goes over everything that will be on the exam. And not just what might be on the exam. He literally numbers the topics as he reviews them, and the numbers match up with questions on the exam.",False,2005-11-29 14:48:03,2.0,,3.0,False,False,4.0,,,0,1,,141412
11,,5.0,MATH102211,"study the old tests cuz every year they're exactly the same, he just changes the numbers. definitely an easy A",False,2005-10-17 22:18:48,1.0,,3.0,False,False,4.0,,,0,0,,141412
12,Y,3.0,DIFFE,awesome. the gaoster,False,2005-10-10 14:16:27,2.0,B-,3.0,False,False,3.0,,,1,0,,141412
13,,5.0,MATH211,Gao rocks you.,False,2005-10-10 02:08:16,3.0,,5.0,False,False,5.0,,,0,0,,141412
14,,2.0,MATH211,sucks. worthless unless you're an academ. you learn absolutely nothing in this class beyond how to solve gao's problems. take math 221/222 or just learn it on your own.,False,2005-07-12 11:39:59,1.0,,1.0,False,False,2.0,,,0,0,,141412
15,,5.0,MATH201,"GAO: YAN CAN CALCULUS. The man rocks.",False,2004-11-28 22:48:54,2.0,,4.0,False,False,5.0,,,0,0,,141412
16,,4.0,MATH222,"He was kind of disorganized, but he was very funny. Once you got past the accent, I think he explained things fairly clearly as well.",False,2004-10-21 16:24:41,1.0,,3.0,False,False,4.0,,,0,0,,141412
17,,5.0,MATH102,Dr gao is an easy math prof,False,2004-07-09 11:50:07,1.0,,5.0,False,False,5.0,,,0,0,,141412
18,,4.0,MATH102,No Comments,False,2004-07-09 11:48:38,2.0,,5.0,False,False,5.0,,,0,0,,141412
19,,5.0,MATH102,funny funny,False,2004-06-29 00:55:29,2.0,,4.0,False,False,5.0,,,0,0,,141412
20,,4.0,MATH102,HAHA,False,2004-04-18 19:55:54,1.0,,4.0,False,False,4.0,,,0,0,,141412
21,,4.0,MATH102,No Comments,False,2004-04-01 23:22:33,3.0,,4.0,False,False,4.0,,,0,0,,141412
22,,4.0,MATH102,"Very easy, but he only taught about 7 concepts for the entire class.  Not a prof for someone who really loves math.",False,2003-09-19 20:08:52,1.0,,2.0,False,False,3.0,,,0,0,,141412
23,,2.0,MATH222,"did not cover much material.  moved slowly for the level of students in the class.  while he showed many of the attributes that would make him a popular teacher, he did not show any that make him a GOOD teacher.",False,2003-06-23 11:29:37,2.0,,2.0,False,False,2.0,,,0,0,,141412
24,,4.0,MATH212,No Comments,False,2003-04-28 17:17:26,2.0,,4.0,False,False,4.0,,,0,0,,141412
25,,5.0,MATH102,"if you take-a square root, god will punish you!",False,2003-02-24 09:58:11,1.0,,5.0,False,False,5.0,,,0,0,,141412
26,,4.0,MATH102,funny guy...in 102.  but not in 212,False,2003-02-20 16:30:09,2.0,,3.0,False,False,4.0,,,0,0,,141412
