id,name,department
67418,Hossein Shahmohamad,Mathematics
234854,Helen Timberlake,Mathematics
725252,Joseph Lanzafame,Chemistry
67421,Elmer Young,Mathematics
1185289,Donald Reynolds,Mathematics
497462,Alla Bailey,Chemistry
67419,Wanda Szpunar-Lojasiewicz,Mathematics
609837,Steve Ciccarelli,Engineering
922504,Deana Olles,Mathematics
736854,Benjamin Steele,Computer Science
1037287,Arthur Nunes-Harwitt,Computer Science
602237,Richard Cliver,Electrical & Computer Engineering
127294,Sean Strout,Computer Science
2722951,Omar Abdul-Latif,Electrical Engineering
67391,Maurino Bautista,Mathematics
576466,Joel Dreibelbis,Mathematics
574221,Jeannette Mitchell,Economics
245423,Carol Oehlbeck,Mathematics
63753,Michael Radin,Mathematics
1102290,Tom Prevendoski,Mathematics
358687,Tim Goodwill,Mathematics
67406,Seshavadhani Kumar,Mathematics
2193578,Sandra Connelly,Biology
1980538,Michelle Weatherell,Biology
1798186,Jessamy Comer,Psychology
806992,Bernadette Lanciaux,Mathematics
468378,Jennifer Wolfley,English
515816,Manuel Lopez,Mathematics
1899229,Philip Gelsomino,Accounting
1455040,Jeremy Brown,Computer Science
251460,Phil White,Computer Science
738137,Anurag Agarwal,Mathematics
1360661,Olga Tsukernik,Mathematics
735730,Patricia Diute,Mathematics
363069,Michael Scrivens,Business
1333208,Andre Hudson,Biology
1044256,Kenneth Martinez,Software Engineering
2172504,Bruce Herring,Computer Science
737353,Nanette Salvaggio,Imaging Science
290313,Robert Bowen,Psychology
287567,De Lois Crawford,Sociology
985425,Colin Mathers,Philosophy
1843925,Gahyun Park,Computing Security
665094,Michael Amy,Art History
803927,Ephraim Agyingi,Mathematics
348120,Brian Koberlein,Physics
17830,Carl Lutzer,Mathematics
873250,Timothy Landschoot,Mechanical Engineering
1809609,Aaron Deever,Computer Science
216173,Elena Sommers,English
1105257,Thomas Borrelli,Computer Science
14398,Brian Barry,Social Science
649268,Larry Hill,Information Technology
828854,Jay Alan Jackson,Interactive Games & Media
1104736,Christopher Hoople,Electrical Engineering
1344100,Anthony Caschetta,English
272131,Clifford Wun,Fine Arts
72686,Joseph Fornieri,Political Science
1850070,Howard McLean,Chemistry
67398,Matthew Coppenbarger,Mathematics
479785,Greg Trayling,Science
67396,Patricia Clark,Mathematics
1343586,Vivek Narayanan,Physics
1385957,Jobby Jacob,Mathematics
1190006,Akhtar Khan,Mathematics
1486042,Carrie Lahnovych,Mathematics
982669,Chad Gratton,Mathematics
732112,Jefferey Burnette,Economics
516893,Joseph Delorenzo,Mathematics
67412,Darren Narayan,Mathematics
2050094,Scott Johnson,Computer Science
146938,Vincent Serravallo,Sociology
402501,Jai Kang,Information Science
148141,Robert Duncan,Computer Science
669593,John Ward,Business
91271,Iryna Labachova,Mathematics
12518,Heidi Nickisher,Art History
991710,Deborah Beardslee,Design
362870,Rebecca Daggar,Mathematics
1533952,Joe Williams,Criminal Justice
60693,Sue Cloen,Mathematics
83504,Marca Lam-Anderson,Engineering
2077935,Ugur Sahin,Mathematics
1104734,Dorin Patru,Electrical Engineering
902347,Edwin Hach,Physics
1541850,Ahrona Chand-Matzke,Psychology
571338,Raluca Felea,Mathematics
1059171,Bill Brewer,Health Science
16924,Alejandro Engel,Mathematics
249526,Andrew Perry,English
480307,Evan Selinger,Philosophy
959036,Birgit Coffey,Mathematics
2256616,Adam Towsley,Mathematics
1723959,Garret Arcoraci,Networking Security & Systems
1819035,Samuel Malachowsky,Software Engineering
902481,Anthony Harkin,Mathematics
89709,Thomas Stone,Literature
1535384,Connie Fitch,Mathematics
715380,Katie Terezakis,Philosophy
64611,Bernard Brooks,Mathematics
2528823,Razieh Fathi,Computer Science
887767,Sylvia Perez-Hardy,Information Technology
923641,Julie Johannes,Literature
903599,Michael Long,Mathematics
1388900,Mario Gomes,Engineering
2092047,Robert St Jacques,Computer Science
2301650,Denitza Straub,Mathematics
1100725,Michael Palanski,Business
767242,Johannes Bockwoldt,Film
104042,William Stackpole,Computing Security
477834,Tamas Wiandt,Mathematics
1965238,Michelle Chabot,Physics
240782,Elizabeth Lawley,Interactive Games & Media
389266,Jim Heliotis,Computer Science
623410,Bharat Bhole,Economics
1054765,Michael Slifka,Engineering
