id,name,department
3033725,Katharine Winchell,Biology
2959376,E Lev Feinman,Women's Studies
2951967,Elizabeth Pilliod,Art History
3016101,Iman Dehzangi,Computer Science
2936398,Shah Tejas ,Mathematics
3002369,Cat Maienza,Nursing
3005509,Deirdre Conroy,Nursing
3015029,Emmanuel  Peters,Business
2945551,Sharon Andress,Nursing
3015035,Ranjan George ,Business
3009222,Thejaswi Balla,Nursing
2985493,Shaan Mody,Physics
2944648,Tawanda Hubbard,Social Work
3010555,Kandace Diedrick,Business
3054420,Camilla Hrdy,Law
3063783,Chuck McLeester,Marketing
2944164,Bradley  Camper,Psychology
2965850,Cynthia Ayres,Nursing
3015031,Selim  CAKMAKLI,Economics
3002365,Fatima Ijaz,English
3019155,Ahren Potratz,Theater
3063781,Yuxiang Zheng,Accounting
2951026,Kimberly Wodzanowski,Chemistry
2973192,Jung Kim,Accounting
3001913,Mary Lovett,Social Work
2933363,Christina Nase,Chemistry
3010547,Lindsey Casella,Marketing
2971714,Valerie  Bass,Psychology
3013787,Joshua Kates,Languages
2930367,Lee  Westman ,Women's Studies
2990166,Madjid  Tavana ,Business
3012958,Johana Londono,Ethnic Studies
3044016,Bailey Blessing,Chemistry
3066035,Doris Zheku ,English
2968308,david  love ,Journalism
2974624,Ann Bagchi,Business
3013304,Riley Klevence,Business
3073072,Tyler Ednick,Mathematics
3004204,Katherine Fackina,Psychology
2930859,James Doyle,Health Science
2961016,Charles Elsea,Nursing
2973600,Jerilyn Christensen,Psychology
2979187,Thato Magano,Literature
3068914,Mary McLaughlin,Nursing
2936397,John Brown,English
3007956,MAKSYM LAZIRKO,Accounting
3013703,Sakae Kikuchi,Literature
3022572,Maryann Dugan,Nursing
