index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,mandatory,1.0,50160103,"Professor is nice, however she can't teach. Goes through slides way too fast, assigns homework that is nothing like the problems that she went through in lecture. Save yourself the stress and just learn the materials on youtube. ",False,2025-01-11 21:50:21,5.0,C+,1.0,True,False,1.0,Tough grader--Lecture heavy--Graded by few things,-1.0,0,0,,3033725
1,non mandatory,1.0,50160103,"Do NOT take this professor. The class material has the potential to be understandable, but her teaching is horrific. She gets corrected by students, gets upset when asked to slow down, and does not teach any applicable material to exams during lecture. She is incredibly unorganized and should not be allowed to teach. Nice person, but worst prof.",False,2024-12-20 02:14:28,5.0,F,1.0,True,False,1.0,Tough grader--Test heavy--Graded by few things,-1.0,0,0,,3033725
2,non mandatory,3.0,50160103,"She's a very nice person, but I didn't really like her teaching style. She teaches very quickly and often makes lots mistakes. I had to go to almost every office hour to understand what she taught during lecture, and teach myself the times I didn't go. To pass her class, you have to live in the office hours essentially. ",False,2024-12-19 20:49:17,3.0,A,3.0,True,False,3.0,Tough grader--EXTRA CREDIT--Lots of homework,-1.0,0,0,,3033725
3,non mandatory,1.0,50160103,She is a nice person but absolutely can't teach. She is very difficult when it comes to grading. Please save yourself and do not take her class at all. I have to go tutor after every class and teach myself everything. Nothing is making sense in her class. She talks super fast and constantly messes up on problems without explaining. ,False,2024-12-19 20:49:17,5.0,D,1.0,True,False,1.0,Tough grader--Lots of homework--Test heavy,-1.0,0,0,,3033725
4,,1.0,50160103,don't take her,False,2024-12-06 20:32:17,5.0,,1.0,True,False,1.0,,,0,0,,3033725
5,mandatory,1.0,50160103,"Never worked so hard for a 1 credit lab and gotten such a bad grade.  Unclear what her criteria is for grading, and if you did get something small wrong you were punished for it.  Gave guidelines for us to follow in assignments that she didn't follow herself when grading.  Do yourself a favor and take another teacher.",False,2024-12-05 00:07:47,5.0,Not sure yet,1.0,True,False,1.0,Tough grader,-1.0,0,0,,3033725
6,mandatory,1.0,50160103,"DON'T TAKE HER save yourself. Nothing you go over in class is on any exam, constantly messes up during lectures and doesn't explain mistakes, extremely fast even when asked to slow down, and didn't believe in curves until 60% of the class was failing. I needed to go to tutoring after EVERY CLASS. Needs to be reported to the dean. nice person though",False,2024-11-19 20:16:41,5.0,Not sure yet,1.0,True,False,1.0,Tough grader--Lecture heavy--Graded by few things,-1.0,0,0,,3033725
7,mandatory,1.0,50160103,"I did the material she taught, in highschool. She's so bad I unlearnt everything. Please save urself.",False,2024-11-13 22:43:52,5.0,B+,1.0,True,False,1.0,Tough grader--Participation matters--Lots of homework,-1.0,0,0,,3033725
8,non mandatory,1.0,50160103,"Do not take this professor, she is by far one of the worst. Especially for a class like GOB, she doesn't teach it well. Every time after a lesson I had to go to a tutor because it made no sense in class. Avoid her as a teacher if possible. She goes super fast and she constantly makes mistakes that the class has to correct her on. SPARE yourself!",False,2024-11-07 14:22:38,5.0,D,1.0,True,False,1.0,Tough grader--Lots of homework--Test heavy,-1.0,0,0,,3033725
9,,1.0,50160103,Can't really teach at all. Do yourself a favor and find another teacher,False,2024-10-29 18:27:19,5.0,F,1.0,False,False,1.0,Tough grader--Test heavy,,0,0,,3033725
