id,name,department
23287,Neil Sheflin,Economics
81132,Steve Kilianski,Psychology
60282,Anthony Uzwiak,Biology
859214,David Scheiman,Mathematics
158893,Gregory Clare,Economics
60663,Abdelbaki Brahmia,Physics
1194959,Estelle Mayhew,Psychology
210274,Sara Soffer,Mathematics
78210,Gary Brill,Psychology
1293707,Lyra Stein,Psychology
445220,Geeta Govindarajoo,Chemistry
1519577,Keiko Brynildsen,Psychology
479534,Shyam Moondra,Statistics
1292997,Mariya Naumova,Mathematics
681017,Kevin Noone,Mathematics
681190,Robert Boikess,Chemistry
15782,Carlton James,Psychology
847619,Margaret Ingate,Psychology
604,Steven Miller,Journalism & Media Studies
5608,George Atwood,Psychology
461604,Jan Mohlman,Psychology
432332,Donald Siegel,Chemistry
81252,Paul Kimmel,Science
83509,Joe Mancuso,Theater
1615450,Nick Linardopoulos,Communication
869385,Emmanuel Hove,Chemistry
273163,John Ackroff,Psychology
212385,Gregory Transue,Biology
124131,Jenny Mandelbaum,Communication
209196,Vladimir Shtelen,Mathematics
2519830,Samaneh Hamidi,Computer Science
264639,Ted Szatrowski,Mathematics
1242792,John Kerrigan,Mathematics
771912,Patrick O'Connor,Chemistry
1467731,Denis Hamilton,Management
178051,Stephen Hansell,Sociology
2252,Jeffery Rubin,Economics
182646,Sesh Venugopal,Computer Science
283173,Edward (Trip) McCrossin,Philosophy
140636,Manese Rabeony,Science
381701,Anne Keating,Science
36466,Michael Leyton,Psychology
24038,Robert Karlin,Psychology
190837,Augusta Rainsford,Mathematics
55844,Michael Welch,Criminal Justice
99344,David Wilder,Psychology
1565087,Savita Sahay,Accounting
179410,Suryakala Srinivasan,Statistics
12462,George Clark,Humanities
739067,Steve Safran,Mathematics
1918156,Alexandre Hohmann,Economics
18893,Diana Martin,Science
85863,Ross Baker,Political Science
343925,Mark Croft,Physics
163383,Heinz Roth,Chemistry
161772,Arthur Tomie,Psychology
265444,Mark Killingsworth,Economics
6526,Donna Toma,Psychology
2125068,Christy Beal,Biology
394402,Daijiro Okada,Economics
2140801,Michael Elgawly,Economics
93973,Lee Clarke,Social Science
1895986,Brian Householder,Communication
176853,Norman Markowitz,History
95904,Walter Paczkowski,Economics
244619,Rita Kinkhabwala,Mathematics
18918,Asbed Vassilian,Chem & Chemical Biology
600296,Ana Paula Centeno,Computer Science
179712,Slawomir Piatek,Physics
275870,Deborah Allen,English
176877,Douglas Blair,Economics
84951,Martin Perry,Economics
117546,Keith Arnesen,Meteorology
52114,Frank Deis,Science
2072399,Daniel Stern-Cardinale,Biology
117284,Suzanne Sukhdeo,Science
325879,Paul Hirschfield,Sociology
2256203,Joseph Guadagni,Mathematics
185212,Tom Prusa,Economics
190765,Tracy Budd,English
87512,Deborah Bryant,Psychology
184572,Dale Warmingham,Economics
229614,Douglas McDowell,Sociology
275998,Angus Gillespie,American Studies
624643,Sheila Lawrence,Mathematics
639885,Vikrant Advani,Law
337622,JP Advis,Biology
2336289,David Menendez,Computer Science
252411,Michael Rossi,Political Science
1289354,Carolyn D'Arville,Biology
815471,Louis Matzel,Psychology
177713,Roger Balm,Geography
2010241,Evan Wasserman,Accounting
2035484,Ioanna Mavrea,Mathematics
72446,Louis Petrone,Science
1769915,Heba Elkhateeb,Writing
778339,Arnold Glass,Psychology
87673,Ramesh Agarwal,Science
354001,Ed Tavss,Chemistry
2069152,David Molnar,Mathematics
1253756,Robert Scott,Anthropology
210964,Paul Clemens,History
53367,Ronald Levao,English
2297066,Wesley Cowan,Computer Science
988973,Jose Sosa,Mathematics
633528,James Cooney,Labor Studies
582954,Michael Gentile,Physics
74521,Gordon Schochet,Political Science
1034921,Lawrence Jacobs,Psychology
1475911,Melissa Lieberman,Mathematics
743098,Galina Bolden,Communication
1821734,Saiju Patel,Mathematics
105097,Stephen Stich,Philosophy
1173413,Joe Dixon,Nutrition
1184340,Jeffrey Dowd,Sociology
646508,James Amodio,Mathematics
107473,Michael Sklar,Business
680321,Paul McLean,Sociology
978830,Noha Emara,Economics
2038239,Sarah O'Rourke,Accounting
110535,Carol Schwartz,Computer Science
1729643,Kyle Murphy,Biochemistry
2564049,Warren Allen,Information Tech. & Informatics
96752,George Popel,Mathematics
485226,Monique Porow,Sociology
1580600,Tomasz Imielinski,Computer Science
994783,Ray Stone,Economics
210118,Howard Wineberg,Sociology
1876516,Jack Skydel,Economics
454111,Theresa Lindboe,Mathematics
1627873,Monica Torres,Biology
1833903,John-Austen Francisco,Computer Science
1837364,Bryan Langowski,Chemistry
252464,George Schroepfer,English
173076,Stephen Bronner,Political Science
366517,Silvia Muller,Communication
387280,Doron Zeilberger,Mathematics
277189,Bert Levine,Law
1581379,Kiranjot Sethi,Chemistry
1913647,Marina Gelfand,Psychology
2129323,Chitra Ponnusamy,Food Science
2049363,Moulik Balasubramanian ,Mathematics
32863,Bill Gillette,History
222520,Barbara Tangel,Science
109964,Alexander Kusnecov,Psychology
1312531,Tamara Musumeci-Szabo,Psychology
104883,David Foglesong,History
1876682,Santosh Nagarakatte,Computer Science
1164011,Andrew Tjang,Computer Science
36461,Jeanette Covington,Criminal Justice
332118,Craig Phelps,Science
1868730,Lasantha Goonetilleke,Mathematics
1332693,AR McElhinney,English
794206,Nancy Marky,Chemistry
104802,Rosanne Altshuler,Economics
778335,Daniel Ogilvie,Psychology
74837,Rob Doran,Mathematics
758736,Catherine Lee,Sociology
1401328,Naum Perelman,Mathematics
121049,William Irvine,Mathematics
590000,William Field,Political Science
384597,Mark Feigenson,Geology
1393970,Bonnie Nolan,Psychology
107351,Hiroshi Obayashi,Religion
1783935,Diana Horowitz,Mathematics
291302,Leslie Jiminez,Chemistry
1615670,Gary Minkoff,Marketing
207644,Tracey Shors,Psychology
1183035,Roseli Golfetti,Cell Biology & Neuroanatomy
139874,Robert Urbanski,Mathematics
925215,Robert Szejner,Criminal Justice
436002,Basanta Chaudhuri,Economics
5609,Leonard Hamilton,Psychology
123284,Alan Belowich,Computer Science
22809,Majid Sani,Economics
1144993,D. Glodowski,Genetics
1615325,Brian Donnelly,Criminology
1741856,Christine Altinis-Kiraz,Chemistry
45724,Lou Hirsch,Mathematics
1333984,James Abello,Mathematics
1516561,Jessica Methot,Human Resources Management
142255,John Italia,Economics
1757118,Ron Michaelis,Genetics
2182765,Annalisa Scacchioli,Engineering
11292,Mark West,Psychology
313641,J Jt,Computer Science
944232,Dave Andersen,Political Science
2298139,Rob Foels,Psychology
1125897,Kristen Springer,Sociology
266604,Marshall Jones,Theater
1869057,Nishali Mehta,Mathematics
74834,Roy Licklider,Political Science
108063,James Reed,History
262138,Irwin Gertzog,Political Science
803231,Setareh Marvasti,Chemistry
36995,Michael Adas,History
2110487,Christopher Hayes,History
1684024,Francesca Guerra,Chemistry
310874,Corey Liberman,Communication
1756529,Ralph Rodriguez,Human Resources Management
