id,name,department
64897,Ben Hutchens,Philosophy
80029,James Vanderhoff,Economics
114744,Douglas Coate,Economics
282047,Karen Chaffee,Chemistry
163561,R.W. Kluiber,Chemistry
111998,Douglas Morrison,Science
125404,Frank Gengaro,Psychology
616866,Rakhi Poonia,Political Science
2197430,Chazz Fellenz,Medicine
1037278,Chon Lintakoon,Computer Science
124783,Yusuf Abdi,Mathematics
1617867,Wahab Ashraf,Mathematics
115443,Joyce Carolla,Mathematics
110635,Roger Lalancette,Chemistry
185237,Gretchen Van De Walle,Psychology
1832434,David Segarnick,Biology
1760672,Christina Zambrano,Psychology
183557,Alex Sannella,Accounting
487722,Pallavi Parekh,Mathematics
118550,Michael Zeugin,English
281338,John Maiello,Biology
755533,Gerard La Morte,Psychology
73279,Tavy Ronen,Economics
1030680,Lionel Wynter,English
120266,C Daniel Stubbs Jr.,Accounting
60473,Hussain Assadipour,Computer Science
110628,John Rollino,Physics
1006319,Davood Taree,Economics
1131572,Cervantes Cervantes,Biology
126902,Elizabeth Hotaling,Science
99256,John Sheridan,Chemistry
1901414,Banmali Banerjee,Mathematics
182698,Robert Siebert,Anthropology
283763,John Straus,English
1141765,Matthew Friedman,History
118026,Gerald Frenkel,Science
272792,Peter Loeb,Economics
1516747,Michael Cohen,Accounting
1855552,Alexander Settles,Management
2227116,Audrey Truschke,History
363654,Jason Barr,Economics
344066,Edem Avakame,Criminal Justice
1786602,Wajahat Gilani,Business
182782,Lorraine Elias,English
270850,Kevin Catalano,English
417885,William Brian Walker,Writing
179854,Sally Cerny,Psychology
1083581,Steven Kang,Philosophy
131105,William Keigher,Mathematics
184571,Gregory Clare,Economics
380598,Ann Medinets,Accounting
780092,Susan Mach,Management
507153,James Reilly,Physics
124616,John Crow,Science
324825,Angelo Gatto,Mathematics
245109,Jeff Buechner,Philosophy
1644502,Sweeta Chauhan,Geology
203509,Stewart Hirschberg,English
1033945,Valerie Levy,English
327871,Mark Castelino,Finance
2087845,Rola Bekdash,Biology
184568,Jay Soled,Accounting
118028,Edward Bonder,Science
113770,Karl Dahlberg,Accounting
255641,Naser Moheb,Mathematics
185669,Robert Sczech,Mathematics
110632,Phillip Huskey,Chemistry
114712,Andrew Kasper,Science
1773186,Ben Delloiacono,English
125181,Stan Hall,Chemistry
227813,Gabriel Miller,Literature
2447515,Xinbo Lau,Chemistry
1846321,Shakeelah Asghar,Mathematics
118025,James Schlegel,Chemistry
1041380,Ellen Halpern,Psychology
368594,Connie Murray,Political Science
22762,Alexander Gates,Science
131966,Farrokh Langdana,Economics
492302,Valentin Dimitrov,Accounting
697698,Joe Markert,Management
1824816,Todd Galante,Political Science
1004307,Mariana Spatareanu,Economics
697608,Michael Alles,Accounting
60474,Edward Boylan,Computer Science
1011137,Matthew Sheehan,English
455609,Maya Ruvinshteyn,Mathematics
570627,Paul Rosetti,English
713864,Trip McCrossin,Philosophy
79398,David Orden,Computer Science
1813189,Steven Dym,Finance
12192,Frederick Russell,History
620112,Barry Komisaruk,Psychology
126031,John Randall,Mathematics
1819227,Svanur Petursson,History
157785,Marne Benson,English
1027508,Arnold Pollack,Marketing
801805,Michael Schneider,Management
60451,Jon Cowans,History
125403,R. Brian Ferguson,Anthropology
285053,Alan Gilchrist,Psychology
1408636,Courtney Stanton,English
1913470,Meng Qu,Information Science
639164,Fatiha Assadipour,Mathematics
117950,Mark Feighn,Mathematics
209951,Nela Navarro-Lapointe,Languages
270448,Theresa Hunt,English
697704,Seunghan Nam,Accounting
2258695,Martha Kein,English
2046606,Carmen Bonilla,Management
831630,Matthew Giobbi,Psychology
2232924,Mohammad Chaudhry,Psychology
2026427,Sharon Hellman,Management
217280,Isaac Vellangany,Economics
1214871,Arthur Guarino,Finance
372986,Danielle Warren,Business
191548,Daxay Patel,Computer Science
1270601,Christopher Mitchell,History
615316,Arthur Dupre,Computer Science
1208774,Jamie Gorman,Psychology
2781592,Oren Rabinowitz,Biology
225190,Li Guo,Mathematics
1190472,Kusum Mundra,Economics
2329837,Latoya Rawlins,Nursing
336792,Rahmat Tavakol,Sociology
118140,Leon Malloy,Mathematics
312314,David Kafkewitz,Biology
346978,Mohamed Alsiadi,Languages
2257470,Marshall Saunders,Accounting
184573,Ulrich Oertel,Mathematics
588099,Elizabeth Sloan-Powers,Social Work
244528,Frank Jordan,Chemistry
317155,Norman Scherzer,Biology
572024,Michele Rotunda,History
1196999,Raymond (Ray) Ojserkis,History
118029,Zhengyu Mao,Mathematics
1541247,Cordelia Aitkin,Psychology
817993,Elena Galoppini,Chemistry
1782819,Emmanuel Adepo,Mathematics
1595689,Marie Cote,Chemistry
347111,Mohammad Haghighi,Psychology
288077,Mal Kiniry,English
2540213,Leonardo Marazzi,Mathematics
124618,David Hoddeson,English
2445674,Rubaa Saleh,Economics
208096,Carol Heffernan,English
888350,Michael Schonberger,Finance
1704148,Aviad Peer,Management
654035,Chengwen Wang,Mathematics
176278,Carlos Seiglie,Economics
291684,Alvaro Rodriguez,Economics
2325518,Magda Hassan,Mathematics
2408153,Juan Basualdo,English
1406778,Raymond Leibman,Marketing
124651,Kurt Schock,Sociology
821022,MAJID Sani,Economics
2525498,Michael Renne,Mathematics
346600,Jacob Sturm,Mathematics
1122457,Audrey Redding-Raines,Social Work
455536,John Graham,Economics
155707,Abigail Mellen,History
282166,Abraham Miller,Computer Science
212908,Angelo Spina,Languages
212096,Carol Henderson,Anthropology
243122,Grace Marmor Spruch,Physics
114704,Barbara Foley,Literature
800199,Stephen Hanson,Psychology
2016137,Craig Chanin,English
322067,Diane Rizzo,English
