id,name,department
1996092,Amr Elkady,Computer Science
47839,Laurie Poe,Mathematics
992788,Keyvan Moataghed,Computer Science
125677,Sumana Sur,Business
1101171,Sharath Sury,Finance
1803411,Natalie Linnell,Computer Science
14274,Mary Long,Mathematics
359614,Daniel Ostrov,Mathematics
482892,Chris Paisley,Accounting
417798,Nicholas Tran,Computer Science
139417,Wang Ming-Hwa,Engineering
632824,Homi Fatemi,Operations & Mgmt Info Systems
1767679,Corey Irving,Mathematics
1054502,Brian Buckley,Philosophy
1925183,Navid Shaghaghi,computer science and electrical engineering
2381166,Reza Shariatmadari,Mathematics
1196365,Mona Musa,Mathematics
281579,Lauri Papay,Mathematics
1804190,Damian Park,Economics
2187655,Katelyn White-Byington,Mathematics
1192821,Chris Weber,Physics
66957,Rani Mikkilineni,Computer Engineering
542658,Christopher Kitts,Engineering
1584914,Norman Paris,Mathematics
1410879,Rita Madarassy-Akin,Economics
2046357,Graeme Warren,Operations  Mgmt Info Systems
246901,Brian McNelis,Chemistry
1663424,Michele Goins,Business
20118,Fred Foldvary,Economics
269159,Edward Steinman,Law
803250,Matthew Bell,Psychology
118230,Cary Yang,Engineering
1249312,Stephen Reaney,Chemistry
856306,Farid Senzai,Political Science
48180,Cory Wade,English
515990,. Heineke,Economics
1941953,Miah Jeffra,English
2472650,Haoning Richter,Accounting
135191,Robert Finocchio,Business
921953,Phillip Riley,Religion
556607,Steve Fedder,Chemistry
1597597,Christelle Sabatier,Biology
2220418,Michael Santoro,Business
48039,Steven Wade,Accounting
13997,Lawrence Nelson,Philosophy
2579120,Luvreet Sangha,Mathematics
233570,Leonard Klosinski,Mathematics
1105717,Lisa Whitfield,Psychology
911378,Kenneth Faulve-Montojo,Political Science
1069335,Aaron Melman,Engineering
20116,Robert Bekes,Mathematics
66956,Dan Lewis,Engineering
357224,Frank Farris,Mathematics
585092,Glenn Appleby,Mathematics
1110199,Aparajita Nanda,English
963674,Tamsen McGinley,Mathematics
651899,Dongsu Shin,Economics
1547032,Melissa Donegan,English
1259582,Gregory Gullette,Anthropology
482003,Naomi Andrews,History
47921,Mario Belotti,Economics
622791,Neal Ushman,Accounting
714888,Hugh McAllister,Economics
1563077,Gina Firenzi,English
936493,Shauna Shapiro,Psychology
1051161,Jane Curry,Political Science
153830,Linda Brunauer,Chemistry
406086,Stephen Carroll,English
719762,Byron Walden,Mathematics
810082,David Pinault,Religion
2957013,Kevin Chiu,Economics
47927,Catherine Murphy,Theology
321619,E Dahlhoff,Biology
1984940,Ramin Moazzeni,Computer Science
1770269,Elizabeth Drescher,Religion
25202,Scott Labarge,Philosophy
1291665,Richard Schaffzin,Operations & Mgmt Info Systems
1256938,Justen Whittall,Biology
232983,Bin Shao,Mathematics
20117,Dennis Smolarski,Computer Science
1018756,Juan Montermoso,Marketing
169189,James Lai,Political Science
258618,William Parent,Philosophy
226871,William Dohar,Theology
2207614,Kan Liu,Engineering
316837,Darren Atkinson,Engineering
1045059,Denise Krane,English
1805343,James Airola,Economics
1867777,Patricia Cameron-Loyd,Economics
1986120,Erin Bradfield,Philosophy
1181048,Ahmed Ezzat,Computer Science
2389365,Mehdi Ahmadi,Mathematics
1652790,Robin Tremblay-Mcgaw,English
743858,Jeremy Horwitz,Mathematics
1447339,Timothy Myers,English
995533,Gerald Alexanderson,Mathematics
1210755,Magda Metwally,Mathematics
567537,Jose Barria,Mathematics
2287101,Farokh Eskafi,Computer Science
2070463,Raymond Gipson,Chemistry
1631296,David Zimbra,Operations & Mgmt Info Systems
2233613,Jeffrey Steele,Philosophy
383360,Thomas Turley,History
911380,Kieran Sullivan,Psychology
2458,M Ghiassi,Business
422609,Michael Carrasco,Chemistry
357298,Don Riccomini,English
147056,Lotta Kratz,Communication
135223,Wendy Donohoe,Accounting
14127,John Heath,Languages
105204,Edward Schaefer,Mathematics
769075,Sarita Tomayo-Moraga,Religion
997657,Andrew Garavel,English
912755,Eric Oberle,History
310070,Blake De Maria,Fine Arts
424412,James Grainger,Biology
2653025,Josh Grice,Mathematics
2936804,Ray Li,Computer Science
1105984,Guy Simpson,Business
1252692,Adina Ardelean,Economics
1147687,Steve Levy,Management
1982160,Amir Attia,Art History
685698,Patricia Simone,Psychology
927610,Janet Giddings,Religion
1946555,Matthew Harrigan,Political Science
787328,Jean Molesky-Poz,Religion
1491722,Maribeth Oscamou,Mathematics
2233861,Meg Gudgeirsson,History
1507869,Arunima Sinha,Economics
983706,David Armstrong,Business
653854,Andrew Lien,Marketing
682234,John Ifcher,Economics
1411729,Akiba Lerner,Religion
367915,None SunWolf,Communication
973703,Marc Accornero,Languages
366106,Linda Kamas,Economics
1548230,Paul Mariani,History
963656,Mitali Biswas,English
1198042,James Cottrill,Political Science
1706622,Hien VU,Computer Science
394797,Kathy Long,Communication
735055,Steven Suljak,Chemistry
917996,John Toppel,Business
960600,Brigitte Charaus,History
219770,Diana Morlang,Political Science
1149322,Michael Calegari,Accounting
934859,Karen Fraser,Art History
325996,Elizabeth Day,Education
965988,Teresia Hinga,Religion
25198,Jeffery Zorn,English
2155579,Behnam Dezfouli,Engineering
90033,Janice Edgerly-Rooks,Science
442298,Eric Hanson,Political Science
279199,Timothy Urdan,Psychology
765500,Michael Meyer,Philosophy
482004,Stephanie Daffer,Languages
962630,Sean Watts,Science
2380895,Sofia Kotsiri,Economics
383361,Ramon Chacon,History
1044263,Robert Michalski,English
743248,Thomas Plante,Psychology
546797,Nancy Unger,History
1902923,John Giddings,Engineering
2964999,Will Dana,Mathematics
683138,David Skinner,History
2019316,Nick Leither,English
