id,name,department
2309059,Kevin Wells,English
2698447,Mea Ahlberg,Business
508099,Tania Jordan,Economics
2155567,Alejandro D'Brot,Biology
140854,Susan Hornstein,Psychology
894578,Elizabeth Wheaton,Economics
39852,Judy Newell,Mathematics
1153025,John Lamoreaux,Religion
1206485,Kenneth Daley,Philosophy
2580213,Eric Marrs,Accounting
1230162,Liliana Hickman-Riggs,Accounting
1195950,Adriana Aceves,Mathematics
650833,Gregory Sommers,Accounting
337981,Carol Seets,Mathematics
48044,Steve Hiltz,Philosophy
681569,Vanessa Hopper,English
2170988,Mahesh Fernando,Statistics
754942,Brian Fennig,Wellness
2725955,Nils Van den Steen,Information Technology
2635738,Jessica Wickersham,Statistics
255397,Michael Lusztig,Political Science
394200,Mark Fontenot,Computer Science
2561288,Scott Hensley,Business
2248804,Justin Germain,Languages
633480,Joseph Kobylka,Political Science
359405,Andrea Adams,Chemistry
2783456,Dain Kloner,Psychology
1956302,LeeAnn Derdeyn,English
465412,Patty Wisian-Neilson,Chemistry
1213642,Michael Lindsey,Psychology
1229669,James Calvert,Psychology
1700883,Werner Horsthemke,Chemistry
2112575,Robert Gwinn,Information Technology
1482030,Joan Arbery,English
2036901,Durdana  Balakishiyeva,Physics
1666376,Pam Corley,Political Science
1853732,Caitlin Anderson,Wellness
2757526,Sohail Hamirani,Accounting
2128717,Matthew Boulanger,Anthropology
438966,David Son,Chemistry
670071,Ravi Batra,Economics
1204752,Carol Dickson-Carr,Economics
2197143,Carolyn Harrod,Biology
918333,Angela Wood,English
904129,Eric Barnes,Philosophy
1986802,Stephanie Langin-Hooper,Art History
2627688,Dan Lawrence,Management
1306982,Helen Reynolds,Economics
2397267,Kara Sutton,Sociology
1198858,Teresa Strecker,Biology
744570,Rajat Deb,Economics
1103709,Ray Miles,Business
1824379,Stewart Rogers,Business
1414499,Sam Ross Sloan,English
1771099,Brian Zoltowski,Chemistry
2405515,Yoram Solomon,Business
1459524,Amy Altizer,Accounting
2519055,Gbenga Abiodun,Mathematics
1052231,Steven Lindquist,Religion
2417471,Joshua Crabill,Philosophy
1073788,Bruce Levy,English
1889898,Bianca Batista,Biology
755910,Michael Lattman,Chemistry
324045,Helen Babbili,Chemistry
1882980,Nathan Walcott,Finance
947533,Ian Harris,Mathematics
1375014,Kristen Polster,English
2713243,Sasan Mohyaddin,Mathematics
53731,Rick Halperin,History
584352,Tony Pederson,Communication
870590,Catherine D. Weber,Business
140858,Chris Logan,Psychology
1093682,Jeff Carbiener,Economics
1430620,Hiroki Takeuchi,Political Science
2288518,Andrea Laurent-Simpson,Sociology
46106,Mark Chancey,Religion
255394,Cal Jillson,Political Science
411052,John Wise,Biology
335630,Pauline Newton,English
131206,Kevin Heffernan,Film
1267462,Matthew Lockard,Philosophy
886798,Philippe Chuard,Philosophy
2535225,Laurel Neustadter,Mathematics
528747,Stephen Wegren,Political Science
400328,Edward Skelton,Economics
1944999,Clyde Rupert,Marketing
1739263,Stephen Robertson,Mathematics
2491788,Russell McConnell,English
1093127,Miroslava Detcheva,Languages
1157529,Giovanni Mion,Philosophy
229000,Douglas Ehring,Philosophy
414777,Eva Oberdorster,Biology
605281,William Gosney,Engineering
848690,Josephine Caldwell Ryan,Women's Studies
1975195,Willie Baronet,Design
874769,Jill Detemple,Religion
178962,Ona Seaney,English
1399178,Kenneth Howard,Computer Science
289830,Timothy Rosendale,English
2037125,Tania Albarracin,Economics
1927136,Kacy Hollenback,Anthropology
2316667,Gary Orosy,Marketing
870585,Amy V. Puelz,Business
972739,Sheng Xu,Mathematics
947535,Alan Humason,Chemistry
1198847,Yunkai Zhou,Mathematics
1400530,Jennifer O'Brien,Chemistry
2706706,Tiffany McCray,Languages
1671743,Richard Guarino,Physics
1853728,Meg Graves,Business
2054146,Sheila Williams ,Engineering
1200577,Yildirim Hurmuzlu,Engineering
2308273,Constantin Icleanu,Languages
1912732,Rachel Goodman,Engineering
2170827,John Lawrimore,Computer Science
1397848,David Sedman,Film
70140,Jim Collins,Business
140863,Michael Crow,Psychology
1916725,K. Ann Horsburgh,Anthropology
2311471,Michael Heath,Business
1475164,Owen Lynch,Communication
2665533,Ken Yamamoto,Mathematics
1587626,Steve Denson,Diversity
428571,Robert Puelz,Finance
368456,Vladimir Ajaev,Mathematics
1573359,Karisa Cloward,Political Science
1524316,Sara Weiss,Mathematics
735488,David Willis,Engineering
1862660,Alex Lippert,Chemistry
750121,Abigail Bartoshesky Pruitt,Anthropology
692580,Brandy Alvarez,Languages
1443566,Laura Minze,Psychology
1566058,Erin Hochman,History
337029,Peter Noble,Communication
736538,Damiano Bonuomo,Languages
738168,Teresa Brentegani,Languages
2064629,Susan Norman,English
2818044,Ashley Edison,Statistics
1306981,Donald Key,Accounting
2068156,Amnon Meir,Mathematics
558510,Robert Howell,Philosophy
947534,Wendy Wilson,Accounting
2189552,Bradley Warren,Physical Education
2024533,Lourdes Molina,Languages
2293159,Angelika Leskovskaya,Statistics
340991,Randall Griffin,Art History
2031777,Rita Economos,Geology
550744,Rick Worland,Film
1579289,Christopher Salinas,Communication
1677202,Kim Corbet,Music
130563,Donald Evans,Computer Science
431814,Brian Stump,Geology
2400488,Abbey Stockstill,Art History
722799,Birdie Barr,Wellness
2745451,Kari Battaglia,Economics
2477150,Emily Davis,Accounting
550734,Richard Bozorth,English
48045,Judy Etchison,Computer Science
779221,Pia Vogel,Biology
1097283,Samantha Mabry,English
2287615,Robert Viator,Mathematics
178961,Mark Schell,Chemistry
475027,Adrian Tan,Sociology
2042907,Kathryn Hedrick,Mathematics
2831363,Allen Gwinn,Information Technology
53734,Kenneth Hamilton,History
828175,Luigi Manzetti,Political Science
2690142,Radhika Zaveri,Marketing
768587,Angie Nozaleda,Languages
2739016,Nicole Haddad,Marketing
